,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2018-12-31,163.622,118.074,44.162,162.236,31.89,-58.757,-2.06,325.342,-143.613,-2.448,-1.421,-1.421,29.307,-118.175,-21.68,-21.68,-133.71,-133.71,-9.256,-19.365,-184.011,21.993,15.936,-9.256
2018-09-30,174.881,112.286,-9.313,102.973,-10.074,57.191,64.241,342.437,-127.01,-87.085,0.149,0.149,-21.697,-235.643,34.401,34.401,-123.694,-123.694,-9.282,-0.349,-98.924,7.266,15.929,-9.282
2018-06-30,230.711,109.582,-110.849,-1.267,8.471,-58.761,-20.752,197.059,-196.728,12.663,-5.384,-5.384,68.151,-121.298,68.206,68.206,-122.929,-122.929,-9.382,-4.451,-68.556,4.21,15.016,-9.382
2018-03-31,228.66900,113.13400,61.90600,175.04000,-72.52600,53.59400,-2.01600,409.90400,-197.61100,-20.09200,-8.57500,-8.57500,-45.85300,-272.13100,-120.17600,-120.17600,-6.89600,-6.89600,-9.42200,-4.21700,-140.71100,-1.08100,19.70000,-9.42200
2017-12-31,225.035,113.756,5.704,119.46,-34.809,-45.484,-52.06,368.868,-112.412,-3.16,-8.076,-8.076,-93.38,-217.028,-1.604,-1.604,-118.914,-118.914,-9.435,-8.831,-138.784,13.218,13.9,-9.435
2017-09-30,145.362,110.217,-20.328,89.889,9.149,115.821,140.923,344.921,-182.642,0,0,0,19.448,-163.194,-76.327,-76.327,-92.697,-92.697,-9.496,-4.528,-183.048,-0.774,13.785,-9.496
2017-06-30,190.388,113.112,-106.503,6.609,6.303,-172.661,-123.128,50.687,-108.658,-1.778,0,0,-19.448,-129.884,214.958,214.958,-115.909,-115.909,-9.618,-7.312,82.119,3.575,13.705,-9.618
2017-03-31,210.52700,110.79800,92.26800,203.06600,-5.36200,59.22300,69.74500,483.10900,-153.79400,-17.83200,-3.00000,-3.00000,,-174.62600,-239.03300,-239.03300,-26.62700,-26.62700,-9.66200,-4.11800,-279.44000,29.32800,15.34800,-9.66200
2016-12-31,178.738,107.436,8.619,116.055,-81.045,-64.569,-120.562,197.33,-145.251,-477.582,0,0,0,-622.833,500.5881,500.5881,-53.079,-53.079,-9.678,-8.649,429.182,4.152,11.751,-9.678
2016-09-30,157.265,103.712,-20.11,83.602,38.893,-1.63,53.226,300.083,-148.448,-108.696,0,0,0,-257.144,32.141,32.141,-56.021,-56.021,-9.713,-3.034,-36.627,5.471,11.665,-9.713
2016-06-30,195.449,101.411,-53.114,48.297,34.233,21.997,86.315,361.2,-120.501,-7.982,0,0,0,-128.483,331.159,331.159,-66.066,-66.066,-9.727,-484.898,-229.532,1.683,11.489,-9.727
2016-03-31,215.71900,104.04900,98.03900,202.08800,-79.96200,93.16900,36.51100,475.22900,-127.21400,-19.54300,,,,-146.75700,-152.27100,-152.27100,-168.71100,-168.71100,-9.75700,-3.45100,-334.19000,-6.63800,13.20400,-9.75700
2015-12-31,191.317,102.921,9.059,111.98,15.063,-71.536,-41.689,271.763,-109.743,-349.905,-3.3,-3.3,0,-462.948,357.305,357.305,-77.509,-77.509,-9.836,-56.057,213.903,21.705,9.826,-9.836
2015-09-30,163.654,99.442,-29.176,70.266,34.136,-40.564,19.999,264.896,-98.998,-145.859,0,0,0,-244.857,59.387,59.387,-59.714,-59.714,-9.892,-11.872,-22.091,-2.941,9.671,-9.892
2015-06-30,201.404,97.257,-73.012,24.245,1.959,23.238,50.323,260.328,-81.304,0,0,0,0,-81.304,-112.387,-112.387,-37.119,-37.119,-9.905,-12.986,-172.397,7.386,9.645,-9.905
2015-03-31,194.32300,98.99800,63.31700,162.31500,-96.97200,-30.06300,-103.17000,271.27500,-89.27600,-34.50000,,,,-123.77600,-138.07100,-138.07100,-26.99900,-26.99900,-9.89900,30.94500,-144.02400,3.00900,10.82900,-9.89900
2014-12-31,190.492,98.118,44.28,142.398,-7.515,12.098,3.983,346.322,-81.789,-28.981,-12,-12,-2.284,-125.054,-176.386,-176.386,-35.501,-35.501,-9.871,-6.499,-228.257,-7.642,8.379,-9.871
2014-09-30,96.038,93.456,7.526,100.982,-36.328,47.327,37.026,231.138,-122.575,-327.677,0,0,-2.805,-453.057,306.383,306.383,-25.899,-25.899,-9.91,-23.554,247.02,24.979,7.768,-9.91
2014-06-30,166.614,90.691,-86.092,4.599,33.768,53.171,92.823,263.777,-94.399,-67.699,0,0,-1.895,-163.993,-81.972,-81.972,-19.938,-19.938,-4.951,5.548,-101.313,-1.529,7.793,-4.951
2014-03-31,151.85200,93.35900,41.54600,134.90500,-95.63300,-25.01700,-88.28500,194.63900,-92.38700,8.14900,,,-6.50400,-90.74200,-97.15400,-97.15400,-12.54800,-12.54800,-4.93300,9.76100,-104.87400,-0.97700,7.15200,-4.93300
2013-12-31,133.186,88.708,21.686,110.394,49.553,11.48,47.045,308.318,-78.742,-10.952,0,0,-7.458,-97.152,-191.732,-191.732,-3.403,-3.403,-4.915,-6,-206.05,5.116,7.711,-4.915
2013-09-30,123.099,86.971,-10.345,76.626,-17.037,-17.752,-16.428,185.006,-103.807,3.11,0,0,-8.957,-109.654,-47.635,-47.635,0.548,0.548,-4.911,-23.79,-75.788,-0.436,6.493,-4.911
2013-06-30,167.803,81.754,-70.014,11.74,-0.365,74.613,30.398,212.42,-80.025,26.031,0,0,-16.984,-70.978,-124.67,-124.67,-5.843,-5.843,-4.925,-10.841,-146.279,-4.837,6.468,-4.925
2013-03-31,129.93500,79.92300,47.55800,127.48100,-81.85900,-33.12300,-80.52300,178.49700,-95.91900,6.65700,,,-16.41200,-105.67400,-60.42600,-60.42600,-12.79500,-12.79500,-4.87000,-0.80800,-78.89900,-6.07600,7.11100,-4.87000
2012-12-31,147.66,81.049,-41.417,39.632,15.753,76.487,76.399,264.225,-81.001,-409.638,0,0,-12.508,-503.147,285.682,285.682,-7.871,-7.871,-43.876,2.806,236.741,-2.181,6.329,-43.876
2012-09-30,81.373,78.938,18.133,97.071,-22.884,-17.738,-20.083,162.144,-99.84,-10.883,0,0,-13.846,-124.569,-26.143,-26.143,-5.496,-5.496,-4.846,-8.379,-44.864,-7.289,5.193,-4.846
2012-06-30,117.444,74.883,-95.541,-20.658,82.733,41.735,144.721,245.639,-89.788,-11.476,0,0,-13.507,-114.771,-124.744,-124.744,0.649,0.649,-4.841,-10.99,-139.926,-9.058,5.51,-4.841
2012-03-31,142.57000,73.82000,62.67800,136.49800,-146.67000,-40.95400,-149.76300,127.22300,-92.56300,53.46100,,,-8.00100,-47.10300,-70.94200,-70.94200,-1.00100,-1.00100,-4.83200,-2.57500,-79.35000,0.77000,5.48600,-4.83200
2011-12-31,108.007,75.653,-57.419,18.234,-31.138,62.905,27.473,148.181,-90.278,23.043,0,0,-10.375,-77.61,-51.878,-51.878,-14.767,-14.767,-4.828,2.984,-68.489,2.082,4.791,-4.828
2011-09-30,94.842,75.259,40.063,115.322,-26.039,-17.235,-4.116,206.726,-79.164,13.042,0,0,-16.458,-82.58,-66.973,-66.973,-37.181,-37.181,-4.875,-10.786,-119.815,4.331,4.769,-4.875
2011-06-30,116.034,73.423,-27.315,46.108,26.258,-16.613,18.197,172.599,-59.682,1.05,0,0,-3.271,-61.903,-101.663,-101.663,-1.836,-1.836,-4.887,-19.57,-127.956,-17.26,4.711,-4.887
2011-03-31,129.98700,71.52600,58.03500,129.56100,-103.91900,-20.27900,-87.57900,183.17700,-56.55800,0.99100,,,-8.14500,-63.71200,-62.90300,-62.90300,-1.91900,-1.91900,-4.87600,-27.16500,-96.86300,22.60200,3.95400,-4.87600
2010-12-31,50.816,60.931,-5.934,54.997,29.477,-39.069,-22.652,88.529,-61.524,-1958.298,0,0,252.217,-1767.605,1818.66,1818.66,-9.175,-9.175,-4.867,-105.697,1698.921,19.845,4.121,-4.867
2010-09-30,65.802,55.53,-11.883,43.647,9.772,38.44,75.685,185.091,-56.11,16.46,0,0,-261.834,-301.484,133.374,133.374,1.111,1.111,-4.862,-15.938,113.685,-2.708,4.351,-4.862
2010-06-30,76.415,54.025,-46.828,7.197,29.976,-11.391,5.002,88.265,-59.064,2.106,0,0,-4.612,-61.57,-9.611,-9.611,0.66,0.66,-4.859,-7.413,-21.223,5.472,4.262,-4.859
2010-03-31,82.76200,53.51100,29.41000,82.92100,-46.49900,-2.87800,-22.06000,139.45900,-62.57600,2.89400,,,-3.74200,-63.42400,-68.36300,-68.36300,-0.53000,-0.53000,-4.83400,-4.62300,-78.35000,-2.31500,4.06500,-4.83400
2009-12-31,69.182,51.279,-6.411,44.868,-22.149,-40.457,-59.968,56.987,-100.923,5.459,0,0,-7.957,-103.421,103.244,103.244,-46.099,-46.099,-4.885,-10.276,41.984,-4.45,3.405,-4.885
2009-09-30,59.054,51.205,-7.404,43.801,16.355,34.499,79.458,183.436,-95.577,0.818,0,0,0,-94.759,-66.488,-66.488,0.188,0.188,-3.931,-15.439,-85.67,3.007,3.089,-3.931
2009-06-30,93.977,51.085,-31.143,19.942,49.286,1.192,33.402,148.585,-105.029,-9.006,0,0,0,-114.035,-25.386,-25.386,-0.029,-0.029,-3.928,-4.007,-33.35,1.2,3.139,-3.928
2009-03-31,82.03400,51.13400,15.85600,66.99000,-44.89400,22.15600,7.76700,152.25400,-78.21900,,,,,-78.21900,-51.80000,-51.80000,-14.05800,-14.05800,-3.96200,-0.25200,-70.07200,3.96300,3.46300,-3.96200
