,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2017-09-30,4085,4880,0,4880,0,0,-319,-319,7535,-4913,854,0,-157,-157,1661,-2555,0,-1589,-1589,-1,-1,-3337,-61,-4988,224,-3337
2017-06-30,3264,4652,0,4652,0,0,-1021,-1021,6947,-3098,154,0,-55,-55,121,-2878,0,-1681,-1681,-13,-13,-3336,-29,-5059,-855,-3336
2017-03-31,4090.00000,4519.00000,,4519.00000,,,793.00000,793.00000,8173.00000,-2890.00000,687.00000,,-1738.00000,-1738.00000,180.00000,-3761.00000,60.00000,373.00000,433.00000,-501.00000,-501.00000,-3178.00000,,-3246.00000,1240.00000,-3178.00000
2016-12-31,2024,8117,-6995,1122,-388,915,467,994,7396,-3887,2093,1398,-1417,-19,141,-1672,102,-3425,-3323,-250,-250,-3173,0,-6746,-1436,-3173
2016-09-30,2889,4605,0,4605,0,0,-661,-661,5355,-3404,976,-1398,311,-1087,280,-3235,0,1875,1875,-1,-1,-3170,0,-1296,735,-3170
2016-06-30,1681,4821,0,4821,0,0,-1326,-1326,4519,-4271,1029,0,-77,-77,172,-3147,1,1399,1400,1,1,-3176,0,-1775,-488,-3176
2016-03-31,1781.00000,4765.00000,,4765.00000,,,-399.00000,-399.00000,4812.00000,-4601.00000,177.00000,,-234.00000,-234.00000,309.00000,-4349.00000,11963.00000,-7622.00000,4341.00000,-721.00000,-721.00000,-3096.00000,,524.00000,1141.00000,-3096.00000
2015-12-31,2830,4755,-976,3779,-379,-7471,5774,-2076,4380,-6136,785,0,-195,-195,222,-5324,-8,4265,4257,-749,-749,-3097,2,413,-591,-3097
2015-09-30,4384,4542,0,4542,0,0,496,496,9174,-6401,491,0,-49,-49,302,-5657,23,175,198,-501,-501,-3099,0,-3402,-47,-3099
2015-06-30,4262,4451,0,4451,0,0,-1024,-1024,8792,-7109,629,0,-81,-81,70,-6491,-3,926,923,-1003,-1003,-3114,0,-3194,-841,-3114
2015-03-31,5075.00000,4300.00000,,4300.00000,,,-509.00000,-509.00000,7998.00000,-6844.00000,484.00000,,-282.00000,-282.00000,290.00000,-6352.00000,7990.00000,-4113.00000,3877.00000,-1781.00000,-1781.00000,-2950.00000,,-854.00000,568.00000,-2950.00000
2014-12-31,6782,4458,-41,4417,-1343,-6639,3510,-4472,7415,-8884,241,0,-362,-362,158,-8847,159,7231,7390,-3298,-3298,-3000,105,1197,-346,-3000
2014-09-30,8346,4362,0,4362,0,0,-463,-463,12396,-8198,127,0,-591,-591,1017,-7645,3,309,312,-3001,-3001,-2987,3,-5673,-1121,-2987
2014-06-30,9117,4285,0,4285,0,0,-2449,-2449,10202,-8542,2556,0,-221,-221,2030,-4177,0,432,432,-2996,-2996,-3039,7,-5596,482,-3039
2014-03-31,9370.00000,4192.00000,,4192.00000,,,2452.00000,2452.00000,15103.00000,-7328.00000,1111.00000,,-457.00000,-457.00000,368.00000,-6306.00000,5500.00000,-6668.00000,-1168.00000,-3858.00000,-3858.00000,-2790.00000,,-7816.00000,957.00000,-2790.00000
2013-12-31,8643,4380,-1346,3034,-1812,-2498,2266,-2044,10208,-8426,1836,0,-791,-791,669,-6712,126,1789,1915,-3298,-3298,-2829,34,-4178,-666,-2829
2013-09-30,8069,4287,0,4287,0,0,286,286,13431,-9098,206,0,-180,-180,130,-8942,4,1917,1921,-3007,-3007,-2810,7,-3889,701,-2810
2013-06-30,6975,4405,0,4405,0,0,-5283,-5283,7683,-8651,305,0,-432,-432,285,-8493,197,5979,6176,-4024,-4024,-2874,7,-715,-1605,-2874
2013-03-31,9761.00000,4110.00000,,4110.00000,,,2321.00000,2321.00000,13592.00000,-7494.00000,360.00000,,-3032.00000,-3032.00000,112.00000,-10054.00000,5.00000,1587.00000,1592.00000,-5619.00000,-5619.00000,-2666.00000,-1.00000,-6694.00000,-3368.00000,-2666.00000
2012-12-31,10302,4110,1988,6098,-1873,3624,-4243,-2492,13224,-10057,805,409,-598,-189,439,-9002,266,-250,16,-5245,-5245,-2632,136,-7725,-3473,-2632
2012-09-30,9926,4037,-584,3453,0,0,-289,-289,13442,-8026,607,-409,241,-168,95,-7492,204,-3292,-3088,-5000,-5000,-2772,0,-10860,-4747,-2772
2012-06-30,17654,3899,-11109,-7210,0,0,-2384,-2384,10217,-8345,3730,0,-130,-130,989,-3756,254,313,567,-5008,-5008,-2698,-14,-7153,-868,-2698
2012-03-31,9799.00000,3842.00000,,3842.00000,,,5792.00000,5792.00000,19287.00000,-7843.00000,2513.00000,,-111.00000,-111.00000,90.00000,-5351.00000,124.00000,-527.00000,-403.00000,-5622.00000,-5622.00000,-2317.00000,212.00000,-8130.00000,6006.00000,-2317.00000
2011-12-31,9724,4075,-1311,2764,-2208,8880,-9838,-3166,10751,-8634,6887,-1832,1368,-464,199,-2012,215,107,322,-5114,-5114,-2289,36,-7045,1642,-2289
2011-09-30,10671,3866,-669,3197,0,0,1076,1076,14849,-7478,1408,1674,-173,1501,273,-4296,15,232,247,-5304,-5304,-2389,49,-7397,2735,-2389
2011-06-30,10898,3881,-600,3281,0,0,-1809,-1809,12889,-7812,1497,-1754,-2949,-4703,514,-10504,137,439,576,-5444,-5444,-2365,168,-7065,-4546,-2365
2011-03-31,10913.00000,3761.00000,,3761.00000,,,2887.00000,2887.00000,16856.00000,-7051.00000,1341.00000,,,,357.00000,-5353.00000,69.00000,743.00000,812.00000,-5269.00000,-5269.00000,-2283.00000,-9.00000,-6749.00000,5008.00000,-2283.00000
2010-12-31,9516,4270,-1272,2998,-1148,9943,-8672,123,13055,-7670,1654,4,-828,-824,-240,-7080,-2868,-400,-3268,-4984,-4984,-2249,71,-10430,-4419,-2249
2010-09-30,7561,3844,0,3844,0,0,1654,1654,13077,-7801,755,140,-109,31,136,-6879,-2230,-32,-2262,-3114,-3114,-2339,18,-7697,-1008,-2339
2010-06-30,7746,3366,0,3366,0,0,-1133,-1133,9235,-5644,428,-4,-302,-306,444,-5078,-7,-576,-583,-1499,-1499,-2122,27,-4177,-490,-2122
2010-03-31,6575.00000,3280.00000,,3280.00000,,,3201.00000,3201.00000,13046.00000,-5756.00000,424.00000,,,,165.00000,-5167.00000,24.00000,-121.00000,-97.00000,-2453.00000,-2453.00000,-2069.00000,-1.00000,-4620.00000,3049.00000,-2069.00000
2009-12-31,6139,3193,-1962,1231,459,1420,-2186,-307,8504,-6763,462,555,-2752,-2197,2076,-6422,-8,-108,-116,-1916,-1916,-2034,171,-3895,-1779,-2034
2009-09-30,4871,2927,0,2927,0,0,140,140,8827,-5490,172,0,0,0,-966,-6284,40,148,188,-4122,-4122,-2116,22,-6028,-3104,-2116
2009-06-30,3946,3004,0,3004,0,0,-2124,-2124,2197,-5565,770,0,0,0,-178,-4973,114,-147,-33,-5182,-5182,-2082,42,-7255,-9396,-2082
2009-03-31,4702.00000,2793.00000,,2793.00000,,,1132.00000,1132.00000,8910.00000,-4673.00000,141.00000,,,,-208.00000,-4740.00000,11.00000,-203.00000,-192.00000,-7731.00000,-7731.00000,-2071.00000,-111.00000,-10105.00000,-6465.00000,-2071.00000
