,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2018-09-30,452.598,175.285,87.45,262.7349,0,0,0,-12.081,-12.081,690.396,-114.686,472.773,-63.958,-63.958,-754.691,-460.562,-12.499,-12.499,4.57,4.57,0,0,-7.929,221.905,6.125,0
2018-06-30,460.286,172.702,95.058,267.76,0,0,0,-121.06,-121.06,573.787,-97.598,-472.773,-367.11,-367.11,296.615,-640.866,-1041.613,-1041.613,3.739,3.739,0,-2.601,-1040.475,-1107.554,9.712,0
2018-03-31,385.32100,192.97200,137.84600,330.81800,,,,67.83800,67.83800,751.55100,-70.52100,,304.31400,304.31400,-290.39000,-56.59700,-66.93100,-66.93100,7.99100,7.99100,,-0.15900,-59.09900,635.85500,9.06000,
2017-12-31,1401.305,191.939,-947.574,-755.635,126.848,37.895,-131.399,-383.118,-45.638,552.424,-107.69,-184.452,-184.95,-184.95,2.71,-474.382,-184.152,-184.152,4.403,4.403,0,-1.645,-181.394,-103.352,9.322,0
2017-09-30,315.265,209.324,179.921,389.245,0,0,0,53.217,53.217,733.987,-111.718,-769.046,-195.598,-195.598,464.858,-611.504,87.677,87.677,7.393,-992.607,0,-0.349,-905.279,-782.796,8.756,0
2017-06-30,58.762,211.671,200.146,411.817,0,0,0,50.786,50.786,556.329,-97.488,282.597,1.16,1.16,-5166.91,-4980.641,-1010.924,-1010.924,10.404,1010.404,0,0,-0.52,-4424.832,5.089,0
2017-03-31,390.07500,204.63000,154.50800,359.13800,,,,180.80200,180.80200,936.76700,-114.89900,-282.59700,-71.09400,-71.09400,13.56400,-455.02600,990.83800,990.83800,6.37400,6.37400,,-13.25600,983.95600,1465.69700,6.77400,
2016-12-31,367.804,230.053,212.418,442.471,109.364,-43.157,33.976,-56.676,-71.471,662.785,-144.382,-160.631,172.352,172.352,2.7521,-129.909,-11.093,-11.093,6.439,6.439,0,11.924,7.27,540.146,2.507,0
2016-09-30,332.975,223.998,108.002,332,0,0,0,-98.336,-98.336,599.812,-149.907,-563.698,-75.974,-75.974,-1091.232,-1880.811,2728.93,2728.93,4.743,4.743,0,-17.887,2715.786,1434.787,6.785,0
2016-06-30,438.062,239.585,59.54,299.125,0,0,0,-116.99,-116.99,663.614,-158.566,0,9.594,9.594,157.071,8.099,1989.49,1989.49,4.387,4.387,0,-25.289,1968.588,2640.301,-0.732,0
2016-03-31,411.94400,227.56600,16.22700,243.79300,,,,263.29700,263.29700,928.03600,-161.20000,,417.61000,417.61000,9.14100,265.55100,-1510.34800,-1510.34800,3.05600,3.05600,,-30.42200,-1537.71400,-344.12700,4.47700,
2015-12-31,-46.162,202.062,200.153,402.215,66.606,96.318,67.086,-586.612,-134.974,229.086,-129.514,0,-201.285,-201.285,-74.198,-404.998,-13.376,-13.376,12.583,12.583,0,-14.341,-15.134,-191.046,1.485,0
2015-09-30,202.61,252.197,58.936,311.133,0,0,0,294.458,294.458,780.881,-195.632,0,28.066,28.066,-59.292,-226.858,-8.417,-8.417,3.284,3.284,0,1.242,-3.891,550.132,2.891,0
2015-06-30,332.326,262.886,-68.639,194.247,0,0,0,12.678,12.678,557.559,-197.742,0,-8.83,-8.83,-66.064,-272.636,-657.938,-657.938,11.656,11.656,0,5.711,-640.571,-355.648,7.114,0
2015-03-31,353.25200,246.21200,-106.83800,139.37400,,,,378.21800,378.21800,891.59700,-212.11000,,1788.95300,1788.95300,-8734.43500,-7157.59200,-7.11600,-7.11600,6.34500,6.34500,,212.16700,211.39600,-6054.59900,7.70900,
2014-12-31,407.921,286.931,128.326,415.257,0.217,0.38,-212.664,-196.623,-244.975,621.451,-84.405,0,2301.3467,2301.3467,-1617.155,599.787,1091.847,1091.847,13.582,13.582,0,27.273,1132.702,2353.94,9.195,0
2014-09-30,143.035,269.89,66.65,336.5401,0,0,0,141.783,141.783,635.524,-316.846,0,387.5212,387.5212,2.301,72.976,-106.685,-106.685,7.656,7.656,0,13.726,-85.303,623.197,4.314,0
2014-06-30,207.129,271.895,35.384,307.2789,0,0,0,-56.806,-56.806,467.251,-299.765,0,-38.687,-38.687,-102.79,-441.242,-109.09,-109.09,23.682,23.682,0,18.071,-67.337,-41.328,10.781,0
2014-03-31,170.81700,249.22000,6.46500,255.68500,,,,187.68700,187.68700,653.89800,-300.84500,,284.43410,284.43410,-1178.18700,-1194.59800,-7.72400,-7.72400,6.01400,6.01400,,1.91500,0.20500,-540.49500,9.86300,
2013-12-31,283.154,266.178,-35.093,231.085,-97.228,-12.654,109.052,-58.222,104.926,640.149,-205.451,0,445.722,445.722,-518.462,-278.191,-459.918,-459.918,9.914,9.914,0,3.632,-446.372,-84.271,4.433,0
2013-09-30,310.99,253.036,-9.865,243.1709,0,0,0,-102.298,-102.298,401.049,-318.57,0,543.656,543.656,90.396,315.482,-57.573,-57.573,29.527,29.527,0,11.184,-16.862,699.631,10.651,0
2013-06-30,-15.074,304.642,237.837,542.4791,0,0,0,-19.986,-19.986,544.805,-281.619,0,-1296.876,-1296.876,-115.144,-1693.639,2288.101,2288.101,26.184,26.184,0,-2.294,2311.991,1162.98,3.888,0
2013-03-31,210.67600,230.17000,25.70300,255.87300,,,,159.13000,159.13000,686.46200,-310.93300,,-1048.99900,-1048.99900,-4.80400,-1364.73600,-8.47900,-8.47900,10.88700,10.88700,,0.34000,2.74800,-675.29800,10.75800,
2012-12-31,203.347,221.264,22.659,243.923,-66.648,85.321,144.939,-576.122,-461.776,-22.167,-263.409,0,-210.808,-210.808,-53.843,-528.06,1492.509,1492.509,33.448,33.448,-452.89,-4.279,1068.788,518.501,2.37,-452.89
2012-09-30,-163.329,235.403,263.589,498.992,0,0,0,342.254,342.254,685.978,-261.74,0,-899.064,-899.064,-40.89,-1201.694,990.35,990.35,11.552,11.552,0,4.685,1006.587,491.945,6.758,0
2012-06-30,225.596,299.119,80.527,379.646,0,0,0,-117.296,-117.296,489.514,-251.257,0,-954.063,-954.063,25.097,-1180.223,1889.509,1889.509,44.101,44.101,0,-4.839,1928.771,1237.026,7.017,0
2012-03-31,360.12600,208.69800,-83.28300,125.41500,,,,366.73600,366.73600,858.55000,-168.92800,,139.13200,139.13200,-79.44100,-109.23700,-8.45800,-8.45800,5.75100,5.75100,,1.04500,-1.66200,749.56000,23.18200,
2011-12-31,312.436,216.311,-27.566,188.745,17.144,-61.809,-47.34,275.944,51.009,582.722,-166.246,-107.061,-30.8316,-30.8316,1083.295,779.157,-920.672,-920.672,-26.924,13.071,-893.278,2.387,-1798.492,-436.408,5.618,-893.278
2011-09-30,318.978,229.146,170.496,399.642,0,0,0,3.255,3.255,732.811,-191.168,0,31.3811,31.3811,-1288.667,-1448.454,-93.964,-93.964,3.027,3.027,0,0.366,-90.571,-809.734,6.7,0
2011-06-30,334.838,237.049,206.499,443.548,0,0,0,-364.045,-364.045,414.05,-169.792,-126.523,-380.391,-380.391,-1032.46,-1709.166,1990.898,1990.898,20.301,20.301,0,-23.559,1987.64,691.728,3.718,0
2011-03-31,549.32600,229.69700,225.35700,455.05400,,,,-163.91100,-163.91100,844.29500,-232.95200,,43.50310,43.50310,-127.41600,-316.86500,-8.49800,-8.49800,3.59600,3.59600,,0.32200,-4.58000,522.85000,15.17700,
2010-12-31,251.855,236.998,105.462,342.4601,-17.46,-229.154,-12.326,-82.676,8.139,605.86,-280.939,0,-396.7573,-396.7573,1.941,-675.755,-4.931,-4.931,1.141,1.141,0,0,-3.79,-73.685,3.061,0
2010-09-30,244.978,242.859,45.488,288.3469,0,0,0,-118.784,-118.784,418.081,-295.001,0,384.3127,384.3127,-1.261,88.051,-9.199,-9.199,-91.039,-91.039,0,0.016,-100.222,405.91,3.116,0
2010-06-30,256.984,264.446,74.541,338.987,0,0,0,-211.223,-211.223,389.847,-216.909,0,41.5811,41.5811,-3.415,-178.743,-5.701,-5.701,3.127,3.127,0,0,-2.574,208.53,2.894,0
2010-03-31,230.91500,239.66200,-29.12900,210.53300,,,,278.89000,278.89000,726.01400,-320.37000,,-287.69900,-287.69900,-103.00500,-711.07400,-7.07900,-7.07900,-13.78800,-13.78800,,,-20.86700,-5.92700,6.31600,
2009-12-31,178.806,243.045,-50.522,192.523,39.759,51.411,-60.508,-663.216,-77.052,302.814,-312.874,0,477.433,477.433,-0.069,164.49,368.742,368.742,2.85,2.85,-894.15,5.528,-517.03,-49.726,3.67,-894.15
2009-09-30,80.493,228.395,1.425,229.8201,0,0,0,333.868,333.868,645.886,-257.583,0,-1313.9619,-1313.9619,4.521,-1567.024,991.771,991.771,0.694,0.694,0,-28.618,963.847,42.709,1.282,0
2009-06-30,63.42,245.3,51.5,296.7999,0,0,0,-16.228,-16.228,344.627,-214.559,0,-212.0151,-212.0151,-63.189,-489.763,-6.721,-6.721,0.782,0.782,0,0,-5.939,-151.075,4.066,0
2009-03-31,312.68400,223.29300,29.43000,252.72300,,,,334.03200,334.03200,901.21600,-252.17400,,-461.27200,-461.27200,0.18700,-713.25900,-5.09300,-5.09300,-17.50200,-17.50200,,,-22.59500,165.36200,3.20900,
