,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2017-06-30,50.172,86.342,11.065,97.407,-3.783,0.098,-3.165,144.414,-97.077,-4.796,22.457,22.457,-2.254,-81.67,204.363,-95,109.363,-0.723,-0.723,-90.965,-20.56,-2.885,59.859,1.695,-89.84
2017-03-31,-20.71500,59.02800,15.06900,74.09700,5.53500,-1.89100,-20.72600,32.65600,-63.25700,-652.04100,29.23800,29.23800,-0.45500,-686.51500,635.21200,380.00000,1015.21200,-18.19900,-268.19900,-56.60900,-9.58200,680.82200,26.96300,12.13100,-53.36800
2016-12-31,61.658,43.543,-17.698,25.845,-7.621,-0.85,-15.659,71.844,-88.678,-1.933,36.422,36.422,0.141,-54.048,0.606,15,15.606,-0.625,-0.625,-57.323,-2.244,-44.586,-26.79,3.098,-52.058
2016-09-30,11.113,41.997,-2.315,39.682,0.749,0.438,23.241,74.036,-104.475,-6.984,72.847,72.847,0.052,-38.56,-301.177,-45,-346.177,399.781,399.781,-57.329,-15.788,-19.513,15.963,2.365,-52.063
2016-06-30,40.644,41.952,3.263,45.215,-4.451,-4.769,-11.381,74.478,-319.496,-4.36,15.087,15.087,0.078,-308.691,4.207,145,149.207,137.495,137.495,-53.893,-0.794,232.015,-2.198,2.568,-48.628
2016-03-31,53.57700,40.71800,-7.65400,33.06400,2.52300,-5.05900,-9.82200,76.81900,-54.77200,-41.94600,89.32600,89.32600,0.05900,-7.33300,-28.85300,,-28.85300,5.21300,5.21300,-53.85300,-1.71200,-79.20500,-9.71900,2.62100,-48.58700
2015-12-31,23.539,39.505,17.215,56.72,0.392,2.169,-11.479,68.78,-54.136,-6.266,28.576,28.576,0.834,-30.992,-100.6439,-50,-150.6439,187.591,187.591,-50.725,-11.034,-24.812,12.976,2.702,-45.46
2015-09-30,59.733,39.063,-26.124,12.939,-1.235,-4.321,16.678,89.35,-82.582,-5.094,54.987,54.987,1.041,-31.648,-102.377,95,-7.377,0.042,0.042,-50.721,-2.88,-60.936,-3.234,2.759,-45.455
2015-06-30,38.279,38.422,0.308,38.73,0.257,-5.408,-4.054,72.955,-57.985,-16.855,53.165,53.165,0.056,-21.619,-20.642,15,-5.642,-0.037,-0.037,-50.692,-4.34,-60.711,-9.375,2.72,-45.427
2015-03-31,30.99200,37.91800,8.76700,46.68500,-9.70400,-0.41400,-23.21900,54.45800,-55.63300,-3.72600,4.24100,4.24100,0.03100,-55.08700,-55.90700,30.00000,-25.90700,0.99200,0.99200,-50.61500,-1.12800,-76.65800,-77.28700,2.90000,-45.34900
2014-12-31,79.188,39.076,-43.851,-4.775,-5.244,-0.42,-14.481,59.932,-91.787,-3.894,71.548,71.548,0.143,-23.99,-26.357,0,-26.357,53.153,53.153,-48.893,-0.777,-22.874,13.068,2.777,-43.628
2014-09-30,53.442,38.23,-19.271,18.959,5.902,2.929,25.813,98.214,-85.362,-1.671,63.335,63.335,0.034,-23.664,2.843,-10,-7.157,49.3,49.3,-48.458,-4.263,-10.578,63.972,2.351,-43.192
2014-06-30,31.161,37.972,6.422,44.394,-5.093,-6.024,-8.223,67.332,-47.617,-16.398,18.393,18.393,0.039,-45.583,91.051,-60,31.051,0,0,-48.32,-2.903,-20.172,1.577,2.262,-43.055
2014-03-31,25.05600,39.93300,2.64900,42.58200,-8.33400,-2.18200,-15.37400,52.26400,-125.59100,-1.79700,10.30800,10.30800,0.02700,-117.05300,-1.71900,70.00000,68.28100,,-0.30000,-48.29100,-0.42600,19.26400,-45.52500,2.27200,-43.02500
2013-12-31,52.017,36.42,-23.405,13.015,-4.451,-1.617,-14.877,50.169,-131.977,-1.349,132.509,132.509,21.438,20.621,15.401,-25,-9.599,0,0,-47.587,4.378,-52.808,17.982,2.964,-42.322
2013-09-30,40.665,37.582,-9.898,27.684,-3.11,5.838,22.893,91.228,-78.21,-2.116,71.614,71.614,0.015,-8.697,-2.549,-25,-27.549,1.475,1.475,-52.838,-0.06,-78.972,3.559,3.068,-42.306
2013-06-30,37.469,34.452,-5.491,28.961,1.162,-3.052,1.622,68.052,-78.633,-8.64,93.582,93.582,2.038,8.347,-18.183,-20,-38.183,46.67,46.67,-47.352,-0.793,-39.658,36.741,3.135,-42.087
2013-03-31,21.13400,35.85100,11.00200,46.85300,-4.10200,-7.06300,-26.70500,41.28200,-32.25200,-7.03900,5.14600,5.14600,4.05700,-30.08800,6.19100,-25.00000,-18.80900,51.64200,51.64200,-41.38000,-2.59400,-11.14100,0.05300,3.02400,-41.38000
2012-12-31,-31.694,33.719,64.627,98.346,-0.286,1.535,-5.491,61.161,-145.049,-4.295,37.463,37.463,0.142,-111.739,-2.107,105,102.893,-0.136,0.259,-51.227,-0.348,51.577,0.999,2.474,-41.346
2012-09-30,19.82,33.75,9.736,43.486,6.833,-9.483,21.477,84.783,-95.224,-2.515,285.791,285.791,0.14,188.192,-2.973,-240,-242.973,21.677,18.796,-47.574,-2.904,-274.655,-1.68,2.429,-41.144
2012-06-30,11.348,35.892,21.936,57.828,3.114,-6.358,-1.111,68.065,-76.896,-2.728,25.407,25.407,0.066,-54.151,-151.788,180,28.212,0,-0.064,-48.079,1.932,-17.999,-4.085,2.456,-41.136
2012-03-31,26.73500,36.19400,-0.15700,36.03700,-9.56300,-1.47700,-19.56600,43.20600,-3.44500,-8.39200,-6.18700,-6.18700,-0.65500,-18.67900,-44.10000,85.00000,40.90000,0.33500,-6.34000,-41.52500,-1.84900,-8.81400,15.71300,2.44700,-41.12100
2011-12-31,14.18,36.36,11.924,48.284,-10.017,-4.79,-27.806,34.658,-24.874,-9.021,111.87,111.87,0.013,77.988,-22.991,-45,-67.991,0.001,0.001,-46.913,-0.272,-115.175,-2.529,2.461,-41.063
2011-09-30,14.541,36.726,10.939,47.665,-2.582,9.332,19.077,81.283,-90.343,-0.082,10.358,10.358,0.036,-80.031,0.343,53.21,53.553,0.018,0.018,-46.918,-5.768,0.885,2.137,2.353,-41.068
2011-06-30,18.937,34.75,10.238,44.988,-1.457,-10.787,-11.54,52.385,-24.346,-3.795,-40.981,-40.981,0.047,-69.075,-17.613,31.79,14.177,1.481,1.481,-46.886,-0.473,-31.701,-48.391,2.509,-41.036
2011-03-31,8.13000,38.24700,18.50200,56.74900,6.30600,-3.95400,-15.57200,49.30700,-13.13500,-6.47900,12.95800,12.95800,0.05100,-6.60500,-162.10800,-10.00000,-172.10800,215.98400,215.98400,-43.16200,-0.29200,0.42200,43.12400,2.50100,-37.31200
2010-12-31,-32.016,33.747,14.588,48.335,0.568,-8.51,-8.312,8.007,-39.61,-0.836,23.84,23.84,1.018,-15.588,139.727,-100,39.727,0,0,-43.154,-7.148,-10.575,-18.156,1.803,-37.304
2010-09-30,13.874,33.479,9.225,42.704,-7.166,-11.544,-10.991,45.587,-27.865,-2.875,-19.44,-19.44,0.056,-50.124,-130.34,110,-20.34,0.63,0.63,-43.113,-0.235,-63.058,-67.595,1.613,-37.263
2010-06-30,13.704,32.399,-13.534,18.865,-3.776,-1.134,8.207,40.776,-15.51,-2.226,-120.332,-120.332,0.062,-138.006,128.604,0,128.604,0,0,-43.15,-1.329,84.125,-13.105,1.604,-37.3
2010-03-31,17.43900,32.84100,9.82900,42.67000,6.82900,-1.10200,-16.02000,44.08900,-7.47300,-4.37500,31.06500,31.06500,0.04400,19.26100,0.08600,,0.08600,0.80100,0.80100,-43.10000,-1.07600,-43.28900,20.06100,1.59500,-37.25000
2009-12-31,35.148,32.207,-4.512,27.695,11.817,-32.194,-29.892,32.951,157.607,-12.22,-3.885,-3.885,0.247,141.749,-5.839,-227.667,-233.506,32.296,32.296,-42.439,-0.246,-243.895,-69.195,1.223,-36.589
2009-09-30,-78.611,32.356,118.788,151.144,-9.417,-2.919,-13.073,59.46,-27.609,0,21.038,21.038,1.182,-5.389,39.148,0,39.148,0.001,0.001,-42.416,-3.798,-7.065,47.006,1.446,-36.566
2009-06-30,-11.286,30.033,23.053,53.086,3.301,15.262,21.8,63.6,-46.587,0,-0.779,-0.779,8.94,-38.426,-51.289,-140,-191.289,310.869,310.869,-42.408,-0.223,76.949,102.123,0.962,-36.558
2009-03-31,25.71300,29.20500,4.80300,34.00800,7.04500,-3.63600,-19.92800,39.79300,-46.09300,,-3.74600,-3.74600,3.45000,-46.38900,-4.35100,70.00000,65.64900,0.00200,0.00200,-55.80700,-0.11200,9.73200,3.13600,1.03700,-49.95700
