,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2011-04-30,135.21900,47.76400,28.70500,76.46900,5.82000,-35.18300,53.74000,-0.73800,-39.48800,172.20000,-31.19500,,-220.92800,-220.92800,-0.38300,-252.50600,-0.35200,,-0.35200,85.28600,85.28600,,13.64400,98.57800,18.27200,31.73900,
2011-01-31,171.651,46.393,3.768,50.161,50.908,32.618,-47.918,4.197,212.861,434.673,-21.343,0,-287.401,-287.401,-0.507,-309.251,0.304,0,0.304,73.145,73.145,0,15.316,88.765,214.187,25.368,0
2010-10-31,84.862,46.876,39.741,86.617,-3.374,56.032,45.618,14.911,40.698,212.177,-21.823,0,-142.03,-142.03,-0.131,-163.984,-0.301,0,-0.301,26.279,26.279,0,0,25.978,74.171,25.177,0
2010-07-31,-140.961,46.573,-1.095,45.478,133.818,-45.962,-84.308,-9.995,129.827,34.344,-37.644,0,-79.932,-79.932,-1.525,-119.101,-0.292,0,-0.292,14.79,14.79,0,0,14.498,-70.259,24.631,0
2010-04-30,137.59400,47.14700,41.54900,88.69600,-155.01100,-56.81600,16.82200,3.74600,-231.68700,-5.39700,-17.08000,,-40.26200,-40.26200,,-57.34200,-0.28200,,-0.28200,63.06200,63.06200,,,62.78000,0.04100,25.17700,
2010-01-31,131.076,47.914,26.428,74.342,23.008,-53.073,22.778,-0.031,-136.173,69.245,-22.575,0,-261.199,-261.199,0,-283.774,-0.611,0,-0.611,45.837,45.837,0,2.034,47.26,-167.269,24.62,0
2009-10-31,107.577,48.77,27.257,76.027,-45.991,1.165,40.102,22.617,-42.287,141.317,-16.593,0,-77.904,-77.904,-1,-95.497,-0.215,0,-0.215,45.1,45.1,0,0,44.885,90.705,22.982,0
2009-07-31,-105.302,49.322,20.769,70.091,-47.929,45.331,49.236,-17.594,170.328,135.117,-17.656,0,-114.283,-114.283,0.782,-131.157,0.119,0,0.119,7.432,7.432,0,0,7.551,11.511,25.376,0
2009-04-30,-201.33800,50.65800,148.26100,198.91900,14.17100,211.23300,7.25000,0.44500,144.54700,142.12800,-20.77700,,11.87200,11.87200,,-8.90500,-0.22200,,-0.22200,-38.41500,-38.41500,,,-38.63700,94.58600,169.84800,
2009-01-31,-30.041,185.023,127.711,312.734,348.873,-177.295,-283.207,19.42,-33.333,249.36,-407.67,-27.948,226.693,226.693,-0.442,-209.367,0,0,0,-350.089,-350.089,0,0.815,-349.274,-309.281,162.706,0
