,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2020-06-30,147.7,241.3,10.1,251.4,712.5,153.5,0,535.8,934.9,-173.9,0,-28.8,-28.8,-11.6,-214.3,220,-1059,-839,4.9,4.9,-110.6,-944.7,-195.1,-110.6
2020-03-31,359.40000,272.00000,-8.00000,264.00000,12.60000,-169.00000,,-197.50000,425.90000,-343.40000,,40.50000,40.50000,-76.90000,-379.80000,242.40000,-133.50000,108.90000,-35.20000,-35.20000,-907.40000,-833.70000,-852.00000,-907.40000
2019-12-31,531.3,284.9,28.8,313.7,383.7,159.8,-86.5,98.7001,943.7,-402.5,0,-44.5,-44.5,-203.9,-650.9,335.3,-79.4,255.9,27,27,-110.8,172.1,505.6,-110.8
2019-09-30,607.9,272.1,24.8,296.9,-218.6,13.5,0,-177.7001,727.1,-352.7,0,-2.8,-2.8,-75.5999,-431.1,42,305.9,347.9,-43.8,-43.8,-110.8,193.3,450.1,-110.8
2019-06-30,619.7,438.9,-141.6,297.3,87.6,-55.9,0,-90.5,826.5,-691.2,287.4,-31.8,-31.8,-289.1001,-724.7,-49.7,444.5,394.8,-15.6,-15.6,-110.9,268.3,376.8,-110.9
2019-03-31,629.00000,81.40000,165.10000,246.50000,-845.20000,-92.80000,,-512.50000,363.00000,66.00000,-287.40000,-56.00000,-56.00000,-123.30000,-400.70000,386.70000,-113.90000,272.80000,-17.00000,-17.00000,-806.10000,-550.30000,-593.30000,-806.10000
2018-12-31,578.1,259.7,40.3,300,152.1,94.5,378.1,186.9998,1065.1,-371.1,0,-27.6,-27.6,-255.5,-654.2,-98.4001,526,427.6,-195.1,-195.1,-97.7,134.8,521.9,-97.7
2018-09-30,545.3,252.6,12.8,265.4,-197.4,-38.7,0,-82,728.7,-332.5,0,26.3,26.3,-225.1001,-531.3,499.9,-130.2,369.7,-56.7,-56.7,-98.1,214.9,407.2,-98.1
2018-06-30,559.6,268.3,44.5,312.8,-179.4,-253,0,-199.1999,673.2,-371.7,0,-3.2,-3.2,-314.2,-689.1,292.6,-54.2,238.4,-79.3,-79.3,-98.4,60.7,2.7,-98.4
2018-03-31,512.10000,273.50000,-117.40000,156.10000,-586.70000,-135.50000,,-142.90000,525.30000,-223.30000,,320.10000,320.10000,-152.90000,-56.10000,-109.50000,284.30000,174.80000,-4.00000,-4.00000,-510.10000,-339.30000,139.40000,-510.10000
2017-12-31,589.2,293.2,-175.8,117.4,312.2,57.9,295.6,186.7,893.3,-405.5,0,-156,-156,-263.6,-825.1,-37.9,90.2,52.3,11.1,11.1,-87.9,-24.5,51.4,-87.9
2017-09-30,402.7,286.1,3.7,289.8,-176.7,-81,-7.7,-55.2,637.3,-299.9,0,41.5,41.5,-110.8,-369.2,292.0001,-75,217.0001,9.4,9.4,-87.9,138.5,433.5,-87.9
2017-06-30,373,269,8.5,277.5,-240,-92,46.4,-75.8,574.7,-363.2,0,-16,-16,-54.1,-433.3,-293.4001,318.1,24.6999,1,1,-87.8,-62.1,115.4,-87.8
2017-03-31,310.30000,259.20000,-15.00000,244.20000,-361.20000,-34.80000,59.40000,56.00000,610.50000,-307.30000,,-60.30000,-60.30000,30.60000,-337.00000,-187.60000,18.80000,-168.80000,17.80000,17.80000,-294.70000,-445.70000,-151.30000,-294.70000
2016-12-31,288.8,247.5,-57.7,189.8,323.4,71.5,391.1,331.7,810.3,-403.6,0,-97.8,-97.8,-141.4999,-642.9,127.9001,-39.2,88.7001,3.9,3.9,-84.1,8.5,127.8,-84.1
2016-09-30,346.2,250.2,-825.6,-575.4,6.1,4.9,19.9,70.3,-158.9,-431.2,0,342.2,342.2,-46.3,-135.3,-15.5,105.6,90.1,3.9,3.9,-84.2,9.8,-277,-84.2
2016-06-30,481.3,252.9,-151.4,101.5,152,-1.9,36.6,270.8,853.6,-392,0,14.5,14.5,-116.4,-493.9,231.7,-271.3,-39.6,4.8,4.8,-84.1,-118.9,217.6,-84.1
2016-03-31,-594.60000,242.50000,928.60000,1171.10000,-141.70000,-10.40000,49.20000,219.30000,795.80000,-294.80000,,14.00000,14.00000,-11.40000,-292.20000,25.60000,-117.90000,-92.30000,-53.70000,-53.70000,-576.90000,-722.90000,-169.10000,-576.90000
2015-12-31,347.2,227.8,6.2,234,340.1,89.4,349.2,123.6,704.8,-341.1001,0,-78.2,-78.2,-153.8998,-573.2,-254.6,243.3,-11.3,-125.3,-125.3,-84.8,-221.4,-109.7,-84.8
2015-09-30,431.2,230.9,29.1,260,61.2,-26.6,-12,-27.1,664.1,-356.5999,0,-21.7,-21.7,-108.7001,-487,270.9,-98.9,172,-67.2,-67.2,-85.2,19.6,163,-85.2
2015-06-30,447.2,227.3,-49.9,177.4,-68.2,-8.5,-2.1,86.3,710.9,-329.1,0,-148.6,-148.6,-104.8,-582.5,-137.3,454.2,316.9,6.4,6.4,-78.1,245.2,398.4,-78.1
2015-03-31,378.40000,221.10000,-44.50000,176.60000,-501.20000,10.00000,35.30000,-78.80000,476.20000,-274.30000,,-45.80000,-45.80000,-12.10000,-332.20000,534.10000,-347.90000,186.20000,6.30000,6.30000,-432.40000,-239.90000,-172.90000,-432.40000
2014-12-31,394.3,-45.1,230.2,185.1,82,30.1,249.2,-57.4001,522,909.4,-1239.1,3.3,3.3,-123.1998,-449.6,384,-246.2,137.8001,-4.5,-4.5,-78,55.3,89.2,-78
2014-09-30,371.4,230.1,-34.7,195.4,-244.4,-67.6,-31.2,194.0001,760.8,-311.5,0,-58.1,-58.1,-59.5001,-429.1,-261.3,351.6,90.3,-22.4,-22.4,-78,-10.1,268.1,-78
2014-06-30,319.2,227.7,-14.2,213.5,77.3,-8.8,-27.8,22.4,555.1,-312.9,0,-82.6,-82.6,-82.1,-477.6,183.8,-105,78.8,1.7,1.7,-78.1,2.4,90.4,-78.1
2014-03-31,273.90000,219.80000,-19.40000,200.40000,-219.00000,-143.20000,21.50000,-188.60000,285.70000,-186.60000,,12.80000,12.80000,-1.80000,-175.60000,-538.70000,348.70000,-190.00000,11.60000,11.60000,-389.70000,-568.10000,-460.20000,-389.70000
2013-12-31,334.2,222,50.9,272.9,195.3,77.7,288.4,68.3,675.4,-389.6,0,-71.2,-71.2,-226.1,-686.9,246.6,-127.2,119.4,5.3,5.3,-70.8,53.9,39.7,-70.8
2013-09-30,309.4,206.4,44.8,251.2,-214.4,-46.6,-24.7,-12.9,547.7,-433.5,0,13.1,13.1,-105.7,-526.1,539,-254.4,284.6,8.2,8.2,-70.9,221.9,268.5,-70.9
2013-06-30,291.6,197.6,7.5,205.1,49.9,-22.9,-9.2,271.9,768.6,-406.3,0,-24.1,-24.1,-166.1,-596.5,295,-198.8,96.2,9.9,9.9,-70.7,35.4,180.5,-70.7
2013-03-31,236.10000,184.70000,17.40000,202.10000,-228.30000,-47.80000,14.90000,-54.20000,384.00000,-296.80000,,-19.00000,-19.00000,-25.70000,-341.50000,484.60000,-458.90000,25.70000,7.60000,7.60000,-70.70000,-37.40000,-11.00000,-70.70000
2012-12-31,253.5,178.5,35.3,213.8,273.9,139.5,39.2,135.1,602.4,-1395.5,962.7,-227.9,-227.9,-265.1001,-925.8,-15.5,192.1,176.6,6.5,6.5,-353.6,-170.5,-478.1,-353.6
2012-09-30,233.6,176.2,41.2,217.4,192.7,-24,14.5,21.6,472.6,-50.1,-334.7,-21.8,-21.8,-175.2,-581.8,256.6,-49.7,206.9,-20.9,-20.9,-70.2,115.8,30.6,-70.2
2012-06-30,297.2,175.6,24.7,200.3,72.4,-80.8,-49.3,-179.8,317.7,-48.1,-398.7,-4.6,-4.6,-263.9,-715.3,918.5,-482.3,436.2,-123.1,-123.1,-71.3,241.8,-203.2,-71.3
2012-03-31,327.30000,170.60000,-86.30000,84.30000,-470.30000,-96.20000,-16.40000,-285.30000,126.30000,14.80000,-229.30000,-26.30000,-26.30000,-124.30000,-365.10000,373.40000,-25.90000,347.50000,-10.70000,-10.70000,-314.40000,22.40000,-183.60000,-314.40000
2011-12-31,327.7,168.1,164.6,332.7,-111.3,10.6,248,-219.1,441.3,-1341.2,1013.6,1.3,1.3,-307.4,-633.7,-73.8,652.8,579,-80.9,-80.9,-64.3,433.8,227.1,-64.3
2011-09-30,281.6,174.3,87.8,262.1,-294.2,-20.3,-38.3,-184.4,359.3,-24.6,-295.6,92.8,92.8,-156,-383.4,483.1,-17.9,465.1999,-250.2,-250.2,-65.4,149.6,7,-65.4
2011-06-30,239.7,169,-59.8,109.2,-221.1,-143.4,-12.7,-16.2,332.7,33.9,-422.7,-40.1,-40.1,-122.3,-551.2,-447.1,861.3,414.2001,2.8,2.8,-43.9,373.1,182.9,-43.9
2011-03-31,193.30000,162.40000,16.10000,178.50000,-332.90000,-34.00000,32.40000,87.50000,459.30000,23.60000,-295.30000,-525.80000,-525.80000,-53.20000,-850.70000,-114.60000,146.40000,31.80000,1.60000,1.60000,-43.80000,-10.40000,-351.10000,-43.80000
2010-12-31,169.8,-278.5,463.1,184.6,-61.3,-18.6,39.9,34.2,388.6,71.7,-237,-96.2,-96.2,-48.7999,-310.3,-284.1,326.2,42.1,12.2,12.2,-153.4,-99.1,-16.4,-153.4
2010-09-30,119.9,151.6,28.5,180.1,1.9,2.5,12.9,63.3,363.3,332.9,-478.4,-60.1,-60.1,61.8,-143.8,-0.2,-156.2,-156.4,2.2,2.2,-32.8,-187,159.1,-32.8
2010-06-30,99.6,151.4,16.5,167.9,16.5,112.7,16.3,246.6,514.1,-226.4,163,-50.5,-50.5,60.4,-53.5,91.7,-386.5,-294.8,4,4,-32.7,-323.5,43.4,-32.7
2010-03-31,68.30000,165.40000,-19.80000,145.60000,-0.50000,,72.00000,71.50000,285.40000,53.70000,-163.00000,-26.90000,-26.90000,176.70000,40.50000,10.00000,-331.60000,-321.60000,3.60000,3.60000,-32.80000,-350.80000,-57.30000,-32.80000
2009-12-31,46.1,164.5,293.3,457.8,310,53.4,-86.2,5.4,509.3,239.8,-307.1,21.4,21.4,-38.1,-84,-18.6,-267.4,-286,6.3,6.3,-32.7,-312.4,112.8,-32.7
2009-09-30,13,173,196.1,369.1,81,0,-9.1,71.9,454,-27.6,-237.4,-74.3,-74.3,244.1,-95.2,-570.5999,107.7,-462.9001,5.6,5.6,-32.7,-490,-70.5,-32.7
2009-06-30,26.5,159.4,-286.9,-127.5,208.8,0,211.4,420.2,319.2,108.8,-202.4,12.3,12.3,219,137.7,-810.9,274.2,-536.6999,-1.3,-1.3,-65.4,-603.4,-55.2,-65.4
2009-03-31,26.30000,154.80000,-156.50000,-1.70000,205.20000,,-139.00000,66.20000,90.80000,74.90000,-96.40000,-2.20000,-2.20000,375.80000,352.10000,588.20000,-904.30000,-316.10000,7.00000,7.00000,-101.30000,-410.40000,-30.30000,-101.30000
