,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2020-03-31,-59.00000,27.00000,336.00000,363.00000,8.00000,,-4.00000,699.00000,-15.00000,,,-353.00000,-353.00000,-3166.00000,-3534.00000,,2192.00000,2192.00000,-196.00000,-196.00000,-95.00000,-29.00000,1872.00000,-963.00000,8.00000,-95.00000
2019-12-31,273,30,8,38,16,0,28,221,-24,0,0,22,22,1098,1096,0,20,20,-146,-146,-99,609,384,1701,2,-99
2019-09-30,292,28,39,67,13,0,60,444,-33,0,0,-5,-5,269,231,700,-1682,-982,-369,-369,-100,1312,-139,536,5,-100
2019-06-30,298,29,45,74,8,0,-51,385,-13,0,0,-40,-40,-1529,-1582,-350,798,448,-424,-424,-104,1377,1297,100,8,-104
2019-03-31,339.00000,29.00000,8.00000,37.00000,-20.00000,,-47.00000,40.00000,-16.00000,,,-74.00000,-74.00000,-149.00000,-239.00000,350.00000,891.00000,1241.00000,-437.00000,-437.00000,-99.00000,-1586.00000,-881.00000,-1080.00000,24.00000,-99.00000
2018-12-31,310,30,6,36,-9,0,21,649,-25,0,0,1,1,-1159,-1183,0,-40,-40,-499,-499,-102,-103,-744,-1278,7,-102
2018-09-30,318,31,45,76,2,0,72,353,-24,0,0,-5,-5,772,743,850,26,876,-496,-496,-57,-1240,-917,179,7,-57
2018-06-30,326,30,-18,12,-12,0,-41,256,-21,0,0,1,1,-549,-569,0,10,10,-163,-163,-51,-659,-863,-1176,10,-51
2018-03-31,281.00000,32.00000,37.00000,69.00000,-26.00000,,-48.00000,358.00000,-20.00000,,,-33.00000,-33.00000,-94.00000,-147.00000,1000.00000,38.00000,1038.00000,-128.00000,-128.00000,-53.00000,-77.00000,780.00000,991.00000,24.00000,-53.00000
2017-12-31,112,31,149,180,-12,0,1,235,-26,0,0,59,59,33,66,0,-499,-499,-136,-136,-52,27,-660,-359,10,-52
2017-09-30,226,33,-7,26,-20,0,25,200,-16,0,0,30,30,193,207,-500,-32,-532,-131,-131,-47,876,166,573,5,-47
2017-06-30,203,30,-3,27,-4,0,-26,246,-15,0,0,-37,-37,-1117,-1169,-16,500,484,-126,-126,-41,-2082,-1765,-2688,6,-41
2017-03-31,202.00000,33.00000,29.00000,62.00000,3.00000,,8.00000,404.00000,-12.00000,,,29.00000,29.00000,759.00000,776.00000,,16.00000,16.00000,-49.00000,-49.00000,-40.00000,-6.00000,-79.00000,1101.00000,18.00000,-40.00000
2016-12-31,164,31,56,87,-12,0,-46,84,-24,0,0,-95,-95,172,53,-650,13,-637,27,27,-40,-309,-959,-822,4,-40
2016-09-30,149,35,1,36,-1,0,30,158,-17,0,0,-18,-18,1108,1073,0,0,0,-84,-84,-38,2821,2699,3930,5,-38
2016-06-30,104,31,41,72,-3,0,27,-4,-27,0,0,-59,-59,-1036,-1122,2800,-502,2298,-55,-55,-37,28,2234,1108,5,-37
2016-03-31,60.00000,32.00000,131.00000,163.00000,-4.00000,,6.00000,248.00000,-27.00000,,,113.00000,113.00000,-344.00000,-258.00000,,491.00000,491.00000,-51.00000,-51.00000,-37.00000,-3538.00000,-3135.00000,-3145.00000,20.00000,-37.00000
2015-12-31,116,30,66,96,-3,0,32,202,-41,0,0,-1987,-1987,-204,-2232,0,-86,-86,-64,-64,-38,1165,977,-1053,9,-38
2015-09-30,136,33,12,45,-5,0,8,269,-24,0,0,-333,-333,758,401,219,53,272,-57,-57,-37,387,565,1235,5,-37
2015-06-30,135,34,60,94,2,0,-50,56,-29,0,0,-198,-198,-696,-923,191,-24,167,-47,-47,-36,786,870,3,8,-36
2015-03-31,134.00000,34.00000,17.00000,51.00000,-6.00000,,-37.00000,338.00000,-25.00000,,,9.00000,9.00000,-485.00000,-501.00000,,-36.00000,-36.00000,-60.00000,-60.00000,-36.00000,186.00000,54.00000,-109.00000,16.00000,-36.00000
2014-12-31,149,35,132,167,-2,12,40,74,-32,0,0,-506,-506,-878,-1416,0,-86,-86,-56,-56,-36,-196,-374,-1716,7,-36
2014-09-30,154,35,9,44,-1,-4,11,219,-7,0,0,30,30,167,190,97,26,123,-50,-50,-36,3447,3484,3893,9,-36
2014-06-30,151,35,9,44,-1,0,0,132,-15,0,0,14,14,-1388,-1389,-907,16,-891,-51,-51,-34,507,-469,-1726,8,-34
2014-03-31,139.00000,31.00000,8.00000,39.00000,,5.00000,-56.00000,214.00000,-16.00000,,,-88.00000,-88.00000,-1024.00000,-1128.00000,,-93.00000,-93.00000,-54.00000,-54.00000,-31.00000,261.00000,83.00000,-831.00000,14.00000,-31.00000
2013-12-31,117,32,11,43,-2,-9,40,426,-32,0,0,105,105,-1303,-1230,0,27,27,-62,-62,-31,233,167,-637,8,-31
2013-09-30,147,33,-14,19,14,11,47,154,-28,0,0,113,113,1317,1402,-25,95,70,-62,-62,-31,1630,1607,3163,9,-31
2013-06-30,143,40,41,81,5,-6,36,-3,-23,0,0,464,464,-397,44,-1055,73,-982,-65,-65,-32,-634,-1713,-1672,8,-32
2013-03-31,134.00000,40.00000,63.00000,103.00000,-10.00000,10.00000,-72.00000,259.00000,-19.00000,,,-17.00000,-17.00000,994.00000,958.00000,,-52.00000,-52.00000,-69.00000,-69.00000,-29.00000,-4.00000,-154.00000,1063.00000,10.00000,-29.00000
2012-12-31,130,46,120,166,2,-13,45,-53,-75,0,0,184,184,-1762,-1653,0,47,47,-90,-90,-28,2373,2302,596,8,-28
2012-09-30,117,45,39,84,2,37,65,299,0,0,-1,-581,-582,-236,-818,0,-20,-20,-90,-90,-29,456,317,-202,8,-29
2012-06-30,144,47,67,114,2,10,50,289,0,0,1,139,140,-1042,-902,-189,1,-188,-89,-89,-20,1091,794,181,8,-20
2012-03-31,130.00000,43.00000,45.00000,88.00000,-1.00000,-33.00000,-119.00000,157.00000,,,,68.00000,68.00000,-371.00000,-303.00000,-4.00000,12.00000,8.00000,-36.00000,-36.00000,-20.00000,597.00000,549.00000,403.00000,13.00000,-20.00000
2011-12-31,96,44,97,141,-10,-11,37,40,-121,0,0,-436,-436,-1330,-1887,-53,-94,-147,-37,-37,-20,409,205,-1642,8,-20
2011-09-30,98,46,33,79,-3,0,38,294,0,721,0,-488,-488,-36,197,-524,75,-449,-54,-54,-18,1762,1241,1732,8,-18
2011-06-30,96,35,56,91,7,27,53,312,0,0,33,-100,-67,-178,-245,-940,6,-934,0,0,-17,-95,-1046,-979,8,-17
2011-03-31,103.00000,36.00000,72.00000,108.00000,-2.00000,-13.00000,-74.00000,150.00000,,,,144.00000,144.00000,942.00000,1086.00000,,-69.00000,-69.00000,-21.00000,-21.00000,-18.00000,1234.00000,1126.00000,2362.00000,13.00000,-18.00000
2010-12-31,96,42,-99,-57,-6,-24,11,291,65,0,0,-857,-857,-179,-971,-1024,-51,-1075,-4,-4,-9,-143,-1231,-1911,8,-9
2010-09-30,59,38,124,162,13,9,47,255,-29,0,0,484,484,161,616,-1852,-32,-1884,0,0,-9,791,-1102,-231,13,-9
2010-06-30,70,34,258,292,4,31,42,431,-19,0,0,295,295,62,338,-951,-286,-1237,1,1,-8,71,-1173,-363,7,-8
2010-03-31,52.00000,36.00000,58.00000,94.00000,4.00000,-26.00000,-38.00000,309.00000,-17.00000,,0.00000,115.00000,115.00000,1125.00000,1223.00000,-1165.00000,37.00000,-1128.00000,848.00000,-1402.00000,-46.00000,56.00000,-2520.00000,-1029.00000,4.00000,-8.00000
2009-12-31,-29,31,262,293,2,4,-88,-25,-20,0,0,1437,1437,1154,2571,-133,36,-97,0,0,-35,185,53,2599,7,-7
2009-09-30,19,30,195,225,111,-20,-4,173,-17,0,0,-979,-979,2708,1712,-2347,-60,-2407,0,0,-36,-1564,-4007,-2122,7,-8
2009-06-30,18,29,89,118,-73,119,-23,192,-18,7,0,3138,3138,1867,4994,-1000,-1720,-2720,-1,-1,-36,-799,-3556,1630,7,-7
2009-03-31,9.00000,27.00000,85.00000,112.00000,26.00000,-87.00000,-114.00000,-249.00000,-19.00000,,,-1487.00000,-1487.00000,1698.00000,192.00000,-400.00000,454.00000,54.00000,,,-78.00000,168.00000,144.00000,87.00000,11.00000,-50.00000
