,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2019-03-31,1699.00000,120.00000,277.00000,397.00000,-729.00000,-729.00000,1296.00000,,-5139.00000,-5139.00000,-1405.00000,-6544.00000,-657.00000,1257.00000,600.00000,-633.00000,-633.00000,-669.00000,2612.00000,1910.00000,-3338.00000,-597.00000
2018-12-31,1856,121,167,288,1123,1123,2650,0,-455,-455,-4302,-4757,394,-9729,-9335,-805,-805,-679,14297,3478,1371,-603
2018-09-30,1815,118,237,355,-106,-106,3225,0,962,962,-3013,-2051,3759,5732,9491,-710,-145,-557,-8902,-113,1061,-493
2018-06-30,1750,115,202,317,-46,-46,3255,0,-929,-929,-1322,-2251,4024,433,4457,-673,-673,-567,-4446,-1229,-225,-497
2018-03-31,1675.00000,113.00000,263.00000,376.00000,151.00000,151.00000,1434.00000,,-200.00000,-200.00000,282.00000,82.00000,973.00000,1052.00000,2025.00000,-548.00000,-548.00000,-563.00000,-2689.00000,-1775.00000,-259.00000,-499.00000
2017-12-31,1682,118,220,338,90,90,-169,0,-978,-978,-1828,-2806,-2248,795,-1453,-660,-660,-573,4626,1940,-1035,-502
2017-09-30,1563,117,255,372,-196,-196,1862,0,-670,-670,-1836,-2506,-3358,1444,-1914,-657,-657,-536,-4673,-7780,-8424,-472
2017-06-30,1500,116,214,330,-997,-997,1589,0,-384,-384,-4709,-5093,1834,2229,4063,-673,-1758,-545,10389,12149,8645,-476
2017-03-31,1473.00000,117.00000,199.00000,316.00000,2050.00000,2050.00000,3190.00000,,-1054.00000,-1054.00000,-667.00000,-1721.00000,2689.00000,-1780.00000,909.00000,-482.00000,511.00000,-558.00000,2283.00000,3145.00000,4614.00000,-478.00000
2016-12-31,1478,117,188,305,479,479,2098,0,-834,-834,-1883,-2717,-4605,-1732,-6337,-458,-458,-540,-5,-7340,-7959,-479
2016-09-30,1502,117,216,333,-1396,-1396,554,0,-1632,-1632,-3515,-5147,1060,-2738,-1678,-589,-589,-519,17005,14219,9626,-440
2016-06-30,1522,117,63,180,-420,-420,1423,0,-1176,-1176,-4029,-5205,2065,-5344,-3279,-619,-619,-505,11242,6839,3057,-444
2016-03-31,1386.00000,119.00000,240.00000,359.00000,-879.00000,-879.00000,1261.00000,,-978.00000,-978.00000,-3911.00000,-4889.00000,2700.00000,-4100.00000,-1400.00000,-535.00000,-535.00000,-513.00000,5910.00000,3462.00000,-166.00000,-447.00000
2015-12-31,1476,123,221,344,1100,1100,2531,0,-1037,-1037,-7002,-8039,-377,962,585,-376,369,-508,5759,6205,697,-448
2015-09-30,1489,118,100,218,902,902,2854,0,-1586,-1586,-3401,-4987,-1758,-869,-2627,-618,-618,-513,-1584,-5342,-7475,-452
2015-06-30,1483,120,207,327,-714,-714,1646,0,-1258,-1258,-4365,-5623,-888,-442,-1330,-589,-589,-498,10247,7830,3853,-438
2015-03-31,1431.00000,120.00000,201.00000,321.00000,-382.00000,-382.00000,1751.00000,,-1203.00000,-1203.00000,-1298.00000,-2501.00000,2779.00000,-1667.00000,1112.00000,-312.00000,-312.00000,-500.00000,3868.00000,4168.00000,3418.00000,-439.00000
2014-12-31,1488,128,76,204,-918,-918,866,0,-3545,-3545,-2895,-6440,1484,-152,1332,-420,-420,-503,9636,10045,4471,-441
2014-09-30,1471,127,231,358,-1037,-1037,582,-255,-6565,-6565,-2040,-8860,4901,1190,6091,-602,-602,-504,-3160,1825,-6453,-444
2014-06-30,1495,123,45,168,-1176,-1176,1112,3691,-4726,-4726,-4832,-5867,2060,-1926,134,-528,-528,-480,10857,9983,5228,-420
2014-03-31,1397.00000,123.00000,282.00000,405.00000,1434.00000,1434.00000,2772.00000,,-5347.00000,-5347.00000,-3298.00000,-8645.00000,3821.00000,3173.00000,6994.00000,-197.00000,-197.00000,-482.00000,-1511.00000,4804.00000,-1069.00000,-421.00000
2013-12-31,1456,131,283,414,369,369,2789,-58,-3878,-3878,-4425,-8361,1340,1480,2820,-310,-310,-483,407,2434,-3138,-422
2013-09-30,1468,129,350,479,954,954,2141,0,-1489,-1489,-3831,-5320,-939,-51,-990,-498,-498,-484,10148,8176,4997,-424
2013-06-30,1484,129,215,344,2509,2509,4848,0,-409,-409,-5410,-5819,-978,-947,-1925,-529,-542,-432,3556,657,-314,-363
2013-03-31,1428.00000,131.00000,418.00000,549.00000,107.00000,107.00000,1668.00000,,-907.00000,-907.00000,-617.00000,-1524.00000,-265.00000,824.00000,559.00000,-421.00000,-421.00000,-431.00000,-1171.00000,-1464.00000,-1320.00000,-367.00000
2012-12-31,1420,141,370,511,1455,1455,4083,0,-436,-436,-6554,-6990,-731,-1551,-2282,-460,-460,-432,4951,1777,-1130,-367
2012-09-30,1474,139,425,564,-1607,-1607,247,0,65,65,-3054,-2989,-2602,-2831,-5433,-329,-329,-433,2916,-3279,-6021,-370
2012-06-30,1415,141,319,460,-3201,-3201,537,-14,423,423,-4901,-4492,-1522,3230,1708,-332,743,-417,7763,9797,5842,-371
2012-03-31,1338.00000,140.00000,526.00000,666.00000,1547.00000,1547.00000,3091.00000,108.00000,-3134.00000,-3134.00000,-2756.00000,-5782.00000,-1594.00000,-3015.00000,-4609.00000,-340.00000,748.00000,-269.00000,2420.00000,-1710.00000,-4401.00000,-239.00000
2011-12-31,1350,144,983,1127,-1914,-1914,1065,-14,-2515,-2515,-5986,-8515,1357,-1561,-204,-76,-76,-269,8253,7704,254,-239
2011-09-30,1273,143,466,609,-1822,-1822,-54,0,-2587,-2587,-6296,-8883,-2096,2375,279,-362,-362,-271,7749,7395,-1542,-241
2011-06-30,1203,141,1061,1202,380,380,2581,0,-4504,-4504,-3314,-7818,1058,-1367,-309,10,686,-280,6590,6687,1450,-241
2011-03-31,1046.00000,137.00000,556.00000,693.00000,4224.00000,4224.00000,6228.00000,650.00000,-6988.00000,-6988.00000,-1150.00000,-7488.00000,-8.00000,-1652.00000,-1660.00000,94.00000,94.00000,-115.00000,2254.00000,573.00000,-687.00000,-96.00000
2010-12-31,974,149,2133,2282,-1693,-1693,2435,91,-5216,-5216,-3532,-8657,1243,-1784,-541,63,63,-129,16846,16239,10017,-96
2010-09-30,2343,447,1882,2329,-2489,-2489,-1154,0,-178,-178,-5126,-5304,1168,544,1712,13,13,-113,4283,5895,-563,-95
2010-06-30,0,0,0,0,0,0,1084,0,-983,-983,-2509,-3492,-2520,2601,81,15,15,-115,-920,-939,-3347,-96
2010-03-31,0.00000,,,,,,2876.00000,832.00000,-1211.00000,-1211.00000,1460.00000,1081.00000,-1241.00000,-769.00000,-2010.00000,28.00000,28.00000,-115.00000,314.00000,-1783.00000,2174.00000,-96.00000
2009-12-31,2205,607,3441,4048,-805,-805,3380,2854,-2167,-2167,-1351,-664,-565,1369,804,15,15,-115,-2230,-1526,1190,-96
2009-09-30,0,0,0,0,0,0,3446,-2,-596,-596,-2228,-2826,-6076,-1532,-7608,-135,-135,-114,5872,-1985,-1365,-95
2009-06-30,0,0,0,0,0,0,-1073,222,-947,-947,948,223,428,3691,4119,2684,-3915,-218,1091,1077,227,-88
2009-03-31,0.00000,,,,,,1847.00000,,1688.00000,1688.00000,860.00000,2548.00000,513.00000,-7976.00000,-7463.00000,,,-853.00000,3216.00000,-5100.00000,-705.00000,-746.00000
