,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2013-09-30,285.628,96.537,-19.037,77.5,367.094,-76.374,-367.583,0,0,0,2.059,-441.898,133,-144.346,-11.346,-0.29,-0.29,-267.303,-1.618,-280.557,-353.945,0,-267.303
2013-06-30,261.679,90.937,-7.838,83.099,363.23,-22.49,-40.752,0,0,0,-0.106,-63.348,0,-30.404,-30.404,12.427,-689.26,-267.264,700.153,-286.775,12.658,0,-267.264
2013-03-31,212.24700,91.00100,12.24400,103.24500,309.33900,-35.59700,-13.54000,,,,7.72100,-41.41600,-133.00000,-193.18600,-326.18600,3.86300,705.55000,-263.73300,-1.69200,113.93900,381.01300,,-263.73300
2012-12-31,272.563,358.103,-281.297,76.806,329.904,-14.518,-97.661,0,0,0,9.453,-102.726,71.987,49.287,121.274,102.991,1024.6221,-238.155,-1653.06,-745.319,-518.513,0,-238.155
2012-09-30,264.819,-175.526,243.296,67.77,349.978,-21.987,-39.787,0,0,0,-1.319,-63.093,0,-20.499,-20.499,5.439,-410.186,-237.562,478.363,-189.884,97.277,0,-237.562
2012-06-30,198.931,88.588,24.83,113.418,326.287,-26.645,-46.097,0,0,0,2.391,-70.351,0,-3.904,-3.904,5.192,-1364.612,-240.194,1170.491,-438.219,-181.604,0,-240.194
2012-03-31,206.72200,86.93800,-10.20000,76.73800,279.49000,-15.27500,-41.97000,,,,2.95000,-54.29500,,-24.88400,-24.88400,-10.50000,525.98300,-243.24300,-1.73900,256.11700,481.07100,,-243.24300
2011-12-31,220.437,89.83,7.749,97.579,294.659,-15.172,-184.756,0,-480.194,-480.194,701.026,20.904,-174.355,154.411,-19.944,-107.73,622.897,-213.998,-725.589,-336.634,-21.725,0,-213.998
2011-09-30,194.513,90.956,21.72,112.676,326.329,-18.946,113.326,0,1.274,1.274,-3.655,91.999,0,-27.598,-27.598,14.781,-509.975,-218.635,354.759,-401.449,16.246,0,-218.635
2011-06-30,210.941,89.186,-6.714,82.472,317.645,-38.862,18.673,0,120.043,120.043,-9.585,90.269,0,-21.278,-21.278,-10.426,-527.926,-220.108,360.373,-408.939,-0.618,0,-220.108
2011-03-31,210.56800,88.55300,-32.01700,56.53600,264.81900,-15.96100,-25.74500,102.27900,,102.27900,-345.10000,-284.52700,,-105.53500,-105.53500,11.37300,11.37300,-193.50500,-3.85700,-291.52400,-311.14700,,-193.50500
2010-12-31,189.21,91.647,15.858,107.505,271.507,-13.772,-33.204,0,0,0,20.413,-26.563,0,-19.517,-19.517,-95.694,56.659,-194.027,-146.104,-302.989,-57.227,0,-194.027
2010-09-30,245.811,92.648,-54.849,37.799,296.102,-35.114,-20.648,-9.58,0,-9.58,10.203,-55.139,0,-2.394,-2.394,10.387,-139.029,-180.917,121.562,-200.778,39.143,0,-180.917
2010-06-30,131.176,85.205,49.271,134.476,292.49,-35.707,-54.093,0,0,0,11.1,-78.7,0,-53.216,-53.216,-190.973,-205.757,-200.412,0.304,-459.081,-245.646,0,-200.412
2010-03-31,129.91700,84.88600,37.82600,122.71200,233.12200,-9.66600,,-95.24800,,-95.24800,-1.28900,-106.20300,,-1.96500,-1.96500,11.82200,11.82200,-179.41400,-0.30400,-169.86100,-43.80700,,-179.41400
2009-12-31,187.689,49.349,9.165,58.514,275.328,-13.039,29.421,-17.825,0,-17.825,-14.806,-16.249,0,-1.903,-1.903,0.293,153.293,-156.158,-160.987,-165.755,92.861,0,-156.158
2009-09-30,243.951,123.294,-50.231,73.063,295.281,-24.97,-28.086,0,0,0,6.966,-46.09,0,-1.855,-1.855,1.13,-151.87,-142.768,133.386,-163.107,86.068,0,-156.179
2009-06-30,205.387,84.284,-24.69,59.594,282.383,-27.681,10.261,0,0,0,-10.259,-27.679,0,-1.856,-1.856,0.214,0.214,-161.502,-0.326,-163.47,91.46,0,-304.253
2009-03-31,153.42900,85.20000,16.90500,102.10500,259.86500,-10.82700,,,,,9.43600,-1.39100,-109.62200,-1.89000,-111.51200,0.55500,-16.98000,-164.23700,-153.34000,-446.06900,-187.30100,,-8.07500
