,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2020-03-31,91.00000,319.00000,-38.00000,281.00000,-84.00000,,-125.00000,-209.00000,163.00000,-141.00000,-14.00000,-7.00000,11.00000,4.00000,1.00000,-150.00000,775.00000,-260.00000,515.00000,-386.00000,-386.00000,,-22.00000,107.00000,90.00000,,
2019-12-31,20,317,22,339,45,240,-56,224,583,-137,-127,-1,-15,-16,0,-280,-24,-34,-58,-274,-274,0,-11,-343,-26,59,0
2019-09-30,69,303,-55,248,-115,0,128,13,330,-149,-260,0,6,6,3,-400,-25,400,375,-295,-295,0,-41,39,-75,27,0
2019-06-30,71,297,-23,274,24,0,22,46,391,-155,-26,0,-15,-15,1,-195,1075,-1025,50,-233,-233,0,-17,-200,2,34,0
2019-03-31,67.00000,298.00000,12.00000,310.00000,-76.00000,,-188.00000,-264.00000,113.00000,-141.00000,-175.00000,-2.00000,2.00000,,1.00000,-315.00000,-25.00000,405.00000,380.00000,-136.00000,-136.00000,,-16.00000,228.00000,45.00000,26.00000,
2018-12-31,76,297,45,342,-78,368,-173,-1,417,-138,-54,-1,-17,-18,32,-178,-25,485,460,-607,-607,0,-11,-158,64,35,0
2018-09-30,67,286,-40,246,-105,0,136,31,344,-123,-28,-3,2,-1,-30,-182,-25,-50,-75,-113,-113,0,-13,-201,-52,31,0
2018-06-30,68,284,-70,214,64,0,-35,29,311,-110,-207,1,-29,-28,15,-330,975,-424,551,-564,-564,0,-39,-52,-81,26,0
2018-03-31,73.00000,285.00000,-11.00000,274.00000,-178.00000,,13.00000,-165.00000,182.00000,-88.00000,-20.00000,-1.00000,4.00000,3.00000,-15.00000,-120.00000,-26.00000,105.00000,79.00000,-106.00000,-106.00000,,-14.00000,-41.00000,1.00000,21.00000,
2017-12-31,1035,281,-1083,-802,-37,90,29,0,233,-102,-329,2,10,12,3,-416,-27,429,402,-363,-363,0,6,45,-144,24,0
2017-09-30,93,258,87,345,-31,0,29,-2,436,-89,-245,0,5,5,-5,-334,901,-238,663,-541,-541,0,-29,93,201,29,0
2017-06-30,66,287,-123,164,8,0,7,15,245,-100,-118,1,0,1,17,-200,-24,338,314,-338,-338,0,-10,-34,40,27,0
2017-03-31,102.00000,237.00000,-15.00000,222.00000,-81.00000,,-187.00000,-268.00000,56.00000,-78.00000,-150.00000,-1.00000,,-1.00000,-11.00000,-240.00000,1507.00000,-375.00000,1132.00000,-1287.00000,-1287.00000,,-21.00000,-176.00000,-336.00000,26.00000,
2016-12-31,-217,216,127,343,-161,160,252,321,447,-86,1887,-1,15,14,-2,1813,-1448,172,-1276,-945,-945,0,15,-2206,-12,46,0
2016-09-30,104,64,4,68,65,0,23,88,260,-21,0,0,0,0,-1,-22,-12,0,-12,28,28,0,9,25,255,15,0
2016-06-30,91,33,4,37,-104,0,17,-87,41,-31,0,-2,26,24,-10,-17,-13,0,-13,-88,-88,0,3,-98,-98,10,0
2016-03-31,109.00000,37.00000,13.00000,50.00000,23.00000,,-70.00000,-47.00000,112.00000,-26.00000,,-37.00000,21.00000,-16.00000,-1.00000,-43.00000,-12.00000,,-12.00000,5.00000,5.00000,,2.00000,-5.00000,76.00000,9.00000,
2015-12-31,107.783,41.51,0.155,41.665,-75.721,104,23.897,57.176,206.624,-21.308,0.999,0,0,0,-7.29,-27.599,-12.2891,0,-12.2891,-259.323,-259.323,0,0.884,-270.728,-104.446,9.298,0
2015-09-30,108.839,37.699,21.067,58.766,7.215,0,108.126,115.341,282.946,-24.768,31.001,0,0,0,-0.168,6.065,-13.1599,0,-13.1599,13.015,13.015,0,5.408,5.263,278.189,8.381,0
2015-06-30,84.947,35.785,-10.924,24.861,-114.034,0,54.988,-59.046,50.762,-15.492,0,0,0,0,-11.666,-27.158,214.659,0,214.659,-223.186,-223.186,0,-1.35,-9.877,24.547,10.747,0
2015-03-31,86.43100,32.00600,-1.29800,30.70800,-63.46000,,-118.01100,-181.47100,-64.33200,-16.43200,,,,,-1.87600,-18.30800,-1.21000,,-1.21000,18.49400,18.49400,,9.05800,26.34200,-88.29000,9.57400,
2014-12-31,88.943,34.1,10.512,44.612,39.721,46,29.927,123.648,257.203,-25.218,0.201,0,0.139,0.139,-2.195,-27.073,248.729,0,248.729,-245.965,-245.965,0,11.613,14.377,223.109,7.612,0
2014-09-30,92.733,31.776,-8.974,22.802,-57.153,0,78.718,21.565,137.1,-21.95,-92.201,0,0,0,1.232,-112.919,-6.263,0,-6.263,11.783,11.783,0,4.189,9.709,8.566,6.787,0
2014-06-30,85.11,31.441,2.827,34.268,-10.55,0,-41.694,-52.244,67.134,-18.126,0,0,0,0,-0.903,-19.029,-0.132,0,-0.132,-159.734,-159.734,0,2.773,-157.093,-104.913,8.38,0
2014-03-31,90.21400,30.68300,-10.36500,20.31800,-51.01800,,-87.95100,-138.96900,-28.43700,-17.70600,,,5.86100,5.86100,-2.13400,-13.97900,-0.33400,,-0.33400,5.91600,5.91600,,-2.57500,3.00700,-36.76200,7.22100,
2013-12-31,72.934,35.435,-20.27,15.165,-77.148,107.047,50.143,127.361,215.46,-12.386,0,0,0,0,0.202,-12.184,-1.8502,0,-1.8502,-9.468,-9.468,0,-21.987,-33.305,168.433,5.866,0
2013-09-30,66.584,29.01,2.92,31.93,52.705,0,25.307,78.012,176.526,-14.695,-144.97,0,0,0,-0.927,-160.592,-0.982,0,-0.982,-0.27,-0.27,0,-0.264,-1.516,23.988,5.869,0
2013-06-30,38.353,37.369,-17.412,19.957,-87.584,0,52.117,-35.467,22.843,-28.445,0,0,0,0,1.239,-27.206,-350.521,0,-350.521,490.045,490.045,0,0.213,139.737,131.429,6.618,0
2013-03-31,48.15600,27.51500,16.81600,44.33100,-39.65400,,-74.29100,-113.94500,-21.45800,-30.80000,,,0.06000,0.06000,-5.45400,-36.19400,-34.30400,,-34.30400,0.14900,0.14900,,0.19600,-33.95900,-113.43500,4.47300,
2012-12-31,34.835,29.114,25.655,15.683,5.998,58.345,19.141,70.355,159.973,-21.123,0.007,0,-0.346,-0.505,9.08,-12.561,169.6521,0,169.644,1.673,1.68,-241.702,-9.64,-80.018,61.409,12.197,-241.703
2012-09-30,51.975,27.83,-1.838,25.992,-27.309,0,37.738,10.429,88.396,-15.05,-39.257,0,-0.161,-0.161,-2.243,-56.711,-5.792,0,-5.792,-2.4,-2.4,0,0,-8.192,30.068,3.26,0
2012-06-30,47.012,25.671,6.293,31.964,-31.247,0,34.961,3.714,82.69,-22.187,-3.94,0,-6.715,-6.715,-8.616,-41.458,-5.64,0,-5.64,0.044,0.044,0,0.229,-5.367,29.968,3.083,0
2012-03-31,42.80800,24.90500,8.97600,33.88100,-7.69700,,-64.35100,-72.04800,4.64100,-10.24000,,,-6.48900,-6.48900,-4.77100,-21.50000,281.91800,,281.91800,-9.21400,-9.21400,-326.14800,0.15100,-53.29300,-70.02500,7.38600,-326.14800
2011-12-31,75.07,28.83,0,28.83,0,0,0,-186,-217.21,4.98,-126.76,0,0,-19.33,-33.75,-83.4,0,0,338.53,0,-3.95,-220.83,-19.72,93.78,-211.15,0,0
2010-12-31,165.25,93.19,0,93.19,0,0,0,103.3,378.16,-77.68,-100.35,0,0,14.63,22.12,-141.43,0,0,-71.21,0,-9.26,-67.49,1.79,-153.08,80.84,0,0
