,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2016-03-31,82.00000,116.00000,61.00000,177.00000,49.00000,,-63.00000,1.00000,260.00000,-283.00000,-22.00000,-18.00000,-323.00000,-11.00000,211.00000,200.00000,-52.00000,-52.00000,-61.00000,-3.00000,84.00000,21.00000,,-61.00000
2015-12-31,99,113,87,200,63,0,-34,40,339,-369,-21,-24,-414,-43,250,207,-80,-80,-61,-17,49,-26,0,-61
2015-09-30,174,111,109,220,-75,50,0,44,438,-312,-135,-31,-478,474,-441,33,-7,-7,-61,5,-30,-70,0,-61
2015-06-30,123,109,110,219,-63,-50,-7,-122,220,-249,-41,-31,-321,6,276,282,-6,-6,-61,7,222,121,0,-61
2015-03-31,80.00000,107.00000,43.00000,150.00000,-9.00000,,-25.00000,-32.00000,198.00000,-225.00000,,-21.00000,-246.00000,-4.00000,95.00000,91.00000,6.00000,6.00000,-56.00000,8.00000,49.00000,1.00000,,-56.00000
2014-12-31,93.393,104.95,41.11,146.0601,15.281,27,-0.982,17.285,256.738,-277.129,-3.751,-11.779,-292.659,-101.558,136.328,34.77,5.554,5.554,-55.152,-0.415,-15.243,-51.164,0,-55.152
2014-09-30,152.185,107.11,98.785,205.8949,-23.536,0,-16.412,31.567,389.647,-263.755,-2.38,-17.032,-283.167,367.123,-388.459,-21.336,3.277,3.277,-55.458,9.032,-64.485,41.995,0,-55.458
2014-06-30,109.299,106.211,90.724,196.935,-57.052,59.14,3.895,-100.493,205.741,-208.893,-0.59,-23.491,-232.974,-2.373,64.211,61.838,3.97,5.17,-55.422,17.025,28.611,1.378,-2.711,-55.422
2014-03-31,68.12300,105.72900,68.38100,174.11000,3.30700,-59.14000,-0.50100,2.64100,244.87400,-192.22300,-2.27900,-10.69800,-205.20000,-2.19200,7.92000,5.72800,8.19900,6.99900,-49.96800,1.35800,-35.88300,3.79100,2.71100,-49.96800
2013-12-31,59.429,105.124,95.464,200.588,29.062,43.577,-73.3,-52.693,207.324,-314.774,-7.159,-11.7,-333.633,-81.588,240.55,158.962,6.212,9.132,-49.446,2.64,121.288,-5.021,-8.916,-49.446
2013-09-30,150.665,101.612,130.208,231.82,-43.387,3.666,6.052,15.994,398.479,-234.976,-12.239,-12.765,-259.98,-6.081,-77.027,-83.108,5.008,5.008,-49.81,1.499,-126.411,12.088,2.454,-49.81
2013-06-30,101.263,100.615,106.825,207.44,-83.45,5.035,-32.74,-168.131,140.572,-216.444,-1.766,-13.467,-231.677,-3.317,132.676,129.359,6.639,4.919,-49.744,5.756,90.29,-0.815,4.42,-49.744
2013-03-31,57.64300,99.64900,22.50300,122.15200,18.77500,-37.27800,-71.01200,-30.17000,149.62500,-212.80600,-2.83600,-12.06800,-227.71000,-1.01400,63.80100,62.78700,8.14100,6.94100,,5.10500,74.83300,-3.25200,2.04200,0.00000
2012-12-31,55.478,99.333,116.903,216.236,72.383,36.549,-120.738,-51.13,220.584,-246.573,-0.227,49.8,-197,90.055,-27.874,62.181,5.798,5.349,-88.436,3.224,-17.682,5.902,2.921,-88.436
2012-09-30,153.812,96.219,110.888,207.107,-33.54,-3.869,38.181,57.224,418.143,-203.972,-0.04,-11.013,-215.025,-103.121,-64.113,-167.234,9.468,6.641,-44.08,7.167,-197.506,5.612,3.286,-44.08
2012-06-30,107.026,92.329,46.86,139.189,-86.021,2.432,50.646,-77.443,168.772,-144.299,-44.189,-11.448,-199.936,-151.601,214.632,63.031,2.96,2.96,-40.529,9.119,34.581,3.417,2.995,-40.529
2012-03-31,41.75400,92.10400,33.49000,125.59400,12.65000,-45.68400,-54.45800,-19.24900,148.09900,228.00900,-0.10400,1.70000,229.60500,8.14300,-368.52100,-360.37800,9.63400,8.53400,-40.41400,9.84900,-382.40900,-4.70500,2.26800,-40.41400
2011-12-31,64.848,89.278,75.533,164.811,20.828,52.209,-12.26,2.654,232.313,-299.99,-0.839,-5.567,-306.396,-1.196,105.73,104.534,3.503,1.755,-40.392,6.772,72.669,-1.414,10.008,-40.392
2011-09-30,137.422,88.323,81.786,170.109,-10.942,0.343,-32.234,6.117,313.648,-229.761,-1.612,0.797,-230.576,-4.406,-42.103,-46.509,1.511,1.377,-40.358,4.573,-80.917,2.155,0,-40.358
2011-06-30,81.11,87.342,47.602,134.944,-70.775,11.516,-8.057,-115.184,100.87,-208.882,-3.324,2.969,-209.237,10.406,127.846,138.252,2.158,2.152,-38.58,6.481,108.305,-0.062,0,-38.58
2011-03-31,26.23300,86.87800,49.38800,136.26600,26.07000,-26.24400,-59.49800,-0.97300,161.52600,-176.25300,-1.44500,11.51000,-166.18800,-62.33900,94.68900,32.35000,6.69400,6.69400,-38.52500,4.55900,5.07800,0.41600,,-38.52500
2010-12-31,40.154,83.505,-5.843,77.662,57.281,13.035,1.764,70.09,187.906,-243.457,0.028,2.638,-240.791,29.767,47.858,77.625,2.888,2.81,-38.476,0.537,42.496,-10.389,10.334,-38.476
2010-09-30,124.114,84.005,101.341,185.346,-33.891,-8.442,-15.826,-19.942,289.518,-194.76,-0.098,20.132,-174.726,7.576,-83.966,-76.39,1.958,1.824,-38.457,1.122,-111.901,2.891,0,-38.457
2010-06-30,72.751,80.698,39.862,120.56,-73.403,20.162,9.423,-71.792,121.519,-184.585,-1.044,-7.815,-193.444,-4.584,117.914,113.33,1.064,1.058,-36.689,2.203,79.902,7.977,0,-36.689
2010-03-31,30.80800,82.05600,43.94000,125.99600,14.03600,-18.26800,-26.57200,19.18600,175.99000,-142.59500,-0.52800,5.34100,-137.78200,-36.90000,28.39600,-8.50400,0.80100,0.79100,-36.67900,-3.43900,-47.83100,-9.62300,,-36.67900
2009-12-31,36.371,61.105,165.614,226.7191,34.047,9.175,-98.862,-138.485,124.605,-192.261,-17.494,32.355,-177.4,203.833,-101.784,102.049,0.506,0.428,-36.667,1.41,67.22,14.425,7.602,-36.667
2009-09-30,91.636,85.127,52.913,138.0399,-17.939,-3.351,-9.987,13.167,242.843,-191.814,-0.65,23.358,-169.106,3.425,-47.47,-44.045,0.573,0.439,-36.658,5.346,-74.918,-1.181,0,-36.658
2009-06-30,51.989,83.377,9.908,93.285,-43.188,6.721,0.854,-59.065,86.209,-203.979,0,49.155,-154.824,232.988,-376.341,-143.353,242.785,242.779,-31.934,1.619,69.111,0.496,0,-31.934
2009-03-31,-413.07900,78.85200,479.93000,558.78200,8.32900,-12.49300,-36.15100,-3.20400,142.49900,-195.97400,,-6.30700,-202.28100,-75.45100,166.08200,90.63100,0.52600,0.52600,-32.07200,-0.32900,58.75600,-1.02600,,-32.07200
