,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2017-07-31,68.916,202.455,-490.863,-288.408,0,0,-140.509,-140.509,-360.001,-63.617,0.07,490.68,0,490.68,-1.062,426.071,-4699.996,-4699.996,9.016,9.016,-166.265,0.009,-4857.237,-4789.174,32.824,-166.265
2017-04-30,93.564,137.542,74.697,212.239,0,0,233.512,233.512,539.315,-46.929,-9686.497,938.74,0,938.74,-6.117,-8800.803,9083.854,9083.854,28.967,28.967,-139.314,-2.237,8971.271,710.48,22.486,-139.314
2017-01-31,217.12900,54.32600,22.54500,76.87100,,,28.59400,28.59400,322.59400,-28.33700,-1.03600,1805.07300,,1805.07300,-5.94600,1769.75400,2072.30600,2072.30600,31.32600,31.32600,-129.68300,0.50000,1974.44900,4066.13100,16.52900,-129.68300
2016-10-31,296.157,53.663,47.665,101.328,-9.392,38.221,-20.014,99.952,497.437,-41.224,-80.967,-434.2656,0,-434.2656,-0.472,-556.929,0,0,20.742,20.742,-129.643,-12.919,-121.82,-182.538,15.234,-129.643
2016-07-31,230.43,52.648,27.014,79.662,0,0,-56.089,-56.089,254.003,-37.528,0,-65.6453,0,-65.6453,-8.591,-111.764,0,0,-6.389,-6.389,-128.954,-21.319,-156.662,-15.992,16.619,-128.954
2016-04-30,170.573,51.923,13.786,65.709,0,0,83.921,83.921,320.203,-25.517,-2.203,-314.7459,0,-314.7459,-2.746,-345.212,0,0,-197.17,-197.17,-129.925,0.426,-326.669,-350.78,15.959,-129.925
2016-01-31,164.50400,51.55600,10.94000,62.49600,,,-7.29500,-7.29500,219.70500,-23.12800,,-174.52600,,-174.52600,-6.71100,-204.36500,857.17500,857.17500,-125.74800,-125.74800,-124.65800,-34.98800,571.78100,586.08900,15.60900,-124.65800
2015-10-31,96.305,50.99,-14.89,36.1,-71.198,-35.557,86.105,65.57,197.975,-45.807,0,397.2888,0,397.2888,1.102,352.584,0,0,-103.942,-103.942,-125.582,6.619,-222.905,326.856,16.083,-125.582
2015-07-31,216.478,57.548,-3.35,54.198,0,0,-73.537,-73.537,197.139,-35.164,-6.947,-104.1277,0,-104.1277,-1.18,-147.419,0,0,-11.352,-11.352,-125.511,8.933,-127.93,-78.719,16.364,-125.511
2015-04-30,205.338,57.19,0.31,57.5,0,0,81.193,81.193,344.031,-49.229,0,-214.8641,0,-214.8641,-4.468,-268.561,0,0,27.815,27.815,-124.882,7.579,-89.488,-13.986,16.101,-124.882
2015-01-31,178.75700,56.51200,16.56400,73.07600,,,-83.18000,-83.18000,168.65300,-23.76000,-0.11800,73.87800,,73.87800,-3.72900,46.27100,,,-16.84300,-16.84300,-115.08400,0.64700,-131.28000,80.96900,20.37100,-115.08400
2014-10-31,108.695,57.103,-54.295,2.808,-36.46,24.642,-2.83,150.76,262.263,-43.417,-2.183,49.055,0,49.055,-2.633,0.822,0,0,-165.842,-165.842,-116.308,-1995.694,-2277.844,-2016.208,15.393,-116.308
2014-07-31,180.606,29.963,-1.226,28.737,0,0,4.099,4.099,213.442,-42.315,-1943.704,2085.1248,0,2085.1248,-0.34,98.766,1995.398,1995.398,-21.349,-21.349,-116.098,12.925,1870.876,2182.651,13.47,-116.098
2014-04-30,187.433,27.514,8.587,36.101,0,0,14.89,14.89,238.424,-44.058,0,-120.2177,0,-120.2177,-5.74,-170.016,0,0,40.322,40.322,-115.795,-6.861,-82.334,-14.437,10.542,-115.795
2014-01-31,152.58600,27.39000,2.22700,29.61700,,,-24.73000,-24.73000,157.47300,-48.12300,,7.14190,,7.14190,-3.34200,-44.32300,,,-9.36300,-9.36300,-106.02400,28.07900,-87.30800,25.13800,11.40700,-106.02400
2013-10-31,201.554,27.57,-79.091,-51.521,12.377,28.527,16.912,132.132,282.165,-48.558,100,-300.2532,0,-300.2532,-1.591,-250.402,60.108,60.108,1.59,1.59,-105.938,-56.227,-100.467,-67.979,13.122,-105.938
2013-07-31,176.239,27.503,16.258,43.761,0,0,0.025,0.025,220.025,-30.068,-2.475,-413.7079,0,-413.7079,-1.54,-447.791,101.09,101.09,89.653,89.653,-104.923,6.574,92.394,-135.563,12.747,-104.923
2013-04-30,164.472,27.533,14.336,41.869,0,0,45.845,45.845,252.186,-26.179,0,-385.4769,0,-385.4769,-0.478,-412.134,0,0,57.736,57.736,-104.415,7.017,-39.662,-200.166,17.956,-104.415
2013-01-31,131.22200,27.81000,-3.91100,23.89900,,,2.84800,2.84800,157.96900,-18.26900,,180.71800,,180.71800,-2.04800,160.40100,-60.10800,-60.10800,96.76900,96.76900,-90.67900,1.19600,-52.82200,266.96400,13.06100,-90.67900
2012-10-31,179.187,27.538,4.486,32.024,5.774,-18.592,-1.655,24.836,236.047,-37.511,0,-68.503,0,-68.503,-0.447,-106.461,22.875,22.875,59.697,59.697,-91.372,-54.947,-63.747,66.684,14.277,-91.372
2012-07-31,169.768,27.163,7.61,34.773,0,0,-66.835,-66.835,137.706,-39.239,0,-243.684,0,-243.6839,0.408,-282.515,-3.625,-3.625,5.985,5.985,-89.511,0.299,-86.852,-232.917,13.791,-89.511
2012-04-30,162.899,26.889,-0.476,26.413,0,0,36.657,36.657,225.969,-30.137,-24.158,-490.072,1.506,-488.5661,-1.65,-544.511,-3.625,-3.625,-5.265,-5.265,-89.402,13.967,-84.325,-402.376,12.1,-89.402
2012-01-31,139.38200,28.24300,15.65000,43.89300,,,31.54500,31.54500,214.82000,-25.28900,,-381.24100,,-381.24100,0.32700,-406.20300,-15.62500,-15.62500,-29.73300,-29.73300,-74.41600,5.07100,-114.70300,-307.65800,13.33200,-74.41600
2011-10-31,183.527,29.048,14.253,43.301,40.025,-17.603,87.021,3.332,230.16,-26.331,0,-31.2221,0,-31.2221,0.088,-57.465,24.767,24.767,-54.891,-54.891,-74.824,-19.838,-124.786,47.279,13.552,-74.824
2011-07-31,219.935,29.48,17.163,46.643,0,0,-9.598,-9.598,256.98,-36.977,-13.988,-620.2431,0,-620.2431,0.836,-670.372,-21.142,-21.142,-25.123,-25.123,-74.993,-1.128,-122.386,-536.94,13.31,-74.993
2011-04-30,241.826,29.806,-28.311,1.495,0,0,-46.683,-46.683,196.638,-34.141,0,-145.852,0,-145.852,-4.044,-184.037,366.882,366.882,-21.44,-21.44,-65.999,30.606,310.049,324.44,12.893,-65.999
2011-01-31,222.10600,29.88500,0.35400,30.23900,,,-35.59400,-35.59400,216.75100,-25.54700,10.00000,227.15800,,227.15800,-3.47500,208.13600,145.00000,145.00000,-11.63800,-11.63800,-65.81000,8.18300,75.73500,500.32100,12.60300,-65.81000
2010-10-31,224.994,29.946,19.931,49.877,-82.38,-24.274,-145.968,-0.595,274.276,-37.763,0,-102.7208,0,-102.7208,0.608,-139.876,0,0,6.344,6.344,-65.589,0.372,-58.873,76.571,13.486,-65.589
2010-07-31,199.491,29.191,6.464,35.655,0,0,-10.34,-10.34,224.806,-39.125,0,-136.598,0,-136.598,2.827,-172.896,0,0,0.802,0.802,-65.949,0.53,-64.617,-14.943,13.176,-65.949
2010-04-30,167.14,30.692,-0.721,29.971,0,0,81.209,81.209,278.32,-17.49,0,-113.8501,0,-113.8501,1.248,-130.092,0,0,5.666,5.666,-59.556,0.072,-53.818,94.104,13.255,-59.556
2010-01-31,120.45900,31.08200,17.18500,48.26700,,,45.04700,45.04700,213.77300,-17.17900,63.03600,-88.41100,,-88.41100,-0.40700,-42.96100,,,163.48700,163.48700,-58.87000,0.05300,104.67000,274.53900,11.83500,-58.87000
2009-10-31,105.609,32.148,26.486,58.634,16.561,67.347,39.5,-1.565,162.678,-16.389,-0.313,-84.473,0,-84.473,0.089,-101.086,0,0,3.637,3.637,-58.326,0.015,-54.674,7.014,12.621,-58.326
2009-07-31,65.46,31.979,14.498,46.477,0,0,25.732,21.627,133.564,-5.425,-8.36,-483.144,0,-483.144,-1.481,-498.41,370.35,370.35,5.638,5.638,-58.26,0,317.728,-44.164,12.015,-58.26
2009-04-30,51.754,35.031,26.949,61.98,0,0,-37.738,-37.738,75.996,-12.046,-1.34,-95.634,0,-95.634,-2.206,-111.226,0,0,-0.939,-0.939,-58.164,0.005,-59.098,-92.834,12.566,-58.164
2009-01-31,24.94900,40.71200,9.38600,50.09800,,,-15.13700,-15.13700,59.91000,-22.23500,,200.29100,,200.29100,-2.06300,175.99300,,,0.27900,0.27900,-58.23800,,-57.95900,176.11400,11.41100,-58.23800
