,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2019-06-30,198,49,13,62,-38,168,-126,4,262,-35,0,-113,363,250,-1017,-802,0,1080,1080,-272,-272,-61,-205,542,2,4,-61
2019-03-31,213.00000,44.00000,33.00000,77.00000,-1.00000,-210.00000,-113.00000,-324.00000,-42.00000,-25.00000,,940.00000,28.00000,968.00000,-856.00000,87.00000,497.00000,-709.00000,-212.00000,-272.00000,-272.00000,-66.00000,427.00000,-123.00000,-78.00000,14.00000,-66.00000
2018-12-31,226,52,14,66,41,70,-44,67,351,-39,0,-930,-40,-970,-958,-1967,-162,1873,1711,-237,-237,-64,303,1713,97,4,-64
2018-09-30,223,49,-13,36,2,31,99,132,387,-36,0,106,68,174,-548,-410,497,-377,120,-184,-184,-68,204,72,49,4,-68
2018-06-30,197,49,6,55,-1,-63,-19,-83,163,-26,0,157,88,245,-119,100,0,-709,-709,-119,-119,-55,618,-265,-2,5,-55
2018-03-31,238.00000,43.00000,-21.00000,22.00000,-33.00000,4.00000,52.00000,23.00000,275.00000,-28.00000,,-117.00000,28.00000,-89.00000,-312.00000,-429.00000,,-110.00000,-110.00000,-112.00000,-112.00000,-49.00000,347.00000,76.00000,-78.00000,13.00000,-49.00000
2017-12-31,123,48,142,190,26,-92,-114,-180,125,-36,0,-65,-121,-186,-620,-842,0,352,352,-99,-99,-40,511,724,7,4,-40
2017-09-30,161,47,1,48,-18,5,42,29,227,-39,0,363,123,486,-471,-24,0,282,282,-113,-113,-34,-278,-143,60,4,-34
2017-06-30,169,47,10,57,53,-22,-51,-20,196,-44,0,530,257,787,-916,-173,0,1204,1204,-43,-187,-26,-1099,-108,-85,5,-26
2017-03-31,139.00000,37.00000,43.00000,80.00000,36.00000,76.00000,63.00000,175.00000,380.00000,-50.00000,,-145.00000,-2573.00000,-2718.00000,-112.00000,-2880.00000,-153.00000,2311.00000,2158.00000,-41.00000,-41.00000,-29.00000,241.00000,2329.00000,-171.00000,12.00000,-29.00000
2016-12-31,137,35,-1,34,10,-7,-2,1,181,-53,0,1186,-2999,-1813,-139,-2005,-36,-288,-324,-29,-29,-27,2388,2008,184,4,-27
2016-09-30,128,34,23,57,-12,11,48,47,213,-51,0,-389,-951,-1340,-50,-1441,-129,845,716,-40,-40,-31,576,1221,-7,6,-31
2016-06-30,113,29,30,59,-36,-53,-80,-169,-5,-52,0,1850,-841,1009,-1099,-142,-104,38,-66,-3,-129,-23,407,189,42,5,-23
2016-03-31,91.00000,25.00000,42.00000,67.00000,39.00000,-18.00000,25.00000,46.00000,207.00000,-40.00000,,2102.00000,-1123.00000,979.00000,-787.00000,152.00000,-11.00000,-115.00000,-126.00000,,,-27.00000,-486.00000,-639.00000,-280.00000,11.00000,-27.00000
2015-12-31,102.016,-23.563,50.681,27.118,-9.263,24.95,-56.271,-40.584,77.63,-50.885,0,1156.791,-1681.924,-525.133,-508.553,-1084.571,-123.918,74.832,-49.086,-4.631,-180.631,-28.301,1460.207,1202.189,195.248,25,-28.301
2015-09-30,100.999,40.281,9.716,49.997,23.314,0.97,52.703,76.987,212.522,-38.747,0,1181.378,-1316.622,-135.244,-97.239,-271.23,-111.477,45.267,-66.21,13.599,13.599,-27.42,-16.805,-96.836,-155.544,0,-27.42
2015-06-30,13.96,35.113,92.245,127.358,-23.568,-2.899,-29.75,-56.217,85.031,-33.835,0,-754.443,-201.239,-955.682,179.482,-810.035,-44.42,23.527,-20.893,5.07,5.07,-29.045,807.252,762.384,37.38,0,-29.045
2015-03-31,92.02500,34.16900,3.35800,37.52700,3.51700,-1.02100,-39.68200,-37.18600,88.81700,-33.53300,,253.27400,-539.21500,-285.94100,-93.69000,-413.16400,-8.18500,-40.62600,-48.81100,0.96200,0.96200,-23.23400,274.34600,203.26300,-121.08400,,-23.23400
2014-12-31,81.814,-39.723,28.476,-11.247,-22.164,-15.177,24.999,-12.342,28.41,-36.915,0,-740.66,-344.3891,-1085.0491,-234.401,-1356.365,-27.152,52.425,25.273,520.849,520.849,-549.019,1587.122,1584.225,256.27,0,-620.21
2014-09-30,95.888,33.86,-9.455,24.405,53.82,1.241,38.658,93.719,208.267,-26.153,0,-955.971,-70.407,-1026.378,-105.174,-1157.705,-834.964,-66.603,-901.567,0,0,496.316,559.099,153.848,-795.59,0,519.559
2014-06-30,119.55,31.15,-111.56,-80.41,-38.03,-0.247,2.593,-35.684,13.393,-35.815,0,1672.416,-35.052,1637.364,-427.651,1173.898,-236.404,-21.436,-257.84,-2.88,-2.88,-19.686,-864.553,-1144.959,42.332,0,28.262
2014-03-31,101.21000,32.40400,45.76900,78.17300,44.98400,-21.86200,-74.57000,-51.44800,130.27100,-76.91600,,-80.85100,378.35000,297.49900,-148.97300,71.61000,-124.75500,-60.51100,-185.26600,2.88000,2.88000,-23.74100,170.11900,-36.00800,165.87300,,-23.74100
2013-12-31,-41.472,192.89,-21.352,171.538,-98.084,3.719,27.655,-66.71,72.307,-25.142,-3.786,-68.983,-59.025,-128.008,-716.887,-873.823,-99.955,66.574,-33.381,-792.557,1.586,-25.446,667.362,610.121,-191.395,0,-25.446
2013-09-30,111.514,42.667,-12.189,30.478,49.696,-11.876,98.8,136.62,273.006,-20.905,3.786,12.1,-155.903,-143.803,-80.453,-241.375,116.308,17.159,133.467,200.04,-599.428,-34.935,651.25,150.354,181.985,0,-34.935
2013-06-30,83.026,21.935,19.563,41.498,33.45,1.882,124.062,159.394,287.503,-26.733,0,-276.364,88.784,-187.58,-431.142,-645.455,-203.031,-70.154,-273.185,423.118,423.118,-35.047,497.346,612.232,254.28,0,-35.047
2013-03-31,110.38700,38.25800,-27.28900,10.96900,89.99600,-0.01100,3.10300,93.08800,202.29100,-15.80000,,628.88700,-119.94000,508.94700,-85.48900,407.65800,0.96400,-25.85300,-24.88900,169.39900,169.39900,-24.23200,-1643.31700,-1523.03900,-913.09000,,-24.23200
2012-12-31,57.686,124.611,-59.07,65.541,-25.597,-14.327,30.296,-9.628,133.827,-20.932,0,-1274.575,57.477,-1217.098,-323.567,-1561.597,-0.966,-126.908,-127.874,-142.516,0.724,-24.493,2360.402,2208.759,780.989,0,-24.493
2012-09-30,109.597,47.81,9.878,57.688,-77.225,6.576,10.622,-60.027,93.566,-15.145,2.667,490.947,148.6589,639.606,-313.304,313.824,41.478,-392.564,-351.086,0.513,-699.487,-32.77,612.198,-471.145,-63.755,0,-32.77
2012-06-30,91.464,62.166,27.908,90.074,50.464,-1.506,26.667,75.625,260.707,-17.655,0,-288.671,63.6551,-225.016,-325.218,-567.889,11.598,318.039,329.637,141.661,-0.839,-35.522,56.393,349.669,42.487,0,-35.522
2012-03-31,89.40300,57.14300,49.68600,106.82900,20.91300,21.24000,31.62600,73.77900,248.09500,-15.16200,-22.56800,-558.97900,51.71000,-507.26900,481.11900,-63.88000,332.60900,-168.83100,163.77800,0.34200,-699.65800,-40.79600,250.29700,-326.37900,-142.16400,,-40.79600
2011-12-31,88.771,28.287,-23.237,5.05,-40.053,9.509,171.138,140.594,237.397,-15.44,0,-1839.882,723.0268,-1116.855,-443.695,-1575.99,52.147,-63.46,-11.313,-25.644,0.042,-40.934,1512.38,1460.175,121.582,0,-40.934
2011-09-30,108.718,52.288,82.798,135.086,21.237,1.37,-50.768,-28.161,215.904,-22.749,0,-235.048,6.6891,-228.359,-9.678,-260.786,15.336,-34.498,-19.162,0.237,0.237,-40.297,171.844,112.622,67.74,0,-40.297
2011-06-30,72.61,105.79,52.86,158.65,41.041,5.397,71.262,117.7,346.226,-19.295,0,-291.604,35.971,-255.633,-380.916,-655.844,30.075,-190.675,-160.6,0.195,0.195,-40.303,596.214,395.506,85.888,0,-40.303
2011-03-31,52.59100,89.80600,127.10500,216.91100,28.47100,-7.88200,-18.67000,1.91900,269.22100,-20.18500,,-50.20700,50.77500,0.56800,48.11200,28.49500,-0.15600,80.09200,79.93600,25.21200,25.21200,-34.60100,-343.24900,-272.70200,25.01400,,-34.60100
2010-12-31,-72.394,164.75,270.105,434.855,-20.217,-5.856,4.918,-21.155,340.445,-20.848,0,-121.077,-932.7088,-1053.786,562.276,-512.358,64.877,-85.817,-20.94,0,116.382,-34.683,-25.366,35.393,-136.52,0,-34.683
2010-09-30,-47.457,65.488,221.619,287.107,-23.475,42.896,137.699,157.12,372.628,-25.636,21.149,380.309,102.9389,483.248,274.286,753.047,14.948,-175.146,-160.198,0,110.041,-29.772,-1053.855,-1133.784,-8.109,0,-29.772
2010-06-30,-113.361,96.262,269.557,365.819,-14.242,-35.009,-110.307,-159.558,88.013,-17.038,0,-1437.786,60.564,-1377.222,865.4269,-528.833,-42.607,11.998,-30.609,-149.908,600.814,-21.979,-84.042,464.184,23.364,0,-21.979
2010-03-31,-63.13700,46.25400,253.17300,299.42700,24.98100,-27.15500,440.14800,437.97400,670.54400,-15.54900,,-2796.25400,233.59300,-2562.66100,930.02110,-1648.18900,39.63700,229.42400,269.06100,149.90800,149.90800,-22.88200,256.76000,652.84700,-324.79800,,-22.88200
2009-12-31,-185.487,52.073,607.22,659.293,0.811,53.166,-727.744,-673.767,-203.593,-31.226,-0.223,1599.427,-135.419,1464.008,1128.104,2560.663,-291.804,-651.255,-943.059,0,152.167,-23.101,-1165.828,-1979.821,377.249,0,-23.101
2009-09-30,-157.671,87.85,510.849,598.699,23.1791,1.899,174.395,293.5641,747.728,-12.962,305.464,-877.777,272.9419,-604.8351,188.606,-123.727,405.576,-360.996,44.58,-122.641,188.466,-22.626,-1070.686,-860.266,-236.265,-15.344,-63.952
2009-06-30,-51.938,36.721,399.778,436.499,20.6619,-13.41,-77.701,-164.9881,228.313,-20.387,33.48,817.888,-78.8039,739.0841,229.281,981.458,-73.379,-400.296,-473.675,122.764,76.434,-24.85,-880.447,-1302.538,-92.767,7.207,-4.617
2009-03-31,-826.58100,36.39600,1093.08000,1129.47600,-45.04800,-23.13400,61.17400,-6.56000,286.01600,-32.56000,113.47100,435.56900,-578.86900,-143.30000,286.29600,223.90700,255.09800,-1831.32600,-1576.22800,-0.12300,-0.12300,-25.69400,938.11800,-663.92700,-154.00400,8.13700,-4.60100
