,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2020-06-30,131.288,36.839,44.123,80.962,-28.972,16.28,71.868,132.874,345.124,-21.356,0,-1.298,0,0,0,-22.654,0,0,0,-64.659,-64.659,-16.129,-80.788,242.901,46.907
2020-03-31,123.98800,33.57500,54.41300,87.98800,26.47500,-5.26000,69.36700,5.74300,217.71900,-22.17900,,-193.82000,,,,-215.99900,350.00000,,350.00000,-66.71000,-66.71000,-37.52800,245.76200,241.07500,46.48200
2019-12-31,659.675,31.643,-520.109,-488.466,-31.271,10.757,-29.315,-11.913,159.296,-27.078,0,0,0,0,0,-27.078,0,0,0,-71.302,-71.302,-15.564,-86.866,49.994,46.758
2019-09-30,101.514,30.453,49.742,80.195,-37.323,-18.092,-18.433,-43.179,138.53,-16.965,0,0,0,0,0,-16.965,0,0,0,-58.739,-58.739,-29.318,-88.057,21.801,48.279
2019-06-30,107.235,31.707,44.967,76.674,28.195,-15.071,42.736,62.451,246.36,-15.287,0,-0.338,0,-0.053,-0.053,-15.678,-50,0,-50,-72.009,-72.009,-12.876,-134.885,94.517,44.257
2019-03-31,120.55500,29.98700,35.92100,65.90800,35.68100,-10.61800,15.14900,-1.04900,185.41400,-15.27500,,,,-30.71200,-30.71200,-45.98700,-50.00000,,-50.00000,-51.25600,-51.25600,-32.82200,-134.07800,5.60000,42.25300
2018-12-31,98.425,29.964,35.354,65.318,-58.612,2.207,-18.725,-31.859,131.884,-19.742,0,0,0,-112.342,-112.342,-132.084,100,0,100,-97.305,-97.305,-10.302,-7.607,-11.287,42.594
2018-09-30,99.318,30.085,45.8,75.885,-25.865,-3.387,-6.111,-65.249,109.954,-10.656,0,0,0,0,0,-10.656,0,-300,-300,-37.477,-37.477,-29.494,-366.971,-274.955,46.264
2018-06-30,75.149,30.187,41.098,71.285,8.382,-0.173,15.499,58.832,205.266,-17.977,0,0,0,0,0,-17.977,-45,0,-45,-47.695,-47.695,-3.61,-96.305,72.572,40.956
2018-03-31,72.88500,29.68100,38.76400,68.44500,-10.98800,2.10500,72.15600,16.31700,157.64700,-13.12800,,,,,,-13.12800,-40.00000,,-40.00000,-26.67400,-26.67400,-30.38200,-97.05600,58.88100,37.90100
2017-12-31,-14.442,29.21,116.799,146.009,-21.493,2.752,-1.11,-4.711,126.856,-18.225,0,-142.699,0.412,0,0.412,-160.512,85,0,85,-46.466,-46.466,0.836,39.37,9.803,36.015
2017-09-30,81.157,28.588,24.175,52.763,-15.881,-0.253,-9.34,-44.606,89.314,-12.188,0,-0.55,0.232,9.108,9.34,-3.398,0,0,0,-34.561,-34.561,-28.311,-62.872,22.286,36.09
2017-06-30,69.127,29.693,33.248,62.941,28.817,-3.465,-19.444,30.072,162.14,-12.645,0,0,0.082,0,0.082,-12.563,-50,0,-50,7.252,7.252,-3.349,-46.097,111.87,30.482
2017-03-31,68.25900,29.24400,29.55700,58.80100,-22.47500,6.00000,28.00400,-34.63000,92.43000,-14.84300,,,0.10700,,0.10700,-14.73600,,,,22.71500,22.71500,-23.26300,-0.54800,78.89600,27.43600
2016-12-31,38.477,30.139,17.075,47.214,-6.48,21.273,47.138,111.171,196.862,-10.819,0,0,0.201,5.404,5.605,-5.214,0,0,0,-234.946,-234.946,-1.694,-236.64,-59.101,29.231
2016-09-30,64.712,27.232,28.235,55.467,6.405,-6.043,-3.508,-35.719,84.46,-13.683,0,0,0.25,26.577,26.827,13.144,0,0,0,-226.099,-226.099,-18.042,-244.141,-145.24,29.998
2016-06-30,49.335,31.8,33.878,65.678,-15.15,-6.582,-41.46,-34.647,80.366,-16.171,0,-37.774,33.643,27.64,61.283,7.338,0,0,0,-228.004,-228.004,-2.345,-230.349,-140.827,25.356
2016-03-31,50.56200,31.48600,23.84700,55.33300,11.61800,-3.71400,11.94900,-22.70400,83.19100,-12.11600,,-3.85300,1.00000,1.05800,2.05800,-13.91100,350.00000,,350.00000,-215.80000,-215.80000,-15.76700,118.43300,193.71400,24.63200
2015-12-31,80.374,30.376,9.824,40.2,-34.632,0.741,-7.307,2.277,122.851,-10.715,0,0,-50.806,51.544,0.738,-9.977,0,0,0,-104.564,-104.564,-3.205,-107.769,0.595,24.66
2015-09-30,77.624,29.257,17.678,46.935,-2.022,4.382,-32.511,-37.652,86.907,-10.026,0,0,50.806,-47.203,3.603,-6.423,0,0,0,-98.778,-98.778,-9.138,-107.916,-31.76,24.117
2015-06-30,58.16,32.556,26.829,59.385,4.372,-7.925,-16.339,4.209,121.754,-16.547,0,0,0,-3.141,-3.141,-19.688,-296.137,0,-296.137,-42.721,-42.721,1.915,-336.943,-239.885,21.703
2015-03-31,36.25900,35.37800,23.38400,58.76200,-12.45000,1.68200,7.18900,-48.33300,46.68800,-7.52000,,,,-0.89600,-0.89600,-8.41600,-53.86200,,-53.86200,-12.18800,-12.18800,-7.63200,-73.68200,-44.42500,21.86100
2014-12-31,65.03,37.004,15.617,52.621,-16.067,4.088,6.916,14.416,132.067,-11.852,0,0.127,15.472,-10.478,4.994,-6.731,348.649,0,348.649,-26.346,-26.346,-5.46,316.843,431.678,22.974
2014-09-30,37.535,35.736,41.515,77.251,-7.194,-3.53,-14.297,-27.094,87.692,-10.243,0,-3.563,15.311,-12.299,3.012,-10.794,-0.001,-100,-100.001,-19.308,-19.308,-8.534,-127.843,-56.933,22.877
2014-06-30,23.263,32.524,21.483,54.007,5.444,-2.893,-27.086,-8.405,68.865,-11.463,0,-136.263,54.601,-53.177,1.424,-146.302,0,100,100,0.59,0.59,-0.496,100.094,24.655,19.077
2014-03-31,33.07000,30.89900,19.80200,50.70100,-0.10800,-9.37300,-16.51200,-55.67300,28.09800,-6.25200,,-27.42200,,-0.51400,-0.51400,-34.18800,,,,10.86000,10.86000,-10.98900,-0.12900,-3.49900,18.86400
2013-12-31,37.705,31.909,23.33,55.239,-5.801,-4.589,13.16,26.22,119.164,-8.979,0,0,0,-0.861,-0.861,-9.84,-194.561,0,-194.561,1.966,1.966,-1.139,-193.734,-84.143,18.798
2013-09-30,38.5,32.181,16.746,48.927,-6.527,-7.333,16.389,10.783,98.21,-12.211,0,-0.686,0,6.75,6.75,-6.147,-50.078,0,-50.078,10.464,10.464,-5.604,-45.218,43.17,18.566
2013-06-30,9.429,31.639,1.972,33.611,-14.933,-1.693,27.455,31.855,74.895,-17.17,0,-391.382,0,-0.535,-0.535,-409.087,100,0,100,8.426,8.426,-0.959,107.467,-232.919,15.111
2013-03-31,78.60900,27.96300,20.49200,48.45500,23.65200,-0.97900,-63.39800,-51.72800,75.33600,-6.56900,,-0.75700,,5.50500,5.50500,-1.82100,,,,21.80100,21.80100,-6.60700,15.19400,83.79500,13.81000
2012-12-31,313.874,28.079,-217.187,-189.108,21.354,-1.691,-67.79,-28.89,95.876,-10.034,0,0,0,-4.824,-4.824,-14.858,0,0,0,3.932,3.932,-6.241,-2.309,77.258,13.276
2012-09-30,58.584,29.386,-0.206,29.18,7.763,6.437,-13.014,4.166,91.93,-7.663,0,-65.391,0,-44.865,-44.865,-117.919,0,0,0,15.692,15.692,-1.845,13.847,-12.559,12.399
2012-06-30,36.386,27.592,11.195,38.787,-43.659,0.653,20.424,-7.694,67.479,-10.068,0,0,0,-48.947,-48.947,-59.015,0,0,0,0.302,0.302,-5.398,-5.096,1.971,10.361
2012-03-31,31.10400,27.67300,10.54500,38.21800,60.17200,-0.15400,-49.04900,-8.61300,60.70900,-8.20100,,-1.04100,0.00000,-0.20600,-0.20600,-9.44800,,,,12.76100,12.76100,-3.37000,9.39100,58.08500,11.52500
2011-12-31,10.892,29.912,20.443,50.355,13.056,2.947,-39.995,0.89,62.137,-13.718,0,0,0.205,4.967,5.172,-8.546,-150,0,-150,2.72,2.72,-4.66,-151.94,-94.499,11.999
2011-09-30,28.106,30.132,6.943,37.075,-0.806,-2.78,14.014,-12.754,52.427,-6.391,0,-21.187,9.588,-7.549,2.039,-25.539,0,0,0,6.692,6.692,-0.607,6.085,30.784,11.891
2011-06-30,26.908,30.7,-2.351,28.349,26.893,-2.971,18.199,14.152,69.413,-6.131,0,-20.327,0,8.199,8.199,-18.259,0,0,0,1.405,1.405,-3.728,-2.323,53.109,10.341
2011-03-31,6.32300,30.17000,0.33100,30.50100,37.64200,-4.01600,6.60000,19.54500,56.36500,-5.18100,,-2.53800,,3.56600,3.56600,-4.15300,,,,8.89700,8.89700,-5.52300,3.37400,54.79900,9.35700
2010-12-31,-37.037,30.561,14.903,45.464,17.979,-10.523,-15.842,48.587,57.014,-5.842,2.706,-2.706,0.317,0,0.317,-5.525,-5.183,0,-5.183,0.374,0.374,-3.012,-7.821,48.374,10.643
2010-09-30,126.753,30.492,10.316,40.808,8.301,-5.082,-121.634,-121.133,46.428,-9.275,-0.189,-2.166,0,-2.357,-2.357,-13.987,0,0,0,5.15,5.15,-13.884,-8.734,33.432,12.01
2010-06-30,48.607,25.646,-59.324,-33.678,11.315,-4.876,22.529,34.069,48.998,-8.866,-2.03,-253.951,0,0.669,0.669,-264.178,86.495,0,86.495,-39.922,-39.922,25.644,72.217,-143.7,10.435
2010-03-31,-11.78500,26.98800,1.61300,28.60100,33.78000,-6.04700,1.22900,29.88700,46.70300,-9.89900,-0.48700,,,8.96400,8.96400,-1.42200,,,,8.04400,8.04400,-3.76800,4.27600,50.18800,10.37200
2009-12-31,1.79,27.16,13.984,41.144,-2.434,1.05,-25.186,-42.026,0.908,-6.94,0.774,-0.774,0,3.996,3.996,-2.944,0,0,0,0.148,0.148,-0.521,-0.373,-1.502,11.016
2009-09-30,-14.047,26.624,18.203,44.827,45.655,-3.001,-38.563,-9.057,21.723,-8.222,-0.38,-9.23,0,-0.611,-0.611,-18.443,0,0,0,8.261,8.261,-3.287,4.974,13.692,14.455
2009-06-30,-74.357,28.981,24.897,53.878,45.761,6.512,-18.939,30.823,10.344,-7.464,-0.394,-1.353,0,-0.4,-0.4,-9.611,0,0,0,0.08,0.08,-1.78,-1.7,2.521,16.507
2009-03-31,-63.25700,31.28600,25.14000,56.42600,93.15700,-0.66500,-29.26300,-0.50700,-7.33800,-14.81800,,-3.54300,,-1.15000,-1.15000,-19.51100,,,,19.52100,19.52100,-1.45500,18.06600,-13.85100,12.72800
