,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2017-12-31,-149.629,12.859,65.392,78.251,-67.954,0.11,-2.262,0.684,-17.889,-89.267,-25.251,0,-117.751,0,-117.751,-143.002,0,0,8.21,8.21,-4.486,3.724,-228.538,33.768
2017-09-30,36.054,11.94,7.611,19.551,-28.829,0.279,0.84,1.441,-2.482,53.123,-34.304,0,3.465,0,3.465,-30.839,0,0,658.48,658.48,-4.486,653.994,676.275,34.929
2017-06-30,-12.484,12.352,61.218,73.57,75.459,3.672,-17.234,-8.398,55.708,116.794,-30.499,0,-6.819,0,-6.819,-37.318,0,0,15.725,15.725,-5.193,10.532,89.972,33.745
2017-03-31,-187.08300,15.02700,97.98400,113.01100,-96.21700,0.79000,10.72800,-25.09400,-99.56600,-173.63800,-20.96700,,6.03900,-123.89100,-117.85200,-138.81900,,,33.73600,33.73600,-11.77600,21.96000,-290.50400,30.61300
2016-12-31,8.873,17.566,58.647,76.213,-17.235,-0.392,18.075,-2.614,9.292,94.378,-15.872,0.109,-20.249,0,-20.249,-36.012,0,0,17.505,17.505,-17.656,-0.151,58.221,27.603
2016-09-30,36.877,16.951,10.312,27.263,-3.894,2.757,16.8,-9.078,31.131,95.271,-16.629,1.88,4.797,0,4.797,-9.952,0,0,8.363,8.363,-1.237,7.126,92.445,26.527
2016-06-30,34.425,12.85,24.5,37.35,-15.988,0.93,7.069,-7.007,-54.203,17.572,-82.214,-144.845,11.778,0,11.778,-215.281,0,0,13.886,13.886,13.877,27.763,-169.961,21.302
2016-03-31,24.04700,11.05800,23.89700,34.95500,13.17000,0.75200,1.81400,-6.88200,38.53300,97.53500,-5.56200,,34.31900,,34.31900,28.75700,,,10.21900,10.21900,-0.33500,9.88400,136.17600,20.76900
2015-12-31,55.176,10.604,19.875,30.479,-27.484,0.928,2.719,2.287,-12.774,72.881,-6.896,0,2.367,0,2.367,-4.529,0,0,9.565,9.565,-2.279,7.286,75.638,17.097
2015-09-30,-39.582,11.178,47.063,58.241,-11.844,0.179,-1.796,-6.078,-10.936,7.723,-13.358,0,-1.857,0,-1.857,-15.215,0,0,13.913,13.913,-0.301,13.612,6.12,17.625
