,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2016-03-31,556.00000,103.00000,-21.00000,82.00000,-514.00000,-89.00000,101.00000,-692.00000,-60.00000,-298.00000,,,,,-298.00000,-107.00000,,-107.00000,-282.00000,-282.00000,-159.00000,-136.00000,-684.00000,-1042.00000,14.00000,-159.00000
2015-12-31,459,138,444,582,433,50,71,612,1633,-137,0,0,0,4,-133,0,0,0,-318,-318,-145,-10,-473,1027,29,-145
2015-09-30,516,113,44,157,-119,-13,39,-92,557,-102,0,0,0,38,-64,0,0,0,-948,-948,-149,-11,-1108,-615,23,-149
2015-06-30,531,117,-43,74,-19,-41,94,1,626,-115,0,0,0,-4,-119,0,0,0,-1091,-1091,-153,-2,-1246,-739,23,-153
2015-03-31,484.00000,99.00000,123.00000,222.00000,-325.00000,-76.00000,-424.00000,-1348.00000,-654.00000,-117.00000,,,,2.00000,-115.00000,600.00000,,600.00000,-825.00000,-825.00000,-156.00000,-67.00000,-448.00000,-1217.00000,24.00000,-156.00000
2014-12-31,506,140,175,315,426,-67,21,688,1490,-276,0,0,0,-12,-288,0,0,0,-610,-610,-140,9,-741,461,41,-140
2014-09-30,473,105,96,201,46,76,-10,284,933,-109,0,0,0,0,-109,0,0,0,-757,-757,-143,2,-898,-74,42,-143
2014-06-30,511,108,4,112,-46,33,-23,-45,572,-116,0,0,0,0,-116,0,0,0,-731,-731,-148,14,-865,-409,29,-148
2014-03-31,579.00000,109.00000,-6.00000,103.00000,-531.00000,-66.00000,8.00000,-1065.00000,-402.00000,-60.00000,,,,-72.00000,-132.00000,,,,-570.00000,-570.00000,-132.00000,-29.00000,-731.00000,-1265.00000,22.00000,-132.00000
2013-12-31,478,150,59,209,318,91,52,498,1204,-186,0,0,0,9,-177,0,0,0,-710,-710,-134,23,-821,206,26,-134
2013-09-30,497,120,93,213,121,-52,7,242,950,-90,0,0,0,3,-87,0,0,0,-740,-740,-139,56,-823,40,47,-139
2013-06-30,488,115,39,154,-73,187,-453,-358,328,-48,0,0,0,4,-44,1964,0,1964,-465,-465,-142,80,1437,1721,47,-142
2013-03-31,489.00000,110.00000,38.00000,148.00000,-195.00000,-125.00000,62.00000,-609.00000,1.00000,-40.00000,,,,2.00000,-38.00000,,,,-456.00000,-456.00000,-130.00000,-56.00000,-642.00000,-679.00000,24.00000,-130.00000
2012-12-31,533,139,99,238,117,-178,53,278,1057,-135,0,0,0,-10,-145,0,0,0,-623,-623,-134,182,-575,337,72,-134
2012-09-30,459,128,91,219,148,81,-231,135,812,-64,0,0,0,-37,-101,0,0,0,-205,-205,-136,7,-334,377,35,-136
2012-06-30,480,123,27,150,92,83,84,250,876,-51,0,0,0,44,-7,0,0,0,-265,-265,-138,0,-403,466,50,-138
2012-03-31,506.00000,120.00000,-1.00000,119.00000,-267.00000,60.00000,-42.00000,-715.00000,-105.00000,-81.00000,,250.00000,250.00000,,169.00000,,,,-223.00000,-223.00000,-127.00000,-34.00000,-384.00000,-320.00000,26.00000,-127.00000
2011-12-31,548,157,288,445,370,-24,-483,334,1321,-166,0,-250,-250,7,-409,-18,0,-18,-693,-693,-129,-16,-856,56,43,-129
2011-09-30,520,132,154,286,144,16,30,94,948,-109,0,0,0,8,-101,0,0,0,-574,-574,-137,0,-711,136,31,-137
2011-06-30,520,134,81,215,81,-24,-466,-819,-34,-94,0,0,0,3,-91,0,0,0,-957,-957,-140,13,-1084,-1209,33,-140
2011-03-31,530.00000,121.00000,-223.00000,-102.00000,-245.00000,30.00000,31.00000,-522.00000,-120.00000,-123.00000,,,,1404.00000,1281.00000,-750.00000,,-750.00000,30.00000,30.00000,-137.00000,14.00000,-843.00000,318.00000,33.00000,-137.00000
2010-12-31,376,160,407,567,87,-18,-255,396,1387,-284,0,-2,-2,-93,-379,564,0,564,-87,-87,-137,-174,166,1174,33,-137
2010-09-30,497,136,208,344,31,-23,77,164,978,-123,-13,0,0,-27,-163,-1,0,-1,-196,-196,-138,4,-331,484,34,-138
2010-06-30,711,130,158,288,124,64,-222,-359,619,-75,13,0,0,-21,-83,-1,-2,-3,-315,-315,-141,6,-453,83,31,-141
2010-03-31,469.00000,129.00000,-119.00000,10.00000,-713.00000,-87.00000,82.00000,-1010.00000,-531.00000,-103.00000,,,,-32.00000,-135.00000,-89.00000,2.00000,-87.00000,-437.00000,-437.00000,-129.00000,5.00000,-648.00000,-1314.00000,38.00000,-129.00000
2009-12-31,413,13,-517,-504,409,106,303,1090,931,-37,1683,0,0,-241,1405,-408,-4,-412,-428,-428,-134,-12,-986,1350,22,-134
2009-09-30,490,184,79,263,283,-143,-344,-209,544,-139,0,0,0,-38,-177,849,1,850,-215,-215,-136,2,501,868,28,-136
2009-06-30,394,179,96,275,1401,259,-1298,161,830,-135,-33,0,0,-18,-186,-72,4,-68,-264,-264,-138,0,-470,174,20,-138
2009-03-31,389.00000,174.00000,107.00000,281.00000,-1748.00000,-355.00000,1395.00000,-842.00000,-172.00000,-162.00000,,,,-14.00000,-176.00000,,-1.00000,-1.00000,-142.00000,-142.00000,-131.00000,,-274.00000,-622.00000,35.00000,-131.00000
