,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2012-03-31,797.00000,1740.00000,93.00000,1833.00000,-82.00000,67.00000,-67.00000,-133.00000,-641.00000,2007.00000,-1967.00000,-200.00000,,-439.00000,-439.00000,-36.00000,-2642.00000,657.00000,657.00000,,,-77.00000,5.00000,585.00000,-50.00000,-77.00000
2011-12-31,1189,1174,221,1395,-342,-2,122,212,118,2782,-1628,-1304,0,0,0,-87,-3019,15,15,0,0,-76,7,-54,-291,-133
2011-09-30,1002,1065,658,1723,-62,62,-87,-38,-241,2447,-1781,-431,0,0,0,-37,-2249,-651,-651,-42,-42,-77,51,-719,-521,-58
2011-06-30,1259,1029,334,1363,2,-71,111,-79,106,2745,-1551,-78,0,0,0,1,-1628,-308,-308,16,16,-77,3,-366,751,-58
2011-03-31,1134.00000,936.00000,187.00000,1123.00000,-357.00000,-26.00000,95.00000,89.00000,-264.00000,1979.00000,-1696.00000,,,,,-53.00000,-1749.00000,19.00000,19.00000,26.00000,26.00000,-76.00000,23.00000,-8.00000,222.00000,-57.00000
2010-12-31,689,928,283,1211,-289,56,75,60,-55,1926,-1553,-4810,0,0,0,3416,-2947,-32,-32,-33,-33,-74,83,-56,-1077,-74
2010-09-30,778,787,377,1164,-103,-14,90,-182,-269,1715,-1191,-2517,0,0,0,-3530,-7238,1502,1502,2267,3494,-51,-16,4929,-594,-51
2010-06-30,860,729,220,949,165,1,-67,16,97,1931,-1104,-1033,0,0,0,-33,-2170,-52,-52,12,12,-51,9,-82,-321,-51
2010-03-31,705.00000,639.00000,183.00000,822.00000,-269.00000,-8.00000,116.00000,20.00000,-415.00000,1154.00000,-1074.00000,,,,,26.00000,-1048.00000,-3.00000,-3.00000,12.00000,12.00000,-50.00000,13.00000,-28.00000,78.00000,-50.00000
2009-12-31,585.204,614.965,203.795,818.76,41.095,-16.897,3.884,48.857,98.092,1544.529,-663.89,-51.657,0.001,0,0.001,-15.784,-731.33,17.824,17.824,3.628,-94.372,-53.875,8.31,-122.113,691.086,-51
2009-09-30,442.016,625.898,192.213,818.111,-54.593,15.946,-7.312,36.953,16.822,1312.742,-682.972,-77.21,0,0,0,-12.697,-772.879,82.51,82.51,11.732,11.732,-51.794,3.496,45.944,585.807,-50
2009-06-30,444.72,573.359,150.299,723.658,-242.64,-10.571,-15.372,-132.224,-436.071,823.513,-1222.947,-181.133,791.999,0,791.999,-48.919,-661,55.103,55.103,10.64,10.64,-51.698,5.306,19.351,181.864,-50.8
2009-03-31,-1756.94000,3398.77800,-672.30700,2726.47100,69.13800,6.52200,-161.20000,-12.58600,-439.84300,543.21600,-1059.19100,,,,,-22.60000,-1081.79100,-7.43700,-7.43700,2.00000,2.00000,-51.63300,3.88800,-53.18200,-591.75700,-50.20000
