,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2012-07-31,4,57,-15,42,114,-61,-73,-236,-182,-61,-10,-392,321,0,321,-1,-143,0,0,0,-103,-103,-44,8,-139,-466,49,-44
2012-04-30,734,52,55,107,297,-4,-155,436,1278,-33,0,0,16,0,16,0,-17,-500,0,-500,-153,-153,-45,19,-679,582,37,-45
2012-01-31,118,61,32,93,-426,45,395,47,260,-48,0,0,32,0,32,1,-15,0,0,0,-270,-270,-44,14,-300,-56,43,-44
2011-10-31,-64.00000,72.00000,36.00000,108.00000,5.00000,39.00000,-119.00000,-154.00000,-110.00000,-44.00000,,,-20.00000,,-20.00000,14.00000,-50.00000,,,,-210.00000,-210.00000,-45.00000,29.00000,-226.00000,-389.00000,40.00000,-45.00000
2011-07-31,-57,93,48,141,94,-66,-93,-275,-172,-47,-12,0,-224,0,-224,0,-283,0,0,0,-202,-202,0,12,-190,-647,41,0
2011-04-30,688,61,50,111,215,-4,-136,350,1138,-31,0,0,8,0,8,-1,-24,0,0,0,-202,-202,0,18,-184,936,39,0
2011-01-31,73,61,31,92,-333,41,356,87,258,-84,0,0,569,0,569,34,519,0,0,0,-469,-469,0,14,-455,321,38,0
2010-10-31,-70.00000,56.00000,65.00000,121.00000,-12.00000,5.00000,-165.00000,-267.00000,-211.00000,-51.00000,-3.00000,,344.00000,,344.00000,-5.00000,285.00000,,,,-204.00000,-204.00000,,27.00000,-177.00000,-102.00000,35.00000,
2010-07-31,-48,58,34,92,69,-23,-1,-203,-151,-30,-10,-77,89,0,89,-3,-31,0,0,0,-60,-60,0,28,-32,-216,36,0
2010-04-30,576,55,2,57,264,7,-196,406,1044,-34,-3,0,-895,0,-895,-2,-934,0,0,0,-24,-24,0,5,-19,93,34,0
2010-01-31,114,68,-16,52,-318,47,319,69,245,-34,0,-19,-59,0,-59,58,-54,0,0,0,-165,-165,0,-3,-168,24,38,0
2009-10-31,-68.00000,75.00000,6.00000,81.00000,-13.00000,9.00000,-92.00000,-153.00000,-140.00000,-32.00000,,,-30.00000,,-30.00000,84.00000,22.00000,,,,-235.00000,-235.00000,,-13.00000,-248.00000,-366.00000,27.00000,
2009-07-31,-71,86,24,110,128,-47,-55,-108,-66,-34,-20,-153,-248,0,-248,-2,-457,0,0,0,-28,-28,0,2,-26,-543,39,0
2009-04-30,485,63,38,101,171,25,-21,346,935,-31,0,-8,-40,0,-40,-4,-83,0,0,0,31,31,0,0,31,883,37,0
2009-01-31,33,126,102,228,-317,15,87,-325,-57,-117,0,0,221,0,221,4,108,0,0,0,-105,-105,0,-10,-115,-74,57,0
