,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2013-06-30,14134,1626,-9866,-8240,0,0,-2137,-2137,3757,-309,-1,-15,2390,-1237,1153,15,843,1602,-1233,369,-2730,-2730,-1701,28,-4034,544,103,-1701
2013-03-31,2765.00000,1774.00000,1091.00000,2865.00000,,,-3327.00000,-3327.00000,2303.00000,-202.00000,-126.00000,,-9952.00000,-802.00000,-10754.00000,156.00000,-10926.00000,2622.00000,3485.00000,6107.00000,-3984.00000,-3984.00000,-1735.00000,46.00000,434.00000,-8189.00000,189.00000,-1735.00000
2012-12-31,6321,2107,-4455,-2348,367,-631,170,975,4948,-494,-92,11582,-3530,-818,-4348,189,6837,-1499,146,-1353,-3181,-3181,-1619,-80,-6233,5575,119,-1619
2012-09-30,3214,1656,550,2206,0,0,-417,-417,5003,-285,0,0,3310,-3324,-14,52,-247,-7,26,19,-1678,-1678,-1632,0,-3291,1475,115,-1632
2012-06-30,3260,1671,482,2153,0,0,-1392,-1392,4021,-294,0,0,565,-1131,-566,-27,-887,-4,-154,-158,-1177,-1177,-1633,0,-2968,97,117,-1633
2012-03-31,1803.00000,2221.00000,283.00000,2504.00000,,,-1533.00000,-1533.00000,2774.00000,-254.00000,,-782.00000,2398.00000,-882.00000,1516.00000,-29.00000,451.00000,-3.00000,-230.00000,-233.00000,-1624.00000,-1624.00000,-1650.00000,,-3507.00000,-248.00000,130.00000,-1650.00000
2011-12-31,1448,2458,-1280,1178,140,1084,1796,2635,5261,-598,-222,-94,2191,-828,1363,93,542,-3500,1900,-1600,-3058,-3058,-1524,-68,-6250,-524,72,-1524
2011-09-30,3749,2215,-1164,1051,0,0,-361,-361,4439,-454,0,2357,-3571,1548,-2023,335,215,-5,-389,-394,-2110,-2110,-1551,20,-4035,610,103,-1551
2011-06-30,2618,2249,1294,3543,0,0,-263,-263,5898,-358,0,0,2799,-2149,650,69,361,397,-529,-132,-2249,-2249,-1568,31,-3918,2366,122,-1568
2011-03-31,2234.00000,2104.00000,-218.00000,1886.00000,,,522.00000,522.00000,4642.00000,-250.00000,,-3169.00000,5184.00000,-1044.00000,4140.00000,4.00000,725.00000,-3878.00000,462.00000,-3416.00000,-1430.00000,-1430.00000,-1591.00000,33.00000,-6404.00000,-1005.00000,122.00000,-1591.00000
2010-12-31,2897,1906,1303,3209,-608,2917,10810,152,6258,-547,0,-273,-3908,-539,-4447,-378,-5645,-2,433,431,0,0,-1544,34,-1079,-441,54,-1544
2010-09-30,871,2229,924,3153,0,0,2659,2659,6683,-288,0,0,-3042,-527,-3569,-23,-3880,-2,-427,-429,-500,-500,-1549,-45,-2523,299,108,-1549
2010-06-30,2485,2213,1368,3581,0,0,-1193,-1193,4873,-373,0,0,-1693,1406,-287,299,-361,7,-2381,-2374,-500,-500,-1554,67,-4361,118,105,-1554
2010-03-31,2035.00000,2051.00000,1534.00000,3585.00000,,,-11980.00000,-11980.00000,-6360.00000,-305.00000,,,9210.00000,269.00000,9479.00000,220.00000,9394.00000,-9.00000,-1771.00000,-1780.00000,,,-1441.00000,10.00000,-3211.00000,-219.00000,138.00000,-1441.00000
2009-12-31,766,1774,-10542,-8768,252,1631,-11,12827,4825,-422,0,-43123,38209,845,39054,124,-4367,-31,-1433,-1464,0,0,-1280,10,-2734,-2256,91,-1280
2009-09-30,2881,969,844,1813,0,0,-593,-593,4101,-261,0,0,-752,553,-199,162,-298,-1,-764,-765,0,0,-1068,5,-1828,1990,89,-1068
2009-06-30,2266,1006,590,1596,0,0,652,652,4514,-269,0,0,-13636,771,-12865,161,-12973,9999,587,10586,0,0,-1067,-111,9408,997,98,-1067
2009-03-31,2730.00000,1008.00000,308.00000,1316.00000,,,-899.00000,-899.00000,3147.00000,-253.00000,,,-11013.00000,-2553.00000,-13566.00000,185.00000,-13634.00000,13089.00000,-1326.00000,11763.00000,,,-2133.00000,5.00000,9635.00000,-875.00000,71.00000,-2133.00000
