,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2018-12-31,437,329,-30,299,123,141,303,88,1114,-173,-2532,-9906,-945,-10851,-2371,-15927,-1194,3235,2041,-237,-237,-220,12162,13746,-1067,-220
2018-09-30,764,287,-1,286,-110,159,5238,4782,5659,-151,-63,12136,464,12600,777,13163,-8,-1492,-1500,1353,1848,-209,-18465,-18326,496,-209
2018-06-30,733,289,-65,224,97,18,-2886,-2484,-1434,-138,0,4605,-2698,1907,5472,7241,-509,1105,596,-20,-20,-189,-4854,-4467,1340,-189
2018-03-31,659.00000,298.00000,-31.00000,267.00000,-84.00000,-85.00000,2813.00000,3735.00000,4836.00000,-147.00000,,-14086.00000,11523.00000,-2563.00000,-6263.00000,-8973.00000,-515.00000,-900.00000,-1415.00000,-420.00000,-420.00000,-210.00000,6621.00000,4576.00000,439.00000,-210.00000
2017-12-31,349,289,309,598,-56,42,5911,4197,5083,-152,0,-6047,-5005,-11052,373,-10831,-11,-1134,-1145,-375,-375,-191,5634,3923,-1825,-191
2017-09-30,685,275,-162,113,-238,-239,-2903,-3001,-2142,-160,-172,2368,3058,5426,769,5863,-11,-201,-212,-375,-375,-198,-2153,-2938,783,-198
2017-06-30,620,257,-53,204,-115,49,84,-536,490,-161,172,2181,1391,3572,-1777,1806,287,141,428,-259,-259,-178,-2040,-2049,247,-178
2017-03-31,502.00000,264.00000,37.00000,301.00000,-46.00000,79.00000,660.00000,2601.00000,3509.00000,-164.00000,,3921.00000,2227.00000,6148.00000,-2774.00000,3210.00000,-11.00000,-805.00000,-816.00000,-409.00000,-409.00000,-201.00000,-3698.00000,-5124.00000,1595.00000,-201.00000
2016-12-31,593,259,-391,-132,-50,39,916,-641,14,-136,0,8641,-518,8123,1795,9782,-11,208,197,-363,-363,-182,-11624,-11972,-2176,-182
2016-09-30,563,210,59,269,-195,-173,-2385,-3697,-2736,-149,-437,-4353,3275,-1078,-1602,-3266,-10,-285,-295,-337,-337,-188,5639,4819,-1183,-188
2016-06-30,619,228,-8,220,-28,-17,1450,1455,2160,-160,0,-8425,-1153,-9578,-575,-10313,1482,132,1614,-465,28,-169,7618,9091,938,-169
2016-03-31,368.00000,232.00000,-25.00000,207.00000,-25.00000,-24.00000,716.00000,1960.00000,2852.00000,-168.00000,,9988.00000,-1421.00000,8567.00000,-372.00000,8027.00000,-1410.00000,-323.00000,-1733.00000,-322.00000,-322.00000,-184.00000,-6112.00000,-8351.00000,2528.00000,-184.00000
2015-12-31,576,210,-156,54,-75,374,2432,2555,3379,-160,0,-1226,-3686,-4912,274,-4798,-253,-5293,-5546,-592,-592,-166,5270,-1034,-2453,-166
2015-09-30,581,207,-62,145,114,150,-269,-1208,-255,-242,0,43659,3649,47308,-436,46630,3011,-4203,-1192,-216,-216,-181,-44210,-45799,576,-181
2015-06-30,418,198,55,253,-104,-228,-5578,-5565,-4924,-205,0,-26446,11031,-15415,-226,-15846,-15,1228,1213,-349,393,-152,19251,20705,-65,-152
2015-03-31,405.00000,186.00000,1.00000,187.00000,-39.00000,-221.00000,-1109.00000,-383.00000,397.00000,-96.00000,,1184.00000,-1979.00000,-795.00000,-100.00000,-991.00000,-915.00000,1194.00000,279.00000,-581.00000,-581.00000,-156.00000,2346.00000,1888.00000,1294.00000,-156.00000
2014-12-31,477,186,77,263,76,109,1494,-386,403,-129,0,-6364,1680,-4684,228,-4585,985,-382,603,-441,287,-143,1144,1891,-2291,-143
2014-09-30,560,177,10,187,-97,-92,-1274,-2173,-1364,-64,0,12518,-300,12218,-1583,10571,-16,205,189,-440,-440,-145,-10912,-11308,-2101,-145
2014-06-30,622,183,9,192,-24,-52,-2894,-2372,-1506,-124,0,-20184,1015,-19169,-671,-19964,-506,722,216,-436,-436,-131,24191,23840,2370,-131
2014-03-31,363.00000,153.00000,-40.00000,113.00000,-74.00000,-46.00000,-118.00000,1304.00000,1906.00000,-110.00000,,-11396.00000,-398.00000,-11794.00000,-2610.00000,-14514.00000,-257.00000,1030.00000,773.00000,-551.00000,191.00000,-120.00000,12421.00000,13265.00000,657.00000,-120.00000
2013-12-31,467,191,51,242,-29,73,-2644,-2188,-1449,-129,-18,-26024,-1489,-27513,2145,-25515,986,-2122,-1136,-574,-574,-121,28119,26288,-676,-121
2013-09-30,540,184,-56,128,-39,-263,1499,520,1186,-31,18,5889,2269,8158,870,9015,-114,1345,1231,-571,-571,-123,-12321,-11784,-1583,-123
2013-06-30,579,140,87,227,48,1,-4238,-3057,-2143,-109,0,-2425,-743,-3168,-2424,-5701,1486,-3933,-2447,-551,-551,-132,11745,8615,771,-132
2013-03-31,464.00000,160.00000,55.00000,215.00000,-133.00000,-17.00000,390.00000,-494.00000,382.00000,-119.00000,,7852.00000,2049.00000,9901.00000,-1666.00000,8116.00000,-7.00000,3555.00000,3548.00000,-412.00000,-412.00000,-110.00000,-9406.00000,-6380.00000,2118.00000,-110.00000
2012-12-31,470,172,616,788,-37,-26,-428,-1082,533,-101,-511,-15932,-7076,-23008,1750,-21870,985,-376,609,-878,-878,-122,17886,17495,-3842,-122
2012-09-30,674,120,-369,-249,-19,-10,902,2038,2463,-111,0,-558,-775,-1333,-1668,-3112,-6,-1495,-1501,-390,98,-122,2518,993,344,-122
2012-06-30,490,91,-106,-15,52,138,-2039,-2159,-1686,-58,0,-4685,-1584,-6269,-65,-6392,-1756,1461,-295,-389,-389,-124,13591,12783,4705,-124
2012-03-31,427.00000,106.00000,67.00000,173.00000,-144.00000,-32.00000,744.00000,54.00000,623.00000,-85.00000,,31327.00000,-2255.00000,29072.00000,-2204.00000,26783.00000,-6.00000,-1177.00000,-1183.00000,169.00000,169.00000,-95.00000,-27107.00000,-28216.00000,-810.00000,-95.00000
2011-12-31,381,153,272,425,110,-112,4722,2390,3149,-89,-137,-23389,-2654,-26043,1697,-24572,-12,-7833,-7845,-219,-219,-96,22289,14129,-7294,-96
2011-09-30,555,96,-86,10,-61,217,2167,1111,2286,-17,0,-9720,-1372,-11092,1188,-9921,-1456,4737,3281,-224,-224,-96,9589,12550,4915,-96
2011-06-30,513,110,-52,58,-21,-816,-4486,-3125,-2214,-103,0,-10585,-2921,-13506,-199,-13808,-6,285,279,-219,-219,-98,17995,17957,1935,-98
2011-03-31,471.00000,59.00000,17.00000,76.00000,-117.00000,87.00000,-939.00000,228.00000,153.00000,-89.00000,-77.00000,2925.00000,-7592.00000,-4667.00000,-761.00000,-5594.00000,974.00000,-5744.00000,-4770.00000,-27.00000,473.00000,-5.00000,9069.00000,4767.00000,-674.00000,-5.00000
2010-12-31,83,-2,1383,1381,34,1422,-2941,-1424,-169,-105,-86,3339,4212,7551,1834,9194,-6,-3595,-3601,-2,-2,-5,-6689,-10297,-1272,-5
2010-09-30,546,-59,67,8,-1056,-1143,1108,-1091,-2410,-78,-6,-5453,2499,-2954,-1946,-4984,-2,-2618,-2620,-1,-1,-5,9291,6665,-729,-5
2010-06-30,432,-55,66,11,852,-56,-1012,-216,1599,-54,-2240,3135,-5376,-2241,596,-3939,-310,460,150,3,3,-5,5407,5555,3215,-5
2010-03-31,495.00000,-114.00000,14.00000,-100.00000,-66.00000,1.00000,783.00000,718.00000,1803.00000,-25.00000,,2836.00000,1551.00000,4387.00000,-1441.00000,2921.00000,-23.00000,-5480.00000,-5503.00000,-34.00000,-34.00000,-5.00000,274.00000,-5268.00000,-544.00000,-5.00000
2009-12-31,498,2310,-2018,292,241,2,1358,1601,386,-154,0,39,561,600,757,1203,-2,-2289,-2291,4,4,-4,-1684,-3975,-2386,-4
2009-09-30,327,-259,-42,-301,0,-23,0,-23,389,178,0,2565,-9847,-7282,1218,-5886,-9,397,388,-94,-94,-5,6191,6480,983,-5
2009-06-30,-3182,-2349,6070,3721,0,4745,0,4745,-2271,-209,0,4695,4900,9595,-2328,7058,494,-6656,-6162,2254,254,-35,1661,-4282,505,-35
2009-03-31,476.00000,-23.00000,-16.00000,-39.00000,,-4358.00000,,-4358.00000,-2735.00000,-140.00000,,21171.00000,6643.00000,27814.00000,1583.00000,29257.00000,3923.00000,-1657.00000,2266.00000,3.00000,3.00000,-124.00000,-28309.00000,-26164.00000,358.00000,-124.00000
