,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2014-03-31,303.04300,83.10700,11.92200,95.02900,13.94100,1.46500,-194.09000,-188.85000,209.22200,-175.05500,-5.17200,,-1.64000,-1.64000,199.80500,17.93800,743.87900,743.87900,0.29100,0.29100,-126.40600,-4.96700,612.79700,838.58000,3.92100,-126.40600
2013-12-31,290.486,100.131,18.093,118.224,-30.453,-6.133,-46.976,-13.402,395.308,-169.354,-5.945,0,0.387,0.387,-12.09,-187.002,360.251,603.289,1.371,1.371,-403.288,-15.729,185.643,393.886,4.465,-403.288
2013-09-30,248.811,98.531,10.202,108.733,-20.516,-2.615,9.413,12.984,370.528,-135.106,0,0,-28.803,-28.803,-201.563,-365.472,197.491,-45.547,245.356,245.356,-193.45,0.536,6.895,12.926,5.204,-193.45
2013-06-30,192.716,96.704,33.991,130.695,48.225,-1.097,97.741,166.525,489.936,-130.925,0,0,-88.522,-88.522,79.512,-139.935,211.161,211.161,-240.262,-240.262,-336.539,-15.713,-381.353,-28.476,28.746,-336.539
2013-03-31,272.14400,97.13800,4.47700,101.61500,-12.13100,-7.90400,85.43700,47.11100,420.87000,-58.79700,,,40.19400,40.19400,33.43200,14.82900,-0.35000,-0.35000,-1.50100,-1.50100,-101.70900,1.23200,-102.32800,331.48600,1.12200,-101.70900
2012-12-31,165.826,98.188,40.035,138.223,-37.915,-1.572,-27.423,-107.567,196.482,-72.491,3.753,0,212.219,212.219,-137.205,6.276,-14.1432,-14.1432,14.356,14.356,-801.434,-8.784,-810.005,-605.718,5.944,-801.434
2012-09-30,165.171,100.398,32.618,133.016,-2.87,2.216,0,30.227,328.414,-52.423,-3.753,0,-118.213,-118.213,3.234,-171.155,323.9251,323.9251,0.251,0.251,-53.2,-32.644,238.332,397.748,5.85,-53.2
2012-06-30,199.293,99.286,-14.019,85.267,21.807,3,-1.276,37.772,322.332,-80.146,0,0,-86.133,-86.133,-1.669,-167.948,-38.557,-38.557,-0.166,-0.166,-50.492,-2.401,-91.616,62.119,5.206,-50.492
2012-03-31,198.40900,99.29200,32.16800,131.46000,-2.04100,,-3.65400,8.62100,338.49000,-35.19500,,,24.73300,24.73300,-1.56500,-12.02700,341.12200,341.12200,0.23100,0.23100,-50.36700,-10.17600,280.81000,608.48300,2.64800,-50.36700
2011-12-31,258.262,98.785,6.292,105.077,-63.405,0.87,-2.668,3.444,366.783,-97.955,34.848,0,-253.228,-253.228,221.493,-94.842,112.492,112.492,2.06,2.06,-905.779,0.721,-790.506,-513.437,5.563,-905.779
2011-09-30,185.185,106.037,20.11,126.147,-13.978,1.301,-4.118,6.722,318.054,-34.31,-13.489,0,209.701,209.701,-281.628,-119.726,-41.906,-41.906,-2.946,-2.946,-64.883,2.777,-106.958,91.035,5.642,-64.883
2011-06-30,155.331,108.208,92.084,200.292,2.294,5.966,-3.135,152.196,507.819,-18.89,-16.915,0,-171.989,-171.989,0,-207.794,-21.024,-21.024,14.862,14.862,-62.785,6.563,-62.384,238.157,5.931,-62.785
2011-03-31,226.33500,104.69200,21.37800,126.07000,-9.56400,3.03100,-4.23000,-29.22600,323.17900,-32.29400,-4.44400,,,,,-36.73800,-100.98000,-100.98000,2.25400,2.25400,,0.93300,-97.79300,188.33300,6.74500,0.00000
2010-12-31,171.874,105.345,21.429,126.774,-59.813,7.258,-4.749,97.531,396.179,-54.888,11.422,0,0,0,-12.295,-55.761,89.203,89.203,34.705,34.705,-1130.804,4.102,-1002.794,-663.839,6.447,-1130.804
2010-09-30,-2.054,106.646,78.256,184.902,15.486,2.377,0.352,55.695,238.543,-40.95,-11.422,0,0,0,9.377,-42.995,-60.409,-60.409,21.27,21.27,-30.691,-63.592,-133.422,63.916,6.755,-30.691
2010-06-30,88.917,107.635,17.068,124.703,-6.698,10.692,1.675,67.874,281.494,-98.927,0,0,0,0,-8.983,-107.91,-47.128,-47.128,9.389,9.389,-30.643,-2.312,-70.694,101.407,7.039,-30.643
2010-03-31,57.85900,110.27400,20.50900,130.78300,-12.04800,1.84200,3.60200,-47.54600,141.09600,-89.06300,,,,,-0.39400,-89.45700,-286.86600,-286.86600,0.82200,0.82200,,0.31800,-285.72600,-234.81500,6.92700,
2009-12-31,13.232,109.927,-2.106,107.821,-31.376,-11.536,1.27,25.731,146.784,-109.662,-11.258,0,0,0,2.797,-118.123,-619.173,-619.173,1874.238,1874.238,-489.876,-97.441,667.748,695.752,5.639,-489.876
2009-09-30,34.21,107.376,2.877,110.253,-8.853,2.976,5.344,131.046,275.509,-123.842,0,0,0,0,-7.267,-131.109,61.0001,61.0001,0.87,0.87,0,-0.358,61.512,205.896,6.903,0
2009-06-30,25.479,109.783,9.006,118.789,-0.508,7.942,-3.261,-33.326,110.942,-122.603,0,0,0,0,8.519,-114.084,-616.129,-616.129,0.867,0.867,0,-10.199,-625.461,-628.54,6.365,0
2009-03-31,-33.81400,109.62100,-6.98100,102.64000,-0.67900,3.88300,-1.09500,-8.10500,60.72100,-183.71500,,,,,-4.04900,-187.76400,470.93000,470.93000,202.17000,202.17000,,38.61600,711.71600,584.81800,5.42900,
