,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2020-06-30,75.358,21.925,10.895,32.82,0,0,34.631,34.631,142.809,-5.105,-8.426,0.217,-13.314,-64.8,0,-64.8,-0.054,-0.054,-26.214,-5.822,-96.89,42.247,3.821,-26.214
2020-03-31,43.26800,21.59700,8.49100,30.08800,,,18.60700,18.60700,91.96300,-6.00600,-47.31900,0.27300,-53.05200,28.30000,,28.30000,-8.03100,-8.03100,-39.31700,-2.04000,-21.08800,-1.69400,3.81900,-39.31700
2019-12-31,50.765,22.606,58.208,80.814,-20.151,-2.151,-39.205,-55.896,75.683,-6.687,0.079,-0.531,-7.139,-34.5,0,-34.5,-0.074,-0.074,-50.743,-2.397,-87.714,-10.066,3.267,-50.743
2019-09-30,44.061,21.69,-3.19,18.5,0,0,39.153,39.153,101.714,-5.265,-21.056,0.273,-26.048,-21.875,0,-21.875,-0.101,-0.101,-34.394,-8.339,-64.709,5.876,3.305,-34.394
2019-06-30,64.295,20.132,8.067,28.199,0,0,-11.74,-11.74,80.754,-6.955,-402.935,0.528,-409.362,347.875,0,347.875,-0.713,-0.713,-34.367,-2.426,310.369,-18.141,3.697,-34.367
2019-03-31,44.22600,16.68300,8.30700,24.99000,,,-7.79400,-7.79400,61.42200,-6.48100,-6.64600,0.56900,-12.55800,,,,-9.12100,-9.12100,-34.33200,-2.80700,-46.26000,1.12200,3.88900,-34.33200
2018-12-31,50.968,14.526,12.737,27.263,-12.549,-0.374,32.196,7.896,86.127,-5.694,-4.984,-0.612,-11.29,0,0,0,-0.008,-0.008,-61.065,-13.129,-74.202,-3.167,3.696,-61.065
2018-09-30,66.628,16.867,8.69,25.557,0,0,-9.42,-9.42,82.765,-5.399,-17.051,0.577,-21.873,0,0,0,-0.195,-0.195,-30.535,0,-30.73,30.767,3.66,-30.535
2018-06-30,65.542,16.366,6.602,22.968,0,0,-30.749,-30.749,57.761,-8.112,-11.414,0.349,-19.177,0,0,0,-0.113,-0.113,-30.54,0,-30.653,3.566,3.277,-30.54
2018-03-31,48.52500,16.91600,6.93100,23.84700,,,0.37600,0.37600,72.74800,-6.13400,-42.97700,0.07600,-49.03500,,,,-9.22500,-9.22500,-30.60200,,-39.82700,-22.73100,3.09300,-30.60200
2017-12-31,33.735,13.903,16.204,30.107,-13.661,-0.837,18.291,-17.859,45.983,-7.093,-2.226,-0.262,-9.581,0,0,0,-0.053,-0.053,-46.835,0,-46.888,-6.347,2.993,-46.835
2017-09-30,51.43,14.313,8.938,23.251,0,0,-5.202,-5.202,69.479,-5.995,-121.524,-0.228,-127.747,0,0,0,-0.504,-0.504,-25.065,0,-25.569,-81.44,3.031,-25.065
2017-06-30,53.689,13.546,7.688,21.234,0,0,-11.786,-11.786,63.137,-5.768,-3.068,0.234,-8.602,0,0,0,-0.209,-0.209,-25.059,0,-25.268,32.359,3.108,-25.059
2017-03-31,40.27000,13.77100,8.66000,22.43100,,,-5.93000,-5.93000,56.77100,-5.45400,-2.85200,0.06100,-8.24500,,,,-7.48000,-7.48000,-25.05800,,-32.53800,19.69300,3.26700,-25.05800
2016-12-31,38.007,12.821,-1.742,11.079,-15.868,-0.671,19.543,19.28,68.366,-4.29,-4.984,-0.948,-10.222,0,0,0,-0.025,-0.025,-43.496,0.163,-43.358,3.522,2.986,-43.496
2016-09-30,49.651,13.083,7.933,21.016,0,0,-9.03,-9.03,61.637,-7.139,-5.689,0.052,-12.776,0,0,0,-12.444,-12.444,-21.818,0.428,-33.834,12.798,3.049,-21.818
2016-06-30,47.783,12.35,5.449,17.799,0,0,-10.404,-10.404,55.178,-11.033,-13.864,0.988,-23.909,0,0,0,-9.82,-9.82,-21.833,0.089,-31.564,-4.773,3.055,-21.833
2016-03-31,31.92800,11.64000,5.08500,16.72500,,,-7.30900,-7.30900,41.34400,-8.95600,-21.07200,0.09300,-29.93500,,,,-8.77900,-8.77900,-21.85500,3.01900,-27.61500,-3.33600,3.32500,-21.85500
2015-12-31,31.749,8.957,10.195,19.152,-12.494,0.814,15.224,1.631,52.532,-8.13,-1.669,-2.559,-12.358,0,0,0,0,0,-39.319,0.183,-39.136,0.264,2.736,-39.319
2015-09-30,45.046,11.156,4.104,15.26,0,0,-5.737,-5.737,54.569,-10.883,-0.516,1.515,-9.884,0,0,0,0,0,-17.477,0.082,-17.395,24.626,3.255,-17.477
2015-06-30,45.073,11.245,6.042,17.287,0,0,-17.159,-17.159,45.201,-9.419,-2.385,0.271,-11.533,0,0,0,-0.916,-0.916,-17.476,-0.6,-18.992,16.295,3.254,-17.476
2015-03-31,30.28100,10.78100,3.42900,14.21000,,,-0.43700,-0.43700,44.05400,-8.31100,-28.12500,0.26900,-36.16700,,,,-6.49100,-6.49100,-17.48300,2.28100,-21.69300,-14.98300,2.86500,-17.48300
2014-12-31,29.917,10.018,17.141,27.159,-13.369,-1.525,-22.01,-20.357,36.719,-4.007,-3.381,-1.062,-8.45,0,0,0,-0.016,-0.016,-29.805,0.211,-29.61,-5.844,2.625,-29.805
2014-09-30,41.121,11.437,4.996,16.433,0,0,9.862,9.862,67.416,-11.223,0.271,-0.046,-10.998,0,0,0,-22.708,-22.708,-15.333,0.078,-37.963,12.697,2.587,-15.333
2014-06-30,40.86,10.608,1.703,12.311,0,0,-4.342,-4.342,48.829,-6.315,-6.175,0.662,-11.828,0,0,0,-6.149,-6.149,-15.311,1.069,-20.391,18.39,2.602,-15.311
2014-03-31,25.76600,10.21400,1.63200,11.84600,,,3.57000,3.57000,41.18200,-5.15600,-53.48500,0.44600,-58.19500,,,,-6.64000,-6.64000,-15.30100,3.38600,-18.55500,-35.08700,2.76500,-15.30100
2013-12-31,27.957,9.566,6.445,16.011,-13.617,-0.118,1.567,-8.822,35.146,-4.966,-0.387,-0.428,-5.781,0,0,0,-0.018,-0.018,-26.226,0.187,-26.057,1.482,2.618,-26.226
2013-09-30,36.2,10.076,5.706,15.782,0,0,2.396,2.396,54.378,-3.68,-9.526,0.195,-13.011,0,0,0,-4.56,-4.56,-13.136,0.403,-17.293,25.137,2.717,-13.136
2013-06-30,35.994,9.768,4.308,14.076,0,0,-15.715,-15.715,34.355,-4.875,-1.688,0.177,-6.386,0,0,0,-4.667,-4.667,-13.15,0.452,-17.365,9.118,2.546,-13.15
2013-03-31,23.17900,9.89400,0.99000,10.88400,,,4.72300,4.72300,38.78600,-4.73900,-0.92900,0.05600,-5.61200,,,,-4.47200,-4.47200,-13.14600,2.68000,-14.93800,17.39700,2.54600,-13.14600
2012-12-31,22.914,9.229,-0.482,8.747,-16.438,-0.655,3.327,-9.854,21.807,-7.286,-14.223,0.544,-20.965,0,0,0,0,0,-29.174,0.2,-28.974,-28.631,2.369,-29.174
2012-09-30,32.211,9.465,9.186,18.651,0,0,-4.355,-4.355,46.507,-4.335,-0.386,0.139,-4.582,0,0,0,0,0,-11.673,0.099,-11.574,31.653,2.376,-11.673
2012-06-30,33.127,9.613,5.442,15.055,0,0,-11.666,-11.666,36.516,-3.705,-3.273,0.23,-6.748,0,0,0,-15.25,-15.25,-11.709,0.342,-26.617,2.376,2.377,-11.709
2012-03-31,23.08000,9.76700,2.34200,12.10900,,,1.90000,1.90000,37.08900,-3.71400,-6.82600,0.14200,-10.39800,,,,-4.68800,-4.68800,-11.72600,2.59000,-13.82400,13.40900,2.37200,-11.72600
2011-12-31,21.595,9.678,3.299,12.977,-10.663,0.837,5.613,4.969,39.541,-4.512,-1.999,-0.219,-6.73,-27,21.5,-5.5,-1.34,-1.34,-10.22,0.097,-16.963,16.056,1.91,-10.22
2011-09-30,29.415,9.337,3.485,12.822,0,0,-1.471,-1.471,40.766,-5.781,-1.276,0.007,-7.05,17,-26.5,-9.5,-10.684,-10.684,-10.264,2.132,-28.316,4.399,1.881,-10.264
2011-06-30,31.061,9.288,4.656,13.944,0,0,-3.619,-3.619,41.386,-4.255,-3.573,0.052,-7.776,-15.018,5,-10.018,-10.412,-10.412,-10.308,0.068,-30.67,2.48,1.882,-10.308
2011-03-31,18.64000,9.20000,3.05400,12.25400,,,2.06000,2.06000,32.95400,-3.34500,-4.41300,0.16000,-7.59800,-1.02000,-4.50000,-5.52000,-7.71000,-7.71000,-10.31800,0.07000,-23.47800,2.42700,1.88200,-10.31800
2010-12-31,19.206,9.365,9.87,19.235,-13.977,-1.391,-1.934,-6.807,31.634,-6.239,-13.726,-0.143,-20.108,4.468,-7,-2.532,-0.115,-0.115,-8.809,0.215,-11.241,0.663,1.679,-8.809
2010-09-30,25.513,9.076,0.459,9.535,0,0,-1.666,-1.666,33.382,-2.268,-18.717,0.012,-20.973,-1.035,6,4.965,-8.25,-8.25,-8.856,0.522,-11.619,0.964,1.638,-8.856
2010-06-30,27.7,8.967,4.517,13.484,0,0,-10.385,-10.385,30.799,-2.982,-1.549,-0.177,-4.708,-5.039,10,4.961,-16.852,-16.852,-8.924,0.059,-20.756,5.137,2.346,-8.924
2010-03-31,17.58300,9.00000,1.50200,10.50200,,,0.15300,0.15300,28.23800,-1.54000,-0.62400,0.30800,-1.85600,-0.11800,-9.00000,-9.11800,-4.22000,-4.22000,-8.93200,0.38900,-21.88100,4.64500,1.87500,-8.93200
2009-12-31,19.961,9.045,5.657,14.702,7.519,0.22,-3.018,-16.01,18.653,-5.874,-5.495,0,-11.369,-13.094,-0.6,-13.694,-3.726,-3.726,-6.925,0.046,-24.299,-16.717,1.45,-6.925
2009-09-30,22.733,9.321,5.636,14.957,-4.746,1.004,-9.153,-9.592,28.098,-3.691,-2.381,0,-6.072,-10.112,0.6,-9.512,-2.606,-2.606,-6.932,0.047,-19.003,3.646,1.45,-6.932
2009-06-30,25.482,9.374,4.656,14.03,-12.948,0.515,4.668,3.954,43.459,-2.628,-1.571,0,-4.199,-7.134,-6,-13.134,-12.131,-12.131,-6.97,0.093,-32.142,7.618,1.45,-6.97
2009-03-31,15.80800,9.42900,2.80500,12.23400,-0.25200,-0.69900,0.13800,-7.41300,20.63600,-3.45900,-1.46300,,-4.92200,-3.13100,6.00000,2.86900,-10.15200,-10.15200,-7.02600,,-14.30900,1.24100,1.45000,-7.02600
