,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2016-03-31,570.00000,127.00000,165.00000,292.00000,-540.00000,-307.00000,,-481.00000,-1079.00000,-130.00000,,,,,-2234.00000,-2234.00000,453.00000,-1781.00000,-1137.00000,537.00000,-600.00000,-18.00000,433.00000,-248.00000,1393.00000,978.00000,-933.00000,27.00000,-211.00000
2015-12-31,542,123,147,270,417,-367,0,280,479,1229,0,0,-252,0,-634,-634,-501,-1387,-969,1012,43,9,9,-247,1284,1089,931,18,-210
2015-09-30,533,121,135,256,1049,-92,0,230,965,1880,0,0,-435,0,-228,-228,-630,-1293,1057,-2137,-1080,59,59,-248,841,-428,159,30,-211
2015-06-30,501,110,305,415,-346,152,0,-217,-294,615,0,0,-174,0,1593,1593,-1381,38,-247,730,483,0,0,-232,-282,-31,622,35,-195
2015-03-31,547.00000,107.00000,122.00000,229.00000,-698.00000,-391.00000,,-307.00000,-1440.00000,-593.00000,,,1916.00000,,-829.00000,-829.00000,-294.00000,793.00000,-2.00000,-587.00000,-589.00000,,,-210.00000,273.00000,-526.00000,-326.00000,23.00000,-173.00000
2014-12-31,603,108,101,209,578,-101,-4,-567,838,1706,0,0,0,0,862,862,-1389,-527,855,332,1187,298,298,-210,-2146,-871,308,18,-173
2014-09-30,553,109,189,298,-309,0,0,545,-190,627,0,0,0,0,-595,-595,649,54,376,-594,-218,0,0,-209,-685,-1112,-431,28,-172
2014-06-30,477,103,110,213,-592,0,0,293,-685,245,0,0,1035,0,79,79,-2991,-1877,-1517,694,-823,-245,-245,-202,3130,1860,228,36,-165
2014-03-31,573.00000,104.00000,78.00000,182.00000,122.00000,,,75.00000,38.00000,632.00000,,,-10.00000,,-971.00000,-971.00000,-684.00000,-1665.00000,1884.00000,-853.00000,1031.00000,245.00000,245.00000,-193.00000,5.00000,1088.00000,55.00000,20.00000,-156.00000
2013-12-31,589,108,348,456,1636,116,0,696,2712,3558,0,0,522,0,-4038,-4038,-676,-4192,1166,-675,491,0,0,-192,31,330,-304,11,-155
2013-09-30,309,106,131,237,-490,0,0,-272,-1375,-558,0,0,0,0,1669,1669,105,1774,997,1621,2618,0,0,-192,-3552,-1126,90,25,-155
2013-06-30,576,106,183,289,967,0,0,-564,925,1877,0,0,0,0,-1536,-1536,-1818,-3354,1123,-47,1076,15,502,-197,-93,1288,-189,35,-154
2013-03-31,256.00000,101.00000,282.00000,383.00000,332.00000,,,65.00000,-72.00000,431.00000,,,-6.00000,,1329.00000,1329.00000,240.00000,1563.00000,-756.00000,375.00000,-381.00000,-15.00000,-15.00000,-331.00000,-1738.00000,-2465.00000,-471.00000,25.00000,-301.00000
2012-12-31,549,102,705,807,-290,0,0,7,-375,1044,-560,0,-17,0,-2998,-2998,-198,-3773,-75,-229,-304,0,437,-165,3065,3033,304,18,-140
2012-09-30,496,107,305,412,-722,0,0,191,-792,51,621,0,1247,0,2098,2098,-2021,1945,-3585,-103,-3688,0,1120,-148,492,-2224,-228,28,-140
2012-06-30,538,96,362,458,-635,0,0,-565,-213,746,-40,0,-555,0,344,344,-2713,-2964,-174,-240,-414,9,568,-139,1882,1897,-321,26,-139
2012-03-31,445.00000,86.00000,381.00000,467.00000,1214.00000,,,157.00000,1083.00000,1873.00000,-21.00000,,,,-1290.00000,-1290.00000,-944.00000,-2255.00000,1049.00000,-130.00000,919.00000,-9.00000,-9.00000,-112.00000,-708.00000,90.00000,-292.00000,25.00000,-112.00000
2011-12-31,400,92,697,789,-1009,0,0,-416,-1116,-72,176,0,-86,0,-3797,-3797,-3462,-7169,-317,-387,-704,-22,-22,-112,7549,6711,-530,25,-112
2011-09-30,371,91,442,533,-868,0,0,114,-434,495,-72,0,0,0,-4199,-4199,-1628,-5899,-1470,-889,-2359,5,5,-111,9487,7022,1618,24,-111
2011-06-30,327,89,460,549,205,158,0,386,965,1822,-56,0,0,0,-1458,-1458,-1150,-2664,735,-344,391,13,13,-119,1143,1428,586,25,-119
2011-03-31,234.00000,91.00000,467.00000,558.00000,1089.00000,-158.00000,,545.00000,1203.00000,2031.00000,-48.00000,,,,-2945.00000,-2945.00000,718.00000,-2275.00000,872.00000,-487.00000,385.00000,4.00000,4.00000,-104.00000,-226.00000,59.00000,-185.00000,24.00000,-104.00000
2010-12-31,217,94,684,778,-213,-68,0,-150,-483,554,909,0,-7,0,770,770,-2743,-1071,-253,-147,-400,18,18,-104,934,448,-69,21,-104
2010-09-30,219,94,681,775,-916,19,0,-32,-702,271,-44,0,0,0,-497,-497,-1350,-1891,-58,-260,-318,16,16,-104,1971,1565,-55,21,-104
2010-06-30,224,97,647,744,34,64,0,-186,492,1436,-63,0,5,0,9594,9594,-1048,8488,476,-940,-464,25,25,-104,-9110,-9653,271,21,-104
2010-03-31,194.00000,97.00000,727.00000,824.00000,475.00000,-15.00000,,-756.00000,-362.00000,637.00000,-263.00000,,-837.00000,,918.00000,918.00000,635.00000,453.00000,-1.00000,-1087.00000,-1088.00000,51.00000,51.00000,-103.00000,-361.00000,-1501.00000,-411.00000,16.00000,-103.00000
2009-12-31,194,49,991,1040,508,50,0,-1297,-700,374,-46,0,24,0,-140,-140,-287,-449,189,-250,-61,19,19,-103,478,333,258,12,-103
2009-09-30,157,99,692,791,1995,-164,0,1448,3426,4470,-46,0,5178,0,1437,1437,88,6657,-533,-4349,-4882,985,918,-98,-6908,-10970,157,14,-98
2009-06-30,208,96,699,795,-179,-41,0,3180,2946,3934,-41,0,17,0,-12204,-12204,-641,-12869,376,-1090,-714,1701,-1433,-316,11632,9169,234,17,-263
2009-03-31,318.00000,95.00000,545.00000,640.00000,-2355.00000,-105.00000,,-4280.00000,-10302.00000,-9271.00000,-41.00000,,-717.00000,,13975.00000,13975.00000,677.00000,13894.00000,-23.00000,2933.00000,2910.00000,22.00000,22.00000,-303.00000,-7992.00000,-5363.00000,-740.00000,19.00000,-263.00000
