,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2016-03-31,115.00000,62.00000,113.00000,175.00000,-145.00000,15.00000,-137.00000,153.00000,-47.00000,,-135.00000,-8.00000,-8.00000,,-190.00000,212.00000,212.00000,-108.00000,-108.00000,-55.00000,-17.00000,32.00000,-5.00000,18.00000,-55.00000
2015-12-31,200,74,62,136,-48,-1,-64,272,-94,0,-26,-5,-5,0,-125,-63,-63,-48,-48,-54,28,-137,10,13,-54
2015-09-30,354,77,-104,-27,-51,-39,-115,212,-52,0,-35,-27,-27,0,-114,-29,-29,-22,-22,-55,-19,-125,-27,12,-55
2015-06-30,129,75,65,140,-66,-3,16,285,-61,0,-6,-1,-1,0,-68,-941,-941,-19,-19,-55,-26,-1041,-824,15,-55
2015-03-31,70.00000,78.00000,110.00000,188.00000,-97.00000,1.00000,-206.00000,52.00000,-56.00000,,,1.00000,1.00000,,-55.00000,949.00000,949.00000,-75.00000,-75.00000,-48.00000,-41.00000,785.00000,782.00000,12.00000,-48.00000
2014-12-31,200,79,129,208,-52,12,-92,309,-89,0,-3,1,1,0,-91,-116,-116,-27,-27,-48,-5,-196,22,13,-48
2014-09-30,139,79,94,173,-69,-6,-38,271,-102,0,-2,11,11,0,-93,-92,-92,0,0,-48,-12,-152,26,13,-48
2014-06-30,142,81,70,151,-39,5,-13,280,-49,0,-156,0,0,0,-205,-11,-11,-7,-7,-48,-9,-75,0,13,-48
2014-03-31,111.00000,75.00000,77.00000,152.00000,-152.00000,-9.00000,-177.00000,84.00000,-68.00000,,-567.00000,-1.00000,-1.00000,,-636.00000,590.00000,590.00000,-20.00000,-20.00000,-43.00000,-18.00000,509.00000,-43.00000,12.00000,-43.00000
2013-12-31,151,72,74,146,5,2,-107,210,-76,0,-33,4,4,0,-105,-37,-37,-3,-3,-44,8,-76,29,4,-44
2013-09-30,414,69,-355,-286,-39,-5,59,187,-50,474,30,-2,-2,0,452,-130,-130,-447,-447,-46,-6,-629,10,7,-46
2013-06-30,174,72,44,116,-81,-4,-82,208,-56,0,176,1,1,0,121,119,119,-401,-401,-47,-12,-341,14,12,-47
2013-03-31,144.00000,70.00000,76.00000,146.00000,-132.00000,-4.00000,-242.00000,47.00000,-49.00000,,-90.00000,-1.00000,-1.00000,,-140.00000,44.00000,44.00000,-48.00000,-48.00000,-48.00000,-8.00000,-60.00000,-162.00000,5.00000,-48.00000
2012-12-31,65.474,71.7,160.224,231.924,-11.625,-13.701,85.497,380.245,-59.682,0,-0.426,18.098,18.098,0,-42.01,-146.964,-146.964,-31.949,-31.949,-26.966,-11.24,-217.119,104.116,6.913,-26.966
2012-09-30,171.538,71.271,81.649,152.92,-49.457,90.007,75.777,394.621,-44.91,0,-0.006,0.467,0.467,0,-44.449,-292.39,-292.39,3.37,3.37,-27.053,-16.071,-332.144,18.028,8.909,-27.053
2012-06-30,186.473,71.855,84.076,155.931,-34.744,-2.374,-91.998,250.867,-47.41,0,-0.012,0.124,0.124,0,-47.298,-112.334,-112.334,-23.82,-23.82,-27.081,-12.031,-175.266,28.303,14.11,-27.081
2012-03-31,168.51500,72.17400,82.05100,154.22500,-147.17400,-9.93200,-161.27600,161.26700,-29.99800,,-50.55600,-2.68900,-2.68900,,-83.24300,-102.31200,-102.31200,14.39900,14.39900,-26.90000,17.34200,-97.47100,-19.44700,20.06800,-26.90000
2011-12-31,199.242,71.569,113.158,184.7271,-35.887,3.575,-48.965,337.272,-43.121,0,-0.482,2.661,2.661,0,-40.942,-184.267,-184.267,-17.009,-17.009,-16.17,-24.408,-241.854,54.476,21.211,-16.17
2011-09-30,181.893,73.347,78.561,151.9079,-77.056,8.722,4.542,337.645,-39.255,0,-162.138,7.301,7.301,0,-194.092,-161.276,-161.276,-43.206,-43.206,-15.9,3.436,-216.946,-73.393,15.597,-15.9
2011-06-30,171.527,72.719,132.406,205.125,-22.782,-230.55,-320.105,59.503,-39.633,0,-1136.38,208.8,208.8,0,-967.213,83.105,83.105,43.428,43.428,-15.794,-13.053,97.686,-810.024,16.247,-15.794
2011-03-31,-46.66200,63.36500,288.87500,352.24000,-171.27500,-8.74700,-148.47200,160.58000,-38.99100,,,-1.76200,-1.76200,,-40.75300,1241.43800,1241.43800,-781.21300,-781.21300,-17.13600,-17.97500,425.11400,544.94100,18.94500,-17.13600
2010-12-31,174.232,63.52,62.675,126.195,-30.053,1.052,30.517,339.589,-69.109,0,0,-7.567,-7.567,0,-76.676,-166.913,-166.913,7.748,7.748,-17.104,-6.604,-182.873,80.04,8.885,-17.104
2010-09-30,207.756,64.137,89.955,154.092,-86.711,16.622,-34.83,330.074,-47.443,0,0,-0.347,-0.347,0,-47.79,-1.091,-1.091,-323.614,-323.614,-17.787,-18.419,-360.911,-78.627,16.467,-17.787
2010-06-30,203.876,62.974,81.83,144.804,-77.881,-4.9,-142.069,209.169,-49.085,0,0,-0.365,-0.365,0,-49.45,-0.788,-0.788,-154.626,-154.626,-18.058,-1.598,-175.07,-15.351,17.448,-18.058
2010-03-31,171.15300,63.33300,91.44200,154.77500,-115.28700,3.38800,-95.42100,239.21500,-39.76300,,,-2.83100,-2.83100,,-42.59400,-0.69900,-0.69900,-230.97300,-230.97300,-18.37200,-17.59400,-267.63800,-71.01700,11.12700,-18.37200
2009-12-31,190.562,63.025,115.193,178.218,-10.056,-12.793,-27.261,360.319,-49.895,0,-1.692,-4.124,-4.124,0,-55.711,134.7931,134.7931,-109.456,-109.456,-18.522,-24.2,-17.385,287.223,21.729,-18.522
2009-09-30,201.635,63.615,104.599,168.214,-75.661,-3.851,2.32,373.543,-41.037,0,-4.551,-0.529,-0.529,0,-46.117,-106.621,-106.621,-70.64,-70.64,-18.61,-3.816,-199.687,127.739,20.164,-18.61
2009-06-30,198.369,65.187,146.303,211.49,-92.279,-281.985,-430.995,-9.207,-36.386,0,-10.623,-5.702,-5.702,0,-52.711,-0.588,-0.588,7.209,7.209,-18.575,-11.055,-23.009,-84.927,19.075,-18.575
2009-03-31,175.65600,64.86000,107.51800,172.37800,-136.10600,6.20500,-72.86700,272.76300,-39.61000,,-1.42900,-0.32600,-0.32600,,-41.36500,-0.59700,-0.59700,-239.98400,-239.98400,-19.04100,-21.50100,-281.12300,-49.72500,14.09100,-19.04100
