,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2019-06-30,289,28,14,42,-7,0,-11,-170,161,-32,11,0,0,3,-18,-20,144,124,-196,-196,-128,-14,-214,-85,14,-128
2019-03-31,262.00000,26.00000,66.00000,92.00000,14.00000,,-13.00000,-54.00000,300.00000,-44.00000,14.00000,,,-4.00000,-34.00000,-20.00000,17.00000,-3.00000,-109.00000,-109.00000,-129.00000,-37.00000,-278.00000,,17.00000,-129.00000
2018-12-31,334,34,-72,-38,-31,0,-10,84,380,-87,314,0,0,-3,224,648,-273,375,-706,-706,-113,-15,-459,137,14,-113
2018-09-30,454,32,-104,-72,-20,0,6,33,415,-62,193,0,0,0,131,-13,63,50,-516,-516,-113,-3,-582,-72,9,-113
2018-06-30,321,34,-81,-47,-19,0,26,-82,192,-43,47,-200,-200,-10,-206,-11,205,194,-670,-670,-116,-11,-603,-674,10,-116
2018-03-31,433.00000,37.00000,-177.00000,-140.00000,4.00000,,-22.00000,-104.00000,189.00000,-42.00000,205.00000,,,1.00000,164.00000,-332.00000,5.00000,-327.00000,-498.00000,-498.00000,-120.00000,-31.00000,-976.00000,-585.00000,17.00000,-120.00000
2017-12-31,436,58,-208,-150,-36,0,-3,26,312,-90,1057,0,0,16,983,-13,-35,-48,-612,-612,-101,-5,-766,548,12,-101
2017-09-30,418,60,-103,-43,-13,0,-10,-96,279,-78,395,0,0,-1,316,-12,35,23,-492,-492,-104,-46,-619,-5,10,-104
2017-06-30,206,65,48,113,12,0,4,-168,151,-74,136,0,0,7,69,736,0,736,-395,-395,-105,-17,219,445,26,-105
2017-03-31,280.00000,70.00000,-43.00000,27.00000,18.00000,,-1.00000,-19.00000,288.00000,-76.00000,185.00000,,,-5.00000,104.00000,-8.00000,,-8.00000,-461.00000,-461.00000,-106.00000,-54.00000,-629.00000,-220.00000,17.00000,-106.00000
2016-12-31,303,86,-24,62,-54,-6,-19,-53,312,-135,223,0,0,35,123,-13,0,-13,-1087,-1087,-185,99,-1186,-777,38,-185
2016-09-30,640,77,-379,-302,-3,2,4,11,349,-106,63,0,0,6,-37,-6,0,-6,-2249,-2249,-180,57,-2378,-2073,20,-180
2016-06-30,336,74,-111,-37,-11,2,9,-21,278,-106,76,0,0,7,-23,6598,-2080,4518,-1142,-1142,-187,9,3198,3449,9,-187
2016-03-31,364.00000,73.00000,-148.00000,-75.00000,45.00000,2.00000,6.00000,20.00000,309.00000,-80.00000,8.00000,,,5.00000,-67.00000,-2.00000,795.00000,793.00000,-925.00000,-925.00000,-192.00000,-54.00000,-378.00000,-133.00000,13.00000,-192.00000
2015-12-31,260,-186,-357,-543,-21,-66,17,-274,-557,200,141,0,0,-18,323,-257,1028,771,-830,-830,-198,187,-70,-311,6,-198
2015-09-30,426,179,49,228,-31,41,2,216,870,-238,43,0,16,9,-170,-3,-181,-184,-94,-94,-177,12,-443,225,12,-177
2015-06-30,236,187,57,244,13,0,-6,-49,431,-177,7,0,8,6,-156,-4,12,8,-162,-162,-177,1,-330,-39,13,-177
2015-03-31,361.00000,139.00000,-145.00000,-6.00000,3.00000,21.00000,-27.00000,161.00000,516.00000,-227.00000,22.00000,,-24.00000,33.00000,-196.00000,-3.00000,53.00000,50.00000,-114.00000,-114.00000,-178.00000,-4.00000,-246.00000,97.00000,15.00000,-178.00000
2014-12-31,-89,-173,31,-142,4,-26,5,-164,-395,147,17,0,315,17,496,-58,17,-41,-331,-331,-179,398,-153,-46,9,-179
2014-09-30,403,181,-12,169,-37,19,8,-44,528,-247,49,0,-88,-20,-306,-2,221,219,-205,-205,-163,-4,-153,88,11,-163
2014-06-30,338,180,8,188,-11,-28,-9,-12,514,-236,15,0,-227,2,-446,-3,143,140,-171,-171,-163,-2,-196,-137,13,-163
2014-03-31,399.00000,140.00000,-56.00000,84.00000,23.00000,33.00000,-2.00000,87.00000,570.00000,-172.00000,2.00000,,,2.00000,-168.00000,-2.00000,35.00000,33.00000,-113.00000,-113.00000,-164.00000,7.00000,-237.00000,161.00000,12.00000,-164.00000
2013-12-31,315,248,220,468,-8,-1,1,-197,586,-350,41,0,-1,11,-299,-62,-2,-64,-240,-240,-164,-8,-476,-180,17,-164
2013-09-30,137,173,250,423,-8,18,-14,264,824,-227,54,0,-1,-3,-177,-1,-53,-54,-175,-175,-150,-9,-388,253,11,-150
2013-06-30,276,170,16,186,-5,-25,0,-134,328,-235,-15,0,2,-9,-257,-3,46,43,-225,-225,-150,4,-328,-262,12,-150
2013-03-31,336.00000,130.00000,-29.00000,101.00000,9.00000,26.00000,-8.00000,-36.00000,401.00000,-237.00000,81.00000,,,3.00000,-153.00000,-1.00000,9.00000,8.00000,-93.00000,-93.00000,-151.00000,-23.00000,-259.00000,-14.00000,9.00000,-151.00000
2012-12-31,336,223,-61,162,-25,-18,0,-22,476,-421,176,0,0,-13,-258,-2,-12,-14,-242,-242,-151,13,-394,-166,15,-151
2012-09-30,478,157,98,255,-9,13,-5,161,894,-272,55,0,82,-16,-151,-265,12,-253,-394,-394,-131,-5,-783,-42,12,-131
2012-06-30,333,158,-26,132,-13,-13,6,-14,451,-233,28,0,-3,3,-205,-12,0,-12,-205,-205,-131,-3,-351,-115,12,-131
2012-03-31,461.00000,127.00000,-102.00000,25.00000,29.00000,27.00000,-15.00000,-13.00000,473.00000,-173.00000,-438.00000,,-79.00000,299.00000,-391.00000,-3.00000,,-3.00000,-62.00000,-62.00000,-131.00000,8.00000,-188.00000,-99.00000,11.00000,-131.00000
2011-12-31,357,211,-57,154,-20,-84,4,-44,467,-387,47,0,0,74,-266,51,0,51,-161,-161,-131,23,-218,-38,19,-131
2011-09-30,389,157,83,240,-28,-11,-6,151,780,-223,70,0,0,-8,-161,345,-350,-5,-235,-235,-116,1,-355,281,14,-116
2011-06-30,322,146,31,177,-2,-14,2,-84,415,-157,35,0,0,-301,-423,-654,350,-304,-154,-154,-116,-5,-579,-574,13,-116
2011-03-31,267.00000,123.00000,27.00000,150.00000,11.00000,34.00000,-25.00000,91.00000,508.00000,-173.00000,13.00000,,,4.00000,-156.00000,-4.00000,,-4.00000,-143.00000,-143.00000,-118.00000,4.00000,-261.00000,103.00000,13.00000,-118.00000
2010-12-31,277,206,33,239,-6,-38,46,-45,471,-327,159,0,0,24,-144,-9,-25,-34,-50,-50,-117,15,-186,152,10,-117
2010-09-30,367,127,73,200,-34,-11,13,97,664,-155,-37,0,0,-4,-196,338,25,363,-16,-16,-98,12,261,744,13,-98
2010-06-30,289,137,-62,75,35,-24,1,77,441,-160,39,0,0,-2,-123,-5,-28,-33,-88,-88,-98,-3,-222,86,11,-98
2010-03-31,245.00000,119.00000,11.00000,130.00000,-7.00000,5.00000,1.00000,17.00000,392.00000,-154.00000,42.00000,,,-4.00000,-116.00000,-3.00000,20.00000,17.00000,-115.00000,-115.00000,-99.00000,7.00000,-190.00000,91.00000,13.00000,-99.00000
2009-12-31,218,195,-76,119,-8,-7,19,-68,269,-274,63,0,0,-11,-222,-6,-19,-25,22,22,-99,-1,-103,-71,17,-99
2009-09-30,340,139,97,236,13,19,-8,64,640,-155,7,0,0,-1,-149,121,-396,-275,14,14,-88,-8,-357,140,13,-88
2009-06-30,306,129,-147,-18,-20,-4,-17,-90,198,-192,-31,0,0,-5,-228,-142,151,9,56,56,-88,40,17,-5,13,-88
2009-03-31,219.00000,117.00000,1.00000,118.00000,18.00000,19.00000,-1.00000,-40.00000,297.00000,-142.00000,16.00000,,,-2.00000,-128.00000,-2.00000,-39.00000,-41.00000,21.00000,21.00000,-87.00000,8.00000,-99.00000,73.00000,13.00000,-87.00000
