,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2020-06-30,-2405,54,3939,3993,0,2361,-5096,-2624,-1287,0,-3551,-3664,-7215,-354,-7569,-779,-342,-1121,13,13,-438,-126,-1672,-10500,-438
2020-03-31,-270.00000,329.00000,-1138.00000,-809.00000,,2825.00000,15605.00000,18315.00000,14766.00000,,-2418.00000,-4450.00000,-6868.00000,1088.00000,-5780.00000,1533.00000,689.00000,2222.00000,-440.00000,-440.00000,-448.00000,5025.00000,6359.00000,15323.00000,-448.00000
2019-12-31,1138,108,1694,1802,-971,3274,-3960,-1751,3985,-1755,1838,-3774,-1936,-221,-3912,25,-221,-196,-534,-534,-404,-858,-1992,-1959,-404
2019-09-30,1425,441,-472,-31,0,2115,3059,5311,7316,0,-1433,-4061,-5494,415,-5079,1070,-207,863,-925,-925,-410,1069,597,2863,-410
2019-06-30,738,-109,445,336,0,3099,2237,4802,5239,0,1039,-3949,-2910,172,-2738,-535,90,-445,-460,-460,-407,-493,-1805,725,-407
2019-03-31,937.00000,20.00000,1056.00000,1076.00000,,2504.00000,-485.00000,2171.00000,3085.00000,,-635.00000,-4908.00000,-5543.00000,244.00000,-5299.00000,1337.00000,173.00000,1510.00000,-448.00000,-448.00000,-420.00000,924.00000,1566.00000,-650.00000,-420.00000
2018-12-31,849,116,-1186,-1070,863,6968,3311,11318,11396,0,-529,-8464,-8993,306,-8687,39,57,96,-363,-363,-374,613,-28,2891,-374
2018-09-30,1675,-3,285,282,0,3751,-1696,2024,3593,0,-13,-6376,-6389,-63,-6452,739,276,1015,-340,-340,-378,103,400,-2456,-378
2018-06-30,200,70,-96,-26,0,3903,189,3575,4374,0,19,-4235,-4216,0,-4216,-706,890,184,-347,-347,-381,64,-480,-697,-381
2018-03-31,1364.00000,-22.00000,-32.00000,-54.00000,,1859.00000,-1433.00000,847.00000,2301.00000,,1033.00000,-2901.00000,-1868.00000,-405.00000,-2273.00000,1052.00000,101.00000,1153.00000,-318.00000,-318.00000,-388.00000,442.00000,889.00000,1221.00000,-388.00000
2017-12-31,3865,-49,809,760,0,4475,-466,1042,4674,0,-1020,-2314,-3334,-401,-3735,258,-81,177,-1474,-1474,-320,662,-955,-51,-320
2017-09-30,2241,164,-1275,-1111,0,2516,-595,2710,4075,0,-2038,-2877,-4915,-660,-5575,-965,-26,-991,921,921,-323,-362,-755,-2220,-323
2017-06-30,496,157,1072,1229,43,2100,-1378,953,3063,-64,1651,-1277,374,62,372,-26,144,118,-276,-276,-324,504,22,3451,-324
2017-03-31,1372.00000,-50.00000,-28.00000,-78.00000,-43.00000,1849.00000,-1069.00000,1108.00000,1648.00000,,2330.00000,-5234.00000,-2904.00000,-115.00000,-3019.00000,131.00000,816.00000,947.00000,-175.00000,-175.00000,-329.00000,-13.00000,430.00000,-825.00000,-329.00000
2016-12-31,293,-84,2414,2330,0,2916,-6953,-4168,-2198,0,-2202,-5420,-7622,-988,-8610,-8,-151,-159,-347,-347,-361,1302,435,-10683,-361
2016-09-30,1832,-22,-549,-571,0,3401,-2532,1335,3550,0,-306,-5489,-5795,500,-5295,1182,364,1546,-548,-548,-308,1492,2182,586,-308
2016-06-30,925,257,-748,-491,-96,2526,4527,7172,7197,0,-1471,-3848,-5319,278,-5041,-898,-413,-1311,-345,-345,-313,1407,-562,1650,-313
2016-03-31,1369.00000,167.00000,-1440.00000,-1273.00000,96.00000,1741.00000,5057.00000,6962.00000,6327.00000,-532.00000,4309.00000,-6693.00000,-2384.00000,168.00000,-2748.00000,-287.00000,1053.00000,766.00000,-453.00000,-453.00000,-318.00000,1151.00000,1146.00000,4880.00000,-318.00000
2015-12-31,740,-13,29,16,406,3656,-2161,1823,2112,0,60,-3157,-3097,514,-2583,-446,-1136,-1582,-218,-218,-316,-21,-2137,-2595,-316
2015-09-30,1467,174,-1254,-1080,180,1498,5239,7174,8355,0,-2286,-3124,-5410,-467,-5877,-527,419,-108,-209,-209,-264,1256,675,3169,-264
2015-06-30,1459,-218,585,367,-51,1608,-5709,-3758,-2053,0,295,-1802,-1507,573,-934,1323,-175,1148,-166,-166,-269,264,977,-2081,-269
2015-03-31,2046.00000,170.00000,-1789.00000,-1619.00000,-11.00000,1549.00000,3403.00000,5585.00000,5528.00000,,2330.00000,-221.00000,2109.00000,-461.00000,1648.00000,-141.00000,-1310.00000,-1451.00000,-862.00000,-862.00000,-268.00000,-505.00000,-3086.00000,4201.00000,-268.00000
2014-12-31,-1447,177,-337,-160,-66,5686,3492,8749,7974,0,-2519,-4519,-7038,-373,-7411,-2112,-338,-2450,-211,-211,-272,444,-2489,-2304,-272
2014-09-30,523,275,449,724,111,2339,903,3116,5867,0,99,-2183,-2084,-68,-2152,837,-39,798,-158,-158,-250,1111,1501,5062,-250
2014-06-30,1113,138,-177,-39,13,1683,84,2290,3576,0,396,-4988,-4592,36,-4556,925,-103,822,-189,-189,-253,240,620,-312,-253
2014-03-31,1249.00000,41.00000,197.00000,238.00000,-14.00000,1568.00000,-211.00000,1731.00000,1979.00000,-23.00000,1552.00000,-4575.00000,-3023.00000,77.00000,-2969.00000,921.00000,1163.00000,2084.00000,-173.00000,-173.00000,-252.00000,338.00000,1997.00000,1033.00000,-252.00000
2013-12-31,-428,73,1775,1848,1,2168,-4178,-1390,2962,0,956,-4002,-3046,-1012,-4058,530,-344,186,-129,-129,-248,281,90,-1211,-248
2013-09-30,1040,177,2430,2607,5,1437,-1099,1062,3097,0,-794,-3559,-4353,-70,-4423,948,230,1178,-140,-140,-192,41,887,-395,-192
2013-06-30,-487,52,1547,1599,-29,2229,-486,686,2199,0,-1452,-2756,-4208,7,-4201,-1110,2475,1365,-167,-167,-196,-86,916,-1432,-196
2013-03-31,-685.00000,109.00000,1166.00000,1275.00000,-10.00000,2545.00000,-645.00000,237.00000,187.00000,-488.00000,258.00000,-3194.00000,-2936.00000,-228.00000,-3652.00000,353.00000,935.00000,1288.00000,46.00000,46.00000,-211.00000,-774.00000,349.00000,-3623.00000,-211.00000
2012-12-31,-182,72,898,970,-37,6448,-623,5436,9160,0,-280,-3704,-3984,-24,-4008,2661,-2147,514,-735,-735,53,-468,-636,4194,53
2012-09-30,-559,27,1813,1840,14,5705,-704,5559,5713,0,-834,-5054,-5888,-15,-5903,-697,301,-396,-127,-127,-3,351,-175,-336,-3
2012-06-30,2239,98,-851,-753,38,2942,313,3347,5269,0,777,-4228,-3451,166,-3285,-230,732,502,-244,-244,-6,-2265,-2013,41,-6
2012-03-31,-928.00000,105.00000,1790.00000,1895.00000,-48.00000,2689.00000,-1047.00000,1875.00000,767.00000,,137.00000,-2377.00000,-2240.00000,16.00000,-2224.00000,939.00000,1115.00000,2054.00000,-162.00000,-162.00000,-44.00000,-329.00000,1519.00000,-50.00000,-44.00000
2011-12-31,658,88,745,833,-11,2012,-451,1108,1556,0,195,-2569,-2374,63,-2311,189,-333,-144,-271,-271,-653,574,-494,-1275,-653
2011-09-30,1604,35,-1288,-1253,50,1648,722,2589,5647,0,249,-5246,-4997,320,-4677,-133,-88,-221,-675,-675,-2,1443,545,1617,-2
2011-06-30,818,186,218,404,230,1429,-258,1425,2943,0,-177,-2279,-2456,81,-2375,661,1120,1781,22,22,-8,424,2219,2914,-8
2011-03-31,586.00000,-19.00000,596.00000,577.00000,60.00000,1710.00000,-389.00000,1547.00000,2231.00000,-2321.00000,-131.00000,-1198.00000,-1329.00000,-282.00000,-3932.00000,-190.00000,531.00000,341.00000,47.00000,47.00000,-41.00000,-518.00000,-171.00000,-1920.00000,-41.00000
2010-12-31,-5,-48,1670,1622,25,1382,-547,1266,1938,0,-112,-2288,-2400,8,-2392,744,-218,526,990,990,-533,372,1355,942,-533
2010-09-30,1242,-17,604,587,-179,936,-785,-294,2053,0,746,-2971,-2225,53,-2172,96,59,155,18,18,-2,352,523,621,-2
2010-06-30,1104,-8,-910,-918,-192,1249,250,1272,2602,0,699,-1211,-512,224,-288,-404,-273,-677,30,30,-6,103,-550,1726,-6
2010-03-31,671.00000,-31.00000,316.00000,285.00000,-298.00000,930.00000,-294.00000,-900.00000,-51.00000,,-359.00000,-3448.00000,-3807.00000,137.00000,-3670.00000,387.00000,253.00000,640.00000,30.00000,30.00000,-34.00000,-351.00000,285.00000,-3538.00000,-34.00000
2009-12-31,1875,17,-1404,-1387,-125,657,-453,1782,1137,0,1458,2351,3809,16,3825,-732,-1666,-2398,25,25,-308,-1293,-3974,1193,-308
2009-09-30,1032,-34,1010,976,-1807,168,-691,-2780,944,0,-1021,-199,-1220,-367,-1587,1542,-1217,325,17,17,-2,-1353,-1013,-1520,-2
2009-06-30,180,50,2342,2392,1438,326,-757,533,1223,0,-2172,3170,998,224,1222,-1333,-2044,-3377,1404,1404,-6,-1280,-3259,-845,-6
2009-03-31,3.00000,142.00000,433.00000,575.00000,539.00000,1373.00000,624.00000,2858.00000,2536.00000,,764.00000,-1729.00000,-965.00000,-66.00000,-1031.00000,-1293.00000,-2316.00000,-3609.00000,9.00000,9.00000,-31.00000,1456.00000,-2175.00000,-692.00000,-31.00000
