,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2016-06-30,81.388,46.48,0.746,47.226,0,0,0,0,123.838,-172.933,0,0,0,-172.933,-25.596,93.01,-40.037,-40.037,0,-0.338,52.635,3.54,0.48,0
2016-03-31,60.28500,44.77200,0.20000,44.97200,,,,,168.39300,-119.60300,,,,-119.60300,-0.89200,-8.48300,-44.64600,-44.64600,,,-53.12900,-4.33900,,
2015-12-31,72.224,44.223,42.227,86.45,-8.672,21.46,19.498,43.797,181.606,-94.974,0,0,0,-94.974,-0.889,-51.572,-35,-35,0,0,-86.572,0.06,0,0
2015-09-30,84.368,42.561,-0.477,42.084,0,0,0,0,118.049,-121.741,0,0,0,-121.741,-0.967,39.033,-36.718,-36.718,0,0,2.315,-1.377,0,0
2015-06-30,85.574,39.771,-1.667,38.104,0,0,0,0,81.631,-150.6,0,0,0,-150.6,-25.208,-2.208,-29.072,-29.072,0,0,-31.28,-100.249,0,0
2015-03-31,62.52400,38.78800,-0.03300,38.75500,,,,,172.59400,-70.30200,,,,-70.30200,-10.71400,-10.71400,-13.32700,-13.32700,,,-24.04100,78.25100,,
2014-12-31,69.869,39.546,34.278,73.824,-54.443,8.526,35.541,-47.134,113.659,-53.306,0,0,0,-53.306,0,-28.203,-5.532,-5.532,0,0,-33.735,26.618,0,0
2014-09-30,77.909,37.707,7.421,45.128,0,0,0,0,96.342,-92.165,0,0,0,-92.165,0,-15.797,0,0,0,0,-15.797,-11.62,0,0
2014-06-30,73.849,35.121,-16.017,19.104,0,0,0,0,82.105,-122.56,0,0,0,-122.56,-25,19,0,0,0,0,19,-21.455,0,0
2014-03-31,45.88700,34.09200,-0.85400,33.23800,,,,,99.56800,-77.78300,,,,-77.78300,-10.71500,-10.71500,,,,,-10.71500,11.07000,,
2013-12-31,47.156,33.807,-1.114,32.693,-30.063,-8.103,40.681,-9.512,97.28,-64.526,0,0,0,-64.526,-2.688,-14.684,0,0,0,0,-14.684,18.07,0,0
2013-09-30,60.149,32.914,28.372,61.286,0,0,0,0,99.522,-72.104,0,0,0,-72.104,0,-22.684,0,0,0,0,-22.684,4.734,0,0
2013-06-30,58.255,30.517,3.424,33.941,0,0,0,0,90.33,-121.607,0,0,0,-121.607,-25.216,9.464,0,0,0,0,9.464,-21.813,0,0
2013-03-31,40.55300,29.83400,-3.68900,26.14500,,,,,63.53400,-26.13400,,,,-26.13400,-11.07400,-21.07400,,,,,-21.07400,16.32600,,
2012-12-31,39.481,29.948,5.096,35.044,-5.41,2.795,23.452,30.101,105.318,-56.959,0,0,0,-56.959,-3.024,-42.404,0,0,0,0,-42.404,5.955,0,0
2012-09-30,51.044,28.727,14.158,42.885,0,0,0,0,78.316,-97.295,0,0,0,-97.295,-0.482,14.868,0,0,0,-0.002,14.866,-4.113,0,0
2012-06-30,47.832,26.524,11.775,38.299,0,0,0,0,66.095,-118.156,0,0,0,-118.156,-25.173,8.857,0,0,0,0,8.857,-43.204,0,0
2012-03-31,31.09500,25.54400,-13.26900,12.27500,,,,,78.32700,-88.76500,,,,-88.76500,-11.19300,-11.19300,,,,,-11.19300,-21.63100,,
2011-12-31,39.883,24.29,10.032,34.322,-40.414,12.875,27.348,3.033,77.585,-40.642,0,0,0,-40.642,-3.355,-3.355,0,0,0,0,-3.355,33.588,0,0
2011-09-30,38.631,23.396,18.671,42.067,0,0,0,0,81.169,-66.299,0,0,0,-66.299,-1.272,-1.272,0,0,0,0,-1.272,13.598,0,0
2011-06-30,39.383,22.013,20.037,42.05,0,0,0,0,45.373,-81.178,0,0,0,-81.178,-23.674,-23.674,0,0,0,0,-23.674,-59.479,0,0
2011-03-31,21.57300,21.12100,-4.12900,16.99200,,,,,73.80700,-57.21300,,,,-57.21300,83.92900,17.69900,48.40000,48.40000,,,66.09900,82.69300,,
2010-12-31,22.056,19.862,7.666,27.528,-36.169,-4.247,20.156,-23.873,30.357,-35.382,0,0,0,-35.382,-0.133,5.418,0,0,0,0,5.418,0.393,0,0
2010-09-30,24.381,19.396,4.667,24.063,0,0,-2.813,-2.813,40.985,-23.352,0,0,6.45,-16.902,-0.201,-23.807,0,0,0,-0.002,-23.809,0.274,0,0
2010-06-30,21.513,19.553,1.243,20.796,0,0,-8.171,-8.171,34.138,-17.91,0,0,0,-17.91,-25.199,-20.914,0,0,0,0,-20.914,-4.686,0,0
2010-03-31,7.70100,21.55100,-5.19400,16.35700,,,10.98400,10.98400,35.04200,-27.09900,,,-6.45000,-33.54900,-11.14800,3.80500,,,,,3.80500,5.29800,,
2009-12-31,9.681,23.801,-1.026,22.775,2.806,-7.531,7.962,6.049,38.505,-29.122,0,0,0,-29.122,-0.195,-8.853,0,0,0,0,-8.853,0.53,0,0
2009-09-30,10.495,24.036,4.248,28.284,0,0,-1.51,-1.51,37.269,-50.045,0,0,0,-50.045,-0.192,12.472,0,0,0,0,12.472,-0.304,0,0
2009-06-30,10.722,23.948,7.185,31.133,0,0,-19.544,-19.544,22.311,-52.051,0,0,0,-52.051,-0.388,30.07,0,0,0,0,30.07,0.33,0,0
2009-03-31,3.97300,22.99900,0.54400,23.54300,,,5.11500,5.11500,32.63100,-77.36700,4.86100,4.86100,,-72.50600,-11.19700,19.38600,,,,,19.38600,-20.48900,,
