,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2019-06-30,1390,1358,-37,1321,-132,0,-3231,-3007,-296,0,-10104,4576,-5528,3360,-2168,2107,0,2107,0,0,-286,633,2454,6,-279
2019-03-31,937.00000,1299.00000,379.00000,1678.00000,-2180.00000,,-1578.00000,-3591.00000,-976.00000,,4862.00000,-9010.00000,-4148.00000,2169.00000,-1979.00000,2294.00000,,2294.00000,,485.00000,-278.00000,263.00000,2764.00000,-179.00000,-278.00000
2018-12-31,-560,1549,-6076,-4527,-1313,0,6268,4731,-356,-665,550,-848,-298,1657,694,1279,0,1279,-745,-745,-280,-338,-84,235,-280
2018-09-30,-1259,1029,734,1763,311,0,-174,-202,302,-5052,30366,-23179,7187,-1582,553,1017,0,1017,-348,-348,-283,-476,-90,743,-283
2018-06-30,931,1402,57,1459,-94,0,-2011,-1792,598,4,-23598,21061,-2537,3035,502,779,0,779,-348,-348,-286,-1208,-1063,9,-286
2018-03-31,949.00000,1382.00000,164.00000,1546.00000,-1306.00000,,-2377.00000,-3433.00000,-938.00000,6.00000,-2039.00000,-1394.00000,-3433.00000,1455.00000,-1972.00000,4621.00000,,4621.00000,-298.00000,-298.00000,-289.00000,-1548.00000,2486.00000,-366.00000,-289.00000
2017-12-31,-6672,1068,-56,1012,1945,0,-2730,6704,1044,187,783,-3609,-2826,2205,-434,326,0,326,0,0,-288,-609,-571,32,-288
2017-09-30,-1713,804,932,1736,132,0,1196,151,174,67,30366,-26466,3900,-4217,-250,-159,0,-159,-275,-275,-287,622,-99,-105,-287
2017-06-30,1118,990,-95,895,-111,0,-825,-713,1300,514,-27212,21661,-5551,5263,226,1745,0,1745,-2415,-2415,-290,-19,-979,670,-290
2017-03-31,1211.00000,1012.00000,-175.00000,837.00000,-12426.00000,,-404.00000,-12384.00000,-10336.00000,24.00000,1953.00000,11003.00000,12956.00000,1519.00000,14499.00000,-131.00000,,-131.00000,-3585.00000,-3585.00000,-307.00000,-25.00000,-4048.00000,33.00000,-307.00000
2016-12-31,-2506,1276,3846,5122,-381,0,784,-867,1749,2809,-880,47,-833,951,2927,-1414,0,-1414,-2954,-2954,-321,-847,-5536,-1000,-321
2016-09-30,436,544,-3554,-3010,715,0,2829,3756,1182,0,31664,-30277,1387,-798,589,824,0,824,-2258,-2258,-338,665,-1107,714,-338
2016-06-30,1924,623,934,1557,105,0,-2906,-1942,1539,0,-30640,24145,-6495,5846,-649,2556,0,2556,-2762,-2762,-350,-87,-643,285,-350
2016-03-31,-203.00000,1647.00000,-6.00000,1641.00000,-1707.00000,,-590.00000,-2406.00000,-968.00000,,931.00000,-1974.00000,-1043.00000,1428.00000,385.00000,3965.00000,,3965.00000,-3486.00000,-3486.00000,-363.00000,337.00000,453.00000,-130.00000,-363.00000
2015-12-31,-1849,1127,395,1522,448,0,1710,970,643,0,41306,-39757,1549,233,1782,-49,0,-49,-3218,-3218,-341,1243,-2365,60,-341
2015-09-30,-197,621,2164,2785,1793,0,-2637,-847,1741,0,-6614,10463,3849,-2455,1394,132,0,132,-3730,-3730,-352,452,-3498,-368,-352
2015-06-30,1791,1655,-1812,-157,58,0,-2165,-1529,105,0,-27288,22734,-4554,9526,4972,-1483,0,-1483,-2345,-2345,-165,-969,-4962,114,-165
2015-03-31,2477.00000,1226.00000,-594.00000,632.00000,-844.00000,,-3038.00000,-2721.00000,388.00000,,-186.00000,-146.00000,-332.00000,646.00000,314.00000,872.00000,,872.00000,-1398.00000,-1398.00000,-170.00000,92.00000,-604.00000,65.00000,-170.00000
2014-12-31,675,1076,605,1681,2715,0,-4320,-1706,650,0,42343,-32261,10082,-665,9417,-3295,0,-3295,-1499,-1499,-173,-5220,-10187,-175,-173
2014-09-30,2201,1029,2408,3437,1574,0,-5182,-2922,2716,0,-9419,9477,58,1147,1205,-2381,0,-2381,-1554,-1554,-178,314,-3799,106,-178
2014-06-30,3036,1222,-4450,-3228,-896,0,811,1070,878,2348,-24366,21256,-3110,641,-121,-840,0,-840,-982,-982,-179,488,-1513,-663,-179
2014-03-31,1612.00000,1121.00000,-1215.00000,-94.00000,-701.00000,,-504.00000,-755.00000,763.00000,,5132.00000,-1640.00000,3492.00000,291.00000,3783.00000,-1238.00000,,-1238.00000,-867.00000,-867.00000,-182.00000,-2002.00000,-4289.00000,249.00000,-182.00000
2013-12-31,1973,1155,-165,990,2554,0,-3369,-1046,1917,0,53207,-54635,-1428,2009,581,-654,0,-654,-405,-405,-147,-1080,-2286,183,-147
2013-09-30,2130,1058,745,1803,728,0,-1248,-1659,2274,0,-14659,14539,-120,567,447,-1565,0,-1565,-192,-192,-147,-513,-2417,296,-147
2013-06-30,2758,1297,-1874,-577,1385,0,-2063,-358,1823,0,-31957,31892,-65,2172,2107,-3152,0,-3152,0,0,0,-185,-3337,535,0
2013-03-31,2231.00000,1203.00000,-1140.00000,63.00000,-2493.00000,,-563.00000,-2443.00000,-149.00000,,6385.00000,-4165.00000,2220.00000,1744.00000,3964.00000,-4138.00000,,-4138.00000,,,,420.00000,-3718.00000,76.00000,0.00000
2012-12-31,-3949,3330,3095,6425,1791,0,-1227,-1639,837,0,42914,-55115,-12201,9655,-2546,-1178,0,-1178,0,0,0,2468,1290,-457,0
2012-09-30,1861,1461,-648,813,1144,0,-3273,-1467,1207,0,-6634,13191,6557,1730,8287,-507,0,-507,-8000,-8000,0,-626,-9133,376,0
2012-06-30,2339,1343,-790,553,1260,0,-1897,-1354,1538,0,-30211,29571,-640,1530,890,-1310,0,-1310,-2000,-2000,0,821,-2489,-83,0
2012-03-31,3449.00000,1215.00000,-3364.00000,-2149.00000,-1110.00000,,-1099.00000,-1206.00000,94.00000,,3636.00000,366.00000,4002.00000,5979.00000,9981.00000,-8820.00000,,-8820.00000,-3000.00000,-3000.00000,,1588.00000,-10232.00000,-159.00000,
2011-12-31,21602,1802,-2069,-267,4297,0,-5861,-20215,1120,0,5047,-6587,-1540,1842,302,-27841,0,-27841,-70,-70,0,26429,-1482,-68,0
2011-09-30,-3826,2033,5629,7662,1938,0,-2677,-1500,2336,0,3655,-8534,-4879,3204,-1675,-2399,0,-2399,723,723,0,-54,-1730,-1048,0
2011-06-30,2053,1288,1135,2423,-785,-278,-1181,-2701,1775,587,8932,-12933,-4001,1618,-1796,-2595,0,-2595,3609,3609,0,-243,771,789,0
2011-03-31,1501.00000,2297.00000,-534.00000,1763.00000,-4725.00000,278.00000,-3518.00000,-8576.00000,-5312.00000,,10968.00000,-4618.00000,6350.00000,33267.00000,39617.00000,-26359.00000,,-26359.00000,723.00000,723.00000,,-8849.00000,-34485.00000,243.00000,
2010-12-31,13982,-353,-22472,-22825,-298,-542,5373,10325,1482,19857,-7246,7629,383,-22625,-2385,-2438,5855,3417,0,0,0,-3906,-489,-110,0
2010-09-30,-2013,1459,6835,8294,671,221,-2452,-937,5344,230,4426,-8345,-3919,2229,-1460,-3881,0,-3881,0,0,0,-364,-4245,-1172,0
2010-06-30,-2115,3896,4155,8051,1435,300,-2097,640,6576,201,4079,-6327,-2248,496,-1551,-1453,-2290,-3743,0,0,0,-518,-4261,707,0
2010-03-31,2431.00000,5198.00000,1484.00000,6682.00000,-4836.00000,21.00000,262.00000,-5918.00000,3195.00000,1472.00000,-722.00000,-6333.00000,-7055.00000,1067.00000,-4516.00000,4523.00000,-3565.00000,958.00000,,,,-1224.00000,-266.00000,-2267.00000,
2009-12-31,-9010,1770,11771,13541,491,1918,438,2079,6610,620,-1867,-13528,-15395,11134,-3371,7565,-11072,-3507,0,0,0,-487,-3994,-557,0
2009-09-30,-15,10980,-5346,5634,-736,2506,-3062,-1681,3938,1803,2047,-5607,-3560,3427,1615,-6548,0,-6548,0,0,0,-14,-6562,-845,0
2009-06-30,1845,4954,-1820,3134,981,-3320,1105,-713,4266,2151,1404,4407,5811,-1746,6102,-10240,0,-10240,0,0,0,1443,-8797,1773,0
2009-03-31,-5133.00000,4545.00000,8812.00000,13357.00000,1300.00000,-111.00000,-3882.00000,-4454.00000,3770.00000,704.00000,-2966.00000,4258.00000,1292.00000,-463.00000,1432.00000,-5388.00000,,-5388.00000,,,,-4256.00000,-9644.00000,-4613.00000,
