,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2020-03-31,48.00000,119.00000,419.00000,538.00000,-20.00000,63.00000,-131.00000,-88.00000,498.00000,-11.00000,,-26.00000,-1390.00000,-1416.00000,-2895.00000,-4322.00000,-254.00000,458.00000,204.00000,-88.00000,-88.00000,-173.00000,4478.00000,4421.00000,597.00000,15.00000,-155.00000
2019-12-31,317,78,127,205,142,19,-34,127,676,-25,0,9,-705,-696,-393,-1114,0,390,390,-196,-196,-174,-48,-28,-466,19,-155
2019-09-30,372,104,63,167,-259,20,-263,-502,46,-31,7,16,-215,-199,39,-184,857,-1961,-1104,-68,-68,-165,1513,176,38,16,-147
2019-06-30,364,73,104,177,-169,-10,6,-173,355,-27,-555,-26,615,589,-71,-64,-526,1381,855,-152,-152,-166,-566,-29,262,31,-147
2019-03-31,358.00000,131.00000,99.00000,230.00000,72.00000,-61.00000,-108.00000,-97.00000,497.00000,-24.00000,,-111.00000,-202.00000,-313.00000,-178.00000,-515.00000,722.00000,776.00000,1498.00000,-25.00000,-25.00000,-166.00000,-2625.00000,-1318.00000,-1336.00000,17.00000,-148.00000
2018-12-31,334,143,17,160,83,-14,-103,-34,582,-48,-15,28,35,63,-1686,-1686,-825,588,-237,-200,-200,-171,3085,2477,1373,19,-152
2018-09-30,378,122,54,176,-110,2,93,-15,542,-24,0,6,507,513,-1008,-519,-341,-1034,-1375,-691,-691,-143,2103,-106,-83,15,-122
2018-06-30,355,123,131,254,-247,0,83,-164,308,-22,0,34,576,610,-1270,-682,1169,-398,771,-51,-51,-133,100,687,313,29,-122
2018-03-31,326.00000,105.00000,174.00000,279.00000,-27.00000,1.00000,-286.00000,-312.00000,294.00000,-16.00000,,22.00000,330.00000,352.00000,-1112.00000,-776.00000,-572.00000,-2181.00000,-2753.00000,3.00000,498.00000,-137.00000,2423.00000,31.00000,-451.00000,15.00000,-118.00000
2017-12-31,432,106,216,322,176,2,-50,86,848,-49,0,18,-477,-459,-1656,-2164,53,3236,3289,-137,-137,-106,-1404,1642,326,19,-87
2017-09-30,274,96,88,184,57,6,-79,86,547,-32,0,2,-521,-519,-571,-1122,672,-2703,-2031,-129,-129,-107,2521,254,-321,21,-88
2017-06-30,272,0,111,111,-245,4,-112,-225,163,-58,0,2,87,89,-875,-844,-763,3271,2508,1,1,-106,-1517,886,205,54,-87
2017-03-31,208.00000,211.00000,46.00000,257.00000,24.00000,35.00000,54.00000,-75.00000,396.00000,-55.00000,,17.00000,-336.00000,-319.00000,-362.00000,-736.00000,981.00000,-2433.00000,-1452.00000,5.00000,5.00000,-106.00000,1818.00000,265.00000,-75.00000,-2.00000,-87.00000
2016-12-31,239.142,80.556,277.317,357.873,71.735,-96.926,77.453,-92.234,529.194,-56.312,-479.782,-7.221,-1984.3511,-1991.5721,1942.653,-585.013,-543.897,1536.482,992.585,-6.084,-6.02,-83.935,-1123.5941,-220.964,-276.783,17.432,-76.344
2016-09-30,127.004,91.195,71.657,162.852,113.145,-0.782,-72.119,114.186,399.168,-43.842,-133.218,26.279,846.1221,872.4011,-959.335,-263.994,600.8531,-972.37,-371.517,2.197,2.146,-75.106,1104.0621,659.585,794.759,20.769,-56.569
2016-06-30,174.54,103.146,38.542,141.688,-268.378,10.635,-97.334,-217.877,94.848,-7.689,0,21.772,-6.785,14.987,-1013.848,-1006.55,-32.5491,1483.227,1450.678,2.761,201.4,-75.766,-613.678,962.634,50.932,16.531,-55.892
2016-03-31,171.31400,105.10300,34.48400,139.58700,-39.50200,-8.92700,,-115.07500,191.79000,-12.15700,,-14.83000,-263.98600,-278.81600,-1298.47000,-1589.44300,828.59300,-147.33900,681.25400,1.12600,387.47400,-64.19300,362.21000,1366.74500,-30.90800,11.26800,-56.19500
2015-12-31,178.352,78.212,105.691,183.903,321.494,1.418,-18.308,259.26,632.174,-23.979,-0.164,14.246,-794.931,-780.685,-864.5,-1669.328,763.4,-852.072,-88.6721,-14.664,-14.664,-55.527,1018.224,859.361,-177.793,11.864,-47.428
2015-09-30,152.588,94.831,22.67,117.501,-25.383,20.537,-40.225,49.785,314.731,-25.928,0,5.604,-636.1909,-630.587,-1081.254,-1737.769,474.07,-77.949,396.1211,-74.006,-74.006,-56.23,801.542,1067.427,-355.611,13.563,-48.262
2015-06-30,196.206,72.293,73.42,145.713,-43.335,-11.52,-117.241,-225.934,104.352,-29.999,0,2.621,-350.1021,-347.481,24.383,-353.097,711.996,-531.148,180.848,-96.423,-96.423,-56.54,700.953,728.838,480.093,14.478,-48.572
2015-03-31,165.85400,95.66400,17.21900,112.88300,-198.77600,-5.43500,-58.22600,-293.11100,-18.25700,-13.09400,-457.83600,-9.47100,-438.77600,-448.24700,-249.62900,-1168.80600,245.53400,-357.83100,-112.29700,-47.90700,-47.90700,-56.70300,1083.28100,866.37400,-320.68900,11.09500,-48.73800
2014-12-31,163.614,93.858,35.516,129.374,3.092,24.269,-281.203,-33.428,259.56,-27.303,0,8.339,-518.7328,-510.3938,-933.494,-1471.191,749.925,-715.043,34.882,-33.699,-33.699,-53.645,1604.796,1552.334,340.703,10.01,-45.682
2014-09-30,155.016,86.107,57.692,143.799,-33.841,-15.919,-49.009,-52.188,246.627,-8.964,705.089,-3.264,-126.5362,-129.8002,-752.66,-186.335,-500.075,-444.727,-944.802,-45.631,-45.631,-46.631,638.181,-398.883,-338.591,10.864,-38.669
2014-06-30,164.619,70.852,49.043,119.895,-9.307,-10.102,-86.184,-57.879,226.635,-11.982,0,1.597,-596.009,-594.412,-1784.343,-2390.737,3049.927,116.576,3166.503,-104.768,-104.768,-49.403,-603.041,2409.291,245.189,13.374,-41.438
2014-03-31,149.14300,85.01500,0.02400,85.03900,-18.74700,-4.86600,-21.97000,-78.21800,155.96400,-10.61300,-13.45200,-14.18800,-226.38200,-240.57000,-691.88300,-956.51800,-1498.69900,1161.89200,-336.80700,-130.02400,-130.02400,-49.11000,1288.62700,772.68600,-27.86800,9.41800,-41.14600
2013-12-31,158.172,71.234,78.034,149.268,11.264,38.594,46.85,-107.489,199.951,-13.108,0,42.803,-1886.3319,-1843.5289,-1170.928,-3027.565,1126.9208,699.104,1826.0248,12.601,12.601,-49.521,931.983,2721.088,-106.526,9.364,-41.562
2013-09-30,178.836,74.947,4.259,79.206,110.146,6.76,-21.2,146.164,404.206,-39.973,0,17.301,304.6389,321.9399,-888.812,-606.845,98.6451,45.974,144.619,-16.197,-16.197,-49.444,237.413,316.391,113.752,9.747,-41.477
2013-06-30,151,68.187,63.676,131.863,-40.682,5.593,-3.296,-85.684,197.179,-25.185,0,49.188,85.844,135.032,-200.089,-90.242,749.9151,-45.01,704.9052,-75.198,-75.198,-41.856,-529.57,58.281,165.218,9.875,-33.886
2013-03-31,153.27400,67.17700,86.68700,153.86400,46.64000,4.68500,-11.85400,-95.22900,211.90900,-23.94200,,37.29200,100.03700,137.32900,-629.06800,-515.68100,-827.56700,154.49000,-673.07700,-33.60000,-33.60000,-41.65600,617.98700,-130.34600,-434.11800,8.02100,-33.68300
2012-12-31,157.547,66.531,55.191,121.7219,18.9039,0.765,520.325,48.183,327.452,-46.779,-0.052,-8.418,40.865,32.447,543.941,529.557,870.963,-648.712,222.251,-81.578,-81.578,-42.199,-490.278,-391.804,465.205,7.915,-34.216
2012-09-30,167.767,69.165,72.175,141.34,-64.924,-38.133,-222.493,-195.204,113.903,-27.385,0,11.684,-36.543,-24.859,-56.131,-108.375,-1065.096,40.114,-1024.982,-25.073,-25.073,-42.267,665.807,-426.515,-420.987,7.138,-34.283
2012-06-30,152.706,68.153,100.017,168.17,-96.8619,5.826,160.496,-37.371,283.505,-26.135,0,67.543,273.749,341.292,-1016.038,-700.881,-58.084,-401.987,-460.071,-40.23,-40.23,-42.518,1067.566,524.747,107.371,7.517,-34.469
2012-03-31,153.27000,70.72300,91.03200,161.75500,-0.47600,-13.76400,,-37.75500,277.27000,-29.34200,40.31000,0.17100,-755.91400,-755.74300,-58.50400,-803.27900,-522.87800,70.60600,-452.27200,,,-42.35100,1015.88100,521.25800,-4.75100,5.30300,-34.64800
2011-12-31,126.858,69.021,164.051,233.072,-33.3431,39.812,-62.23,-100.6241,208.073,-41.332,0,5.041,605.7068,610.7478,-1256.161,-686.744,161.067,-774.236,-613.169,0,0,-42.252,59.784,-595.637,-1074.308,19.666,-34.549
2011-09-30,143.391,70.284,58.327,128.611,-94.185,13.06,0,-81.125,196.359,-30.604,0,35.581,-575.4028,-539.8218,27.417,-543.009,-419.479,176.203,-243.276,0,0,-17.501,1813.821,1553.044,1206.394,0,-9.798
2011-06-30,145.918,69.566,52.485,122.051,-63.683,65.718,0,2.035,435.394,-45.24,0,-3.636,589.2579,585.6219,-957.019,-416.637,-199.909,-56.145,-256.054,0,0,-16.33,28.689,-243.695,-224.938,0,-8.626
2011-03-31,126.44600,73.23400,72.03900,145.27300,581.96600,20.91500,,602.88100,754.96100,-26.58700,,13.10700,618.58510,631.69210,-263.42100,341.68400,-259.06300,73.84300,-185.22000,-49.10000,-49.10000,-16.32100,-485.07200,-735.71300,360.93200,,-8.61800
2010-12-31,122.9,77.116,72.728,149.844,-73.7611,-46.727,0,-120.4881,-25.293,-22.249,0,140.159,-350.4671,-210.3082,-709.7111,-942.268,202.492,235.386,437.878,886.172,-511.899,-39.525,789.769,676.223,-291.338,0,-7.161
2010-09-30,100.946,73.113,171.735,244.848,-301.3809,-31.819,0,-333.1999,81.467,-13.83,0,4.712,-858.5598,-853.8477,-403.6159,-1271.294,-704.985,726.968,21.983,0,0,-32.369,1213.663,1203.277,13.45,0,-7.19
2010-06-30,48.764,66.227,354.839,421.066,-84.738,43.605,0,-41.133,468.516,-18.888,0,10.472,200.38,210.852,-629.69,-437.726,220.739,52.767,273.506,0,0,-32.282,-456.878,-215.654,-184.864,0,-7.103
2010-03-31,39.73700,69.73000,196.88600,266.61600,131.15700,-66.80600,,64.35100,316.13300,-13.23300,,7.57000,-191.88810,-184.31810,72.05500,-125.49600,-289.41000,113.76600,-175.64400,,,-32.32300,-193.37400,-401.34100,-210.70400,,-7.14400
2009-12-31,-369.687,67.568,528.6879,596.256,52.957,37.709,0,90.666,127.714,-16.551,0,-25.751,-97.534,-123.284,68.727,-71.109,-1148.74,97.796,-1050.944,-0.017,-0.017,-30.855,664.447,-417.369,-360.764,0,-5.677
2009-09-30,-166.19,54.865,385.6121,440.477,35.0571,-25.446,0,9.6111,289.981,-11.576,0,-61.485,-2537.644,-2599.129,801.444,-1809.261,-85.069,174.716,89.647,587.335,587.335,-30.748,662.55,1308.784,-210.496,0,-5.569
2009-06-30,-125.095,56.083,400.919,457.002,-85.1221,-12.366,0,-97.4881,488.995,-6.15,0,-242.173,-1183.25,-1425.423,849.409,-582.164,-457.597,-252.255,-709.852,548.327,548.327,-30.667,105.134,-87.058,-180.227,0,-3.523
2009-03-31,-2433.20700,2656.46900,150.66700,2807.13600,-121.14300,856.21500,,735.07200,1059.57200,-14.94600,,9.42000,22.14200,31.56200,850.55700,867.17300,-1258.39600,-297.47200,-1555.86800,,,-70.01800,1127.30400,-498.58200,1428.16300,,-40.25700
