,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2020-03-31,171.70000,87.40000,2.40000,89.80000,-96.50000,218.40000,101.10000,362.60000,-29.80000,,-63.80000,,-63.80000,6.10000,-87.50000,,-55.00000,-55.00000,-154.60000,-154.60000,-43.90000,-1.90000,-255.40000,19.80000,19.60000,-43.90000
2019-12-31,132.2,86,6.6,92.6,-15.8,-31.9,-48.4,176.4,-64,-589.7,0,0,0,0.3,-653.4,250,235,485,-93.4,-93.4,-40.8,-5.1,345.7,-127.2,6.3,-40.8
2019-09-30,32.9,80.6,-10.7,69.9,35.2,-87.8,110.7,213.5,-60.7,-44.9,0,0,0,-0.8,-106.4,-28.2,190,161.8,-61.5,-61.5,-40.8,-8.1,51.4,158.5,8.8,-40.8
2019-06-30,150.4,80.3,17,97.3,-8.1,-53.1,-47.4,200.3,-46.9,0,0,0,0,-0.9,-47.8,0,-100,-100,-29.3,-29.3,-41,-9.5,-179.8,-26.2,18.4,-41
2019-03-31,134.40000,80.70000,13.30000,94.00000,-81.60000,229.80000,137.70000,366.10000,-45.20000,-69.10000,,,,-6.00000,-120.30000,397.90000,-495.00000,-97.10000,-63.40000,-63.40000,-40.90000,-5.00000,-206.40000,40.00000,9.20000,-40.90000
2018-12-31,146.2,77.1,37.4,114.5,-33.1,-57.7,-87.3,173.4,-76.5,-85.4,0,0,0,0.3,-161.6,0,130,130,-143.8,-143.8,0,-7.5,-21.3,-8.1,8.4,0
2018-09-30,166,73.9,-8.4,65.5,18.5,-69.9,-4.7,226.8,-55.2,0,-0.1,0,-0.1,121.5,66.2,0,-195,-195,-75.1,-75.1,0,-1.3,-271.4,15.6,10.3,0
2018-06-30,153.5,74.6,11.8,86.4,71.9,-88.2,-32.7,207.2,-56.1,-45.5,0.1,0,0.1,0,-101.5,0,0,0,-113.7,-113.7,0,-9.2,-122.9,-17.8,11,0
2018-03-31,133.00000,74.70000,9.70000,84.40000,-74.70000,162.90000,109.60000,327.00000,-43.20000,-22.20000,0.00000,,0.00000,-3.10000,-68.50000,,-235.00000,-235.00000,-18.70000,-18.70000,,-0.50000,-254.20000,7.50000,8.80000,
2017-12-31,204.6,65.5,-61.1,4.4,-49.5,-23.5,-57.6,151.4,-69.7,-209.7,4.9,0,4.9,-7.1,-281.6,0,120,120,8.9,8.9,0,-0.7,128.2,0.3,7.6,0
2017-09-30,120.7,62.2,5.3,67.5,-2.3,-79.3,-25.9,162.3,-41.3,-582.9,-5,0,-5,0,-629.2,0,475,475,-6.5,-6.5,0,-1.4,467.1,1.3,8.8,0
2017-06-30,121,56.7,9.5,66.2,37.3,-72.9,-75.3,111.9,-41.4,-46,0.1,0,0.1,0,-87.3,0,120,120,-151.9,-151.9,0,-8.6,-40.5,-14.3,8.9,0
2017-03-31,108.80000,57.20000,6.60000,63.80000,-31.00000,156.50000,145.30000,317.90000,-31.10000,-76.30000,0.00000,,0.00000,,-107.40000,,-100.00000,-100.00000,-91.80000,-91.80000,,-0.50000,-192.30000,19.90000,6.50000,
2016-12-31,109.3,51.6,30.5,82.1,-38.3,-28,-98.3,93.1,-57.9,690.1,-8.5,0,-8.5,-709.8,-86.1,0,100,100,-135.8,-135.8,0,-0.5,-36.3,-29.6,9.3,0
2016-09-30,127.5,53.6,1.5,55.1,11.4,-97.5,-83.3,99.3,-36.4,-43.4,8.5,0,8.5,0,-71.3,0,0,0,-49.8,-49.8,0,-1.6,-51.4,-31.7,10.5,0
2016-06-30,261.8,54.6,-264.4,-209.8,55.2,-57.8,29.2,81.2,-31.4,-6.2,0.1,0,0.1,719.4,681.9,0,-705,-705,11.6,11.6,0,-5.3,-698.7,64.6,14.9,0
2016-03-31,92.60000,69.80000,28.20000,98.00000,-34.00000,143.80000,113.30000,303.90000,-30.80000,,0.10000,,0.10000,-0.60000,-31.30000,,-165.00000,-165.00000,-111.70000,-111.70000,,-1.10000,-277.80000,-6.50000,9.80000,
2015-12-31,113.78,68.463,22.391,90.854,-54.251,-9.186,-64.178,143.756,-60.335,-51.147,-0.128,0.013,-0.115,0.499,-111.098,0.034,-30,-29.966,-12.931,-12.931,0,-19.438,-62.335,-30.466,8.554,0
2015-09-30,131.814,53.18,-6.75,46.43,1.67,-74.447,-13.701,164.543,-45.673,0,0.127,0,0.127,15.602,-29.944,0,-120,-120,13.18,13.18,0,6.691,-100.129,23.334,9.03,0
2015-06-30,163.32,66.879,-82.238,-15.359,44.075,-68.208,-63.45,84.511,-35.332,-2890.048,0.16,85.187,85.347,0,-2840.033,1193.966,820,2013.966,730.615,730.615,0,-9.16,2735.421,-7.356,18.971,0
2015-03-31,98.68600,39.77800,8.69700,48.47500,-6.09400,106.14100,123.82900,270.99000,-24.76000,-0.40500,0.04100,,0.04100,-0.10100,-25.22500,,-130.00000,-130.00000,8.33600,8.33600,,-10.39300,-132.05700,113.48800,8.04500,
2014-12-31,97.328,37.93,30.846,68.776,-30.97,-7.564,-55.339,110.765,-43.808,120.001,0.002,0,0.002,-151.17,-74.975,0,160,160,-591.662,-591.662,0,4.196,-427.466,-393.189,7.664,0
2014-09-30,99.015,36.805,-0.85,35.955,-11.344,-56.897,-43.17,91.8,-27.228,0,0.049,0,0.049,-3.83,-31.009,0,0,0,-55.041,-55.041,0,7.839,-47.202,13.042,9.176,0
2014-06-30,88.099,35.605,4.403,40.008,-5.108,-48.736,-74.1,54.007,-39.62,0,0.239,0,0.239,0,-39.381,0,0,0,-26.84,-26.84,0,4.033,-22.807,-7.928,9.876,0
2014-03-31,115.55800,35.76000,-59.69900,-23.93900,-7.07800,109.89700,141.20900,232.82800,-36.14400,-4.00100,0.01000,,0.01000,150.00000,109.86500,,,,-80.35700,-80.35700,,-1.26800,-81.62500,261.57500,8.88400,
2013-12-31,87.223,35.718,19.532,55.25,-7.369,-27.498,-22.005,120.468,-38.061,0,0.792,0,0.792,-1,-38.269,0,-35,-35,-87.399,-87.399,0,26.232,-96.167,-14.402,8.098,0
2013-09-30,96.441,33.777,-2.665,31.112,18.227,-55.922,11.788,139.761,-44.41,0.088,-0.037,0,-0.037,0,-44.359,0,-100,-100,-4.577,-4.577,0,16.516,-88.061,7.616,9.607,0
2013-06-30,84.205,34.687,-17.006,17.681,4.033,-50.464,-46.487,55.434,-35.44,-0.791,0.841,0,0.841,0,-35.39,0,-45,-45,-95.392,-95.392,0,25.852,-114.54,-94.771,10.171,0
2013-03-31,80.51100,33.10900,-26.44800,6.66100,-12.78500,105.48300,104.09200,191.25700,-28.06500,,0.01800,,0.01800,0.43900,-27.60800,,-10.00000,-10.00000,-9.67500,-9.67500,,33.97100,14.29600,177.53900,8.14100,
2012-12-31,98.299,31.223,68.186,99.409,-3.399,-39.418,-50.526,147.232,-18.649,-25.967,-0.013,0,-0.013,-0.25,-44.879,0,-105,-105,-9.385,-9.385,0,3.936,-110.449,-7.951,9.023,0
2012-09-30,82.911,28.709,-13.658,15.051,10.626,-42.13,35.367,133.562,-19.192,-432.561,0.086,0,0.086,0,-451.667,347.224,-35,312.224,-11.65,-11.65,0,18.099,318.673,0.572,8.945,0
2012-06-30,73.331,25.828,-19.184,6.644,20.827,-112.458,-82.125,-2.178,-19.09,-0.553,-0.032,0,-0.032,-0.25,-19.925,0,25,25,-50.649,-50.649,0,30.307,4.658,-17.732,12.462,0
2012-03-31,74.60100,20.77600,7.04600,27.82200,-34.47900,95.36000,87.18000,189.61300,-17.44200,-347.77700,0.10700,,0.10700,-2.00000,-367.11200,,125.00000,125.00000,-22.20300,-22.20300,,-2.12400,100.67300,-76.67300,7.37700,
2011-12-31,80.318,19.981,-12.272,7.709,-1.481,-30.189,-36.059,51.967,-17.904,0,-0.119,0,-0.119,0.3,-17.723,247.603,-157.311,90.292,-26.742,-26.742,0,41.164,104.714,138.757,8.353,0
2011-09-30,70.987,20.047,5.275,25.322,-7.466,-26.722,40.255,136.667,-13.754,0,-0.066,0,-0.066,0,-13.82,0,-5.608,-5.608,-115.7,-115.7,0,-0.108,-121.416,0.876,8.179,0
2011-06-30,65.577,20.177,5.237,25.414,20.496,-43.685,-49.5,41.506,-14.523,-141.281,0.172,0,0.172,-3.5,-159.132,448.956,-256.135,192.821,-125.99,-125.99,0,1.292,68.123,-49.268,11.81,0
2011-03-31,65.87600,20.06900,7.20200,27.27100,-37.47500,71.21000,52.41900,145.58100,-13.64800,,0.19400,,0.19400,,-13.45400,,-15.94600,-15.94600,-69.99900,-69.99900,,-0.25600,-86.20100,46.26400,6.92900,
2010-12-31,65.893,18.043,-13.022,5.021,16.095,-15.174,23.296,94.225,-16.435,-197.672,-0.094,0,-0.094,0,-214.201,0,315.23,315.23,-274.978,-274.978,0,27.541,67.793,-52.281,8.23,0
2010-09-30,62.88,16.56,0.43,16.99,-11.96,-27.793,-11.25,68.773,-6.636,0,0.072,0,0.072,0,-6.564,0,-1.161,-1.161,-64.068,-64.068,0,3.266,-61.963,0.428,8.628,0
2010-06-30,58.404,17.358,-0.433,16.925,14.005,-37.592,-39.499,35.845,-8.072,-0.089,0.166,0,0.166,0,-7.995,0,-1.124,-1.124,-45.533,-45.533,0,-5.162,-51.819,-24.165,9.277,0
2010-03-31,55.37500,17.62800,8.21200,25.84000,-42.69900,84.73100,55.95900,137.18900,-7.49800,-7.51400,0.08300,,0.08300,,-14.92900,,-62.94500,-62.94500,,,,0.14700,-62.79800,59.46500,6.73600,
2009-12-31,-6.445,18.464,55.683,74.147,14.956,-24.469,3.108,70.825,-14.375,-2.65,-0.011,0,-0.011,0,-17.036,0,-66.052,-66.052,5.097,5.097,0,18.253,-42.702,10.967,62.663,0
2009-09-30,42.205,17.633,15.474,33.107,3.31,-23.048,-4.442,71.047,-8.124,-7.589,0.092,0,0.092,0,-15.621,0,-30.533,-30.533,-6.972,-6.972,0,-3.445,-40.95,14.598,9.893,0
2009-06-30,45.939,18.182,8.847,27.029,7.963,-23.386,-23.847,49.136,-7.836,0,0.174,0,0.174,-78.1,-85.762,80,-31.977,48.023,-11.454,-11.454,0,0.487,37.056,0.956,9.121,0
2009-03-31,44.91500,17.70500,9.31200,27.01700,-28.21900,88.80000,63.44600,135.39300,-8.35900,-58.61800,0.05600,,0.05600,,-66.92100,,-30.68200,-30.68200,-25.70200,-25.70200,,0.17100,-56.21300,11.82100,7.13200,
