,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2020-03-31,-239.00000,759.00000,1233.00000,1992.00000,245.00000,71.00000,-164.00000,-38.00000,-120.00000,1633.00000,-1462.00000,-8.00000,,-218.00000,-218.00000,47.00000,-1641.00000,18.00000,1779.00000,1797.00000,78.00000,78.00000,-788.00000,-81.00000,1006.00000,998.00000,-788.00000
2019-12-31,1010,742,-83,659,-459,16,221,3,-174,1495,-1784,-158,0,407,407,73,-1462,1555,-4509,-2954,2791,3582,-759,-73,-204,-171,-759
2019-09-30,985,763,-147,616,-138,-92,0,-116,-205,1396,-1084,-31,888,-1152,-264,52,-1327,-3717,2873,-844,1477,1477,-755,-67,-189,-120,-755
2019-06-30,58,738,467,1205,339,-67,-162,-296,-121,1142,-1110,-123,-888,849,-39,-9,-1281,-963,135,-828,1660,1660,-736,-24,72,-67,-736
2019-03-31,-677.00000,734.00000,1534.00000,2268.00000,153.00000,53.00000,-284.00000,-13.00000,-420.00000,1171.00000,-1002.00000,360.00000,,97.00000,97.00000,-7.00000,-552.00000,-1730.00000,1905.00000,175.00000,247.00000,247.00000,-733.00000,-72.00000,-383.00000,236.00000,-733.00000
2018-12-31,662,574,-194,380,-239,8,234,15,20,1062,-1143,-43,0,2169,2169,28,1011,-566,-2601,-3167,1724,1724,-550,-76,-2069,4,-550
2018-09-30,883,600,-189,411,-29,-68,-16,29,-8,1286,-1065,-57,890,-899,-9,-2,-1133,1686,-1260,426,75,75,-546,-75,-120,33,-546
2018-06-30,478,534,253,787,111,-73,-94,-29,-72,1193,-943,-44,-890,875,-15,-51,-1053,-137,532,395,81,81,-545,-51,-120,20,-545
2018-03-31,526.00000,572.00000,315.00000,887.00000,47.00000,104.00000,-57.00000,-172.00000,-181.00000,1232.00000,-1103.00000,-7.00000,,-121.00000,-121.00000,48.00000,-1183.00000,-230.00000,365.00000,135.00000,581.00000,581.00000,-544.00000,-72.00000,100.00000,149.00000,-544.00000
2017-12-31,1333,553,-566,-13,-350,49,69,-261,-490,830,-1382,-62,0,61,61,314,-1074,357,238,595,87,87,-496,-58,128,-116,-496
2017-09-30,696,561,162,723,-60,-55,53,-179,-107,1312,-1374,-63,0,-113,-113,-2,-1547,-289,-23,-312,1077,1077,-486,-67,212,-23,-486
2017-06-30,417,540,176,716,171,-40,-71,-139,-133,1000,-1313,-186,0,-113,-113,-8,-1620,691,206,897,77,77,-475,-95,404,-216,-475
2017-03-31,674.00000,548.00000,182.00000,730.00000,136.00000,61.00000,-140.00000,-82.00000,-44.00000,1360.00000,-1435.00000,-94.00000,,-176.00000,-176.00000,4.00000,-1701.00000,1549.00000,-528.00000,1021.00000,79.00000,79.00000,-474.00000,-67.00000,559.00000,218.00000,-474.00000
2016-12-31,491,524,223,747,-305,11,186,-363,-473,765,-1549,-28,-1504,1404,-100,15,-1662,1551,-1141,410,555,1045,-440,-72,943,46,-440
2016-09-30,728,472,150,622,-63,-7,3,-74,18,1368,-1386,-4383,0,-61,-61,526,-5304,3131,559,3690,621,621,-438,-63,3810,-126,-438
2016-06-30,462,429,72,501,42,-47,-55,-81,-163,826,-1653,-10,0,-71,-71,-466,-2200,676,-91,585,1383,1383,-432,-3,1533,159,-432
2016-03-31,531.00000,424.00000,131.00000,555.00000,40.00000,44.00000,-37.00000,17.00000,132.00000,1192.00000,-1497.00000,,,-48.00000,-48.00000,20.00000,-1525.00000,754.00000,-581.00000,173.00000,75.00000,75.00000,-417.00000,113.00000,-56.00000,-389.00000,-417.00000
2015-12-31,366,419,209,628,65,-23,23,2,28,1022,-1943,-140,-1326,1273,-53,63,-2153,483,1154,1637,69,69,-386,180,1500,369,-386
2015-09-30,599,428,269,697,15,-50,-49,53,-3,1293,-1262,-48,0,-11,-11,-25,-1266,395,-67,328,70,70,-385,-73,-60,-33,-385
2015-06-30,418,408,143,551,279,-101,-88,-4,60,1029,-1356,-232,0,-6,-6,9,-1585,1195,-578,617,352,352,-384,-33,552,-4,-384
2015-03-31,540.00000,414.00000,167.00000,581.00000,-65.00000,148.00000,-85.00000,27.00000,10.00000,1131.00000,-1014.00000,-495.00000,,33.00000,33.00000,-23.00000,-1499.00000,-3.00000,425.00000,422.00000,295.00000,295.00000,-381.00000,-11.00000,325.00000,-43.00000,-381.00000
2014-12-31,249,389,385,774,-169,-4,89,122,6,1029,-1603,-140,-1241,1272,31,64,-1648,667,146,813,459,325,-352,-67,719,100,-350
2014-09-30,531,423,136,559,147,-41,-33,-241,-127,963,-1353,-8,0,-19,-19,33,-1347,935,-450,485,67,67,-353,-16,183,-201,-350
2014-06-30,161,370,335,705,336,-161,-311,-41,-172,694,-1269,-11,0,-18,-18,31,-1267,-52,1107,1055,71,71,-351,-11,764,191,-349
2014-03-31,385.00000,378.00000,39.00000,417.00000,-183.00000,163.00000,53.00000,-27.00000,-49.00000,753.00000,-1120.00000,140.00000,,85.00000,85.00000,-24.00000,-919.00000,542.00000,45.00000,587.00000,,-125.00000,-353.00000,-31.00000,78.00000,-88.00000,-349.00000
2013-12-31,435,286,82,368,-196,34,194,-363,-320,483,-1110,-16,-1493,1524,31,-15,-1110,1169,-218,951,72,72,-331,-36,656,29,-326
2013-09-30,575,375,89,464,6,-53,5,133,120,1159,-1018,455,0,88,88,12,-463,556,40,596,62,62,-330,-927,-599,97,-326
2013-06-30,208,363,149,512,216,-143,-14,27,19,739,-1033,-13,0,-3,-3,26,-1023,627,102,729,71,71,-330,-31,439,155,-326
2013-03-31,502.00000,366.00000,209.00000,575.00000,-124.00000,133.00000,-135.00000,101.00000,-25.00000,1052.00000,-904.00000,,,27.00000,27.00000,15.00000,-862.00000,538.00000,-667.00000,-129.00000,73.00000,73.00000,-328.00000,-19.00000,-403.00000,-213.00000,-324.00000
2012-12-31,-652,363,1168,1531,-79,-2,155,-265,-204,675,-1261,0,-1392,1478,86,119,-1056,-638,1431,793,68,68,-307,-6,548,167,-303
2012-09-30,215,376,498,874,8,-40,49,-119,-25,1064,-924,0,0,-8,-8,12,-920,181,-149,32,58,58,-307,-8,-225,-81,-303
2012-06-30,265,351,131,482,36,-24,10,171,28,775,-979,0,0,6,6,55,-918,-64,473,409,70,70,-306,-1,172,29,-302
2012-03-31,501.00000,353.00000,142.00000,495.00000,327.00000,99.00000,-275.00000,387.00000,627.00000,1623.00000,-981.00000,,,-5.00000,-5.00000,40.00000,-946.00000,346.00000,-757.00000,-411.00000,69.00000,69.00000,-305.00000,1.00000,-646.00000,31.00000,-301.00000
2011-12-31,207,337,297,634,-162,-23,6,-62,-256,585,-1036,0,-1824,1812,-12,91,-957,-488,1031,543,1,1,-286,4,262,-110,-281
2011-09-30,396,324,209,533,251,-131,-25,21,182,1111,-981,0,0,-10,-10,162,-829,1149,-1003,146,5,5,-284,-17,-150,132,-280
2011-06-30,340,309,148,457,-16,-150,-95,-23,-422,375,-829,0,0,-25,-25,71,-783,-36,939,903,-312,-312,-287,-4,300,-108,-283
2011-03-31,483.00000,318.00000,181.00000,499.00000,292.00000,119.00000,-299.00000,-53.00000,-70.00000,912.00000,-806.00000,,,-20.00000,-20.00000,74.00000,-752.00000,1058.00000,-538.00000,520.00000,-257.00000,-257.00000,-289.00000,-8.00000,-34.00000,126.00000,-285.00000
2010-12-31,303,312,-386,-74,-420,58,170,-242,-538,-59,-913,0,0,495,495,-388,-806,-538,1286,748,8,8,-271,-4,481,-384,-266
2010-09-30,579,317,263,580,48,-114,80,-167,-674,478,-855,3450,0,392,392,-3423,-436,547,100,647,-382,-382,-270,-2,-7,35,-266
2010-06-30,1765,309,-2869,-2560,186,-122,-41,69,794,-244,-750,4,0,-898,-898,3476,1832,-411,-295,-706,-288,-288,-273,5,-1262,326,-269
2010-03-31,178.00000,320.00000,553.00000,873.00000,126.00000,213.00000,-90.00000,261.00000,599.00000,1650.00000,-904.00000,737.00000,,-26.00000,-26.00000,22.00000,-171.00000,,-1000.00000,-1000.00000,-164.00000,-164.00000,-279.00000,-1.00000,-1444.00000,35.00000,-275.00000
2009-12-31,-4,359,572,931,-346,31,319,-145,-218,804,-953,0,0,-40,-40,42,-951,-313,646,333,75,75,-267,3,144,-3,-262
2009-09-30,598,320,18,338,181,-81,54,46,239,1080,-1096,0,0,-3,-3,143,-956,499,-430,69,67,67,-265,-8,-137,-13,-261
2009-06-30,458,315,-145,170,528,-231,-265,27,-207,421,-951,0,0,-33,-33,70,-914,1066,-540,526,167,167,-263,-18,412,-81,-259
2009-03-31,252.00000,325.00000,173.00000,498.00000,95.00000,271.00000,-264.00000,406.00000,731.00000,1481.00000,-837.00000,,,,,-37.00000,-874.00000,-4.00000,-411.00000,-415.00000,147.00000,147.00000,-261.00000,-2.00000,-531.00000,76.00000,-257.00000
