,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2014-06-30,613,864,97,961,-147,-150,-121,-85,-328,1246,-1206,-16,0,134,134,7,-1081,743,126,869,4,4,-554,-7,312,477,-554
2014-03-31,-93.00000,884.00000,1167.00000,2051.00000,29.00000,272.00000,-97.00000,-614.00000,-585.00000,1373.00000,-1232.00000,,,5.00000,5.00000,-59.00000,-1286.00000,-412.00000,898.00000,486.00000,19.00000,19.00000,-553.00000,-9.00000,-57.00000,30.00000,-553.00000
2013-12-31,692,864,-79,785,-127,-150,485,-125,-85,1392,-1672,0,0,267,267,-7,-1412,353,-444,-91,1,1,-552,-3,-645,-665,-552
2013-09-30,1008,821,641,1462,-10,35,-104,-394,-323,2147,-1139,0,0,165,165,-30,-1004,193,-226,-33,1,1,-551,35,-548,595,-551
2013-06-30,342,782,463,1245,-26,-42,-62,169,165,1752,-1337,32,0,-7,-7,215,-1097,32,136,168,2,2,-543,-7,-380,275,-543
2013-03-31,634.00000,762.00000,360.00000,1122.00000,-118.00000,126.00000,-246.00000,-396.00000,-665.00000,1091.00000,-1378.00000,-32.00000,,-56.00000,-56.00000,1.00000,-1465.00000,262.00000,627.00000,889.00000,5.00000,-91.00000,-542.00000,-10.00000,246.00000,-128.00000,-542.00000
2012-12-31,437,787,-126,661,122,-236,353,63,167,1265,-1649,-415,0,207,207,-351,-2208,980,180,1160,7,7,-541,-20,606,-337,-541
2012-09-30,598,788,553,1341,-144,143,-120,99,38,1977,-1591,71,0,-121,-121,43,-1598,849,-533,316,2,2,-541,79,-144,235,-541
2012-06-30,448,533,94,627,-111,-3,168,6,55,1130,-1273,-815,0,882,882,-5,-1211,272,603,875,6,6,-335,-10,536,455,-335
2012-03-31,299.00000,544.00000,292.00000,836.00000,172.00000,-162.00000,-270.00000,59.00000,-263.00000,872.00000,-988.00000,779.00000,,-944.00000,-944.00000,-27.00000,-1180.00000,-429.00000,28.00000,-401.00000,8.00000,8.00000,-335.00000,-3.00000,-731.00000,-1039.00000,-335.00000
2011-12-31,290,518,-176,342,-113,-160,496,-207,13,645,-1337,-1,0,-82,-82,56,-1364,1456,-329,1127,54,54,-335,-49,797,78,-335
2011-09-30,470,517,286,803,-51,-2,-117,78,37,1310,-1039,-46,0,-105,-105,-42,-1232,419,474,893,3,3,-337,33,592,670,-337
2011-06-30,441,487,196,683,-52,-54,-146,-46,-368,756,-981,-2,0,59,59,4,-920,435,5,440,4,4,-326,-11,107,-57,-326
2011-03-31,513.00000,504.00000,96.00000,600.00000,218.00000,-31.00000,-192.00000,-118.00000,-152.00000,961.00000,-1006.00000,-2.00000,,65.00000,65.00000,25.00000,-918.00000,-18.00000,58.00000,40.00000,6.00000,6.00000,-331.00000,-9.00000,-294.00000,-251.00000,-331.00000
2010-12-31,429,513,-460,53,-68,-91,267,154,368,850,-1374,0,-9,523,514,-38,-898,240,-71,169,87,87,-327,-19,-90,-138,-327
2010-09-30,666,502,220,722,24,72,24,62,149,1537,-1156,0,1,136,137,2,-1017,436,32,468,103,103,-322,29,278,798,-322
2010-06-30,-217,473,673,1146,-31,37,-10,69,74,1003,-1146,0,6,-100,-94,-32,-1272,573,-109,464,81,81,-319,-27,199,-70,-319
2010-03-31,445.00000,506.00000,145.00000,651.00000,94.00000,180.00000,-114.00000,-83.00000,25.00000,1121.00000,-1179.00000,,2.00000,-58.00000,-56.00000,-1.00000,-1236.00000,-158.00000,93.00000,-65.00000,31.00000,31.00000,-316.00000,3.00000,-347.00000,-462.00000,-316.00000
2009-12-31,348,451,-13,438,-264,-19,213,234,135,921,-1409,0,13,103,116,22,-1271,798,-700,98,519,519,-314,-17,286,-64,-314
2009-09-30,106,478,288,766,26,-52,7,640,653,1525,-1124,-10,-46,1,-45,91,-1088,743,300,1043,-286,-286,-312,18,463,900,-312
2009-06-30,282,454,500,954,-22,-117,-56,-289,-409,827,-994,-114,43,-110,-67,-64,-1239,22,115,137,115,115,-300,-35,-83,-495,-300
2009-03-31,349.00000,463.00000,-380.00000,83.00000,222.00000,-110.00000,-244.00000,-84.00000,-242.00000,190.00000,-906.00000,,-10.00000,25.00000,15.00000,-3.00000,-894.00000,1313.00000,-263.00000,1050.00000,171.00000,171.00000,-296.00000,-6.00000,919.00000,215.00000,-296.00000
