,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2014-09-30,91.155,71.897,13.833,85.73,-8.959,-10.061,-3.603,173.282,-71.782,0,-388.416,277.109,-111.307,5.194,-177.895,0,0,-21.66,-21.66,-6.235,-27.895,-39.826,4.05
2014-06-30,72.886,63.228,48.268,111.496,-23.117,-5.011,15.842,200.224,-70.519,0.115,36.415,-102.911,-66.496,2.86,-134.04,-0.868,-0.868,-57.674,-57.674,-3.494,-62.036,5.439,31.678
2014-03-31,72.80000,55.45700,11.89800,67.35500,-18.13700,-10.48400,-51.13200,89.02300,-84.00600,-386.64700,-361.88400,102.91100,-258.97300,-0.83200,-730.45800,638.41900,638.41900,-71.81800,-71.81800,-11.09300,555.50800,-85.16500,25.11400
2013-12-31,80.349,49.976,47.857,97.833,-15.863,12.61,-6.45,171.732,-63.096,-3.237,304.599,-265.495,39.104,0.692,-26.537,0,0,-38.722,-38.722,-8.124,-46.846,98.876,23.673
2013-09-30,79.756,47.954,16.408,64.362,-16.118,9.853,13.77,157.888,-60.054,-27.5,-301.667,265.495,-36.172,-2.958,-126.684,0,0,-3.469,-3.469,1.096,-2.373,30.15,24.479
2013-06-30,61.895,44.126,19.464,63.59,-6.848,-5.796,15.579,141.064,-76.354,0.08,67.159,-66.171,0.988,-0.362,-75.648,0,0,-24.607,-24.607,1.693,-22.914,39.59,24.801
2013-03-31,71.48700,42.37500,17.87300,60.24800,-28.35500,-5.62800,-38.51100,93.22400,-60.56900,,-89.84100,66.17100,-23.67000,,-84.23900,,,-29.91400,-29.91400,-13.19600,-43.11000,-36.71400,22.93100
2012-12-31,68.292,54.96,9.144,64.104,19.479,-8.685,20.317,152.713,-61.94,-30.65,196.033,-214.159,-18.126,-0.167,-110.883,0,0,-18.465,-18.465,-2.698,-21.163,19.339,21.405
2012-09-30,48.231,53.457,20.718,74.175,-27.974,-1.057,12.846,135.252,-60.154,-14.392,-253.401,214.159,-39.242,0.979,-112.809,0,0,-25.332,-25.332,0.17,-25.162,-0.346,22.635
2012-06-30,44.239,50.112,23.793,73.905,7.803,8.391,31.408,149.552,-55.537,0,87.74,-89.414,-1.674,0,-57.211,0,0,-51.722,-51.722,-0.906,-52.628,38.272,25.621
2012-03-31,43.22700,45.63400,7.78300,53.41700,-1.41600,5.21700,-4.14100,92.50300,-43.33400,-291.63800,-252.64900,89.41400,-163.23500,,-498.20700,,,-0.83500,-0.83500,-8.24100,-9.07600,-414.47300,20.92400
2011-12-31,60.081,43.65,51.91,95.56,-30.016,-8.657,-26.011,129.63,-39.782,0,-351.464,532.689,181.225,-0.274,141.169,0,0,-64.335,-64.335,-1.05,-65.385,203.598,18.84
2011-09-30,42.285,41.761,36.043,77.804,-8.277,4.18,-3.8,116.289,-47.27,0,478.093,-238.207,239.886,-0.221,192.395,0,0,-153.942,-153.942,-1.563,-155.505,149.97,15.141
2011-06-30,47.921,41.333,9.793,51.126,-7.101,17.256,12.801,111.848,-42.677,-0.375,-139.845,101.195,-38.65,0,-81.702,0,0,-40.772,-40.772,-1.669,-42.441,-11.545,11.612
2011-03-31,50.61700,41.13400,7.13900,48.27300,7.55700,-9.54500,-10.37900,88.51100,-46.21000,-0.17500,-165.58100,137.23300,-28.34800,0.22100,-74.51200,,,-39.71900,-39.71900,9.01200,-30.70700,-14.69200,15.71200
2010-12-31,52.51,39.179,6.704,45.883,-17.221,29.681,11.966,110.359,-48.576,-0.458,-19.417,0,-19.417,-0.008,-68.459,0,0,-13.469,-13.469,6.594,-6.875,34.299,18.495
2010-09-30,39.709,36.542,32.104,68.646,10.064,-9.077,9.608,117.963,-42.044,-0.2,-0.956,0,-0.956,0.008,-43.192,0,0,-11.552,-11.552,9.456,-2.096,77.061,18.589
2010-06-30,38.123,34.858,30.821,65.679,-18.988,-23.584,-17.422,86.38,-66.082,-12.01,-65.449,0,-65.449,0,-143.541,0,0,-3.429,-3.429,9.75,6.321,-52.718,20.276
2010-03-31,40.87800,33.17000,41.74500,74.91500,2.58200,-17.25700,-28.04000,87.75300,-35.16700,,-44.50000,-0.50000,-45.00000,,-80.16700,,,-18.19900,-18.19900,3.17300,-15.02600,-8.08100,19.10800
2009-12-31,40.08,32.783,38.297,71.08,-5.054,5.116,13.709,124.869,-29.183,0,-252.533,141.544,-110.989,0.233,-139.939,0,0,-6.964,-6.964,0.865,-6.099,-21.497,16.798
2009-09-30,32.745,31.775,32.276,64.051,-6.765,-2.341,8.447,105.243,-31.155,0,-162.179,0,-162.179,0,-193.334,0,0,-31.667,-31.667,0.713,-30.954,-118.281,13.612
2009-06-30,36.007,29.888,34.625,64.513,5.941,1.906,3.311,103.831,-24.651,0,33.124,0,33.124,1.35,9.823,0,0,-9.906,-9.906,0.333,-9.573,105.873,13.32
2009-03-31,37.08100,28.88800,38.34300,67.23100,4.71900,-1.08600,-13.84300,90.46900,-23.06500,-5.77900,-5.20400,,-5.20400,,-34.04800,,,3.76400,3.76400,0.32500,4.08900,59.13600,15.06700
