,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2014-09-30,1038,248,-126,122,-121,-211,331,-50,1110,0,-9608,1327,-8281,16,-8265,2833,515,3348,-318,-318,-327,3724,6427,-728,-257
2014-06-30,1052,240,122,362,-87,223,-25,136,1550,0,-2383,2346,-37,-3260,-3297,2078,107,2185,-197,-197,-303,231,1916,169,-256
2014-03-31,1060.00000,236.00000,49.00000,285.00000,-12.00000,616.00000,-385.00000,575.00000,1920.00000,,-1899.00000,1831.00000,-68.00000,-2917.00000,-2985.00000,2262.00000,-1755.00000,507.00000,85.00000,85.00000,-303.00000,1456.00000,1745.00000,680.00000,-235.00000
2013-12-31,1074,263,190,453,-212,-1438,1181,-1868,-341,0,-5163,-2738,-7901,-3205,-11106,14890,-8935,5955,48,48,-283,4862,10582,-865,-234
2013-09-30,1028,300,156,456,873,520,2533,2616,4100,0,-3550,-667,-4217,-2969,-7186,-7475,7893,418,64,64,-303,3764,3943,857,-233
2013-06-30,1115,300,253,553,-824,351,25,-884,784,0,-2598,1626,-972,-3051,-4023,2642,-160,2482,101,447,-285,698,3342,103,-234
2013-03-31,995.00000,283.00000,373.00000,656.00000,69.00000,112.00000,25.00000,-639.00000,1012.00000,,2630.00000,1602.00000,4232.00000,-852.00000,3380.00000,-2454.00000,-1068.00000,-3522.00000,7.00000,7.00000,-277.00000,-1872.00000,-5664.00000,-1272.00000,-210.00000
2012-12-31,712,298,289,587,-1127,493,1774,-116,1183,-836,-1405,907,-498,-4294,-5628,12568,-14716,-2148,-45,484,-264,7309,5381,936,-212
2012-09-30,925,307,200,507,523,-537,-161,380,1812,0,1595,-49,1546,-1938,-392,-11710,11017,-693,-74,364,-274,-669,-1272,148,-212
2012-06-30,546,285,691,976,-1014,263,201,-484,1038,35,-2188,2852,664,-4832,-4133,3294,-2306,988,16,1498,-236,819,3069,-26,-211
2012-03-31,811.00000,269.00000,314.00000,583.00000,493.00000,1131.00000,-187.00000,1382.00000,2776.00000,-3329.00000,204.00000,-626.00000,-422.00000,-3357.00000,-7108.00000,-4449.00000,8906.00000,4457.00000,45.00000,45.00000,-223.00000,110.00000,4389.00000,57.00000,-185.00000
2011-12-31,493,290,1079,1369,-525,467,-176,-414,1448,169,1198,776,1974,-4966,-2823,-623,2278,1655,30,30,-207,20,1498,123,-183
2011-09-30,834,281,850,1131,191,-916,-3287,-1085,880,0,2287,-4460,-2173,-4784,-6957,545,-942,-397,-3,985,-189,5795,6194,117,-185
2011-06-30,912,290,171,461,245,1073,-707,1605,2978,261,-3264,3137,-127,-2016,-1882,-694,704,10,-9,-9,-208,-413,-620,476,-184
2011-03-31,832.00000,279.00000,455.00000,734.00000,166.00000,-294.00000,-300.00000,-839.00000,727.00000,,1707.00000,2855.00000,4562.00000,551.00000,5113.00000,-2895.00000,-1424.00000,-4319.00000,-19.00000,-19.00000,-56.00000,-1354.00000,-5748.00000,92.00000,-52.00000
2010-12-31,820,306,905,1211,-98,-624,1202,-1657,374,-277,-2819,559,-2260,-2178,-4715,-1321,1112,-209,-12,-12,-77,4212,3914,-427,-53
2010-09-30,1103,311,-144,167,-726,-122,-1225,-1101,169,2323,4550,-8907,-4357,3202,1168,-1188,571,-617,-31,-31,-57,-466,-1171,166,-53
2010-06-30,803,216,1029,1245,-112,329,-769,-51,1997,156,-5265,6673,1408,2095,3659,-1104,-730,-1834,-17,-17,-78,-3732,-5661,-5,-53
2010-03-31,671.00000,226.00000,974.00000,1200.00000,-218.00000,885.00000,641.00000,401.00000,2272.00000,,4905.00000,-1570.00000,3335.00000,2282.00000,5617.00000,-1238.00000,85.00000,-1153.00000,3342.00000,-4237.00000,-138.00000,-3086.00000,-8614.00000,-725.00000,-45.00000
2009-12-31,1107,231,577,808,843,96,2511,1310,3225,0,-3357,-1334,-4691,1832,-2859,-1933,313,-1620,9,9,-165,2272,496,862,-46
2009-09-30,559,242,765,1007,931,-227,-210,-387,1179,-3396,8457,-3905,4552,3468,4624,-3682,169,-3513,11,11,-145,-2527,-6174,-371,-46
2009-06-30,207,247,978,1225,-812,-931,1076,-952,480,0,4092,-2570,1522,5370,6892,-2653,-766,-3419,628,628,-164,-4196,-7151,221,-45
2009-03-31,530.00000,258.00000,1097.00000,1355.00000,148.00000,1123.00000,2526.00000,-1015.00000,870.00000,,485.00000,-1989.00000,-1504.00000,2326.00000,822.00000,-1714.00000,-2335.00000,-4049.00000,35.00000,35.00000,-344.00000,1771.00000,-2587.00000,-895.00000,-293.00000
