,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2014-03-31,42.10900,88.33900,-22.17800,66.16100,-9.20900,-7.06800,40.86400,-52.62900,55.64100,-89.96400,-8.15800,-30.78100,,,,-128.90300,174.08110,174.08110,2.41700,2.41700,-52.73500,-2.92400,120.83900,49.38000,7.14100,-52.73500
2013-12-31,47.655,85.224,-131.894,-46.67,4.686,4.996,112.503,171.979,172.964,-82.741,5.53,-194.419,0,0,-19.395,-291.025,137.2329,137.2329,2.938,2.938,-51.771,-20.031,68.369,-51.505,7.338,-51.771
2013-09-30,4.759,81.168,97.771,178.939,-16.622,12.334,-42.153,-63.017,120.681,-47.129,-8.312,-69.889,0,0,-4.919,-130.249,-17.7548,-17.7548,-0.171,-0.171,-51.718,-7.079,-76.723,-86.835,9.423,-51.718
2013-06-30,27.044,80.792,58.677,139.469,-13.635,-21.394,-44.351,-59.217,107.296,-59.406,-3.625,-52.866,0,0,-0.008,-115.905,81.6339,81.6339,9.892,9.892,-51.647,1.127,41.006,28.867,7.883,-51.647
2013-03-31,20.53400,82.11100,12.03900,94.15000,-7.61000,28.23200,29.80000,-8.07900,106.60500,-95.93500,-4.63600,0.07400,,,-0.01100,-100.50800,31.13900,31.13900,5.00500,5.00500,-51.66200,1.43000,-14.08800,-13.41600,5.71000,-51.66200
2012-12-31,25.4,81.709,-14.796,66.913,4.415,11.912,-42.257,39.686,131.999,-75.495,-15.495,-18.913,0,0,3,-106.903,52.4341,52.4341,17.916,17.916,-186.538,0.718,-115.47,-91.168,9.561,-186.538
2012-09-30,53.751,82.621,4.759,87.38,2.082,-8.575,-41.673,-52.584,88.547,-58.232,-5.233,1.069,-2.33,-2.33,0,-64.726,173.6538,173.6538,11.299,11.299,-46.336,-2,136.617,164.353,4.682,-46.336
2012-06-30,38.917,79.212,-12.872,66.34,-15.63,-1.61,37.563,32.049,137.306,-51.436,-5.136,-98.472,0,0,-6.495,-161.539,54.0041,54.0041,9.708,9.708,-42.791,0.258,21.179,-8.063,6.317,-42.791
2012-03-31,55.98000,79.75000,0.60300,80.35300,-8.83100,-2.43300,-13.55600,-61.44900,74.88400,-54.06300,-3.00800,-8.81800,,,-1.14300,-67.03200,65.56600,65.56600,-36.73100,-36.73100,-43.18000,0.24900,-14.09600,-1.55200,9.80000,-43.18000
2011-12-31,34.001,89.362,12.662,102.024,-2.463,5.359,7.661,68.455,204.48,-60.969,-4.834,-0.074,0,0,9.617,-56.26,36.711,36.711,-432.643,-432.643,-46.877,-0.365,-443.174,-301.034,4.808,-46.877
2011-09-30,37.925,121.067,2.349,123.416,17.674,-1.315,5.047,6.56,167.901,-44.8,-5.792,0,0.123,0.123,-5.25,-55.719,428.73,428.73,-275.099,-275.099,-50.695,-0.075,102.861,209.455,4.403,-50.695
2011-06-30,253.047,80.299,-174.887,-94.588,-13.152,8.444,-27.352,-34.739,123.72,-47.113,-8.184,-40.467,-0.408,-0.408,385.65,289.478,-96.506,-96.506,-189.663,-189.663,-37.53,-9.285,-332.984,81.607,3.6,-37.53
2011-03-31,74.61900,81.58900,2.26400,83.85300,-22.85800,-5.41900,13.88600,-39.13500,119.33700,-52.04200,-2.89300,-34.70500,-0.05000,-0.05000,-9.30100,-98.99100,-52.38500,-52.38500,-1.80600,-1.80600,-37.51400,1.19400,-90.51100,-68.87600,4.43900,-37.51400
2010-12-31,30.548,86.638,30.655,117.2929,11.326,2.4,-0.281,32.263,180.104,-64.36,-3.16,-0.619,0,0,-11.975,-80.114,-0.946,-0.946,-12.085,-12.085,-12.532,-0.627,-26.19,74.52,4.144,-12.532
2010-09-30,-150.817,155.073,228.79,383.8631,-4.209,14.467,-17.932,-56.108,176.938,-51.847,-4.573,-1.458,0,0,-4.11,-61.988,-223.463,-223.463,-39.863,-39.863,-12.641,0.11,-275.857,-156.306,4.013,-12.641
2010-06-30,41.752,66.655,32.476,99.131,-3.3,-1.721,19.4,-3.952,136.931,-42.433,-3.04,106.576,0,0,-118.127,-57.024,-14.609,-14.609,-35.604,-35.604,-12.72,0.901,-62.032,15.057,4.39,-12.72
2010-03-31,25.83900,87.10500,13.19500,100.30000,7.97600,-15.69300,2.87000,5.02800,131.16700,-77.67300,-2.42900,-118.34000,,,-35.10200,-233.54400,-11.88300,-11.88300,-5.78600,-5.78600,,0.51400,-17.15500,-121.23400,4.72700,0.00000
2009-12-31,61.746,42.117,31.212,73.329,19.613,15.793,-11.009,47.946,183.021,-68.791,-3.589,0.445,-3.114,-3.114,-25.367,-100.416,-90.4661,-90.4661,4.135,4.135,0,-1.134,-87.465,-2.607,1.223,0
2009-09-30,43.177,82.709,34.333,117.042,9.527,11.589,2.441,25.38,185.599,-82.497,-2.713,-0.515,0,0,0,-85.725,17.236,17.236,9.115,9.115,0,1.853,28.204,133.207,4.851,0
2009-06-30,87.512,79.957,-29.489,50.468,-16.95,-4.716,7.579,-17.181,120.799,-61.662,-2.092,-0.016,0,0,0,-63.77,-24.65,-24.65,8.303,8.303,0,2.026,-14.321,44.225,4.877,0
2009-03-31,26.94400,77.52000,42.47700,119.99700,-27.08700,-12.48600,-2.79800,-19.44900,127.49200,-70.37600,-2.34700,-1.43200,,,,-74.15500,-59.68000,-59.68000,2.68000,2.68000,,0.89000,-56.11000,-6.53900,4.25900,
