,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2017-03-31,66.00000,132.00000,-115.00000,17.00000,-18.00000,24.00000,-16.00000,-352.00000,-362.00000,-346.00000,-68.00000,,1.00000,-67.00000,,227.00000,227.00000,,,,230.00000,457.00000,46.00000,,
2016-12-31,-2,111,83,194,-65,356,15,-24,282,457,-95,-15,-16,-126,0,32,32,0,0,0,-363,-331,-17,0,0
2016-09-30,2080,-2061,-2335,-4396,-399,-336,114,-783,-1404,-3673,-292,-205,-36,-257,1135,-152,983,500,500,148,403,2034,-2020,0,148
2016-06-30,-912,2146,1692,3838,356,198,-122,0,432,3577,-13,204,0,-150,-1135,-31,-1166,-500,-500,-74,30,-1710,1718,0,-74
2016-03-31,-981.00000,354.00000,522.00000,876.00000,386.00000,149.00000,-263.00000,,272.00000,-99.00000,-4.00000,,,61.00000,,-5.00000,-5.00000,,,-74.00000,-16.00000,-95.00000,-132.00000,,-74.00000
2015-12-31,308,1284,-353,931,-1223,-128,839,-954,-1466,12,-95,-86,211,247,0,215,215,0,0,222,-713,-276,-261,0,222
2015-09-30,-156,432,58,490,102,257,-289,0,70,428,-80,0,-3,-300,0,26,26,0,0,-74,-4,-52,70,0,-74
2015-06-30,-190,434,34,468,781,136,-373,0,544,581,-168,0,-8,-176,0,-10,-10,0,0,-73,42,-41,367,0,-73
2015-03-31,-593.00000,460.00000,165.00000,625.00000,809.00000,177.00000,-627.00000,,359.00000,256.00000,-234.00000,,-3.00000,-237.00000,,-54.00000,-54.00000,,,-75.00000,-17.00000,-146.00000,-134.00000,,-75.00000
2014-12-31,667,468,-4,464,48,-16,105,-47,47,1199,-361,-1,9,-353,0,-299,-299,216,216,-74,-148,-305,531,0,-74
2014-09-30,369,455,-54,401,-223,-88,217,0,39,1058,-333,-313,26,-620,0,-127,-127,-200,-200,-74,12,-389,46,0,-74
2014-06-30,359,454,-15,439,-188,-76,54,0,-210,393,-321,0,-1,-322,0,64,64,-200,-200,-65,94,-107,-37,0,-65
2014-03-31,336.00000,437.00000,-33.00000,404.00000,-161.00000,-116.00000,-85.00000,,-362.00000,303.00000,-339.00000,,-25.00000,-364.00000,,114.00000,114.00000,-200.00000,-200.00000,-66.00000,14.00000,-138.00000,-199.00000,,-66.00000
2013-12-31,250,436,-31,405,198,71,96,0,334,1003,-354,0,-5,-359,0,-239,-239,-299,-299,-67,1,-604,31,115,-67
2013-09-30,340,423,54,477,-157,-102,247,0,-12,1080,-418,-22,-2,-442,0,-332,-332,7,7,-68,-3,-396,245,0,-68
2013-06-30,245,424,-104,320,-116,35,190,0,109,692,-462,0,-4,-466,0,-176,-176,43,43,-66,-4,-203,22,0,-66
2013-03-31,268.00000,415.00000,-3.00000,412.00000,-378.00000,-124.00000,312.00000,,-190.00000,386.00000,-396.00000,,,-396.00000,,176.00000,176.00000,,,-66.00000,-10.00000,100.00000,86.00000,,-66.00000
2012-12-31,215,417,98,515,258,114,-149,0,77,888,-625,0,0,-625,0,-228,-228,81,81,-66,-43,-256,8,115,-66
2012-09-30,284,408,-19,389,-112,-64,-5,0,-181,823,-657,0,0,-657,0,113,113,0,0,-66,0,47,215,0,-66
2012-06-30,438,380,-160,220,1,-196,-49,0,-244,200,-671,0,0,-671,0,513,513,0,0,-66,37,484,12,0,-66
2012-03-31,380.00000,363.00000,-40.00000,323.00000,-131.00000,-401.00000,109.00000,,-423.00000,-76.00000,-568.00000,,,-568.00000,,449.00000,449.00000,,,-65.00000,-13.00000,371.00000,-270.00000,,-65.00000
2011-12-31,338,370,85,455,50,-176,135,0,54,825,-741,0,27,-714,0,166,166,39,39,-66,-5,134,247,23,-66
2011-09-30,686,305,-196,109,-562,-151,122,0,-514,285,-528,5,-18,-541,179,-20,159,29,29,-65,8,131,-134,32,-65
2011-06-30,335,331,-11,320,-114,-128,23,0,-362,321,-527,-5,2,-280,-250,15,-235,58,58,-65,-13,-255,-207,24,-65
2011-03-31,384.00000,315.00000,-2.00000,313.00000,-398.00000,-186.00000,34.00000,,-592.00000,76.00000,-354.00000,,-2.00000,-356.00000,,-36.00000,-36.00000,57.00000,57.00000,-65.00000,4.00000,-40.00000,-312.00000,29.00000,-65.00000
2010-12-31,342,326,-32,294,-198,-82,115,0,-353,278,-430,-36,6,-460,0,43,43,45,45,-66,0,22,-150,21,-66
2010-09-30,255,293,-89,204,-246,-37,54,0,-148,420,-403,-18,39,-632,1479,-546,933,1,1,-64,1,871,687,25,-64
2010-06-30,93,261,-8,253,-104,-77,67,0,-91,153,-305,-834,0,-1139,0,337,337,26,26,-64,0,299,-695,22,-64
2010-03-31,129.00000,189.00000,-52.00000,137.00000,-154.00000,-47.00000,56.00000,,-220.00000,5.00000,-145.00000,,,-145.00000,,218.00000,218.00000,2.00000,2.00000,-47.00000,1.00000,174.00000,19.00000,19.00000,-47.00000
2009-12-31,84,179,-59,120,-131,136,156,0,169,352,-263,-10,15,-258,0,-8,-8,50,50,-46,0,-4,108,20,-46
2009-09-30,55,177,-66,111,112,71,-83,0,175,381,-178,-13,0,-191,0,-28,-28,0,0,-47,0,-75,125,26,-47
2009-06-30,87,182,-58,124,189,129,-17,0,251,472,-248,-35,0,-283,0,16,16,1,1,-46,0,-29,183,19,-46
2009-03-31,195.00000,173.00000,41.00000,214.00000,229.00000,-96.00000,-145.00000,,-344.00000,34.00000,-234.00000,,,-234.00000,-525.00000,4.00000,-521.00000,,,-46.00000,,-567.00000,-776.00000,23.00000,-46.00000
