,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2020-06-30,311.369,15.511,16.815,32.326,-84.11,13.144,-26.1,-11.148,-94.369,249.326,-17.624,-6.274,0,-513.534,508.34,-5.194,-0.19,-29.282,-0.947,-0.947,-6.693,-6.693,0,-7.64,219.49,15.936
2020-03-31,278.83500,16.54600,20.04000,36.58600,-147.48400,1.03700,19.32800,-22.54600,-124.28900,191.13200,-10.90200,-6.81100,,513.53400,-214.69700,298.83700,-1.14800,279.97600,-0.73300,-0.73300,-545.23500,-545.23500,,-545.96800,-96.12100,17.09800
2019-12-31,254.954,12.884,21.031,33.915,114.084,-40.275,-40.648,-3.279,3.824,292.693,-56.84,-3.259,0,0,61.536,61.536,0.024,1.461,-0.728,-0.728,-222.461,-222.461,0,-223.189,80.34,16.466
2019-09-30,298.923,15.399,14.716,30.115,25.841,-23.442,32.63,-4.992,37.246,366.284,-22.946,-5.478,0,0,-243.449,-243.449,-0.27,-272.143,-3.766,-3.766,-250.197,-250.197,0,-253.963,-170.63,15.991
2019-06-30,292.473,17.574,17.026,34.6,-86.363,2.499,18.285,-1.761,4.316,331.389,-12.335,-0.298,0,0,-91.46,-91.46,1.272,-102.821,-8.682,-8.682,45.35,45.35,0,36.668,269.903,15.575
2019-03-31,261.48500,14.87000,15.68100,30.55100,-113.50300,-24.00400,18.56500,-29.63000,-168.64000,123.39600,-8.30100,0.29800,,,57.07300,57.07300,-2.29100,46.77900,-0.39300,-0.39300,-187.62900,-187.62900,,-188.02200,-19.16900,15.32400
2018-12-31,239.107,14.51,14.092,28.602,135.468,-15.808,-29.789,3.655,72.812,340.521,-11.793,-6.709,0,0,138.999,138.999,-1.689,118.808,-0.404,-0.404,-533.557,-533.557,0,-533.961,-76.201,14.675
2018-09-30,267.732,14.284,13.765,28.049,-25.337,12.415,14.957,-1.803,24.279,320.06,-14.824,-6.233,0,0,-248.532,-248.532,-2.441,-272.03,-0.51,-0.51,10.865,10.865,0,10.355,54.027,14.091
2018-06-30,270.115,14.194,14.709,28.903,-79.123,-11.479,47.3,-1.845,53.371,352.389,-21.377,-0.322,0,0,378.138,378.138,-6.135,350.304,-0.429,-0.429,-546.084,-546.084,0,-546.513,148.327,14.906
2018-03-31,216.05000,13.99100,13.25200,27.24300,-69.42000,-11.27400,-22.61600,-25.13000,-94.38200,148.91100,-9.65200,0.28000,,,86.79500,86.79500,-1.54900,75.87400,-0.54300,-0.54300,-245.44900,-245.44900,,-245.99200,-17.26200,13.43900
2017-12-31,201.322,13.783,78.443,92.226,85.798,-42.167,4.926,-0.321,-95.874,197.674,-15.136,-4.556,0,0,-28.461,-28.461,0.017,-48.136,-0.705,-0.705,-86.155,-86.155,0,-86.86,63.063,13.017
2017-09-30,218.743,12.329,13.204,25.533,7.37,-21.841,15.869,-5.652,12.559,256.835,-27.139,-5.163,0,0,-295.839,-295.839,-0.584,-328.725,-0.544,-0.544,-241.188,-241.188,0,-241.732,-312.096,13.282
2017-06-30,222.633,11.592,12.673,24.265,-83.12,-17.066,28.101,125.622,93.36,340.258,-21.103,0.874,0,0,-127.569,-127.569,-0.58,-148.378,-0.634,-0.634,5.234,5.234,0,4.6,201.318,12.841
2017-03-31,177.98000,11.18300,14.73600,25.91900,6.49000,-7.79300,-19.31700,-15.82200,-10.93500,192.96400,-18.64100,-0.84800,,,13.23900,13.23900,-0.05200,-6.30200,-0.70000,-0.70000,13.55700,13.55700,,12.85700,198.75500,13.14200
2016-12-31,172.947,10.971,-5.36,5.611,14.904,2.52,23.545,-0.815,102.095,280.653,-32.19,-1.263,0,226.204,-182.176,44.028,-0.049,10.526,-0.628,-0.628,-244.206,-244.206,0,-244.834,36.056,12.113
2016-09-30,191.641,10.545,10.455,21,-16.248,6.742,-13.21,13.22,-39.494,173.147,-49.55,0.626,0,-225.59,2.737,-222.853,2.433,-269.344,-0.632,-0.632,2.261,2.261,0,1.629,-93.243,12.145
2016-06-30,184.22,10.305,11.34,21.645,-44.813,19.252,-1.081,4.481,-67.869,137.996,-697.933,-2.539,0,-0.614,471.958,471.344,-2.519,-231.647,-0.577,-0.577,-1996.149,-1996.149,0,-1996.726,-2093.34,11.528
2016-03-31,163.87700,9.02400,10.11700,19.14100,-60.20600,-7.63900,36.08600,-9.74900,-73.45900,109.55900,-7.82400,-2.34200,,-152.05000,396.34600,244.29600,0.14200,234.27200,-0.52200,-0.52200,2.06200,2.06200,,1.54000,352.69200,10.06200
2015-12-31,138.742,9.103,-57.049,-47.946,55.49,2.008,-54.278,-5.49,80.193,170.989,-9.536,-1.536,0,-273.406,1092.561,819.155,0.641,808.724,-0.276,-0.276,-43.383,-43.383,0,-43.659,934.7,9.03
2015-09-30,174.574,8.508,-263.06,-254.552,-37.177,19.843,3.018,1.26,270.916,190.938,-9.477,-1.786,0,-815.985,524.282,-291.703,0.175,-302.791,-0.277,-0.277,-344.826,-344.826,0,-345.103,-455.578,8.852
2015-06-30,229.003,6.779,3.661,10.44,-26.972,-2.372,29.382,1.822,-181.571,57.872,-11.081,177.644,198.008,-825.91,227.273,-598.637,-1.441,-235.507,-0.334,-0.334,1509.166,1509.166,0,1508.832,1333.508,8.483
2015-03-31,4.41400,6.47000,6.30800,12.77800,-68.07200,-26.54700,42.74200,-45.93600,85.73200,102.92400,-4.58500,-1.55200,,-118.28300,253.83300,135.55000,0.22700,129.64000,-0.19600,-0.19600,-232.26300,-232.26300,,-232.45900,-7.53600,6.35400
2014-12-31,125.331,6.527,15.63,22.157,34.002,29.463,-18.75,3.228,42.954,190.442,-8.434,-1.646,0,-369.063,161.519,-207.5439,0.203,-217.421,-0.303,-0.303,2.069,2.069,-11.541,-9.775,-38,6.043
2014-09-30,121.6,6.129,-9.073,-2.944,54.757,-0.236,-6.081,-3.078,29.416,148.072,-3.791,-0.937,0,-339.741,229.58,-110.161,-0.075,-114.964,-0.343,-0.343,-0.733,-0.733,8.238,7.162,35.272,7.42
2014-06-30,141.004,6.542,7.329,13.871,-56.872,-3.874,30.045,1.258,-32.3,122.575,-5.13,-0.933,0,-234.079,175.509,-58.57,0.559,-64.074,-0.353,-0.353,1.949,1.949,0.701,2.297,61.031,8.103
2014-03-31,95.25000,6.45300,4.45300,10.90600,-41.59700,17.41000,6.06800,-8.62700,30.24600,136.40200,-9.63400,0.10500,,-187.71800,152.76000,-34.95800,0.54300,-43.94400,-0.62000,-0.62000,5.70800,5.70800,2.60200,7.69000,100.67100,6.98600
2013-12-31,76.106,6.318,1.45,7.768,57.767,25.135,-41.935,6.669,-17.675,66.199,-7.89,-2.174,0,-164.549,78.286,-86.263,3.216,-93.111,-0.565,-0.565,-51.144,-51.144,0.098,-51.611,-75.67,7.172
2013-09-30,92.186,6.107,5.954,12.061,2.253,-12.715,16.854,-6.453,71.867,176.114,-10.018,-3.9,0,-238.345,79.184,-159.161,-3.038,-176.117,-0.528,-0.528,1.905,1.905,1.367,2.744,3.18,7.2
2013-06-30,106.873,5.277,-22.082,-16.805,-32.276,-19.892,9.398,2.611,-36.241,53.827,-5.118,-1.739,0,-85.061,41.072,-43.989,-4.319,-55.165,-0.498,-0.498,13.872,13.872,28.707,42.081,41.306,7.433
2013-03-31,63.49600,5.06000,3.81100,8.87100,-78.02700,-14.08000,7.47900,-4.34600,-26.47400,45.89300,-8.71400,-3.36200,,-69.46400,66.34400,-3.12000,-0.21900,-15.41500,-0.29600,-0.29600,-10.98000,-10.98000,0.17600,-11.10000,20.01900,6.95900
2012-12-31,67.983,5.298,-13.684,-8.386,52.754,-8.922,-24.155,-6.148,10.03,69.627,-17.072,-1.811,0,-39.987,251.775,211.7879,-0.008,192.897,-0.454,-0.454,-338.247,-338.247,15.361,-323.34,-60.54,6.832
2012-09-30,86.142,5.171,6.348,11.519,17.317,5.643,-17.244,-1.732,10.319,107.98,-5.921,-1.987,0,-159.89,304.397,144.507,-0.1,136.499,-0.531,-0.531,-384.845,-384.845,1.373,-384.003,-136.113,7.95
2012-06-30,109.796,5.125,4.654,9.779,-53.94,-10.161,28.857,-0.944,-46.276,73.299,-5.276,-1.754,0,-206.643,175.957,-30.686,0.183,-37.533,-0.481,-0.481,3.715,3.715,2.43,5.664,27.729,7.06
2012-03-31,76.09900,4.96800,8.21800,13.18600,-33.91000,-34.12800,16.20100,-1.35800,-52.51500,36.77000,-14.37800,-0.74900,,-190.63500,185.44600,-5.18900,0.30200,-20.01400,-0.61000,-0.61000,2.72200,2.72200,0.49200,2.60400,32.10700,6.57100
2011-12-31,64.536,4.893,9.863,14.756,12.721,7.368,-29.056,-9.576,21.532,100.824,-5.456,-0.942,0,-134.022,138.706,4.684,-0.651,-2.365,-0.764,-0.764,-24.825,-24.825,0.461,-25.128,72.174,6.702
2011-09-30,82.392,4.496,-0.839,3.657,17.484,-9.381,11.926,2.546,22.988,109.037,-7.555,-0.805,0,-220.867,93.46,-127.407,0.036,-135.731,-0.482,-0.482,-103.695,-103.695,2.219,-101.958,-131.04,4.828
2011-06-30,84.248,4.102,3.476,7.578,-35.888,17.096,21.962,-0.33,8.527,100.353,-5.706,-1.389,0,-147.355,166.973,19.618,1.051,13.574,-0.447,-0.447,7.061,7.061,0.954,7.568,122.692,4.115
2011-03-31,55.04300,3.59300,3.21700,6.81000,-51.32500,-19.54800,21.41800,-5.13200,-38.24000,23.61300,-6.31600,-1.99600,,-80.89400,40.72700,-40.16700,-0.02600,-48.50500,-0.24900,-0.24900,-34.61500,-34.61500,0.19000,-34.67400,-59.33700,3.77900
2010-12-31,49.132,3.29,-1.797,1.493,15.683,-4.362,-9.17,-1.766,7.604,58.229,-4.522,-1.098,0,-167.505,-51.231,-218.736,-1.602,-225.958,-0.112,-0.112,9.917,9.917,2.182,11.987,-154.787,4.027
2010-09-30,66.496,3.012,1.524,4.536,0.487,-7.854,2.291,1.198,-26.94,44.092,-3.571,-2.49,0,0,50.83,50.83,-0.173,44.596,-0.069,-0.069,5.886,5.886,3.548,9.365,99.718,4.322
2010-06-30,63.838,2.82,8.075,10.895,-15.089,-21.379,4.981,-4.048,-16.013,58.72,-2.911,-2.832,0,-44.98,50.414,5.434,0.266,-0.043,-0.077,-0.077,-23.043,-23.043,0.17,-22.95,34.003,3.532
2010-03-31,32.56300,2.65400,-2.06400,0.59000,-9.46400,-11.37800,35.25000,-3.63200,34.85000,68.00300,-1.42600,-3.43200,,-44.98900,18.67300,-26.31600,0.06900,-31.10500,-0.16200,-0.16200,4.52400,4.52400,6.47400,10.83600,47.55900,4.98100
2009-12-31,53.357,1.922,0.645,2.567,-30.691,15.661,-4.785,-2.801,-22.914,33.01,-6.255,-1.85,0,-14.998,33.814,18.816,0.659,11.37,-0.24,-0.24,-34.451,-34.451,0.912,-33.779,10.692,4.279
2009-09-30,56.504,1.694,3.414,5.108,29.069,-6.166,9.92,1.864,30.583,92.195,-5.938,-1.867,0,-29.988,30.289,0.301,0.012,-7.492,-0.416,-0.416,-50.558,-50.558,0.128,-50.846,34.374,3.301
2009-06-30,57.29,1.19,2.97,4.16,-5.716,-6.86,0.826,-8.307,-26.755,34.695,-7.172,-0.838,0,-29.99,6.475,-23.515,-0.023,-31.548,-0.486,-0.486,0.307,0.307,0.886,0.707,4.16,3.725
2009-03-31,41.56500,1.10100,5.13100,6.23200,15.79900,5.91000,-8.14600,-0.42700,-51.50500,-3.70800,-3.31200,-0.66000,,,26.59500,26.59500,0.57800,23.20100,-0.39700,-0.39700,1.03100,1.03100,1.20500,1.83900,22.32200,2.73500
