,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2018-09-30,116.784,44.986,12.726,57.712,-104.993,34.007,-4.034,-95.091,79.405,-75.257,0,-75.257,31.334,31.334,3.648,3.648,-37.782,0,-2.8,1.348,6.378,-37.782
2018-06-30,207.289,43.61,6.215,49.825,127.785,-82.859,-12.147,38.763,295.877,-71.276,0,-71.276,-164.159,-164.159,-85.1,-85.1,-37.786,0,-287.045,-62.444,7.842,-37.786
2018-03-31,71.43300,42.78700,8.57000,51.35700,-306.85700,155.95600,1.16100,-144.65300,-21.86300,-45.13100,,-45.13100,277.85000,277.85000,-153.66900,-153.66900,-33.59100,-0.34600,90.24400,23.25000,8.56700,-33.59100
2017-12-31,109.743,43.133,28.32,71.453,138.347,-33.315,-10.893,109.292,290.488,-98.021,1.225,-96.796,-84.642,-84.642,-36.09,-36.09,-33.858,0,-154.59,39.102,6.271,-33.858
2017-09-30,91.896,41.927,20.531,62.458,-123.301,99.063,20.604,-40.9,113.454,-55.331,0,-55.331,55.365,55.365,-76.834,-76.834,-34.115,-0.286,-55.87,2.253,7.852,-34.115
2017-06-30,160.649,41.047,1.41,42.457,189.507,-52.705,-3.229,166.06,369.166,-50.974,0,-50.974,-157.837,-157.837,-130.358,-130.358,-34.592,-0.313,-323.1,-4.908,7.522,-34.592
2017-03-31,60.31100,39.72700,6.12500,45.85200,-288.10500,44.00300,6.35600,-247.82100,-141.65800,-34.85500,,-34.85500,337.16800,337.16800,-110.60700,-110.60700,-31.26300,,195.29800,18.78500,7.55700,-31.26300
2016-12-31,123.583,39.662,14.562,54.224,137.909,25.712,-19.087,187.269,365.076,-58.86,-143.61,-202.47,-20.327,-20.327,-112.427,-112.427,-31.443,0,-164.197,-1.591,6.228,-31.443
2016-09-30,89.444,35.662,11.72,47.382,-123.435,53.62,3.755,-129.389,7.437,-65.879,0,-65.879,97.19,97.19,-102.309,-102.309,-32.044,0,-37.163,-95.605,6.114,-32.044
2016-06-30,156.425,34.057,3.082,37.139,104.192,-152.351,16.302,18.99,212.554,-64.204,0,-64.204,-52.767,-52.767,13.099,13.099,-32.071,0,-71.739,76.611,5.943,-32.071
2016-03-31,67.66800,33.57700,4.74500,38.32200,-186.31600,155.49600,6.80900,-40.34600,65.64400,-36.71200,,-36.71200,99.75400,99.75400,-89.90400,-89.90400,-26.71400,-1.38000,-18.24400,10.68800,5.26900,-26.71400
2015-12-31,111.712,32.825,39.126,71.951,130.187,-99.894,-20.272,29.095,212.758,-72.815,0,-72.815,-40.189,-40.189,-43.413,-43.413,-26.886,-16.994,-127.482,12.461,4.583,-26.886
2015-09-30,87.312,30.149,-10.525,19.624,-121.416,74.474,1.692,-96.897,10.039,-66.384,0,-66.384,189.881,189.881,-115.431,-115.431,-27.164,4.094,51.38,-4.965,5.002,-27.164
2015-06-30,153.331,30.313,-11.446,18.867,77.819,-132.882,3.014,24.904,197.102,-48.211,0,-48.211,-60.109,-60.109,-67.094,-67.094,-27.223,4.719,-149.707,-0.816,4.836,-27.223
2015-03-31,58.04000,30.28200,-2.87000,27.41200,-255.51500,214.72800,2.86600,-49.13900,36.31300,-48.50200,,-48.50200,59.91000,59.91000,-28.07500,-28.07500,-21.82800,8.18100,18.18800,5.99900,4.99900,-21.82800
2014-12-31,112.062,30.114,1.184,31.298,180.374,-112.219,-13.11,98.254,241.614,-35.166,0,-35.166,-150.057,-150.057,-42.493,-42.493,-21.791,11.517,-202.824,3.624,4.059,-21.791
2014-09-30,76.603,29.387,-14.185,15.202,-141.239,92.872,-0.115,-90.745,1.06,-43.168,0,-43.168,149.97,149.97,-97.479,-97.479,-22,3.162,33.653,-8.455,3.996,-22
2014-06-30,133.411,27.914,-13.911,14.003,70.647,-87.338,-0.053,57.166,204.58,-40.167,0,-40.167,-80.017,-80.017,-56.514,-56.514,-22.187,2.481,-156.237,8.176,4.177,-22.187
2014-03-31,48.80900,27.22000,4.81000,32.03000,-245.92400,161.02100,12.13400,-118.91500,-38.07600,-41.78100,,-41.78100,79.99000,79.99000,-78.69400,-78.69400,-18.08300,1.69000,-15.09700,-94.95400,3.94100,-18.08300
2013-12-31,95.881,26.969,-12.966,14.003,162.705,-87.034,-14.571,125.187,235.071,-61.263,0,-61.263,-40.011,-40.011,-30.721,-30.721,-18.212,11.891,-77.053,96.755,3.544,-18.212
2013-09-30,64.767,26.137,-11.413,14.724,-59.152,42.71,8.803,-43.704,35.787,-58.069,0,-58.069,39.99,39.99,-16.081,-16.081,-18.159,6.822,12.572,-9.71,3.415,-18.159
2013-06-30,123.58,24.22,-15.478,8.742,60.039,-115.232,6.116,25.8,158.122,-49.241,0,-40.841,-105.009,-105.009,-8.223,-8.223,-18.184,12.811,-118.605,-1.324,3.537,-18.184
2013-03-31,44.00600,22.69900,1.95900,24.65800,-234.78400,155.65100,-3.62400,-163.96300,-95.29900,-49.15000,,-49.15000,104.99200,104.99200,-40.21500,-40.21500,-13.92900,11.99300,62.84100,-81.60800,3.39700,-13.92900
2012-12-31,79.487,22.595,-14.159,8.436,112.024,-41.667,-0.062,134.538,222.461,-41.69,0,-41.69,-0.01,-0.01,-104.332,-104.332,-14.082,6.098,-112.326,68.445,3.59,-14.082
2012-09-30,50.021,22.208,-7.612,14.596,-73.206,47.302,6.338,-60.946,3.671,-45.289,0,-44.889,-0.008,-0.008,-56.74,-56.74,-14.19,3.241,-67.697,-108.915,4.742,-14.19
2012-06-30,106.621,22.433,-11.747,10.686,84.846,-109.156,-4.351,55.161,172.468,-33.737,0,-20.667,-0.009,-0.009,-91.521,-91.521,-14.429,6.563,-99.396,52.405,4.75,-14.429
2012-03-31,40.32800,21.73900,-1.18200,20.55700,-200.96100,157.50400,2.67100,-81.18300,-20.29800,-31.82900,,-31.82900,-0.01000,-0.01000,0.55000,0.55000,-8.61700,9.93400,1.85700,-50.27000,4.55900,-8.61700
2011-12-31,70.512,23.662,3.341,27.003,82.919,-73.799,-8.691,45.297,142.812,-58.799,0,-58.799,-0.007,-0.007,-0.614,-0.614,-8.55,5.533,-3.638,80.375,4.348,-8.55
2011-09-30,42.733,19.591,-5.953,13.638,-38.255,-11.555,7.11,-62.4,-6.029,-32.659,0,-32.659,-0.009,-0.009,-44.693,-44.693,-8.542,3.005,-50.239,-88.927,3.704,-8.542
2011-06-30,91.16,18.829,-4.201,14.628,65.894,-54.645,-4.104,56.374,162.162,-45.097,0,-51.054,-0.027,-0.027,-61.432,-61.432,-8.647,4.067,-66.039,45.069,3.377,-8.647
2011-03-31,18.33500,18.26500,7.23000,25.49500,-204.85700,159.02000,-9.43400,-88.63100,-44.80100,-28.84900,,-28.84900,-0.04700,-0.04700,-42.91300,-42.91300,-5.11100,4.83000,-43.24100,-116.89100,3.61200,-5.11100
2010-12-31,50.209,18.484,-3.87,14.614,97.301,-101.222,13.191,63.268,128.091,-29.404,0,-29.404,-0.088,-0.088,-9.9,-9.9,-5.102,2.822,-12.268,86.419,3.017,-5.102
2010-09-30,29.863,17.502,7.835,25.337,-52.826,59.072,-2.371,-31.664,23.536,-30.157,0,-30.157,-0.087,-0.087,-2.761,-2.761,-5.086,4.396,-3.538,-10.159,2.528,-5.086
2010-06-30,77.318,17.157,-4.66,12.497,51.886,-105.417,-2.712,2.141,91.956,-23.985,0,-39.898,-0.102,-0.102,-4.143,-4.143,-5.093,0.299,-9.039,43.019,3.072,-5.093
2010-03-31,10.58200,16.65400,6.40300,23.05700,-156.41500,133.32000,-4.03700,-54.61400,-20.97500,-12.65200,,-12.65200,-0.11500,-0.11500,1.72700,1.72700,-5.07400,2.29800,-1.16400,-34.79100,3.15400,-5.07400
2009-12-31,42.532,17.501,1.023,18.524,95.809,-95.187,15.642,43.237,104.293,-24.486,0,-24.486,-0.149,-0.149,-3.034,-3.034,0,1.356,-1.827,77.98,2.971,0
2009-09-30,21.979,16.421,1.542,17.963,-59.064,62.046,-3.439,-25.373,14.569,-15.253,0,-15.253,-0.127,-0.127,1.912,1.912,0,1.925,3.71,3.026,3.033,0
2009-06-30,54.764,16.135,-0.838,15.297,85.202,-87.844,8.263,41.257,109.2,-15.286,0,-15.286,-40.14,-40.14,0.407,0.407,0,0.683,-39.05,54.864,2.824,0
2009-03-31,0.47000,16.20100,-0.52300,15.67800,-126.69200,95.79200,7.46700,-31.01100,-12.74500,-18.85200,,-18.85200,39.86800,39.86800,-8.59500,-8.59500,,0.31600,31.58900,-0.00800,3.30200,
