,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2012-12-31,21.507,6.448,-4.962,1.486,-17.8,3.674,-2.088,27.192,27.3,50.293,-1.8,-0.5,-4.932,-4.932,0,-7.232,0,0,2.081,2.081,2.458,4.539,47.509,6.762
2012-09-30,17.206,6.473,5.239,11.712,5.509,-7.025,-1.288,4.69,11.852,40.77,-16.428,-0.199,-52.919,-52.919,0,-69.546,0,0,18.356,18.356,4.453,22.809,-5.76,8.83
2012-06-30,13.95,6.268,5.026,11.294,-10.592,-4.543,10.656,17.881,19.041,44.285,-2.231,0,-41.403,-41.403,0,-43.634,0,0,4.099,4.099,2.838,6.937,6.443,7.852
2012-03-31,14.17300,5.33700,4.94500,10.28200,10.76300,-3.40900,-6.31900,19.92000,24.06300,48.51800,-1.62400,-0.55000,-60.12500,-60.12500,,-62.29900,,,13.55100,13.55100,2.32000,15.87100,2.79300,7.24600
2011-12-31,16.494,4.882,-6.552,-1.67,-19.687,-4.556,4.287,15.051,7.735,22.559,-0.839,0,-33.15,-33.15,0,-33.989,0,0,5.95,5.95,10.565,16.515,5.36,6.341
2011-09-30,17.917,4.995,0.983,5.978,-3.622,-0.023,2.159,2.611,12.144,36.039,-1.335,0,-51.615,-51.615,0,-52.95,0,0,2.799,2.799,4.773,7.572,-11.389,5.734
2011-06-30,14.494,4.688,-5.035,-0.347,-0.946,-2.005,4.58,6.465,19.921,34.068,-0.756,-2.623,-29.574,-29.574,0,-32.953,0,0,4.259,4.259,3.376,7.635,9.038,3.87
2011-03-31,13.58700,4.93900,1.93800,6.87700,1.00900,0.55000,-4.22500,15.36200,19.71200,40.17600,-0.69400,,-46.24000,-46.24000,,-46.93400,,,6.96000,6.96000,1.11500,8.07500,2.12200,3.07000
2010-12-31,16.141,3.878,-3.391,0.487,-12.773,-3.131,3.126,17.081,14.798,31.424,-0.876,0,-48.098,-48.098,0.066,-48.908,0,0,5.218,5.218,1.59,6.808,-10.28,2.469
2010-09-30,14.017,3.612,1.903,5.515,0.244,0.187,-3.041,8.421,12.659,32.193,-0.671,0,-84.268,-84.268,-0.004,-84.943,0,0,11.351,11.351,0.539,11.89,-39.296,2.434
2010-06-30,6.869,3.09,-0.585,2.505,-8.491,-2.975,2.857,12.309,8.576,17.95,-1.215,0,-87.672,-87.672,0,-88.887,0,0,11.155,11.155,2.857,14.012,-57.82,2.264
2010-03-31,4.21800,2.46500,1.34300,3.80800,3.23600,-0.02700,-0.50500,9.46000,13.79000,21.81600,-1.01400,,-59.95800,-59.95800,,-60.97200,,,1.38600,1.38600,-0.07700,1.30900,-38.20300,2.14800
2009-12-31,43.94,1.596,-37.75,-4.639,-10.44,-0.46,1.963,10.966,8.429,16.215,-0.336,0.351,30.274,30.274,0,30.289,0,0,93.635,90.33,1.461,91.791,138.225,2.182
2009-09-30,7.889,1.872,2.261,4.133,-0.568,-1.483,0.46,4.782,3.841,15.863,-1.242,-0.9,5.992,5.992,0,3.85,0,0,0.912,0.912,0.113,1.025,22.414,1.936
2009-06-30,4.576,1.681,2.424,4.105,-2.978,-0.138,0.282,7.633,5.642,14.322,-0.386,0,-4.928,-4.928,0,-5.314,0,0,-0.953,-7.448,0,-7.448,2.304,1.793
2009-03-31,3.77400,1.62200,1.55000,3.17200,5.47800,0.06900,0.34100,5.26000,8.62400,15.57100,-2.62500,,-12.44300,-12.44300,,-15.06800,,,-1.04600,-7.31900,,-7.31900,-7.05600,1.55000
