,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2018-09-30,19.894,6.439,9.779,16.218,0,0,-5.997,-5.997,30.115,-5.666,0,348.12,-11.062,0,-16.728,-3.675,-3.675,12.746,12.746,-14.583,-5.512,4.907,8.916
2018-06-30,3.379,6.357,16.948,23.305,0,0,13.908,13.908,40.592,-40.484,0,-141.313,-141.313,0,-181.797,-3.918,-3.918,-28.497,-28.497,5.093,-27.322,-176.035,8.617
2018-03-31,12.96700,6.32000,6.47000,12.79000,,,0.41200,0.41200,26.16900,-3.28900,,-42.36400,-42.36400,,-45.65300,305.80400,305.80400,-58.33700,-58.33700,-13.63100,233.83600,218.41300,6.45400
2017-12-31,44.75,6.876,-20.833,-13.957,-6.687,5.411,9.855,5.986,36.779,-1.242,0,25.26,25.26,0,24.018,-3.513,-3.513,0.081,0.081,3.116,-0.316,55.154,5.991
2017-09-30,25.802,7.076,-19.631,-12.555,-3.147,-0.292,11.06,3.627,16.874,-1.717,0,9.904,9.904,0,8.187,-5.202,-5.202,12.691,12.691,0,7.489,33.403,7.521
2017-06-30,11.669,6.714,-5.122,1.592,-0.085,1.122,-8.321,-1.122,12.139,-3.541,0,20.778,20.778,0,17.237,-3.131,-3.131,4.545,4.545,0,1.414,32.078,8.162
2017-03-31,-0.42100,6.99400,4.90800,11.90200,1.09300,-3.40400,-3.62700,-8.17200,3.30900,-6.65600,,19.05000,19.05000,,12.39400,-1.83500,-1.83500,-0.19700,-0.19700,,-2.03200,13.21500,4.88500
2016-12-31,-21.383,11.857,33.524,45.381,-6.442,2.474,-3.177,-5.884,18.114,-5.156,0,-18.284,-18.284,0,-23.44,-1.704,-1.704,2.135,2.135,-3.099,-2.668,-6.438,4.311
2016-09-30,-2.399,8.792,7.05,15.842,-1.885,-0.255,0.72,-3.174,10.269,-10.705,-7.88,-81.315,26.901,0,8.316,-1.572,-1.572,4.461,4.461,0,2.889,20.548,4.085
2016-06-30,-7.311,4.923,12.24,17.163,-0.664,-5.977,1.443,6.909,16.761,-18.851,0,121.187,12.971,0,-5.88,-1.455,-1.455,1.491,1.491,0,0.036,9.101,4.268
2016-03-31,1.19200,14.26900,-4.30800,9.96100,0.79900,0.17300,1.51400,-8.33300,2.82000,-13.03800,,-101.38800,-101.38800,,-114.42600,-1.35500,-1.35500,1.22300,1.22300,-0.64900,-0.78100,-112.86300,3.23700
2015-12-31,-4.232,6.593,6.645,13.238,-4.772,10.258,4.98,5.142,14.148,-3.982,0,-1.166,-1.166,0,-5.148,-1.115,-1.115,1.341,1.341,-3.605,-3.379,4.961,1.124
2015-09-30,-6.891,10.227,2.405,12.632,-1.757,-2.601,-5.494,-0.366,5.375,-7.186,0,1.071,1.071,0,-6.115,-1.008,-1.008,0.227,0.227,0.662,-0.119,-1.872,2.923
2015-06-30,-6.354,6.739,2.21,8.949,-0.256,-0.51,-1.356,2.142,4.737,-5.387,0,-5.408,-0.008,0,-5.395,-0.751,-0.751,200.337,200.337,-2.099,197.487,197.416,2.82
2015-03-31,-36.58600,12.29000,26.64200,38.93200,0.04600,-0.41900,2.95300,6.54900,8.89500,-4.28000,,3.05500,-2.34500,,-6.62500,-0.50300,-0.50300,1.18800,1.18800,0.99000,1.67500,1.08000,3.97400
2014-12-31,-5.355,4.758,2.935,-2.9,-3.344,0.81,-4.786,-1.421,0.094,-2.68,0.008,-0.747,-0.747,0.001,-3.428,-0.429,-0.429,0.371,0.365,4.279,4.215,-1.544,4.042
2014-09-30,-6.271,4.496,3.536,8.032,-2.798,4.09,4.265,3.311,5.072,-2.072,-0.274,1.377,1.377,0,-0.969,-0.393,-0.393,0.558,0.558,-0.444,-0.279,2.749,2.747
2014-06-30,-3.151,4.141,1.813,5.954,-0.041,-3.049,-4.126,-2.073,0.73,-2.022,-4.414,-0.544,-0.544,-5.341,-12.321,-0.335,-0.335,36.269,36.269,0,35.934,23.996,2.085
2014-03-31,-0.46300,3.89500,2.30900,6.20400,-0.01400,-0.80500,-2.21900,0.44300,6.18400,-2.80600,,-1.19600,-1.19600,,-4.00200,-0.32300,-0.32300,5.75800,5.75800,-0.07500,5.36000,7.65900,1.17600
2013-12-31,1.59,4.44,0,4.44,0,0,0,-0.85,6.86,-1.24,-0.47,0,17.45,-1.9,13.85,0,0.12,0,-43.21,0.02,-43.07,-21.89,0
2012-12-31,-2.38,7.94,0,7.94,0,0,0,-1.39,9.68,-6.52,-0.2,0,-14.73,-7.41,-28.87,0,-1.38,0,44.35,0,42.97,23.75,0
