,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2018-09-30,-458,399,953,1352,-274,15,75,146,-48,846,-606,-500,489,-11,-55,-672,147,36,183,0,0,-194,0,-11,163,0,-184
2018-06-30,299,324,-2,322,-12,-8,-46,-82,-29,592,-354,500,-511,-11,-57,-422,-414,464,50,0,0,-193,-2,-145,25,0,-172
2018-03-31,1369.00000,280.00000,-2257.00000,-1977.00000,32.00000,36.00000,96.00000,-183.00000,-272.00000,-880.00000,-563.00000,-500.00000,-22.00000,-522.00000,-58.00000,-1143.00000,-1476.00000,900.00000,-576.00000,850.00000,2466.00000,-192.00000,-19.00000,1679.00000,-344.00000,,-171.00000
2017-12-31,-2499,393,2741,3134,-112,0,94,195,411,1046,-352,0,-26,-26,-139,-517,45,-200,-155,0,0,-161,-5,-321,208,0,-161
2017-09-30,396,478,282,760,-10,4,-22,180,124,1280,-593,0,-24,-24,-74,-691,-426,275,-151,0,0,-159,-15,-325,264,0,-159
2017-06-30,174,413,254,667,15,-21,-45,-174,-144,697,-666,0,-25,-25,-45,-736,2726,-2525,201,0,0,-160,-39,2,-37,0,-160
2017-03-31,205.00000,416.00000,171.00000,587.00000,68.00000,11.00000,45.00000,137.00000,-7.00000,785.00000,-588.00000,,-23.00000,-23.00000,-168.00000,-779.00000,39.00000,75.00000,114.00000,,,-159.00000,-13.00000,-58.00000,-52.00000,,-159.00000
2016-12-31,-5796,497,5926,6423,23,-4,-20,-96,72,791,-664,0,-35,-35,-127,-826,141,-300,-159,0,0,-153,-26,-338,-373,0,-153
2016-09-30,380,527,122,649,-135,46,5,124,91,1120,-664,0,-27,-27,-18,-709,85,50,135,0,0,-153,-41,-59,352,0,-153
2016-06-30,-1089,489,1396,1885,100,-5,-47,-104,26,822,-794,0,-26,-26,-82,-902,-550,800,250,0,0,-153,36,133,53,0,-153
2016-03-31,328.00000,461.00000,,461.00000,1.00000,4.00000,25.00000,43.00000,-139.00000,650.00000,-698.00000,,-23.00000,-23.00000,-144.00000,-865.00000,-31.00000,425.00000,394.00000,,,-152.00000,-12.00000,230.00000,15.00000,,-152.00000
2015-12-31,-226,491,567,1058,177,-47,42,90,311,1143,-659,0,-27,-27,-149,-835,129,-225,-96,0,0,-152,-15,-263,45,0,-152
2015-09-30,395,514,177,691,-1,32,-40,242,241,1327,-539,0,-25,-25,-30,-594,395,-975,-580,0,0,-152,-9,-741,-8,0,-152
2015-06-30,187,444,121,565,105,-30,-68,-55,45,797,-818,-21,-39,-60,-67,-945,-44,349,305,0,0,-151,-2,152,4,0,-151
2015-03-31,222.00000,425.00000,-37.00000,388.00000,-97.00000,30.00000,-177.00000,-57.00000,-417.00000,193.00000,-668.00000,21.00000,-23.00000,-2.00000,-78.00000,-748.00000,-48.00000,760.00000,712.00000,,,-152.00000,,560.00000,5.00000,,-152.00000
2014-12-31,-306,459,601,1060,49,-46,89,164,222,976,-839,-42,-21,-63,-167,-1069,53,178,231,0,0,-152,-10,69,-24,0,-152
2014-09-30,333,404,172,576,134,31,-150,115,206,1115,-664,42,-25,17,-74,-721,504,-702,-198,0,0,-150,-13,-361,33,0,-150
2014-06-30,64,454,-9,445,124,-62,-97,155,205,714,-988,-28,-32,-60,-6,-1054,1234,-762,472,0,0,-151,-14,307,-33,0,-151
2014-03-31,208.00000,323.00000,44.00000,367.00000,-168.00000,12.00000,200.00000,-397.00000,-667.00000,-92.00000,-427.00000,28.00000,-25.00000,3.00000,-91.00000,-515.00000,978.00000,-319.00000,659.00000,,,-151.00000,-10.00000,498.00000,-109.00000,,-151.00000
2013-12-31,142,562,170,732,-107,-21,254,-263,117,991,-674,-11,-27,-38,-106,-818,62,0,62,-920,-920,690,-9,-177,-4,0,690
2013-09-30,218,686,-169,517,118,75,33,138,443,1178,-548,-12,-26,-38,-119,-705,-194,150,-44,0,0,-230,-48,-322,151,0,-230
2013-06-30,-164,417,317,734,-91,16,66,-45,-127,443,-586,-6,30,24,-81,-643,-677,1104,427,0,0,-230,7,204,4,0,-230
2013-03-31,196.00000,405.00000,199.00000,604.00000,-34.00000,26.00000,-378.00000,-198.00000,-750.00000,50.00000,-826.00000,6.00000,-26.00000,-20.00000,-81.00000,-927.00000,954.00000,181.00000,1135.00000,,,-230.00000,-133.00000,772.00000,-105.00000,,-230.00000
2012-12-31,-148,139,677,816,28,13,327,-2,376,1044,-975,2,15,17,-209,-1167,20,365,385,690,690,-920,-10,145,22,0,-920
2012-09-30,425,381,231,612,64,46,-105,-42,177,1214,-775,13,-17,-4,-210,-989,354,-286,68,-690,-690,460,-7,-169,56,18,460
2012-06-30,188,395,-1,394,-164,9,134,38,-107,475,-394,9,-23,-14,-59,-467,-548,815,267,0,0,-230,-25,12,20,-18,-230
2012-03-31,306.00000,412.00000,-592.00000,-180.00000,59.00000,-118.00000,-256.00000,-55.00000,-539.00000,-413.00000,-517.00000,78.00000,-15.00000,63.00000,-80.00000,-534.00000,-16.00000,1075.00000,1059.00000,,,-230.00000,-10.00000,819.00000,-128.00000,,-230.00000
2011-12-31,99,432,-45,387,8,-48,214,96,348,834,-344,9,21,30,-87,-401,-327,0,-327,0,0,-230,35,-522,-89,0,-230
2011-09-30,530,479,-4,475,-60,38,-126,178,193,1198,73,1,-19,-18,-75,-20,-479,-656,-1135,0,0,-231,3,-1363,-185,4,-231
2011-06-30,193,422,233,655,35,-16,62,-394,-308,540,-569,3,-80,-77,-30,-676,-357,170,-187,0,0,-230,-72,-489,-625,5,-230
2011-03-31,47.00000,404.00000,-110.00000,294.00000,164.00000,40.00000,-90.00000,142.00000,150.00000,491.00000,-449.00000,47.00000,-24.00000,23.00000,567.00000,141.00000,-142.00000,-214.00000,-356.00000,,,-190.00000,-4.00000,-550.00000,82.00000,-9.00000,-190.00000
2010-12-31,138,417,225,642,-5,8,59,169,223,1003,-313,10,-14,-4,-186,-503,255,-207,48,0,0,-167,6,-113,387,0,-167
2010-09-30,175,405,339,744,-16,11,-34,81,210,1215,-469,-3,-14,-17,8,-478,236,-452,-216,0,0,-168,-2,-386,351,0,-168
2010-06-30,256,386,-67,319,-158,25,75,-141,-266,352,-487,10,3,13,-17,-491,-298,576,278,0,0,-167,-1,110,-29,0,-167
2010-03-31,149.00000,446.00000,10.00000,456.00000,2.00000,-42.00000,-57.00000,6.00000,-99.00000,506.00000,-394.00000,49.00000,-22.00000,27.00000,-109.00000,-476.00000,-109.00000,-295.00000,-404.00000,,,-168.00000,-22.00000,-594.00000,-564.00000,,-168.00000
2009-12-31,102,359,52,411,-3,-41,153,459,488,1001,-626,64,-15,49,180,-397,84,-482,-398,0,0,-167,-3,-568,36,20,-167
2009-09-30,231,489,-229,260,46,24,-92,-345,-129,362,-432,-44,-22,-66,-117,-615,1140,-764,376,0,0,-168,-17,191,-62,2,-168
2009-06-30,408,441,-48,393,-14,13,79,-44,-161,640,-478,23,-23,0,-17,-495,542,0,542,0,0,-167,-19,356,501,11,-167
2009-03-31,115.00000,615.00000,-158.00000,457.00000,46.00000,-7.00000,-90.00000,-60.00000,-110.00000,462.00000,-646.00000,17.00000,-17.00000,,-32.00000,-678.00000,256.00000,,256.00000,,,-168.00000,-18.00000,70.00000,-146.00000,-13.00000,-168.00000
