,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2018-03-31,678.00000,129.00000,16.00000,145.00000,-211.00000,-33.00000,4.00000,-207.00000,616.00000,-118.00000,-727.00000,-38.00000,-38.00000,2.00000,-881.00000,147.00000,,147.00000,-232.00000,-232.00000,-352.00000,,-437.00000,-684.00000,28.00000,-352.00000
2017-12-31,353,121,417,538,35,-24,-8,-132,759,-127,0,196,196,-8,61,44,0,44,-268,-268,-459,0,-683,155,21,-459
2017-09-30,650,128,93,221,14,7,-2,119,990,-153,0,-65,-65,-2,-220,7,0,7,-301,-301,-354,0,-648,139,53,-354
2017-06-30,560,117,92,209,-12,0,16,-155,614,-108,0,-50,-50,4,-154,-13,0,-13,-215,-215,-371,0,-599,-106,18,-371
2017-03-31,611.00000,109.00000,-82.00000,27.00000,-52.00000,9.00000,-2.00000,53.00000,691.00000,-121.00000,,-37.00000,-37.00000,,-158.00000,-67.00000,,-67.00000,-108.00000,-108.00000,-345.00000,,-520.00000,32.00000,35.00000,-345.00000
2016-12-31,628,114,19,133,109,-8,-37,63,824,-201,-5,155,155,-3,-54,163,0,163,-394,-394,-455,0,-686,17,21,-455
2016-09-30,746,114,36,150,6,39,24,101,997,-84,0,-17,-17,-4,-105,-44,0,-44,-287,-287,-349,0,-680,213,54,-349
2016-06-30,638,109,14,123,-37,-3,-4,-55,706,-134,0,-66,-66,4,-196,63,0,63,-125,-125,-364,0,-426,71,17,-364
2016-03-31,574.00000,106.00000,-49.00000,57.00000,-95.00000,-32.00000,30.00000,-17.00000,614.00000,-114.00000,,-30.00000,-30.00000,,-144.00000,-18.00000,,-18.00000,-83.00000,-83.00000,-340.00000,,-441.00000,44.00000,31.00000,-340.00000
2015-12-31,-421,112,1097,1209,97,-14,19,53,841,-223,0,-42,-42,-76,-341,-181,0,-181,-309,-309,-460,0,-950,-475,21,-460
2015-09-30,770,112,-89,23,50,-7,-10,92,885,-179,208,69,69,-4,94,94,0,94,-320,-320,-344,0,-570,386,53,-344
2015-06-30,616,111,-1,110,-72,31,-1,-230,496,-158,0,-28,-28,5,-181,574,0,574,-329,-329,-360,0,-115,200,19,-360
2015-03-31,583.00000,114.00000,67.00000,181.00000,-150.00000,-23.00000,25.00000,-37.00000,727.00000,-122.00000,,-142.00000,-142.00000,7.00000,-257.00000,-66.00000,,-66.00000,-246.00000,-246.00000,-329.00000,,-641.00000,-230.00000,32.00000,-329.00000
2014-12-31,666,113,70,183,113,-9,-4,57,906,-240,-62,-102,-102,0,-404,58,0,58,-335,-335,-456,0,-733,-266,22,-456
2014-09-30,580,114,183,297,-24,39,3,126,1003,-179,0,33,33,5,-141,-48,0,-48,-231,-231,-328,0,-607,194,55,-328
2014-06-30,661,107,27,134,-121,-23,26,-226,569,-146,0,89,89,-8,-65,-597,0,-597,-190,-190,-346,0,-1133,-634,20,-346
2014-03-31,432.00000,108.00000,324.00000,432.00000,-77.00000,-67.00000,0.00000,-44.00000,820.00000,-168.00000,-25.00000,-77.00000,-77.00000,21.00000,-249.00000,1022.00000,,1022.00000,-403.00000,-403.00000,-316.00000,,303.00000,833.00000,34.00000,-316.00000
2013-12-31,601,110,159,269,100,10,-44,-31,839,-236,-3,-25,-25,2,-262,363,0,363,-343,-343,-352,0,-332,241,23,-352
2013-09-30,699,108,112,220,57,11,21,121,1040,-176,0,-59,-59,5,-230,-319,0,-319,-240,-240,-405,0,-964,-163,53,-405
2013-06-30,604,111,-36,75,-19,-103,14,-131,548,-149,0,-9,-9,-8,-166,261,0,261,-310,-310,-335,0,-384,-48,20,-335
2013-03-31,506.00000,110.00000,217.00000,327.00000,-175.00000,-15.00000,22.00000,-56.00000,777.00000,-94.00000,,-145.00000,-145.00000,7.00000,-232.00000,117.00000,,117.00000,-289.00000,-289.00000,-290.00000,,-462.00000,48.00000,32.00000,-290.00000
2012-12-31,636,108,84,192,185,27,1,235,1063,-214,0,-17,-17,-10,-241,-6,0,-6,-511,-511,-326,0,-843,-25,22,-326
2012-09-30,697,106,98,204,-47,-2,-33,39,940,-90,0,-233,-233,20,-303,-119,0,-119,-251,-251,-358,0,-728,-86,50,-358
2012-06-30,665,105,-99,6,-29,-8,10,-140,531,-129,-29,-129,-129,7,-280,396,0,396,-346,-346,-315,0,-265,-49,19,-315
2012-03-31,633.00000,106.00000,34.00000,140.00000,-90.00000,-38.00000,52.00000,-111.00000,662.00000,-60.00000,,-19.00000,-19.00000,38.00000,-41.00000,170.00000,,170.00000,-357.00000,-357.00000,-278.00000,,-465.00000,166.00000,29.00000,-278.00000
2011-12-31,625,106,-53,53,-3,17,10,161,839,-191,6,2,2,-32,-215,60,0,60,-383,-383,-353,0,-676,-67,20,-353
2011-09-30,676,113,10,123,26,1,-4,104,903,142,-12,-26,-26,9,113,-210,0,-210,-273,-273,-282,0,-765,206,46,-282
2011-06-30,646,103,-62,41,4,-63,18,-213,474,-147,-960,104,104,-37,-1040,1172,0,1172,-249,-249,-307,0,616,53,18,-307
2011-03-31,607.00000,99.00000,33.00000,132.00000,-157.00000,-85.00000,30.00000,-59.00000,680.00000,-78.00000,,-13.00000,-13.00000,20.00000,-71.00000,392.00000,,392.00000,-548.00000,-548.00000,-261.00000,,-417.00000,196.00000,38.00000,-261.00000
2010-12-31,651,98,-6,92,96,53,46,225,968,-193,0,-24,-24,-3,-220,56,0,56,-597,-597,-338,0,-879,-164,20,-338
2010-09-30,645,93,42,135,-21,22,49,161,941,-111,0,-104,-104,-8,-223,-3,0,-3,-344,-344,-284,0,-631,99,41,-284
2010-06-30,630,93,40,133,64,-29,4,-194,569,-123,0,-6,-6,1,-128,281,0,281,-420,-420,-298,0,-437,-6,19,-298
2010-03-31,387.00000,92.00000,346.00000,438.00000,-99.00000,-56.00000,36.00000,-92.00000,733.00000,-81.00000,,-7.00000,-7.00000,1.00000,-87.00000,-38.00000,,-38.00000,-417.00000,-417.00000,-222.00000,,-677.00000,-39.00000,41.00000,-222.00000
2009-12-31,656,89,-101,-12,161,34,124,258,902,-211,0,-142,-142,-4,-357,-76,0,-76,-295,-295,-279,0,-650,-247,20,-279
2009-09-30,617,90,18,108,-18,8,32,439,1164,-137,-12,-127,-127,9,-267,-543,0,-543,-164,-164,-248,0,-955,-49,41,-248
2009-06-30,588,90,-5,85,-71,36,-52,-152,521,-137,8,-7,-7,1,-135,153,0,153,-112,-112,-251,0,-210,194,17,-251
2009-03-31,536.00000,82.00000,86.00000,168.00000,-15.00000,-34.00000,32.00000,-14.00000,690.00000,-73.00000,4.00000,-13.00000,-13.00000,,-82.00000,-60.00000,,-60.00000,-192.00000,-192.00000,-203.00000,,-455.00000,147.00000,39.00000,-203.00000
