,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2019-06-30,50.70000,341.20000,25.40000,366.60000,-56.20000,-20.50000,14.40000,-36.70000,380.60000,-23.90000,,,-2.60000,-2.60000,0.20000,-26.30000,-257.70000,-257.70000,7.30000,7.30000,-87.10000,-11.40000,-348.90000,5.40000,40.70000,-87.10000
2019-03-31,174.7,272.5,13.6,286.1,49.4,-2.9,-39.4,-57.4,403.4,-40.1,0,2.3,-5.8,-3.5,0,-43.6,-564.7,-277.7,15.7,15.7,-86.6,-14.8,-363.4,-3.6,38.9,-86.6
2018-12-31,49.2,277.4,83.5,360.9,124,83,40.3,71.4,481.5,-27.2,0,-167.9,163.8,-4.1,-0.1,-31.4,-90.7,-377.7,6.6,6.6,-86.4,-20.1,-477.6,-27.5,39.6,-86.4
2018-09-30,96.3,254.3,-109.9,144.4,120.6,177.7,63.5,246.8,487.5,-72,0.6,1385.8,-1383.9,1.9,0,-69.5,-501.3,-501.3,13.9,13.9,-85.9,-20.2,-593.5,-175.5,42.6,-85.9
2018-06-30,35.70000,203.10000,139.70000,342.80000,-55.20000,83.80000,-88.60000,-76.10000,302.40000,-89.40000,-7851.20000,66.70000,1207.30000,1274.00000,0.10000,-6666.50000,6266.50000,6266.50000,6.40000,6.40000,-85.50000,-89.40000,6098.00000,-266.10000,45.30000,-85.50000
2018-03-31,146.7,185.4,22,207.4001,-10.5,11,-3.4,5.4,359.5,-58.4,0,0,8.3,8.3,0,-50.1,-0.2,-0.2,15.4,15.4,-85.1,-10.3,-80.2,229.2,23.2,-85.1
2017-12-31,-251,182.9,141,323.8999,-7.8,-30.1,27.6,292.1,365,-56.1,0,-363,59.7,-303.3,-10.2,-369.6,-58.4,-58.4,7,7,-85,-13.3,-149.7,-154.3,24,-85
2017-09-30,189.1,180.8,-2.1,178.7,-16.4,-30.2,27.8,-17.7,350.1,-59.8,0,363,-503.8,-140.8,0,-200.6,-15.4,-15.4,15.1,15.1,-84.5,-11.3,-96.1,53.4,23.6,-84.5
2017-06-30,170.60000,179.80000,9.90000,189.70000,-50.60000,-9.90000,3.00000,-15.30000,345.00000,-22.20000,,,-379.40000,-379.40000,10.20000,-391.40000,-0.20000,-0.20000,4.50000,4.50000,-82.90000,-10.70000,-89.30000,-135.70000,22.40000,-82.90000
2017-03-31,136.869,148.781,-5.769,143.012,-3.249,3.026,43.053,42.727,322.608,0.038,-23.053,-465.103,0.614,-464.489,0,-487.504,526.087,526.087,13.307,13.307,-82.553,-47.139,409.702,244.813,22.011,-82.553
2016-12-31,107.175,128.531,-2.553,125.978,-18.119,4.724,65.924,57.649,290.802,-485.907,23.069,-34.797,463.525,428.728,-0.066,-34.176,4.804,4.804,3.441,3.441,-77.97,-12.318,-82.043,173.95,22.12,-77.97
2016-09-30,33.919,126.171,-21.921,104.25,-15.531,94.848,8.654,83.954,222.123,452.063,0,0,-472.668,-472.668,0.014,-20.591,-244.696,-244.696,20.822,20.822,-77.64,-10.66,-312.174,-110.538,24.39,-77.64
2016-06-30,-113.36300,126.31700,100.34300,226.66000,-9.90100,121.10200,17.46900,110.67000,223.96700,-18.49400,-2747.51600,,470.22900,470.22900,0.05200,-2295.72900,677.80500,677.80500,4.63000,4.63000,-77.23700,-25.18300,580.01500,-1492.22500,59.57900,-77.23700
2016-03-31,67.33,90.483,-33.025,57.458,-42.127,13.427,47.087,77.721,202.509,-16.473,0.028,0,1598.571,1598.571,0.051,1582.177,-527.496,43.504,10.813,10.813,-73.161,-4.578,-23.422,1761.264,17.297,-73.161
2015-12-31,61.211,91.835,46.263,138.098,34.857,39.37,-50.068,11.168,210.477,-3.573,0,0,-36.039,-36.039,-14.296,-53.908,282.83,-288.17,4.396,4.396,-72.923,-7.499,-364.196,-207.627,16.965,-72.923
2015-09-30,64.899,86.381,5.189,91.57,8.266,19.296,13.455,-6.583,149.886,-29.943,-343.928,0,-180.478,-180.478,13.669,-540.68,944.332,799.332,-353.806,-353.806,-72.685,-6.516,366.325,-24.469,23.026,-72.685
2015-06-30,130.46000,75.50100,-20.22700,55.27400,-3.09600,-23.89300,6.62600,-4.20600,181.52800,-33.61100,,,-136.15400,-136.15400,-17.42400,-187.18900,-110.16600,34.83400,3.49700,3.49700,-72.33100,-4.60700,-38.60700,-44.26800,14.11200,-72.33100
2015-03-31,98.58,83.885,8.908,92.793,-31.342,-3.167,16.637,-12.863,178.51,-29.458,0,0,37.0589,37.0589,-9.161,-1.56,70.9268,70.9268,13.604,13.604,-72.047,-37.958,-25.474,151.476,15.183,-72.047
2014-12-31,84.798,78.843,26.645,105.488,44.878,-3.368,-23.774,-5.448,184.838,-36.642,0,0,-98.755,-98.755,-21.169,-156.566,15.473,15.473,6.794,6.794,-71.787,-3.852,-53.372,-25.1,14.819,-71.787
2014-09-30,92.038,76.287,12.298,88.585,7.818,7.061,7.946,11.423,192.046,-38.735,-252.469,0,45.206,45.206,-1.765,-247.763,-14.525,-14.525,9.91,9.91,-71.442,-4.356,-80.413,-136.331,15.273,-71.442
2014-06-30,89.90900,66.48600,11.44000,77.92600,-37.24700,24.99100,14.62400,-2.04700,165.78800,-44.63700,-375.36500,,147.57400,147.57400,,-272.42800,329.85200,329.85200,4.12500,4.12500,-71.20200,-4.96800,257.80700,151.16700,13.32100,-71.20200
2014-03-31,111.495,51.402,-7.118,44.284,-18.132,12.088,43.369,47.562,203.341,-33.501,0,0,-21.419,-21.419,0,-54.92,-0.141,-0.141,17.569,17.569,-70.882,-3.464,-56.918,91.503,12.412,-70.882
2013-12-31,105.401,50.37,22.687,73.057,6.317,1.515,-18.126,-30.158,148.3,-24.33,-9.013,0,-25.926,-25.926,0,-59.269,-640.135,9.865,9.629,9.629,-70.554,-7.073,-58.133,30.898,13.719,-70.554
2013-09-30,99.806,53.195,20.396,73.591,1.769,-18.146,6.446,-15.846,157.551,-27.449,0,0,-149.507,-149.507,0,-176.956,679.866,29.866,20.274,20.274,-70.086,-19.678,-39.624,-59.029,15,-70.086
2013-06-30,78.57900,55.85500,19.60600,75.46100,-2.46200,-13.95700,25.84200,13.33200,167.37200,-11.55700,-2.17400,,-198.40300,-198.40300,,-212.13400,-10.04400,-10.04400,12.61400,12.61400,-69.68200,-13.22900,-80.34100,-125.10300,12.65600,-69.68200
2013-03-31,59.69,68.655,-0.653,68.002,-52.453,18.721,16.298,0.191,127.883,-14.436,0,0,-4.0889,-4.0889,-0.306,-18.831,10,10,28.746,28.746,-69.23,-15.527,-46.011,63.041,13.356,-69.23
2012-12-31,10.173,76.46,13.653,90.113,52.955,24.812,-7.973,38.925,139.211,-9.864,0,0,-48.3221,-48.3221,0.24,-57.946,10,10,6.301,6.301,-68.697,0.042,-52.354,28.558,14.12,-68.697
2012-09-30,-21.184,53.308,2.772,56.08,2.698,22.018,36.124,28.404,63.3,-15.908,-731.746,0,-203.417,-203.417,0.016,-951.055,600,600,11.357,11.357,-68.146,0.092,543.303,-343.113,14.607,-68.146
2012-06-30,78.71000,27.27400,13.34400,40.61800,-2.81400,0.31600,7.37500,9.64300,128.97100,-10.30400,-20.55600,,108.70000,108.70000,0.05000,77.89000,,,4.96100,4.96100,-67.74900,0.02000,-62.76800,144.09300,9.98600,-67.74900
2012-03-31,80.636,41.964,22.907,64.871,-20.08,1.057,-14.247,-27.527,117.98,-3.377,-38.58,0,4.296,4.296,-0.212,-37.873,0,0,17.047,17.047,-67.259,0.135,-50.077,30.03,9.819,-67.259
2011-12-31,77.489,26.606,9.109,35.715,-6.868,-6.223,-27.276,-57.265,55.939,-6.133,0,0,-67.343,-67.343,0.164,-73.312,0,0,14.743,14.743,-66.813,0.039,-52.031,-69.404,9.962,-66.813
2011-09-30,79.287,27.098,12.25,39.348,53.845,-8.69,23.477,36.119,154.754,-25.23,0,0,-47.032,-47.032,0.048,-72.214,0,0,7.395,7.395,-66.206,0.017,-58.794,23.746,9.484,-66.206
2011-06-30,99.29300,27.21100,16.34300,43.55400,-15.05200,-21.38400,-5.31900,-59.54200,83.30500,-27.21900,,,-61.38400,-61.38400,,-88.60300,,,18.27200,18.27200,-65.90000,0.38500,-47.24300,-52.54100,9.02400,-65.90000
2011-03-31,125.528,28.074,18.652,46.726,9.357,-1.289,-46.426,-19.717,152.537,-24.34,-13.02,1055.286,-989.468,65.818,1.109,29.567,0,0,20.593,20.593,-0.003,0.614,21.204,203.308,9.027,-0.003
2010-12-31,100.776,28.977,12.098,41.075,15.487,-10.744,14.69,-3.174,138.677,-34.177,0,0,69.395,69.395,2.129,37.347,0,0,29.078,29.078,-129.447,1.24,-99.129,76.895,9.409,-129.447
2010-09-30,103.08,29.298,13.782,43.08,-9.255,-5.716,25.096,11.969,158.129,-31.834,0,-82.691,-104.408,-187.099,10,-208.933,0,0,14.959,14.959,-63.908,0,-48.949,-99.753,8.925,-63.908
2010-06-30,89.56600,27.14400,18.84200,45.98600,-9.24800,-4.31900,9.84900,-2.23400,133.31800,-34.10300,-112.70700,82.69100,-0.14200,82.54900,18.43000,-45.83100,,,7.31000,7.31000,-63.45300,,-56.14300,31.34400,9.45100,-63.45300
2010-03-31,75.749,23.831,16.83,40.661,-23.84,-3.977,4.452,-8.382,108.028,-19.188,0,-1083.146,1170.1631,87.0171,0,67.829,0,0,17.9,17.9,-62.962,0.044,-45.018,130.839,9.443,-62.962
2009-12-31,69.403,24.087,19.22,43.307,-7.112,-3.834,-4.3,-11.783,100.927,-18.683,0,1102.506,-1313.028,-210.522,0.1,-229.105,0,0,9.603,9.603,-62.52,1.341,-51.576,-179.754,8.837,-62.52
2009-09-30,44.485,24.391,38.377,62.768,-8.607,5.346,5.704,20.772,128.025,-5.977,0,-101.048,-3.991,-105.039,0,-111.016,0,0,8.431,8.431,-62.083,0.709,-52.943,-35.934,9.5,-62.083
2009-06-30,27.36800,24.22100,68.25000,92.47100,-9.51900,17.70400,-5.76500,-4.77200,115.06700,-3.75600,,81.68800,-0.90200,80.78600,,77.03000,,,0.54400,0.54400,-61.99100,,-61.44700,130.65000,8.99800,-61.99100
2009-03-31,245.587,100.488,-9.064,91.424,50.832,-4.11,-49.983,-28.358,308.653,-102.37,0,0,82.377,82.377,0.166,-19.827,0,0,-90.374,-90.374,-246.657,6.798,-330.233,-41.407,32.481,-246.657
