,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2016-11-30,136.645,42.641,63.744,106.385,2.574,-251.372,-246.163,-546.067,-303.037,-100.23,0,-0.548,-0.548,24.723,-76.055,286.6121,0.519,287.1311,-196.799,-196.799,-3.559,86.774,-292.318,11.465
2016-08-31,162.362,42.212,81.471,123.683,7.964,-53.812,-344.645,-406.661,-120.616,-117.122,0,-3.658,-3.658,-18.127,-138.907,1721.146,-1094.694,626.4519,-99.144,-99.144,-4.329,522.979,263.456,29.124
2016-05-31,175.36000,40.80100,84.36200,125.16300,29.63000,67.03800,-378.69800,-212.91600,87.60700,-97.46300,,-2.40000,-2.40000,-23.38700,-123.25000,-905.26810,1094.62700,189.35900,-133.85500,-133.85500,-4.68000,50.82400,15.18100,31.43700
2016-02-29,141.027,36.856,88.585,125.441,-43.641,221.241,-265.438,-1.646,264.822,-74.727,0,-0.375,-0.375,-29.074,-104.176,39.725,0.392,40.117,-165.577,-165.577,-31.138,-156.598,4.048,5.793
2015-11-30,128.199,35.316,54.901,90.217,12.302,-241.721,-235.294,-515.251,-296.835,-95.007,0,-0.384,-0.384,20.254,-75.137,743.2549,-2.086,741.1689,-439.273,-439.273,2.945,304.841,-67.131,11.778
2015-08-31,172.228,33.122,48.392,81.514,2.831,-67.472,-363.737,-456.04,-202.298,-86.29,0,-6.592,-6.592,-9.523,-102.405,285.8823,1.341,287.2233,-232.15,-232.15,-1.591,53.482,-251.221,10.097
2015-05-31,181.97400,32.06600,67.88900,99.95500,34.02700,242.79700,-410.15600,-164.37500,117.55400,-58.01800,,-3.78800,-3.78800,-35.27100,-97.07700,376.84180,-0.00400,376.83780,-99.90300,-99.90300,26.68000,303.61500,324.09200,23.40900
2015-02-28,143.138,30.179,74.394,104.573,-49.51,-122.201,-327.796,-431.226,-183.515,-70.921,0,-0.024,-0.024,-23.631,-94.576,295.348,-1.789,293.559,-193.2291,-193.2291,15.487,115.817,-162.274,24.688
2014-11-30,130.049,29.228,53.533,82.761,20.679,-255.718,-345.498,-560.806,-347.996,-103.563,0,-0.185,-0.185,21.373,-82.375,567.041,0.345,567.386,-305.4099,-305.4099,3.675,265.651,-164.72,19.414
2014-08-31,154.518,28.423,53.288,81.711,-11.049,-27.155,-349.088,-463.768,-227.539,-75.755,0,-5.753,-5.753,-8.166,-89.674,277.226,0.987,278.213,-164.075,-164.075,25.484,139.622,-177.591,22.39
