,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2015-03-31,1992.00000,2099.00000,248.00000,2347.00000,1167.00000,-137.00000,-71.00000,555.00000,76.00000,4415.00000,-2025.00000,,-57.00000,2002.00000,-374.00000,1628.00000,5.00000,-449.00000,,-486.00000,-486.00000,-409.00000,-409.00000,-1137.00000,-242.00000,-2274.00000,1683.00000,368.00000,-1137.00000
2014-12-31,3661,2174,-261,1913,-785,-157,43,780,197,5771,-2143,0,-741,8518,-7932,586,394,-1904,0,437,437,-3906,-3906,-1069,99,-4439,-582,281,-1069
2014-09-30,3317,2198,82,2280,-165,-176,-189,499,96,5693,-2445,0,-56,-5080,6594,1514,1,-986,0,65,65,-3606,-3606,-1095,29,-4607,94,281,-1095
2014-06-30,2796,2170,103,2273,11,-170,-8,247,384,5453,-2828,0,-29,1893,-3340,-1447,38,-4266,0,-22,-22,-1554,-1554,-1126,-213,-2915,-1728,303,-1126
2014-03-31,1930.00000,2007.00000,340.00000,2347.00000,78.00000,405.00000,-95.00000,-135.00000,-776.00000,3501.00000,-2689.00000,,-108.00000,2381.00000,-2479.00000,-98.00000,146.00000,-2749.00000,,-245.00000,-245.00000,-66.00000,-66.00000,-1119.00000,-220.00000,-1650.00000,-897.00000,283.00000,-1119.00000
2013-12-31,2625,1956,-49,1907,140,358,-45,530,1506,6038,-2948,-36,-43,1853,-2498,-645,-249,-3921,0,-69,-69,32,32,-1121,-164,-1322,793,263,-1121
2013-09-30,2950,2021,-225,1796,-237,10,128,-58,985,5731,-2866,0,-498,2339,-2652,-313,354,-3323,0,87,87,-276,-276,-1121,4,-1306,1103,268,-1121
2013-06-30,2000,1991,-6,1985,75,-177,201,16,737,4722,-2723,33,-286,1025,-3656,-2631,95,-5512,0,175,175,-221,-221,-1123,37,-1132,-1920,292,-1123
2013-03-31,2045.00000,2064.00000,264.00000,2328.00000,293.00000,372.00000,-17.00000,377.00000,-88.00000,4285.00000,-2174.00000,-33.00000,-98.00000,78.00000,-3193.00000,-3115.00000,103.00000,-5317.00000,,-224.00000,-224.00000,-94.00000,-94.00000,-1114.00000,-306.00000,-1738.00000,-2780.00000,295.00000,-1114.00000
2012-12-31,2468,2005,9,2014,107,572,-165,315,1544,6026,-2504,-250,-70,-498,-2165,-2663,155,-5332,6124,256,6380,-539,-539,-1119,-455,4267,4958,272,-1119
2012-09-30,2972,1893,121,2014,-386,-416,-80,322,161,5147,-2887,-477,-110,1718,-3199,-1481,103,-4852,0,-36,-36,-881,-881,-1125,38,-2004,-1703,276,-1125
2012-06-30,2827,1839,218,2057,490,-401,275,-184,-145,4739,-2662,-85,-282,952,327,1279,-15,-1765,0,-270,-270,-959,-959,-1057,110,-2176,794,280,-1057
2012-03-31,2738.00000,1785.00000,229.00000,2014.00000,-387.00000,-381.00000,37.00000,-359.00000,-1780.00000,2972.00000,-2974.00000,-3.00000,-176.00000,2091.00000,-1245.00000,846.00000,196.00000,-2111.00000,,115.00000,115.00000,-275.00000,-275.00000,-1049.00000,-286.00000,-1495.00000,-636.00000,274.00000,-1049.00000
2011-12-31,3360,1589,416,2005,178,-133,-49,247,1265,6630,-2844,-21,-244,1948,-3813,-1865,207,-4767,0,181,181,-3033,-3033,-1070,72,-3850,-1992,241,-1070
2011-09-30,3468,1529,714,2243,-468,74,257,-66,638,6349,-2713,-45,-186,1013,-2130,-1117,-46,-4107,4962,-5,4957,-3669,-3669,-1102,-3,183,2422,250,-1102
2011-06-30,2954,1504,402,1906,116,67,-16,-127,-889,3971,-2484,0,-75,2315,-543,1772,4,-783,0,17,17,-1826,-1826,-961,25,-2745,447,262,-961
2011-03-31,3160.00000,1442.00000,-2.00000,1440.00000,-504.00000,-251.00000,404.00000,133.00000,-587.00000,4013.00000,-2723.00000,,-8166.00000,6210.00000,3902.00000,10112.00000,133.00000,-644.00000,,16.00000,16.00000,-3767.00000,-3767.00000,-994.00000,57.00000,-4688.00000,-1310.00000,300.00000,-994.00000
2010-12-31,3180,1206,66,1272,44,-327,387,754,1098,5550,-1869,-14,-148,4978,-5867,-889,-52,-2972,-157,-64,-221,-1462,-1462,-879,-35,-2597,-19,213,-879
2010-09-30,2955,1142,118,1260,-481,-84,-223,-360,-638,3577,-1362,0,0,3146,-4900,-1754,191,-2925,0,44,44,146,146,-877,38,-649,3,224,-877
2010-06-30,2887,1149,-30,1119,-235,-344,214,202,-520,3486,-1048,0,-33,2851,-3580,-729,-160,-1970,0,-115,-115,-58,-58,-877,60,-990,526,232,-877
2010-03-31,2442.00000,1141.00000,304.00000,1445.00000,88.00000,-51.00000,29.00000,305.00000,192.00000,4079.00000,-928.00000,,-37.00000,1554.00000,-3016.00000,-1462.00000,-245.00000,-2672.00000,,158.00000,158.00000,225.00000,225.00000,-870.00000,81.00000,-406.00000,1001.00000,248.00000,-870.00000
2009-12-31,2282,1261,233,1494,-248,-440,-24,371,-371,3405,-1081,0,0,1435,-3044,-1609,-79,-2769,0,-10,-10,23,23,-774,3,-758,-122,200,-774
2009-09-30,1856,1235,475,1710,-61,309,182,-1114,437,4003,-944,0,-853,3794,-5417,-1623,40,-3380,1980,-1,1979,-1554,-1554,-771,6,-340,283,218,-771
2009-06-30,-398,1286,509,1795,148,241,57,1124,1987,3384,-981,0,0,-1761,749,-1012,-232,-2225,0,-7,-7,-78,-78,-784,0,-869,290,258,-784
2009-03-31,629.00000,1270.00000,472.00000,1742.00000,-374.00000,686.00000,-721.00000,-433.00000,-1993.00000,378.00000,-1509.00000,,,2425.00000,-524.00000,1901.00000,17.00000,409.00000,,-69.00000,-69.00000,247.00000,247.00000,-779.00000,,-601.00000,186.00000,213.00000,-779.00000
