,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2019-09-30,1555,557,88,645,159,4,73,103,2364,-902,0,5,5,0,-897,956,-476,480,-1533,-1533,-677,495,-1235,232,-677
2019-06-30,1570,551,106,657,-137,5,-28,-380,1941,-778,0,5,5,-53,-826,-44,172,128,-642,-642,-622,-6,-1142,-27,-622
2019-03-31,1391.00000,549.00000,103.00000,652.00000,83.00000,-38.00000,-57.00000,-31.00000,1959.00000,-752.00000,,0.00000,,-32.00000,-784.00000,2432.00000,299.00000,2731.00000,-2987.00000,-2987.00000,-626.00000,-523.00000,-1405.00000,-230.00000,-626.00000
2018-12-31,1554,555,-4,551,37,47,41,228,2312,-985,0,0,0,8,-977,-29,-1,-30,-1921,-1921,-583,717,-1817,-482,-583
2018-09-30,1593,547,108,655,-158,-17,42,28,2341,-806,0,0,0,-3,-809,-412,-1,-413,-331,-331,-591,9,-1326,206,-591
2018-06-30,1509,546,92,638,-63,36,5,21,2132,-673,0,0,0,-33,-706,5684,-440,5244,-4807,-4807,-557,-750,-870,556,-557
2018-03-31,1310.00000,543.00000,112.00000,655.00000,-78.00000,-59.00000,-112.00000,-403.00000,1901.00000,-910.00000,,0.00000,,-9.00000,-919.00000,-87.00000,636.00000,549.00000,-1166.00000,-1166.00000,-568.00000,-24.00000,-1209.00000,-227.00000,-568.00000
2017-12-31,7278,532,-5692,-5160,-65,-7,67,81,1832,-691,0,0,0,-135,-826,81,0,81,-1131,-1131,-522,-6,-1578,-572,-522
2017-09-30,1194,528,216,744,-71,-16,56,35,1939,-860,0,0,0,164,-696,1072,0,1072,-1271,-1271,-480,-3,-682,561,-480
2017-06-30,1168,525,153,678,-78,34,18,-295,1576,-725,0,0,0,4,-721,726,0,726,-852,-852,-488,-4,-618,237,-488
2017-03-31,1072.00000,520.00000,145.00000,665.00000,-21.00000,-43.00000,-132.00000,52.00000,1883.00000,-794.00000,,-30.00000,-30.00000,-19.00000,-843.00000,16.00000,,16.00000,-759.00000,-759.00000,-492.00000,-33.00000,-1268.00000,-228.00000,-492.00000
2016-12-31,1144,520,218,738,93,-27,37,136,2058,-888,0,270,270,44,-574,-623,0,-623,-1005,-1005,-497,9,-2116,-632,-497
2016-09-30,1131,512,170,682,22,-30,41,207,1942,-898,0,0,0,-83,-981,423,0,423,-848,-848,-457,0,-882,79,-457
2016-06-30,979,504,180,684,-18,56,-19,-195,1352,-903,0,-330,-330,67,-1166,-17,0,-17,-546,-546,-460,-6,-1029,-843,-460
2016-03-31,979.00000,502.00000,169.00000,671.00000,1.00000,20.00000,-37.00000,597.00000,2173.00000,-687.00000,,,,15.00000,-672.00000,996.00000,,996.00000,-706.00000,-706.00000,-465.00000,-44.00000,-219.00000,1282.00000,-465.00000
2015-12-31,1117,517,404,921,152,5,83,-468,1719,-1267,0,0,0,41,-1226,965,0,965,-670,-670,-467,-8,-180,313,-467
2015-09-30,1300,507,108,615,5,21,15,65,1852,-1096,0,0,0,-18,-1114,-40,0,-40,-1190,-1190,-476,5,-1701,-963,-476
2015-06-30,1204,497,8,505,51,-18,-70,-56,1709,-967,0,0,0,-27,-994,1034,0,1034,-813,-813,-479,-3,-261,454,-479
2015-03-31,1151.00000,491.00000,101.00000,592.00000,47.00000,-32.00000,-75.00000,282.00000,2064.00000,-1069.00000,,,,-73.00000,-1142.00000,813.00000,,813.00000,-792.00000,-792.00000,-922.00000,-20.00000,-921.00000,1.00000,-922.00000
2014-12-31,1431,489,552,1041,24,24,46,-211,2027,-1041,0,0,0,117,-924,-32,0,-32,-913,-913,-446,-13,-1404,-301,-446
2014-09-30,1370,481,130,611,31,3,10,106,2137,-1139,0,0,0,-8,-1147,655,0,655,-862,-862,-410,-23,-640,350,-410
2014-06-30,1291,470,69,539,-124,-34,2,-401,1454,-1162,0,0,0,-111,-1273,662,0,662,-806,-806,-413,56,-501,-320,-413
2014-03-31,1088.00000,464.00000,75.00000,539.00000,-128.00000,-52.00000,-93.00000,197.00000,1767.00000,-866.00000,,,,-39.00000,-905.00000,593.00000,,593.00000,-644.00000,-644.00000,-363.00000,-23.00000,-437.00000,425.00000,-363.00000
2013-12-31,1174,458,54,512,55,30,20,300,1942,-763,0,0,0,-46,-809,75,0,75,-786,-786,-365,9,-1067,66,-365
2013-09-30,1151,447,272,719,-1,-29,18,-140,1663,-947,0,0,0,90,-857,-366,0,-366,-599,-599,-322,2,-1285,-479,-322
2013-06-30,1106,438,181,619,44,1,-23,56,1694,-923,0,0,0,-16,-939,-56,0,-56,-459,-459,-323,11,-827,-72,-323
2013-03-31,957.00000,434.00000,184.00000,618.00000,-181.00000,5.00000,-14.00000,-55.00000,1524.00000,-765.00000,,,,-35.00000,-800.00000,861.00000,,861.00000,-374.00000,-374.00000,-323.00000,-34.00000,130.00000,854.00000,-323.00000
2012-12-31,1036,453,397,850,252,20,-37,-3,1795,-620,-274,0,0,127,-767,-508,0,-508,-295,-295,-286,-6,-1095,-67,-286
2012-09-30,1042,447,216,663,-86,-34,28,-68,1590,-1252,0,0,0,268,-984,-57,0,-57,-346,-346,-285,11,-677,-71,-285
2012-06-30,1002,433,150,583,-170,36,-41,-171,1372,-995,0,0,0,-57,-1052,574,0,574,-400,-400,-286,-2,-114,206,-286
2012-03-31,863.00000,427.00000,124.00000,551.00000,74.00000,-68.00000,-58.00000,-27.00000,1404.00000,-791.00000,,,,-39.00000,-830.00000,-72.00000,,-72.00000,-433.00000,-433.00000,-289.00000,-2.00000,-796.00000,-222.00000,-289.00000
2011-12-31,964,413,265,678,23,-7,42,84,1539,-901,0,0,0,23,-878,-502,0,-502,-382,-382,-230,23,-1091,-430,-230
2011-09-30,904,408,262,670,3,23,41,175,1694,-870,0,0,0,-5,-875,429,0,429,-428,-428,-233,5,-227,592,-233
2011-06-30,785,401,287,688,-152,-48,-7,0,1346,-755,0,0,0,46,-709,-316,0,-316,-360,-360,-188,34,-830,-193,-188
2011-03-31,639.00000,395.00000,172.00000,567.00000,-91.00000,-48.00000,102.00000,17.00000,1294.00000,-627.00000,,,,-30.00000,-657.00000,-87.00000,,-87.00000,-248.00000,-248.00000,-186.00000,46.00000,-475.00000,162.00000,-186.00000
2010-12-31,775,380,251,631,113,-30,27,297,1385,-774,0,0,0,-41,-815,-479,0,-479,-230,-230,-164,31,-842,-272,-164
2010-09-30,778,372,310,682,-47,-8,-119,-435,1025,-616,0,0,0,11,-605,348,0,348,-597,-597,-166,36,-379,41,-166
2010-06-30,711,368,61,429,-32,10,5,100,1039,-576,0,0,0,3,-573,-354,0,-354,-422,-422,-137,11,-902,-436,-137
2010-03-31,516.00000,367.00000,50.00000,417.00000,-552.00000,-31.00000,70.00000,-313.00000,656.00000,-449.00000,,,,-46.00000,-495.00000,-131.00000,,-131.00000,,,-135.00000,8.00000,-258.00000,-97.00000,-135.00000
2009-12-31,549,373,384,757,61,15,-84,-113,1005,-513,0,0,0,86,-427,-45,0,-45,0,0,-136,18,-163,415,-136
2009-09-30,514,363,95,458,-98,17,5,-161,691,-614,0,0,0,35,-579,-198,0,-198,0,0,-136,1,-333,-221,-136
2009-06-30,465,350,64,414,-81,-61,-4,-31,790,-518,0,0,0,7,-511,-47,0,-47,0,0,-136,94,-89,190,-136
2009-03-31,362.00000,341.00000,13.00000,354.00000,46.00000,4.00000,-23.00000,12.00000,718.00000,-622.00000,,,,-6.00000,-628.00000,262.00000,,262.00000,,,-136.00000,1.00000,127.00000,217.00000,-136.00000
