,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2019-06-30,124.82,53.372,25.512,78.884,-27.184,63.057,39.061,-21.15,95.263,287.619,-42.1,0,0,0,-42.1,0,-19.687,-19.687,-11.377,-11.377,-4.305,-0.021,-35.39,210.389,8.441,-4.305
2019-03-31,142.50000,69.88500,10.85900,80.74400,-58.75700,-68.74200,102.94100,57.25900,-30.05000,204.54200,-60.75900,,,,-60.75900,-310.04700,-50.57800,-360.62500,-133.61300,-133.61300,-8.72300,-0.21500,-503.17600,-359.19700,10.98400,-8.72300
2018-12-31,53.442,54.6,17.111,71.711,72.124,-183.263,153.921,-10.08,3.863,129.525,-88.145,0,0,0,-88.145,0,43.987,43.987,-153.962,-153.962,0,-0.28,-110.255,-73.479,8.495,0
2018-09-30,115.843,55.34,14.196,69.536,-33.6,-25.002,112.489,-12.802,51.65,237.535,-42.445,0,0,0,-42.445,0,-3.611,-3.611,-120.232,-120.232,-4.421,-0.156,-128.42,67.757,6.852,-4.421
2018-06-30,117.835,56.552,10.175,66.727,-45.983,66.509,22.031,-29.078,104.928,289.998,-27.293,0,0,0,-27.293,0,3.739,3.739,0.51,0.51,-4.468,1.736,1.517,263.106,4.771,-4.468
2018-03-31,136.72700,71.69200,18.19000,89.88200,-14.01200,-64.36900,-2.94800,-12.74700,-73.31100,153.97000,-33.94400,,,,-33.94400,,-12.10100,-12.10100,-4.47000,-4.47000,-8.93000,-1.25600,-26.75700,92.20600,7.64200,-8.93000
2017-12-31,184.5,56.507,-106.026,-49.519,71.807,50.591,-26.941,18.36,63.958,199.8,-23.819,0,0,0,-23.819,0,9.328,9.328,-2.184,-2.184,-0.026,-0.091,7.027,183.635,7.111,-0.026
2017-09-30,95.996,57.553,-1.157,56.396,1.252,75.034,-16.477,-24.187,-19.147,133.656,-33.787,0,0,0,-33.787,0,8.878,8.878,0.784,0.784,-4.465,-0.252,4.945,106.072,8.218,-4.465
2017-06-30,87.049,57.77,3.348,61.118,5.195,131.307,-117.04,-6.553,83.949,232.268,-56.721,0,0,-0.173,-56.894,0,-42.692,-42.692,1.063,1.063,-4.461,-0.626,-46.716,131.143,7.564,-4.461
2017-03-31,107.96000,77.43000,4.94500,82.37500,-42.20700,-89.38400,-36.71000,-8.94500,-156.95300,35.08100,-64.33200,,,0.19300,-64.13900,,38.49000,38.49000,-2.08500,-2.08500,-8.90200,-7.63100,19.87200,-9.09100,12.37400,-8.90200
2016-12-31,62.365,59.125,9.268,68.393,45.846,31.075,-110.103,33.633,-35.105,96.271,-54.617,0,0,-2.025,-56.642,0,-14.338,-14.338,-4.999,-4.999,-0.004,-3.861,-23.202,15.684,8.788,-0.004
2016-09-30,113.844,59.997,14.398,74.395,-30.247,60.725,-20.833,-11.434,31.62,218.592,-66.103,0,0,-0.242,-66.345,0,-130.391,-130.391,1.095,1.095,-4.443,-3.374,-137.113,14.667,2.522,-4.443
2016-06-30,124.6,59.945,7.696,67.641,-7.017,10.055,-96.889,-10.475,-72.863,119.994,-48.716,0,0,-2.43,-51.146,0,-61.488,-61.488,0.771,0.771,-4.441,-1.454,-66.612,1.119,2.488,-4.441
2016-03-31,158.81300,79.32000,15.30200,94.62200,-50.22400,-246.45800,108.50000,5.17400,-162.98300,88.44600,-87.91100,,,,-87.91100,,40.64400,40.64400,-10.72800,-10.72800,-8.85000,-11.25900,9.80700,12.92600,6.65400,-8.85000
2015-12-31,54.819,61.98,28.691,90.671,65.134,-41.195,27.574,42.936,36.451,182.556,-73.423,0,18.893,-18.889,-73.419,0,-106.3771,-106.3771,-3.541,-3.541,-0.007,-11.776,-121.701,-14.564,10.988,-0.007
2015-09-30,120.469,61.636,2.632,64.268,-10.486,-20.397,5.683,-9.67,2.49,189.272,-46.996,0,-2.462,0,-49.458,0,-146.4249,-146.4249,1.272,1.272,-4.415,-0.355,-149.923,-9.19,8.215,-4.415
2015-06-30,149.998,62.613,6.657,69.27,-22.598,-10.639,40.229,-13.084,10.155,228.605,-57.315,0,-15.998,0,-73.313,0,-158.448,-158.448,1.016,1.016,-4.414,-0.177,-162.023,-9.285,8.781,-4.414
2015-03-31,148.11200,83.24700,2.61200,85.85900,-53.52600,-171.86500,45.67800,7.64100,-132.57800,102.21100,-56.74300,,-0.43300,,-57.17600,,-15.07200,-15.07200,-0.23800,-0.23800,-8.81300,-1.18400,-25.30700,19.15000,8.94500,-8.81300
2014-12-31,84.434,66.078,24.935,91.013,53.853,-0.1,6.951,-12.12,-9.381,168.697,-66.622,0,0.033,0,-66.589,0,-86.047,-86.047,-3.243,-3.243,-0.019,2.328,-86.981,15.007,5.736,-0.019
2014-09-30,122.177,65.912,27.617,93.529,-14.697,-10.185,40.109,-6.72,5.429,219.733,-54.692,0,-1.632,0,-56.324,0,-135.555,-135.555,1.216,1.216,-4.383,-0.445,-139.167,22.218,3.606,-4.383
2014-06-30,139.488,64.498,11.79,76.288,-41.858,-21.31,67.971,-24.679,23.044,239.43,-45.644,0,-2.247,0,-47.891,0,-191.9831,-191.9831,1.087,1.087,-4.397,-10.25,-205.543,-15.912,5.23,-4.397
2014-03-31,147.72600,88.20500,8.62500,96.83000,-45.50700,-196.06200,101.38100,-13.29000,-164.21700,81.13100,-60.49600,,-2056.93700,,-2117.43300,,1013.20400,1013.20400,2.36400,2.36400,-8.78100,0.81500,1007.60200,-1029.11300,7.13300,-8.78100
2013-12-31,49.267,47.736,8.286,56.022,-1.899,-92.579,122.999,18.898,41.041,146.783,-45.801,0,1.074,0,-44.727,448.605,5.739,454.344,-2.156,-2.156,-0.011,-9.063,443.114,545.17,6.681,-0.011
2013-09-30,103.83,47.987,3.394,51.381,2.737,-56.937,9.413,1.544,-67.202,88.377,-35.211,0,0,0,-35.211,0,0.059,0.059,-2.269,-2.269,-4.37,-0.254,-6.834,46.332,1.917,-4.37
2013-06-30,116.871,48.045,-3.48,44.565,-14.019,16.731,-54.278,-10.366,12.511,174.805,-40.974,0,-0.352,0,-41.326,0,-0.013,-0.013,-15.275,-15.275,-4.393,-0.553,-20.234,113.245,1.929,-4.393
2013-03-31,121.79000,64.02700,-11.96700,52.06000,-19.24700,-70.72800,35.36300,-3.19300,-38.56500,135.28500,-53.98400,,-186.85900,,-240.84300,,-8.71100,-8.71100,-57.48400,-57.48400,-8.80000,-9.83400,-84.82900,-190.38700,2.66400,-8.80000
2012-12-31,65.055,45.777,12.733,58.51,-25.311,-111.539,204.652,25.286,58.148,180.499,-63.747,0,-3.037,0,-66.784,0,7.068,7.068,-0.589,-0.589,-0.01,-1.456,5.013,118.728,3.104,-0.01
2012-09-30,89.503,45.24,18.225,63.465,-44.829,-95.576,87.061,-8.278,-60.783,93.399,-54.849,0,-5.332,0,-60.181,0,1.654,1.654,0.771,0.771,-4.39,-0.464,-2.429,30.789,2.852,-4.39
2012-06-30,99.606,42.728,2.992,45.72,-13.121,10.603,0.762,-6.695,30.64,175.966,-63.738,0,0,0,-63.738,0,-0.034,-0.034,-18.153,-18.153,-4.412,-5.119,-27.718,84.51,3.69,-4.412
2012-03-31,133.50600,55.79900,-10.63900,45.16000,-6.22100,-63.78600,84.15600,6.65600,56.75100,235.41700,-82.27500,,,,-82.27500,299.90400,-131.14700,168.75700,-0.62900,-0.62900,-8.78400,-6.30300,153.04100,306.18300,5.59000,-8.78400
2011-12-31,66.439,41.469,10.291,51.76,-8.518,66.563,67.069,4.873,99.366,217.867,-60.45,0,-4.963,0,-65.413,0,-168.0199,-168.0199,6.644,6.644,-0.013,0.907,-160.482,-8.028,5.321,-0.013
2011-09-30,105.553,41.507,24.511,66.018,-8.911,-17.808,15.402,8.079,-30.44,141.432,-55.824,0,-18.17,0,-73.994,0,32.4648,32.4648,-98.075,-98.075,-4.386,-0.333,-70.329,-2.891,4.24,-4.386
2011-06-30,113.107,40.434,14.685,55.119,-6.764,26.206,-4.027,-7.782,28.614,197.1,-62.705,0,0,0,-62.705,0,131.4511,131.4511,-243.37,-243.37,-4.454,-2.869,-119.242,15.153,4.032,-4.454
2011-03-31,109.58300,52.53900,18.66800,71.20700,8.82100,-254.24900,282.23400,33.67800,91.42500,272.45000,-87.86200,,,,-87.86200,,125.72900,125.72900,-275.29200,-275.29200,-9.70100,-30.86600,-190.13000,-5.54200,5.96000,-9.70100
2010-12-31,48.113,38.996,20.004,59,-8.496,-24.372,36.505,-21.804,-37.616,69.665,-52.389,0,0,0,-52.389,0,4.648,4.648,-135.362,-135.362,-0.024,-21.831,-152.569,-135.293,6.57,-0.024
2010-09-30,87.598,38.508,32.586,71.094,-0.846,-22.5,-10.636,-3.946,-57.858,100.994,-47.738,0,0,0,-47.738,0,-7.719,-7.719,-14.691,-14.691,-5.017,7.855,-19.572,33.684,4.398,-5.017
2010-06-30,100.911,37.25,4.008,41.258,-4.414,-71.443,80.462,-16.498,14.853,157.496,-38.641,0,0,0,-38.641,298.761,-62.143,236.618,-145.513,-145.513,-5.107,-177.321,-91.323,27.532,4.669,-5.107
2010-03-31,109.43100,49.68300,5.49000,55.17300,-17.91100,-113.68800,219.50800,33.83900,173.09600,338.00400,-60.58200,,,,-60.58200,,65.24200,65.24200,-284.71600,-284.71600,-10.90300,-13.77700,-244.15400,33.26800,6.67400,-10.90300
2009-12-31,34.479,36.061,17.153,53.214,0.433,25.2,6.582,-25.953,-16.536,71.24,-55.482,0,0,0,-55.482,0,-64.983,-64.983,-47.071,-47.071,-0.031,-19.87,-131.955,-116.197,6.236,-0.031
2009-09-30,61.979,35.288,49.982,85.27,-3.6,-21.313,83.705,0.634,47.314,194.646,-41.337,0,0,0,-41.337,0,-0.225,-0.225,-31.332,-31.332,-5.654,-26.274,-63.485,89.824,4.027,-5.654
2009-06-30,80.33,34.302,12.946,47.248,-1.874,45.582,-34.212,-1.578,13.31,141.082,-38.58,0,0,0,-38.58,0,-8.024,-8.024,2.258,2.258,-5.74,-15.507,-27.013,75.489,5.248,-5.74
2009-03-31,93.58500,45.26600,11.97900,57.24500,9.68400,-58.24800,118.86900,21.29100,141.89200,292.72200,-50.14000,,,,-50.14000,,-189.32800,-189.32800,11.48500,11.48500,-11.37800,-39.81700,-229.03800,13.54400,4.17100,-11.37800
