,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2014-12-31,-355.103,135.791,142.194,277.985,2.428,-2.531,279.415,202.297,-238.477,0,785.548,-1167.177,-381.629,0.195,-619.911,879.1129,879.1129,1.137,1.137,-83.266,-117.134,679.85,256.736,31.517,-83.266
2014-09-30,42.961,123.866,28.991,152.857,-50.889,6.89,20.623,216.441,-156.003,0,0,148.789,148.789,0.898,-6.316,-5.447,-5.575,-256.489,-256.489,0,5.825,-256.239,-54.153,27.662,0
2014-06-30,10.079,120.364,91.281,211.645,-24.51,1.516,-122.76,98.964,-159.816,0,0,250.737,250.737,0.582,91.503,-51.289,-51.161,-206.829,-206.829,0,-20.938,-278.928,-86.84,33.83,0
2014-03-31,41.33700,120.33700,19.93700,140.27400,-28.99500,26.02100,-9.89300,171.71800,-122.69800,,,221.65400,221.65400,-0.07100,98.88500,-14.56700,-14.56700,-32.73300,-32.73300,,10.01800,-37.28200,233.28000,24.98100,
2013-12-31,45.373,112.641,50.074,162.715,12.336,-6.939,-41.382,166.706,-201.488,-50.092,276.351,-257.71,18.641,-0.423,-233.362,-11.799,-11.799,-44.989,-44.989,0,-13.853,-70.641,-137.848,27.63,0
2013-09-30,42.753,115.801,22.622,138.423,3.469,0.925,25.386,206.562,-243.76,0.755,0,-89.219,-89.219,1.266,-330.958,-12.932,-12.932,12.202,12.202,0,-0.448,-1.178,-117.754,27.28,0
2013-06-30,-25.287,115.004,114.546,229.55,-19.098,6.811,-57.104,147.159,-125.823,0,-37.163,-138.43,-175.593,838.963,537.547,-772.296,-772.296,1.512,1.512,0,-79.25,-850.034,-167.523,24.194,0
2013-03-31,33.28400,112.89300,9.39400,122.28700,-24.66300,-16.38400,-71.39000,84.18100,-75.66700,,37.16300,-270.12800,-232.96500,-833.90800,-1142.54000,1482.43200,1482.43200,14.36800,14.36800,,-0.04000,1496.76000,432.80600,23.83600,
2012-12-31,46.611,108.789,0.777,109.566,20.299,-1.88,47.515,203.692,-235.064,45.407,0,-15.1621,-15.1621,0.899,-203.92,-12.754,-12.754,5.998,5.998,0,19.004,12.248,12.526,21.593,0
2012-09-30,24.082,111.78,-21.976,89.804,-12.359,-9.164,-6.327,107.559,-212.118,-278.441,0,-111.5739,-111.5739,-0.133,-602.266,8.104,8.104,13.666,13.666,0,51.927,73.697,-414.409,21.78,0
2012-06-30,37.64,100.464,22.915,123.379,-14.864,-14.006,33.763,194.782,-196.484,0,0,279.621,279.621,10.743,93.88,-263.209,-263.209,6.013,6.013,0,-7.52,-264.716,21.152,20.549,0
2012-03-31,34.81100,100.91100,23.07800,123.98900,-19.67700,36.16800,-32.80700,125.99300,-145.49000,,,346.36600,346.36600,68.55700,269.43300,-61.04600,-61.04600,17.09600,17.09600,,,-43.95000,354.12100,19.10300,
2011-12-31,16.865,101.727,25.524,127.251,3.238,-33.992,43.216,187.332,-193.944,0,-104.8,106.2,1.4,-1.792,-194.336,-21.15,0.123,-83.477,-83.477,0,-0.029,-83.383,-91.7,18.472,0
2011-09-30,20.639,98.953,22.778,121.731,-9.989,9.457,-0.5,141.87,-131.525,0,104.8,-782.029,-677.229,0.061,-878.693,769.739,748.466,11.107,11.107,0,-15.426,744.147,72.651,19.207,0
2011-06-30,30.733,93.547,22.699,116.246,-19.409,8.696,-6.631,140.348,-197.917,-41.954,0,30.979,30.979,-0.845,-139.737,52.909,52.909,8.929,8.929,0,0,61.838,-6.594,18.318,0
2011-03-31,25.14500,85.61900,18.78400,104.40300,3.09900,-1.27100,-11.77800,117.77000,-190.06600,,,-2.18500,-2.18500,-94.13800,-286.38900,10.58300,10.58300,15.66800,15.66800,,-0.12500,26.12600,-138.37500,15.53500,
2010-12-31,13.76,83.951,25.896,109.847,-1.4,-20.436,-0.716,122.891,-158.212,0,-24.778,200.95,176.172,-0.422,17.538,-85.179,-85.179,3.638,3.638,0,-4.448,-85.989,53.692,17.469,0
2010-09-30,11.196,80.458,20.917,101.375,-6.729,10.434,0.692,113.263,-143.941,0,24.778,-140.332,-115.554,0,-259.495,4.091,4.091,14.026,14.026,0,-0.005,18.112,-122.193,16.95,0
2010-06-30,-2.274,69.439,25.617,95.056,-25.671,-13.379,-35.876,56.906,-148.705,-113.289,-1.509,-63.478,-64.987,-0.474,-327.455,-255.577,-255.577,11.27,11.27,0,-7.926,-252.233,-527.96,18.096,0
2010-03-31,14.19900,54.24300,19.41800,73.66100,-6.08600,2.15200,11.95200,99.81200,-143.40000,,1.50900,110.77600,112.28500,-0.44200,-31.55700,634.10600,634.10600,10.88300,10.88300,,-15.19300,629.79600,693.24600,14.97400,
2009-12-31,17.722,49.053,42.791,91.844,2.3,-24.48,-27.056,82.51,-101.74,0,0,85.924,85.924,0.132,-15.684,-17.312,-17.312,13.956,13.956,0,0.434,-2.922,62.909,14.026,0
2009-09-30,18.812,50.987,14.182,65.169,1.003,7.882,23.558,107.539,-88.195,-28.176,0,-146.045,-146.045,1.867,-260.549,15.505,15.505,14.096,14.096,0,-0.797,28.804,-122.07,14.033,0
2009-06-30,17.44,48.168,14.535,62.703,-5.838,-2.249,-1.404,78.739,-70.766,0,0,-136.157,-136.157,2.863,-204.06,356.069,356.069,4.892,4.892,0,-59.62,301.341,183.168,13.459,0
2009-03-31,15.45700,44.11300,8.77000,52.88300,4.81200,7.27000,18.36400,86.70400,-108.84100,,,23.62000,23.62000,7.33600,-77.88500,-7.43500,-7.43500,4.06200,4.06200,,-0.25200,-3.62500,1.84200,11.53800,
