,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2020-06-30,-780,3265,-214,3051,0,0,0,-5086,-5086,-2815,-984,0,-9539,0,-9539,4757,-5766,-571,833,262,0,0,-2,-224,36,-8526,-2
2020-03-31,286.00000,3308.00000,-272.00000,3036.00000,,,,-1761.00000,-1761.00000,1561.00000,-1869.00000,,-9352.00000,,-9352.00000,4651.00000,-6570.00000,24524.00000,13.00000,24537.00000,,,-590.00000,-267.00000,23680.00000,18223.00000,-590.00000
2019-12-31,-192,3286,-269,3017,-563,-761,-492,4697,1521,3473,-3337,0,-2778,0,-2778,4907,-1208,-622,-1068,-1690,0,-6,-558,-78,-2332,44,-558
2019-09-30,2311,3309,-114,3195,0,0,0,1047,1047,6553,-2136,0,-4844,0,-4844,5429,-1551,-1483,-180,-1663,0,49,-608,89,-2133,2718,-608
2019-06-30,2403,3407,307,3714,0,0,0,-1041,-1041,5076,-2519,0,-7512,0,-7512,5602,-4429,-1094,-23,-1117,0,414,-558,-28,-1289,-600,-558
2019-03-31,2145.00000,4116.00000,-1026.00000,3090.00000,,,,-5316.00000,-5316.00000,-81.00000,-2702.00000,,-7214.00000,,-7214.00000,6205.00000,-3711.00000,980.00000,959.00000,1939.00000,,,-626.00000,-236.00000,1077.00000,-2715.00000,-626.00000
2018-12-31,2069,3646,-1889,1757,492,399,-537,2871,3882,6030,-3114,0,-8410,0,-8410,5336,-6188,3085,-509,2576,0,1109,-552,-291,2842,2638,-552
2018-09-30,2530,3313,-1388,1925,0,0,0,-782,-782,3673,-3349,0,-5510,0,-5510,4324,-4535,3076,1051,4127,0,492,-586,-76,3957,3087,-586
2018-06-30,2366,3129,583,3712,0,0,0,-973,-973,5105,-3781,0,-5686,0,-5686,3989,-5478,-185,524,339,0,1261,-538,-176,886,224,-538
2018-03-31,1110.00000,3581.00000,-740.00000,2841.00000,,,,-3503.00000,-3503.00000,448.00000,-4389.00000,,-3777.00000,,-3777.00000,3604.00000,-4562.00000,4502.00000,120.00000,4622.00000,,,-566.00000,-287.00000,3769.00000,-301.00000,-566.00000
2017-12-31,-4903,3177,6036,9213,1402,440,-362,3807,3046,6888,-4453,0,-4089,0,-4089,3731,-4811,1581,234,1815,-1498,-1498,-532,120,-95,1968,-532
2017-09-30,114,3147,1316,4463,0,0,0,-1696,-1696,2881,-5167,0,-3878,0,-3878,207,-8838,3214,39,3253,-1498,-513,-556,-45,2139,-3665,-556
2017-06-30,2433,3194,582,3776,0,0,0,-691,-691,5518,-5968,0,-4050,0,-4050,2900,-7118,7661,-53,7608,-1496,-1496,-572,-47,5493,3999,-572
2017-03-31,2686.00000,2743.00000,286.00000,3029.00000,,,,-3674.00000,-3674.00000,2041.00000,-5378.00000,,-3804.00000,,-3804.00000,2377.00000,-6805.00000,6139.00000,-360.00000,5779.00000,,,-573.00000,-159.00000,5047.00000,386.00000,-573.00000
2016-12-31,1895,2694,-1528,1166,-1249,-75,3195,-1067,1851,4018,-21022,-2,-7764,14959,7195,2185,-11644,6005,7,6012,-999,-999,-586,505,4932,-2959,-586
2016-09-30,2707,2534,-446,2088,0,0,0,1775,1775,6570,-1360,-3,-7567,-4814,-12381,2084,-11660,4177,5,4182,-1201,-1201,-594,-269,2118,-2975,-594
2016-06-30,2736,2299,1506,3805,0,0,0,-414,-414,6127,-658,-283,-273,-5034,-5307,549,-5699,4443,-1032,3411,0,0,-600,789,3600,3931,-600
2016-03-31,1931.00000,2292.00000,-1699.00000,593.00000,,,,-2632.00000,-2632.00000,-108.00000,-2285.00000,-516.00000,-2475.00000,-5111.00000,-7586.00000,3747.00000,-6640.00000,6684.00000,738.00000,7422.00000,-300.00000,-300.00000,-588.00000,-107.00000,6427.00000,-169.00000,-588.00000
2015-12-31,6201,1579,-4348,-2769,-16,-1209,1658,-426,-762,2300,-15490,1,-959,11036,10077,-2119,-7531,5585,-548,5037,-632,-632,-564,1423,5264,-336,-564
2015-09-30,1341,1894,-478,1416,0,0,0,551,551,3308,-1835,0,-5619,-4532,-10151,3130,-8856,4412,689,5101,-889,-889,-592,-30,3590,-2194,-592
2015-06-30,1140,2257,1418,3675,0,0,0,971,971,5786,-1805,123,-3082,-4252,-7334,3161,-5855,5035,-300,4735,-1699,-1699,-598,-43,2395,1851,-598
2015-03-31,908.00000,1757.00000,-322.00000,1435.00000,,,,-1968.00000,-1968.00000,375.00000,-1684.00000,-1051.00000,-3370.00000,-2252.00000,-5622.00000,2889.00000,-5468.00000,3046.00000,98.00000,3144.00000,-300.00000,-300.00000,-488.00000,3.00000,2359.00000,-3178.00000,-488.00000
2014-12-31,4018,7238,-1516,5722,-1248,-309,19,-4159,247,3167,-6245,-2,-3628,3169,-459,2772,-3934,5527,1327,6854,-3109,-3109,-1384,-46,2315,1108,-1384
2014-09-30,0,0,0,0,0,0,0,0,0,1088,-1664,-1,-3736,-1367,-5103,2943,-3825,3349,-1195,2154,-168,-168,-588,-56,1342,-1804,-588
2014-06-30,0,0,0,0,0,0,0,0,0,3830,-1666,-50,-4673,-1182,-5855,2808,-4763,2054,-125,1929,0,0,-622,-7,1300,438,-622
2014-03-31,0.00000,,,,,,,,,1976.00000,-1759.00000,,-3106.00000,-620.00000,-3726.00000,2648.00000,-2837.00000,919.00000,384.00000,1303.00000,,,-571.00000,-14.00000,718.00000,-595.00000,-571.00000
2013-12-31,5331,8041,1325,9366,8,59,-485,-1531,-1326,3058,-1785,-512,-4363,440,-3923,2447,-3773,496,87,583,0,0,-168,-3,412,-334,-168
2013-09-30,0,0,0,0,0,0,0,0,0,3860,-1947,0,-4550,-591,-5141,2300,-4788,5012,-29,4983,-2438,-2438,-1045,-34,1466,658,-1045
2013-06-30,0,0,0,0,0,0,0,0,0,4893,-1893,-2111,-2555,-647,-3202,1915,-5291,484,-452,32,0,0,-256,-90,-314,-946,-256
2013-03-31,0.00000,,,,,,,,,819.00000,-1940.00000,,766.00000,-560.00000,206.00000,1224.00000,-510.00000,1858.00000,550.00000,2408.00000,,,-218.00000,-23.00000,2167.00000,2221.00000,-218.00000
2012-12-31,6136,38762,-35712,3050,-460,-326,162,58,630,781,-2064,-10,170,-213,-43,2893,776,-1004,-26,-1030,-5098,-5098,-260,-76,-6464,-4898,-260
2012-09-30,0,0,0,0,0,0,0,0,0,3383,-1945,-88,-808,-212,-1020,-403,-3456,1462,-65,1397,0,0,-220,-20,1157,1136,-220
2012-06-30,0,0,0,0,0,0,0,0,0,3942,-2065,-2,1632,-303,1329,1205,467,864,-10,854,0,0,-242,-18,594,4806,-242
2012-03-31,0.00000,,,,,,,,,2499.00000,-1994.00000,56.00000,-214.00000,-304.00000,-518.00000,1164.00000,-1292.00000,337.00000,-146.00000,191.00000,,,-217.00000,-2.00000,-28.00000,1307.00000,-217.00000
2011-12-31,9287,7587,-5252,2335,-1572,-2760,2139,-842,-4122,1442,-2178,-28,-8923,2960,-5963,1933,-6236,581,-38,543,0,0,-267,22,298,-4533,-267
2011-09-30,0,0,0,0,0,0,0,0,0,2037,-1573,-17,2428,-3344,-916,1189,-1317,-311,-47,-358,0,0,-214,-4,-576,-393,-214
2011-06-30,0,0,0,0,0,0,0,0,0,5064,-1176,-7,-4980,-117,-5097,1054,-5226,-131,97,-34,0,0,-214,-39,-287,-311,-214
2011-03-31,0.00000,,,,,,,,,-377.00000,-1322.00000,-1.00000,-4158.00000,4485.00000,327.00000,1035.00000,39.00000,427.00000,119.00000,546.00000,,,-221.00000,-118.00000,207.00000,52.00000,-221.00000
2010-12-31,6589,7086,-5933,7086,-641,-2229,2257,-324,-966,-1539,-900,-3521,-491,355,-125,1633,-2913,-3073,-1014,-2990,3395,3395,-964,-165,-1821,-6210,-964
2010-09-30,0,0,0,0,0,0,0,0,0,2624,-1261,-9,-1236,55,-1181,187,-2264,-95,140,45,0,0,-203,0,-158,693,-203
2010-06-30,0,0,0,0,0,0,0,0,0,3845,-1011,0,-4624,-1,-4625,11595,5959,-5702,-143,-5845,0,0,-202,-6,-6053,3463,-202
2010-03-31,0.00000,,,,,,,,,1850.00000,-840.00000,-50.00000,-12.00000,-103.00000,-115.00000,1456.00000,451.00000,-1455.00000,-80.00000,-1535.00000,,,-203.00000,,-1738.00000,631.00000,-203.00000
2009-12-31,105217,15421,0,15421,0,0,0,0,-9496,1064,-5274,-2127,0,0,-816,-10761,2156,0,-2716,48771,0,0,-97,-1384,345,9017,0
