,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2019-06-30,261.651,72.131,-25.908,46.223,-116.411,4.741,-55.347,252.527,-17.469,-250.926,0,0,0,-268.395,-0.437,95.486,95.049,26.453,26.453,0,-0.13,121.372,116.055,18.306
2019-03-31,172.10700,68.65000,46.09500,114.74500,-302.39500,-13.87300,10.64200,297.49400,-14.50600,,,,,-14.50600,23.56200,-322.60600,-299.04400,26.47300,26.47300,,-0.34700,-272.91800,7.67800,12.54100
2018-12-31,302,68.538,-101.732,-33.194,481.835,-13.542,79.196,348.002,-25.075,81.691,0,0,-11.583,45.033,-76.375,429.2229,352.8479,-570.687,-570.687,0,-3.644,-221.483,176.343,15.732
2018-09-30,157.694,68.623,44.977,113.6,-121.332,-3.682,8.997,280.291,-21.698,0.012,0,0,0,-21.686,-42.5,-227.6491,-270.1491,18.824,18.824,0,-0.247,-251.572,3.112,20.702
2018-06-30,176.852,69.949,31.909,101.858,-231.375,-60.831,-204.323,74.387,-19.4,0.064,0,0,-7.55,-26.886,75.5,201.626,277.126,-282.836,-282.836,0,-0.057,-5.767,-37.063,19.102
2018-03-31,174.93700,72.84100,21.51400,94.35500,-288.15200,24.97300,-68.59000,200.70200,-15.21400,-3.87500,,,-3.64200,-22.73100,-16.50000,-14.08400,-30.58400,-68.31700,-68.31700,,-0.09200,-98.99300,91.63100,14.40300
2017-12-31,282.697,67.37,-175.656,-108.286,9.008,107.171,74.052,248.463,-20.634,-102.959,0,0,-32.626,-156.219,-17.5,-3.4001,-20.9001,24.497,24.497,0,-1.758,1.839,112.599,24.4
2017-09-30,202.823,70.767,-96.448,-25.681,-59.815,-68.198,46.71,223.852,-16.859,-282.217,0,0,0,-299.076,511.725,163.648,675.373,-346.239,-346.239,0,-11.23,317.904,252.654,24.654
2017-06-30,130.987,66.596,8.957,75.553,-143.632,-14.702,-72.295,134.245,-17.804,-3.58,0,0,0,-21.384,31.638,-67.346,-35.708,-51.191,-51.191,0,0,-86.899,30.624,21.15
2017-03-31,123.69300,66.77900,35.00500,101.78400,-236.56400,-19.12600,-151.97900,73.49800,-14.79600,,,,-6.32700,-21.12300,51.63700,-48.31000,3.32700,15.23000,15.23000,,0.53700,19.09400,91.22300,23.09300
2016-12-31,95.424,63.422,58.782,122.204,188.459,24.106,86.304,303.932,-17.134,-0.906,0,0,0,-18.04,-98.375,25.509,-72.866,-149.575,-149.575,0,-0.003,-222.444,70.843,13.921
2016-09-30,129.618,59.001,16.37,75.371,-134.71,-38.707,-12.745,192.244,-17.12,-1325.78,0,0,9.279,-1333.621,509.625,589.355,1098.98,1.201,1.201,0,-2.279,1097.902,-87.65,17.405
2016-06-30,116.253,50.265,9.792,60.057,-209.784,-10.404,-86.891,89.419,-13.018,-1.207,0,0,-2.954,-17.179,136.125,-80,56.125,-18.46,-18.46,0,-0.647,37.018,93.767,17.434
2016-03-31,111.09000,38.15000,21.87200,60.02200,-182.76100,9.96100,-48.48900,122.62300,-11.73900,-4.09200,,,-4.91400,-20.74500,-88.87500,-70.00000,-158.87500,0.38700,0.38700,,-0.01900,-158.50700,-47.83400,15.18600
2015-12-31,52.83,49.771,152.319,202.09,111.327,-57.86,-24.788,230.132,-12.349,-39.83,0,0,-0.688,-52.867,-76.875,-74.945,-151.82,5.949,5.949,0,0.07,-145.801,24.762,45.735
2015-09-30,116.77,50.304,36.81,87.114,162.218,-12.545,122.156,326.04,-13.292,-1.285,0,0,-7.782,-22.359,-124.875,-145.042,-269.917,6.872,6.872,0,14.117,-248.928,38.215,13.887
2015-06-30,98.678,50.6,1.041,51.641,-119.143,-5.808,-19.31,131.009,-8.129,-7.103,0,0,0,-15.232,59.125,-177.506,-118.381,4.534,4.534,0,3.152,-110.695,4.782,13.549
2015-03-31,94.15300,49.82600,8.63300,58.45900,-114.38500,-0.97800,-85.20900,67.40300,-8.10500,-0.85100,,,,-8.95600,-21.87500,-89.87100,-111.74600,2.57100,2.57100,,-33.46600,-142.64100,-97.67600,16.95100
2014-12-31,109.54,38.74,53.816,92.556,384.407,14.828,88.746,290.842,-8.791,-2133.859,0,0,-171.239,-2313.889,2023.091,227.7751,2250.866,7.719,7.719,0,-40.127,2218.458,172.96,11.357
2014-09-30,95.509,25.714,12.707,38.421,59.725,-24.502,25.841,159.771,-6.727,-72.069,0,0,0,-78.796,14.384,-120.53,-106.146,13.645,13.645,0,34.526,-57.975,6.467,7.993
2014-06-30,88.549,24.429,17.334,41.763,-44.483,-3.928,-24.085,106.227,-5.968,-170.558,0,0,0,-176.526,24.025,52.527,76.552,3.765,3.765,0,2.358,82.675,14.268,7.687
2014-03-31,75.10900,24.41800,16.76900,41.18700,-153.18400,-21.28800,-64.80200,51.49400,-5.58400,-19.29200,,,,-24.87600,37.62500,-138.38900,-100.76400,4.51200,4.51200,,15.35900,-80.89300,-54.73100,10.61200
2013-12-31,68.12,24.158,18.104,42.262,139.362,-4.426,57.292,167.674,-5.437,-351.372,0,0,0,-356.809,-51.875,396.3491,344.4741,7.638,7.638,0,-169.992,182.12,-7.584,14.235
2013-09-30,78.62,18.061,7.326,25.387,6.631,-17.744,21.292,125.299,-5.24,-220.015,0,0,0,-225.255,-14.875,135.887,121.012,10.289,10.289,0,12.22,143.521,52.784,4.382
2013-06-30,73.099,15.889,7.05,22.939,1.485,-7.894,0.364,96.402,-5.346,-62.183,0,0,0,-67.529,10.125,23.074,33.199,7.255,7.255,0,6.039,46.493,68.292,3.897
2013-03-31,64.66200,14.62900,7.61000,22.23900,-192.48300,41.79100,-100.59100,-13.69000,-4.76200,-94.77300,,,,-99.53500,79.50000,-25.00000,54.50000,5.25600,5.25600,,3.83500,63.59100,-59.03600,4.16200
2012-12-31,60.071,15.116,4.258,19.374,107.613,-11.423,22.884,102.329,-5.477,-0.628,0,0,0,-6.105,186.078,-107.874,78.204,-194.204,-194.204,0,1.837,-114.163,-16.412,4.988
2012-09-30,59.648,13.591,14.997,28.588,-61.39,-20.669,-18.307,69.929,-5.203,-154.329,0,0,0,-159.532,14.008,94.138,108.146,9.807,9.807,0,8.297,126.25,44.482,6.494
2012-06-30,54.401,11.608,9.805,21.413,66.651,1.465,1.322,77.136,-4.868,-35.48,0,0,0,-40.348,-19.75,-52.098,-71.848,3.847,3.847,0,5.753,-62.248,-31.54,3.959
2012-03-31,42.07900,11.72100,8.77400,20.49500,-183.97600,-50.04000,-176.50800,-113.93400,-3.56300,-0.01000,,,,-3.57300,57.25000,38.96000,96.21000,7.73700,7.73700,,8.20200,112.14900,1.96000,3.83400
2011-12-31,37.772,9.924,9.69,19.614,60.467,-2.925,151.722,209.108,-5.046,-311.83,0,0,0,-316.876,126.25,125,251.25,3.411,3.411,0,5.557,260.218,147.875,6.121
2011-09-30,40.514,9.052,8.37,17.422,13.917,19.633,10.127,68.063,-2.492,-21.148,0,0,0,-23.64,-15.75,0,-15.75,4.211,4.211,0,6.246,-5.293,36.084,3.639
2011-06-30,36.714,8.588,15.01,23.598,-21.773,0.704,-49.064,11.248,-3.322,-0.785,0,0,0,-4.107,-21.736,0,-21.736,0.371,0.371,0,-6.331,-27.696,-18.579,7.842
2011-03-31,32.33500,8.60700,7.64800,16.25500,-132.63500,-8.91400,-57.38400,-8.79400,-2.59400,,,,,-2.59400,8.27100,,8.27100,0.48400,0.48400,,0.23700,8.99200,4.97500,4.14100
2010-12-31,17.508,8.502,27.243,-5.941,21.341,0.811,-20.359,32.898,-4.116,-3.804,0,0,0,-7.92,-30.034,0,43.95,9.618,9.61,-7.63,-63.283,-17.353,4.028,24.302
2010-09-30,33.398,8.924,2.15,11.074,4.411,-11.685,9.902,54.374,-2.097,0.62,0,0,0,-1.477,-25.752,0,-25.752,0.026,0.026,0,0,-25.726,38.644,0.715
2010-06-30,29.639,8.26,5.453,13.713,-16.327,7.893,-33.667,9.685,-2.833,-6.836,0,0,0,-9.669,-8.217,0,-8.217,0.133,0.133,0,0,-8.084,-14.228,0.885
2010-03-31,27.34500,8.05400,6.84000,14.89400,-48.38500,-5.53300,0.55400,42.79300,-2.14400,,,,,-2.14400,-34.63100,,-34.63100,0.32100,0.32100,,-1.06700,-35.37700,1.65600,0.85300
2009-12-31,89.05,28.64,0,28.64,0,0,21.03,178.79,-9.67,-231.09,0,0,0,-240.77,0,0,-21.72,0,93.96,0,0,72.23,14.34,0
