,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2016-12-31,164.3,130.6,71.1,201.7,79.3,-4.8,47.6,-11.6,104.1,470.1,-67.4,0,-151.8,13.5,-13.9,-0.4,0,-219.6,-290.9,0,-290.9,-40.7,-40.7,0,-37.7,-369.3,-134,27.7,0
2016-09-30,179.8,122.4,19.5,141.9,-18.9,-5.4,-2,-32.2,-71.8,249.9,-63.6,0,-252.7,-12.7,11.3,-1.4,0,-317.7,-20.8,0,-20.8,26.7,26.7,0,0.8,6.7,-72,24.3,0
2016-06-30,204.4,124.9,23.9,148.8,-29.5,-1.8,-20.2,38.8,-3.7,349.5,-48.2,0,-50.8,12.7,-20.5,-7.8,0,-106.8,-340.2,0,-340.2,28.8,28.8,0,3.7,-307.7,-56.7,25.8,0
2016-03-31,164.40000,122.90000,41.80000,164.70000,-120.50000,2.40000,-34.10000,-2.70000,-201.50000,127.60000,-68.90000,,-93.30000,,10.60000,10.60000,,-151.60000,-1.50000,,-1.50000,11.90000,11.90000,,-11.10000,-0.70000,-20.10000,31.80000,
2015-12-31,110.2,118.8,34.8,153.6,24.2,-9.8,55,42.5,120.8,384.6,-85,0,-43.3,0,-0.3,-0.3,0,-128.6,-252.3,0,-252.3,9.7,9.7,0,3,-239.6,3.4,24.4,0
2015-09-30,155,121.1,15.4,136.5,-34.4,0.1,9.5,7.7,-3.5,288,-67.8,0,-8.3,8,-14.6,-6.6,0,-82.7,-126.1,0,-126.1,33.2,33.2,0,6.2,-86.7,94,23.7,0
2015-06-30,170.4,116.8,6.2,123,-12.7,5.3,15.1,11.1,103.3,396.7,-68.9,0,-62.2,-8,6.8,-1.2,0,-132.3,-146,0,-146,25.5,25.5,0,1.7,-118.8,172.6,27.7,0
2015-03-31,3.10000,103.10000,56.00000,159.10000,-65.80000,4.20000,-48.90000,6.40000,-249.10000,-86.90000,-33.50000,,-3622.20000,8.00000,-3.60000,4.40000,,-3651.30000,3633.80000,,3633.80000,30.50000,30.50000,,-34.60000,3629.70000,-133.60000,26.30000,
2014-12-31,119.9,64,42.8,106.8,28.6,1,-5,-14.6,-13,213.7,-45.8,0,-94.1,0,-7.4,-7.4,0,-147.3,-2.9,0,-2.9,-30.5,-30.5,0,-25.4,-58.8,4.3,10.6,0
2014-09-30,137.5,58.9,9.2,68.1,-11.7,-4.7,9.5,-22.6,-30,175.6,-52,0,0.4,0,-4,-4,0,-55.6,-1.3,0,-1.3,-18.4,-18.4,0,1.3,-18.4,96.2,11.5,0
2014-06-30,141.7,63.4,-10.3,53.1,-8.8,0.5,1.4,12.1,12.6,207.4,-48,0,0,0,8.9,8.9,0,-39.1,-9.2,0,-9.2,-14,-14,0,-2.2,-25.4,140.6,11.9,0
2014-03-31,113.50000,61.20000,13.40000,74.60000,-39.20000,2.90000,-27.10000,12.20000,-45.80000,142.30000,-56.30000,,-65.70000,,13.90000,13.90000,,-108.10000,-6.90000,,-6.90000,-91.30000,-91.30000,,0.20000,-98.00000,-65.10000,11.70000,
2013-12-31,126.7,60.3,34.2,94.5,28,-9.7,35.6,-27,27.5,248.7,-59.1,0,-50.5,0,-3.2,-3.2,0,-112.8,327.4,0,327.4,-224.7,-224.7,0,-7.3,95.4,229.9,8.4,0
2013-09-30,148.7,58.5,3.8,62.3,4.2,0.1,8.3,-4.4,23.2,234.2,-51.9,0,-2.8,7.5,0,7.5,0,-47.2,147,0,147,-268.8,-268.8,0,-5,-126.8,62.8,6.8,0
2013-06-30,152.4,57.5,26.2,83.7,-23.9,-2.5,6.8,-7.9,-98.5,137.6,-48.6,0,-88.5,2.3,-3.3,-1,0,-138.1,186.6,0,186.6,-263,-263,0,2.3,-74.1,-74.5,10.8,0
2013-03-31,147.60000,56.10000,21.20000,77.30000,-75.80000,-3.20000,10.10000,7.00000,-26.70000,198.20000,-41.50000,,-17.70000,-2.30000,,-2.30000,,-61.50000,-332.90000,,-332.90000,-85.10000,-85.10000,,5.20000,-412.80000,-281.00000,11.30000,
2012-12-31,120.6,60.1,16.8,76.9,49.8,-2,-10.6,3.6,56.7,254.2,-61.1,-0.4,-49.3,0,-11.1,-11.1,0,-121.9,-5.7,0,-5.7,-125.3,-125.3,0,0.3,-130.7,0.8,5.9,0
2012-09-30,148.4,58.3,22.2,80.5,-14.2,-1,3.9,-8,-25.1,203.8,-42.7,-0.1,-257.9,0,-10,-10,0,-310.7,550,0,550,-96.2,-96.2,0,-7.2,446.6,341.6,11.1,0
2012-06-30,153.8,56.7,27,83.7,15.5,-7.2,9,1.7,-51.2,186.3,-33.1,-1,-26.4,0,-4.9,-4.9,0,-65.4,-12.3,0,-12.3,-113.1,-113.1,0,0.3,-125.1,-5.5,11.9,0
2012-03-31,162.00000,57.40000,33.10000,90.50000,-50.50000,3.90000,-32.30000,9.80000,-55.40000,197.10000,-33.70000,-1.00000,-1.50000,,,,,-36.20000,-100.20000,,-100.20000,-96.10000,-96.10000,,4.70000,-191.60000,-29.40000,11.80000,
2011-12-31,138.2,58.5,32.6,91.1,28.8,-5.2,32.1,-0.7,49.3,278.6,-30,0,-91.3,0,0,0,0,-121.3,236.6,0,236.6,-168,-168,0,-152,-83.4,73.5,11.7,0
2011-09-30,137.6,58.4,20.3,78.7,-7.5,1.8,16.5,-14.2,-39.5,176.8,-39.9,0,-1.8,0,0,0,0,-41.7,-20.2,-6,-26.2,-137.6,-137.6,0,-2.9,-166.7,-33.1,11.7,0
2011-06-30,126.7,58.9,-4.5,54.4,10.1,-8.3,-14.7,8,3.8,184.9,-43.1,0,-29.7,0,0,0,0,-72.8,-202.4,6,-196.4,3.7,3.7,0,4.9,-187.8,-76.5,12.4,0
2011-03-31,130.60000,59.50000,11.30000,70.80000,-68.50000,5.60000,-42.60000,16.70000,13.90000,215.30000,-29.00000,0.00000,-15.50000,,,,,-44.50000,15.00000,,15.00000,-223.60000,-223.60000,,1.50000,-207.10000,-35.30000,13.10000,
2010-12-31,135.1,54.3,32.9,87.2,23.7,-8.1,59,-24.9,36.9,259.2,-31.9,0,-963.1,0,0,0,0,-995,841,0,841,39,39,0,-11.1,868.9,133.8,10.5,0
2010-09-30,143.1,52.1,6.2,58.3,-12,-1.5,-18,0.4,-25.2,176.2,-32.8,0,-45.8,0,-10,-10,0,-88.6,21.8,0,21.8,-114.2,-114.2,0,-2.8,-95.2,-6.9,10.1,0
2010-06-30,157.2,51.5,4.6,56.1,1.4,-3.9,23.9,6,2.9,216.2,-33.7,-0.4,-143.3,0,0,0,0,-177.4,-6.8,0,-6.8,-97.3,-97.3,0,-1.4,-105.5,-68.4,10.7,0
2010-03-31,136.20000,51.50000,19.60000,71.10000,-38.40000,7.70000,-14.80000,5.00000,24.70000,232.00000,-22.90000,,-33.60000,,,,,-56.50000,-68.80000,,-68.80000,-82.20000,-82.20000,,-1.90000,-152.90000,23.70000,8.70000,
2009-12-31,145.8,51.3,13.5,64.8,60,-7.6,8.4,-5.5,14.1,224.7,-37.6,0,-46.6,0,0,0,0,-84.2,-8.4,0,-8.4,-107.2,-107.2,0,-3.2,-118.8,21.7,10.3,0
2009-09-30,134.6,50.9,11.3,62.2,36.2,-8.6,8.5,-5.2,49.6,246.4,-22,0,-160.9,0,0,0,0,-182.9,-12.5,0,-12.5,-149.2,-149.2,0,-2.4,-164.1,-99.8,9.3,0
2009-06-30,139.4,51.1,7.6,58.7,16.2,4.2,-9.2,2.9,-15.7,182.4,-23.5,0,-2.1,0,0,0,0,-25.6,-303.4,-1.1,-304.5,2.5,2.5,0,-2.9,-304.9,-146.6,9.6,0
2009-03-31,135.80000,50.10000,18.40000,68.50000,-38.40000,7.70000,15.10000,13.70000,4.60000,208.90000,-30.70000,,-6.30000,,-4.30000,-4.30000,,-41.30000,-12.50000,-3.90000,-16.40000,5.70000,5.70000,,-2.40000,-13.10000,153.50000,7.20000,
