,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2020-06-30,-3820,4294,-295,3999,773,-155,1021,-368,210,-458,-28,234,0,0,3348,3096,756,-1382,-626,4,4,-724,-1026,-2372,950,72,-724
2020-03-31,492.00000,728.00000,325.00000,1053.00000,390.00000,-395.00000,-666.00000,-59.00000,1132.00000,-325.00000,-78.00000,,,,-637.00000,-1040.00000,-13810.00000,-663.00000,-14473.00000,-41.00000,-41.00000,-614.00000,16168.00000,1040.00000,1064.00000,63.00000,-614.00000
2019-12-31,731,686,38,724,126,-11,46,102,1325,-746,-92,-9,0,0,-97,-944,-2102,1061,-1041,-27,-27,-612,1251,-429,-46,76,-612
2019-09-30,1011,692,-144,548,-774,-461,-231,-78,1727,-444,-90,1,0,0,-96,-629,-599,223,-376,-39,-39,-611,609,-417,667,74,-611
2019-06-30,564,388,-81,307,-113,-98,-258,-99,1269,-315,-82,19,0,0,-331,-709,-17,-39,-56,-34,-34,-610,710,10,557,54,-610
2019-03-31,1425.00000,942.00000,-73.00000,869.00000,849.00000,-697.00000,-41.00000,-477.00000,1500.00000,-363.00000,-87.00000,114.00000,,,-58.00000,-394.00000,6.00000,-349.00000,-343.00000,-24.00000,-24.00000,-609.00000,-101.00000,-1077.00000,28.00000,64.00000,-609.00000
2018-12-31,-3450,130,880,1010,1232,574,-661,839,-1647,-345,-98,-15887,0,0,90,-16240,-499,-1598,-2097,-250,-250,-564,4281,1370,-7206,-12,-564
2018-09-30,1349,593,85,678,-718,-29,-454,-167,1762,-413,-121,-38,0,0,-209,-781,10979,586,11565,7,7,-536,14,11050,2731,64,-536
2018-06-30,2139,592,-730,-138,-521,-331,-121,461,2102,-372,-103,1050,0,0,163,738,1312,-24,1288,-26,-26,-535,-28,699,3401,62,-535
2018-03-31,1368.00000,581.00000,-124.00000,457.00000,-1140.00000,-631.00000,186.00000,-1009.00000,453.00000,-337.00000,-78.00000,-90.00000,,,-471.00000,-976.00000,-975.00000,666.00000,-309.00000,-20.00000,-20.00000,-535.00000,-46.00000,-910.00000,-1351.00000,55.00000,-535.00000
2017-12-31,486,558,-812,-254,603,175,-283,1781,2521,-800,-90,-2,0,0,-469,-1361,893,-671,222,-17,-17,-533,-372,-700,462,47,-533
2017-09-30,1434,543,271,814,-100,-183,-1878,-1733,-29,-443,-95,-10,0,0,-120,-668,55,368,423,-57,-57,-533,-74,-241,-822,49,-533
2017-06-30,1532,527,442,969,-683,-412,15,-112,2146,-446,-94,-49,0,0,-262,-851,2429,-535,1894,-426,-426,-503,-88,877,2189,49,-503
2017-03-31,1468.00000,512.00000,-90.00000,422.00000,-268.00000,-654.00000,-67.00000,-521.00000,993.00000,-325.00000,-101.00000,-100.00000,596.00000,596.00000,-209.00000,-139.00000,-27.00000,567.00000,540.00000,-922.00000,-922.00000,-505.00000,-42.00000,-929.00000,-33.00000,47.00000,-505.00000
2016-12-31,1124,506,165,671,-305,91,-102,-640,1845,-656,-87,-112,0,0,245,-610,1736,-268,1468,-1719,-1719,-508,-226,-985,50,40,-508
2016-09-30,1534,496,69,565,43,-344,-22,-121,1961,-394,-102,101,0,0,-124,-519,-41,115,74,-491,-491,-526,-174,-1117,322,16,-526
2016-06-30,1525,494,123,617,-569,-156,26,3,1808,-363,-101,-425,0,0,2,-887,-2,-484,-486,-33,-33,-526,-71,-1116,-430,48,-526
2016-03-31,1253.00000,466.00000,-44.00000,422.00000,-110.00000,-310.00000,-156.00000,-706.00000,798.00000,-286.00000,-98.00000,-63.00000,,,-46.00000,-493.00000,2324.00000,306.00000,2630.00000,2.00000,2.00000,-509.00000,-93.00000,2030.00000,95.00000,48.00000,-509.00000
2015-12-31,-177,462,1135,1597,-8,304,-9,865,2711,-608,-106,-181,0,0,-483,-1378,-24,-2096,-2120,-5998,-5998,-541,-256,-8915,1343,50,-541
2015-09-30,1526,486,125,611,-12,-497,28,-988,1022,-390,-84,-67,0,0,-379,-920,2,246,248,113,113,-547,-134,-320,-341,16,-547
2015-06-30,1572,457,228,685,-61,-115,-181,-475,1376,-331,-115,-18,0,0,-238,-702,-7,468,461,2,2,-543,-78,-158,544,46,-543
2015-03-31,1435.00000,458.00000,199.00000,657.00000,-357.00000,-458.00000,-40.00000,-318.00000,1646.00000,-323.00000,-132.00000,-72.00000,,,733.00000,206.00000,9.00000,2177.00000,2186.00000,-2976.00000,-2976.00000,-553.00000,-40.00000,-1383.00000,39.00000,46.00000,-553.00000
2014-12-31,1380,468,204,672,63,207,-311,-173,1957,-531,-134,76,0,0,14,-575,15,-209,-194,-349,-349,-510,-123,-1176,152,32,-510
2014-09-30,1992,417,264,681,360,-52,-130,70,1945,-324,-151,-206,0,0,162,-519,-48,-156,-204,-407,-407,-512,-107,-1230,68,69,-512
2014-06-30,1790,468,50,518,-246,-79,-102,-538,1742,-406,-166,-34,0,0,175,-431,-179,219,40,-308,-308,-512,-68,-848,485,58,-512
2014-03-31,1306.00000,467.00000,104.00000,571.00000,-66.00000,-712.00000,-89.00000,-605.00000,1335.00000,-333.00000,-142.00000,106.00000,,,-73.00000,-442.00000,6.00000,-200.00000,-194.00000,-249.00000,-249.00000,-514.00000,-38.00000,-995.00000,-142.00000,60.00000,-514.00000
2013-12-31,1132,400,361,761,-278,996,-154,510,2423,-522,-175,64,0,0,-91,-724,-980,91,-889,-158,-158,-513,-145,-1705,-14,34,-513
2013-09-30,1526,452,65,517,84,-487,50,-200,1543,-383,-247,112,0,0,-189,-707,-571,98,-473,-216,-216,-465,-85,-1239,-288,83,-465
2013-06-30,1645,439,91,530,-491,-228,124,-66,1939,-369,-143,511,0,0,-230,-231,-1178,27,-1151,-266,-266,-465,-86,-1968,142,63,-465
2013-03-31,1352.00000,444.00000,1.00000,445.00000,209.00000,-746.00000,-56.00000,-198.00000,1409.00000,-295.00000,-157.00000,722.00000,,,69.00000,339.00000,-46.00000,-329.00000,-375.00000,-182.00000,-182.00000,-465.00000,3.00000,-1019.00000,-69.00000,70.00000,-465.00000
2012-12-31,967,477,454,931,-571,623,-333,-178,1954,-641,-149,45,0,0,-55,-800,-741,-4723,-5464,62,62,-464,-99,-5965,-1423,60,-464
2012-09-30,1341,422,-137,285,144,-113,-43,-48,1625,-317,-150,-15721,0,0,10465,-5723,14,4927,4941,322,322,-463,-191,4609,276,54,-463
2012-06-30,1558,307,-110,197,-214,-328,-45,88,1703,-244,-1244,95,0,0,-10769,-12162,10847,-14,10833,18,18,-413,-224,10214,-319,49,-413
2012-03-31,1264.00000,318.00000,193.00000,511.00000,476.00000,-721.00000,-13.00000,-189.00000,1323.00000,-187.00000,0.00000,-20.00000,,,97.00000,-110.00000,-63.00000,-404.00000,-467.00000,120.00000,120.00000,-412.00000,-78.00000,-837.00000,325.00000,47.00000,-412.00000
2011-12-31,1138,301,-29,272,-155,550,6,261,1910,-359,0,-16,0,0,-9,-384,-507,-568,-1075,30,30,-410,-138,-1593,-6,42,-410
2011-09-30,1384,324,-73,251,40,-98,-6,239,1907,-199,0,192,0,0,21,14,10,-32,-22,-647,-647,-411,-211,-1291,570,55,-411
2011-06-30,1403,322,200,522,-541,35,46,-519,1323,-200,0,18,0,0,82,-100,-27,936,909,-694,-694,-413,-30,-228,956,74,-413
2011-03-31,1054.00000,316.00000,143.00000,459.00000,-41.00000,-817.00000,-70.00000,-272.00000,1320.00000,-171.00000,,-57.00000,,,26.00000,-202.00000,-33.00000,226.00000,193.00000,-638.00000,-638.00000,-368.00000,-58.00000,-871.00000,357.00000,50.00000,-368.00000
2010-12-31,1537,292,-1187,-895,-144,673,725,1244,1490,-359,0,-186,0,0,81,-464,1,-2023,-2022,-381,-381,-368,-61,-2832,-1648,36,-368
2010-09-30,1198,342,-126,216,383,-279,-458,-10,1676,-177,0,-115,0,0,-35,-327,-496,708,212,-445,-445,-370,-110,-713,734,24,-370
2010-06-30,1110,339,256,595,-405,-142,-229,-464,1400,-155,0,-169,0,0,89,-235,-1106,1214,108,-587,-587,-371,-63,-913,209,43,-371
2010-03-31,866.00000,327.00000,143.00000,470.00000,-147.00000,-511.00000,-58.00000,-194.00000,1154.00000,-147.00000,,-2067.00000,,,90.00000,-2124.00000,2212.00000,-40.00000,2172.00000,-401.00000,-401.00000,-373.00000,-80.00000,1318.00000,339.00000,45.00000,-373.00000
2009-12-31,1423,333,-1066,-733,-26,550,688,1414,1475,-325,0,-95,0,0,47,-373,-10,-690,-700,-190,-190,-338,-55,-1283,-183,43,-338
2009-09-30,1058,316,583,899,160,465,-616,-153,1853,-161,0,-297,0,0,254,-204,-89,-320,-409,-319,-319,-339,-56,-1123,616,32,-339
2009-06-30,899,303,-208,95,496,184,-16,522,1540,-173,0,-31,0,0,-102,-306,-374,343,-31,-85,-85,-340,-120,-576,744,44,-340
2009-03-31,799.00000,306.00000,25.00000,331.00000,325.00000,-504.00000,-59.00000,-718.00000,485.00000,-167.00000,,-122.00000,,,68.00000,-221.00000,-502.00000,-95.00000,-597.00000,-164.00000,-164.00000,-339.00000,-109.00000,-1209.00000,-1055.00000,34.00000,-339.00000
