,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2018-03-31,701.00000,93.00000,-322.00000,-229.00000,-254.00000,-74.00000,319.00000,-207.00000,265.00000,-31.00000,-24.00000,-20.00000,1006.00000,-717.00000,289.00000,-51.00000,163.00000,-41.00000,-2673.00000,-2714.00000,-318.00000,-318.00000,-135.00000,2263.00000,-904.00000,-476.00000,45.00000,-112.00000
2017-12-31,495,86,-54,32,240,-12,-77,-275,252,-55,0,-32,545,-759,-214,-185,-486,871,-1620,-749,-273,-273,-128,1693,543,309,23,-91
2017-09-30,1013,85,-994,-909,45,-3,-93,482,586,0,0,0,-1135,452,-683,747,64,584,300,884,-990,-990,-104,-438,-648,2,26,-104
2017-06-30,367,81,136,217,-104,-150,-115,-472,112,-84,-80,-12,-519,163,-356,69,-463,-220,3336,3116,-342,-342,-129,-2296,349,-2,24,-129
2017-03-31,305.00000,89.00000,160.00000,249.00000,110.00000,-277.00000,285.00000,-24.00000,530.00000,-52.00000,-29.00000,,1110.00000,-180.00000,930.00000,464.00000,1313.00000,-714.00000,-1497.00000,-2211.00000,,,-144.00000,325.00000,-2030.00000,-187.00000,45.00000,-106.00000
2016-12-31,377,112,-243,-131,227,19,218,645,891,-18,0,0,241,-1843,-1602,963,-657,-2342,47,-2295,-155,-155,-99,2543,-6,228,25,-99
2016-09-30,516,113,-19,94,-114,-28,19,-112,498,-58,0,0,-1177,691,-486,601,57,671,-467,204,-241,-241,-115,-598,-750,-195,23,-101
2016-06-30,324,118,164,282,-271,6,-106,-299,307,-78,0,0,-40,-529,-569,-433,-1080,881,430,1311,-25,-25,-123,-329,834,61,37,-100
2016-03-31,326.00000,110.00000,231.00000,341.00000,-62.00000,-20.00000,231.00000,-272.00000,395.00000,-76.00000,,,893.00000,-855.00000,38.00000,-1146.00000,-1184.00000,-594.00000,1999.00000,1405.00000,-240.00000,-240.00000,-117.00000,-501.00000,547.00000,-242.00000,26.00000,-102.00000
2015-12-31,656,108,-347,-239,82,-13,7,484,901,-78,0,0,-677,-335,-1012,1329,239,353,-3378,-3025,-215,-215,-126,2311,-1055,85,22,-103
2015-09-30,380,112,258,370,-47,-11,-154,-183,567,-61,0,0,1457,-1439,18,-1008,-1051,1933,774,2707,-300,-300,-120,-2133,154,-330,28,-106
2015-06-30,309,114,136,250,58,22,-208,-112,447,-24,0,0,1468,-1710,-242,-1822,-2088,-444,2649,2205,-155,-155,-129,-415,1506,-135,29,-106
2015-03-31,361.00000,107.00000,166.00000,273.00000,-231.00000,-32.00000,258.00000,-131.00000,503.00000,-49.00000,,,2995.00000,-3439.00000,-444.00000,-538.00000,-1031.00000,-956.00000,-87.00000,-1043.00000,-180.00000,-180.00000,-122.00000,1702.00000,357.00000,-171.00000,21.00000,-107.00000
2014-12-31,385,107,266,373,122,29,-538,-237,521,-64,0,0,-4277,683,-3594,-360,-4018,533,-1178,-645,-180,-180,-132,4420,3463,-34,20,-109
2014-09-30,341,107,55,162,57,-29,109,87,590,-120,0,0,-1251,-87,-1338,-278,-1736,386,-422,-36,-225,-225,-122,1342,959,-187,20,-110
2014-06-30,438,102,0,102,128,-12,-117,85,625,-14,0,0,-184,-1605,-1789,-749,-2552,2693,314,3007,-150,147,-124,-944,2086,159,26,-101
2014-03-31,319.00000,98.00000,113.00000,211.00000,229.00000,-4.00000,-230.00000,-190.00000,340.00000,-60.00000,,,2914.00000,-2163.00000,751.00000,-1323.00000,-632.00000,1559.00000,1322.00000,2881.00000,-99.00000,-99.00000,-112.00000,-2403.00000,267.00000,-25.00000,17.00000,-103.00000
2013-12-31,402,97,105,202,189,-96,-54,164,768,-109,0,0,-2494,-664,-3158,-1557,-4824,1588,-2049,-461,-656,-215,-126,5149,4347,291,18,-107
2013-09-30,421,134,48,182,797,-24,-123,633,1236,-128,0,0,-1513,-1623,-3136,-189,-3453,1189,964,2153,0,0,-111,672,2714,497,19,-102
2013-06-30,591,139,-139,0,558,-2,199,775,1366,-122,0,0,1177,-1555,-378,-1091,-1591,-1256,-77,-1333,-539,54,-105,1813,429,204,24,-96
2013-03-31,412.00000,137.00000,52.00000,189.00000,878.00000,-9.00000,-125.00000,624.00000,1225.00000,-88.00000,,,135.00000,219.00000,354.00000,-582.00000,-316.00000,1298.00000,-4356.00000,-3058.00000,-125.00000,-125.00000,-88.00000,2107.00000,-1164.00000,-255.00000,17.00000,-88.00000
2012-12-31,395,143,216,359,-1300,-2,376,-933,-179,-133,0,0,-1136,-291,-1427,-2662,-4222,-1137,992,-145,-225,-225,-106,4828,4352,-49,15,-88
2012-09-30,363,134,239,373,160,-4,-318,-73,663,-117,0,0,678,356,1034,-886,31,-1513,935,-578,-350,-350,-81,412,-597,97,17,-73
2012-06-30,386,126,200,326,-222,-6,-345,-534,178,-122,0,0,-335,518,183,-415,-354,-42,2059,2017,-75,-75,-74,-1534,334,158,18,-74
2012-03-31,430.00000,128.00000,36.00000,164.00000,1384.00000,-16.00000,53.00000,1301.00000,1895.00000,-103.00000,,,153.00000,-739.00000,-586.00000,-1299.00000,-1988.00000,56.00000,-390.00000,-334.00000,,,-83.00000,82.00000,-335.00000,-428.00000,19.00000,-74.00000
2011-12-31,314,129,163,292,-1054,13,51,-900,-294,-141,0,0,246,815,1061,-2076,-1156,-104,-1736,-1840,0,0,-83,3688,1765,315,20,-74
2011-09-30,382,111,857,968,-560,22,-662,-1584,-234,-50,0,0,-658,-509,-1167,-1621,-2838,-608,2216,1608,0,0,-16,1448,3040,-32,8,-8
2011-06-30,337,103,-128,-25,109,0,113,699,1011,-51,0,0,1111,-198,913,-848,14,-452,1476,1024,0,0,-64,-1726,-766,259,14,-55
2011-03-31,265.00000,112.00000,227.00000,339.00000,944.00000,80.00000,359.00000,1279.00000,1883.00000,-101.00000,,,-966.00000,205.00000,-761.00000,-443.00000,-1305.00000,1057.00000,-224.00000,833.00000,1368.00000,-2040.00000,-79.00000,670.00000,-616.00000,-38.00000,17.00000,-55.00000
2010-12-31,333,130,66,196,427,30,-14,485,1014,-88,0,0,1756,399,2155,-1920,147,-1152,-290,-1442,0,0,-59,284,-1217,-56,31,-8
2010-09-30,238,121,623,744,91,-46,-77,65,1047,-50,0,0,1051,14,1065,-1479,-464,-154,348,194,0,0,-60,-718,-584,-1,11,-8
2010-06-30,192,109,489,598,-496,32,49,-456,334,-54,0,0,-418,1156,738,601,1285,-183,166,-17,0,0,-59,-1460,-1536,83,12,-8
2010-03-31,-10.00000,97.00000,606.00000,703.00000,495.00000,51.00000,-168.00000,217.00000,910.00000,-43.00000,,,-528.00000,411.00000,-117.00000,900.00000,740.00000,-970.00000,-89.00000,-1059.00000,,,-59.00000,-717.00000,-1835.00000,-185.00000,10.00000,-8.00000
2009-12-31,-98,83,794,877,-7,727,-87,548,1327,-47,0,0,-2243,-2622,-4865,882,-4030,520,-2509,-1989,0,0,-59,4939,2891,188,11,-7
2009-09-30,-97,76,895,971,1361,268,-620,968,1842,-65,0,0,-614,581,-33,2159,2061,-22,-3130,-3152,0,-35,-25,-1460,-4672,-769,11,108
2009-06-30,882,96,144,240,-736,48,906,-426,696,-47,0,546,1074,902,1976,1738,4213,-1738,-4203,-5941,986,752,-56,744,-4501,408,12,-56
2009-03-31,50.00000,86.00000,886.00000,972.00000,-1250.00000,-43.00000,630.00000,-1093.00000,-71.00000,-69.00000,,,1992.00000,-4149.00000,-2157.00000,1058.00000,-1168.00000,-1298.00000,1194.00000,-104.00000,,,-72.00000,1167.00000,991.00000,-248.00000,11.00000,-72.00000
