,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2019-08-31,264.20000,108.90000,8.20000,117.10000,-9.50000,-37.40000,-86.50000,294.80000,-26.40000,,,572.79980,572.79980,-1.70000,544.70000,,-11.90000,-11.90000,-171.90000,-171.90000,-222.00000,-7.40000,-413.20000,426.30000,10.50000,-222.00000
2019-05-31,230.4,111.4,7.7,119.1,-10.7,-59.2,-100.8,248.7,-35.8,-8.1,0,-1044,-1044,-1.8,-1089.7,-3.7,-1684.7,-1688.4,-24.1,-24.1,-222.9,6.1,-1929.3,-2770.3,12.6,-222.9
2019-02-28,324.6,109.4,11.1,120.5,-33.7,-24.4,80.5,525.6,-27.2,-984.1,0,421.5,421.5,-2.5,-592.3,800,1694.4,2494.4,0,0,-201.2,11.2,2304.4,2237.7,10.8,-201.2
2018-11-30,235.8,95,21.5,116.5,-28.1,-85.7,-128.8,223.5,-36.4,0,0,-65.7002,-65.7002,-0.2,-102.3,0,-74.5,-74.5,0,0,-201.3,2.5,-273.3,-152.1,11.9,-201.3
2018-08-31,243.60000,94.90000,13.90000,108.80000,-39.90000,-23.60000,-78.70000,273.70000,-24.40000,,,181.20020,181.20020,-0.80000,156.00000,,-885.80000,-885.80000,-32.80000,-32.80000,-201.40000,9.70000,-1110.30000,-680.60000,10.90000,-201.40000
2018-05-31,217.7,95.2,23.3,118.5,43.3,-53.5,-48.7,287.5,-32,-1.9,0,631.9998,631.9998,-33.1,565,0,705.4,705.4,-49,-49,-201,-5.2,450.2,1302.7,15.2,-201
2018-02-28,367.2,183.4,-80.5,102.9,-15.6,-101.9,-0.6,469.5,-26.5,-160.6,1018,356.3008,1374.3008,-2.6,1184.6,0,-1001.7,-1001.7,0,0,-179.8,3.2,-1178.3,475.8,10.3,-179.8
2017-11-30,198.8,50.4,9.8,60.2,-20.5,-47,-83.2,175.8,-77.5,-9.7,-88.3,139.0986,50.7986,-3.7,-40.1,0,56,56,0,0,-179.8,10.9,-112.9,22.8,10.4,-179.8
2017-08-31,210.40000,49.10000,58.30000,107.40000,12.70000,32.90000,25.80000,343.60000,-18.00000,-8.20000,-929.70000,245.29980,-684.40020,-0.40000,-711.00000,,702.70000,702.70000,-94.10000,-94.10000,-179.10000,-12.30000,417.20000,49.80000,8.70000,-179.10000
2017-05-31,204.3,223.1,33.1,256.2,-82.6,-187.5,-269.4,191.1,-27.5,0,459.8,-147.1992,312.6008,-0.2,284.9,0,-557.9,-557.9,0,0,-165.4,4.4,-718.9,-242.9,8.9,-165.4
2017-02-28,202.5,49,-14.4,34.6,102.2,-15.1,118.8,355.9,-20,0,-674.7,-946.502,-1621.202,-3.8,-1645,0,1465.7,1465.7,0,0,-165.4,13.7,1314,24.9,8.9,-165.4
2016-11-30,202.1,48.4,19.9,68.3,-49,-47.6,-151.7,118.7,-26.5,0,-42.4,391.1006,348.7006,-4.6,317.6,0,-74,-74,-166.2,-166.2,-165.2,4.1,-401.3,35,8.5,-165.2
2016-08-31,217.40000,48.30000,24.30000,72.60000,-73.70000,17.50000,4.70000,294.70000,-20.30000,,257.30000,143.29980,400.59980,,380.30000,,-516.50000,-516.50000,,,-166.30000,6.30000,-676.50000,-1.50000,9.10000,-166.30000
2016-05-31,178.1,48.5,18.6,67.1,-60.6,7.5,-18.2,227,-27.7,0,1720.5,-1190.6006,529.8994,-1.7,500.5,0,-708.6,-708.6,0,0,-151.5,11,-849.1,-121.6,8.5,-151.5
2016-02-29,180.4,49.2,-14.5,34.7,88.8,34.8,156.2,371.3,-21.5,-296.1,-934.8,-57.4998,-992.2998,-2.4,-1312.3,0,974.4,974.4,-45,-45,-151.4,3.8,781.8,-159.2,8.6,-151.4
2015-11-30,189.2,46.7,16.7,63.4,-39.6,-60.4,-111,141.6,-27.3,0,41.2,-23.7001,17.4998,-1.4,-11.2,0,-37.3,-37.3,0,0,-151.7,15,-174,-43.6,8.7,-151.7
2015-08-31,209.10000,46.40000,23.30000,69.70000,-24.30000,17.00000,-0.50000,278.30000,-21.20000,,100.70000,683.90010,784.60020,-3.50000,759.90000,,-533.30000,-533.30000,-62.90000,-62.90000,-151.90000,-4.20000,-752.30000,285.90000,8.80000,-151.90000
2015-05-31,161.2,46.8,16.6,63.4,-34.4,-10.7,-22.2,202.4,-30.8,0,1227.7,-453.5976,774.1024,-1.1,742.2,0,-798.8,-798.8,-152.2,-152.2,-137.4,48.5,-1039.9,-95.3,7.4,-137.4
2015-02-28,169.4,46,-18.3,27.7,61,2.4,91,288.1,-26.4,0,-1134.4,79.498,-1054.902,-0.6,-1081.9,0,1058.7,1058.7,-1.8,-1.8,-138.2,0,918.7,124.9,8.6,-138.2
2014-11-30,173,45.1,12.2,57.3,-44,-4.9,-88.7,141.6,-20.7,0.4,255.7,-539.499,-283.799,-0.1,-304.2,0,-29.8,-29.8,8.1,8.1,-137.9,0,-159.6,-322.2,7.9,-137.9
2014-08-31,171.30000,44.90000,18.10000,63.00000,-12.40000,0.80000,28.80000,263.10000,-24.90000,-27.50000,-199.90000,612.70020,412.80020,-1.50000,358.90000,,-137.10000,-137.10000,-36.50000,-36.50000,-138.30000,,-311.90000,310.10000,7.50000,-138.30000
2014-05-31,145.9,46.3,7.5,53.8,-27.5,-12,-24.6,175.1,-21.3,0,928.1,-324.5,603.6,-4.2,578.1,0,-713.6,-713.6,-31.2,-31.2,-127.2,0,-872,-118.8,4.6,-127.2
2014-02-28,160.1,44.2,-15.9,28.3,54.2,26.1,117.2,305.6,-15.9,0,-812.2,-259,-1071.2,-1.4,-1088.5,0,991.2,991.2,-22.3,-22.3,-127.7,0,841.2,58.3,7.1,-127.7
2013-11-30,158.7,43.7,13.3,57,-30.4,-29.7,-82.2,133.5,-21.8,-9.3,-290.4,489.9995,199.5995,-5,163.5,0,-23.6,-23.6,-44.2,-44.2,-127.8,0,-195.6,101.4,7.1,-127.8
2013-08-31,162.80000,41.10000,18.40000,59.50000,-18.40000,47.40000,44.40000,266.70000,-25.10000,,-267.00000,323.60010,56.60010,-0.70000,30.80000,,-126.60000,-126.60000,-38.70000,-38.70000,-127.90000,,-293.20000,4.30000,7.50000,-127.90000
2013-05-31,123.5,39.7,16.9,56.6,-16.2,-80.8,-111.2,68.9,-24.5,0,231.6,1150.1974,1381.7975,0,1357.3,0,-1470.4,-1470.4,51.1,51.1,0,0,-1419.3,6.9,5.9,0
2013-02-28,144.5,39.3,-17.4,21.9,50.6,24.3,114,280.4,-19.7,-9.3,10.7,-1890.299,-1879.599,-4.6,-1913.2,0,1845.6,1845.6,5.3,5.3,-240.3,0,1610.6,-22.2,5.4,-240.3
2012-11-30,147.9,38,12.8,50.8,-23.6,-15,-90.4,108.3,-32.5,-12,-379.7,390.3003,10.6002,-0.4,-34.3,0,17.7,17.7,1.9,1.9,-120,0,-100.4,-26.4,5.1,-120
2012-08-31,153.10000,37.40000,16.60000,54.00000,-4.30000,4.60000,10.60000,217.70000,-22.00000,,1156.80000,-362.80030,793.99980,-0.10000,771.90000,,-847.50000,-847.50000,14.50000,14.50000,-116.40000,,-949.40000,40.20000,6.40000,-116.40000
2012-05-31,123.3,36.1,12,48.1,-16.3,-2.4,-27.4,144,-27.1,0,-966.4,540.8008,-425.5996,-0.4,-453.1,0,385,385,-4.9,-4.9,-116.2,7.5,271.4,-37.7,5.3,-116.2
2012-02-29,135.4,35.1,-12.1,23,91.9,10.7,107,265.4,-18.4,-5,-337.8,-863.9004,-1201.7004,-0.9,-1226,0,1123.8,1123.8,3.1,3.1,-115.9,0,1011,50.4,5.7,-115.9
2011-11-30,140.4,34.6,17.4,52,-29.5,-9.1,-82.4,110,-23.9,-1,543.3,-482.3999,60.9001,0.8,36.8,0,-48.6,-48.6,0.8,0.8,-116,0,-163.8,-17,5.3,-116
2011-08-31,148.90000,34.50000,17.50000,52.00000,-29.70000,-5.20000,-13.70000,187.20000,-20.20000,,-23.40000,442.39990,418.99990,-0.80000,398.00000,,-479.70000,-479.70000,1.00000,1.00000,-112.40000,,-591.10000,-5.90000,6.60000,-112.40000
2011-05-31,118.9,34.4,12.2,46.6,-26.9,0.2,-3.1,162.4,-21.5,-11.1,645.6,-153.5005,492.0995,0.3,459.8,0,-634.4,-634.4,7.6,7.6,-112.4,0,-739.2,-117,6,-112.4
2011-02-28,130.6,32.7,3.2,35.9,89.3,9.7,67.2,233.7,-34.9,-115.3,-852.6,7.0003,-845.5998,-2.1,-997.9,0,874.6,874.6,4.6,4.6,-112.2,0,767,2.8,5.3,-112.2
2010-11-30,133.9,30.2,12.7,42.9,-23.1,-5.4,-51.9,124.9,-27.5,0,59.1,-75.1,-15.9999,-0.4,-43.9,0,-8.7,-8.7,0.2,0.2,-112.2,0,-120.7,-39.7,6.4,-112.2
2010-08-31,131.90000,30.30000,10.80000,41.10000,-16.30000,3.80000,21.30000,194.30000,-16.60000,,598.30000,-408.60000,189.70000,-0.60000,172.50000,,-266.40000,-266.40000,0.20000,0.20000,-112.00000,,-378.20000,-11.40000,7.10000,-112.00000
2010-05-31,115.5,30.8,27.3,58.1,-34.3,-5,-65.7,107.9,-19.9,0,121.5,448.5,570,-0.6,549.5,0,-541.4,-541.4,1.2,1.2,-112.2,0,-652.4,5,6.5,-112.2
2010-02-28,112,30.6,-6,24.6,69.2,5.3,87.3,223.9,-18.3,0,-757.4,-378.7,-1136.1,-2.1,-1156.5,0,1098.4,1098.4,0.4,0.4,-112.2,0,986.6,54,5.8,-112.2
2009-11-30,125.9,30.5,6.9,37.4,-26.3,-1.8,-70.8,92.5,-13,13.1,274.5,-311.3,-36.8,-5.1,-41.8,0,-29.3,-29.3,0.7,0.7,-112.1,0,-140.7,-90,6.6,-112.1
2009-08-31,123.60000,29.60000,11.60000,41.20000,-19.80000,0.30000,21.80000,186.60000,-10.10000,,423.10000,-161.40000,261.70000,-4.10000,247.50000,,-485.40000,-485.40000,5.90000,5.90000,-112.10000,,-591.60000,-157.50000,6.70000,-112.10000
2009-05-31,113.759,28.828,12.738,41.566,-19.693,2.437,-29.848,125.477,-10.819,0.066,378.649,309.981,688.6294,1.697,679.573,0,-651.889,-651.889,9,9,-111.921,-5.81,-760.62,44.43,6.39,-111.921
2009-02-28,419.741,79.972,12.862,92.834,30.193,17.963,50.748,563.323,-53.281,-6.466,-1480.049,1282.819,-197.2296,-18.097,-275.073,0,305.889,305.889,0,0,-335.779,5.81,-24.08,264.17,19.31,-335.779
