,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2019-12-31,500,395,-86,309,-97,-22,17,429,161,970,-1118,-348,-348,312,-1154,-140,-232,-372,1070,1070,-294,-504,-100,-280,19,-259
2019-09-30,909,402,-128,274,0,0,0,-769,-769,414,-942,-58,-58,-172,-1172,-990,1332,342,732,732,-287,177,964,203,17,-251
2019-06-30,435,389,-217,172,0,0,0,139,139,753,-293,-1297,-1297,-67,-1657,2292,-941,1351,5,5,-286,-78,992,87,18,-251
2019-03-31,518.00000,383.00000,72.00000,455.00000,,,,-15.00000,-15.00000,951.00000,-456.00000,-94.00000,-94.00000,-60.00000,-610.00000,-533.00000,497.00000,-36.00000,-3.00000,-3.00000,-268.00000,-74.00000,-381.00000,-39.00000,21.00000,-232.00000
2018-12-31,964,376,-391,-15,-145,32,96,-127,-56,857,689,-247,-247,-120,322,-37,-799,-836,10,9,-268,-120,-1215,-42,33,-232
2018-09-30,334,366,64,430,0,0,0,231,231,986,-820,-98,-98,-57,-975,93,-550,-457,171,737,-253,-72,-45,-39,17,-229
2018-06-30,-530,377,766,1143,0,0,0,49,49,707,-854,-206,-206,-55,-1115,-266,116,-150,811,811,-251,22,432,20,18,-222
2018-03-31,358.00000,372.00000,258.00000,630.00000,,,,-22.00000,-22.00000,966.00000,-979.00000,-9617.00000,-9617.00000,-106.00000,-10702.00000,5795.00000,1149.00000,6944.00000,1259.00000,2952.00000,-194.00000,-24.00000,9678.00000,-57.00000,15.00000,-194.00000
2017-12-31,-451,330,1102,1432,29,-42,84,-35,-42,921,-822,-159,-159,-644,-1625,1107,-514,593,10,10,-193,401,811,103,82,-194
2017-09-30,102,378,230,608,0,0,0,68,68,815,-1066,-13,-13,-123,-1202,-360,968,608,8,8,-193,-86,337,-49,0,-193
2017-06-30,248,368,160,528,0,0,0,106,106,885,-810,-45,-45,-177,-1032,697,-396,301,11,11,-193,-29,90,-57,0,-192
2017-03-31,452.00000,360.00000,167.00000,527.00000,,,,47.00000,47.00000,1004.00000,-992.00000,-52.00000,-52.00000,18.00000,-1026.00000,229.00000,-97.00000,132.00000,3.00000,3.00000,-176.00000,-5.00000,-46.00000,-58.00000,,-176.00000
2016-12-31,409,342,66,408,0,0,0,-157,-157,620,-1125,-260,-260,-18,-1403,179,-944,-765,10,10,-176,1585,654,-140,52,-176
2016-09-30,719,328,-403,-75,0,0,0,126,126,775,-763,-1096,-1096,20,-1839,317,771,1088,10,10,-175,43,966,-98,0,-175
2016-06-30,27,314,-142,172,0,0,0,82,82,290,-592,-17,-17,5,-604,397,334,731,14,14,-175,-18,552,240,0,-174
2016-03-31,364.00000,328.00000,87.00000,415.00000,,,,-189.00000,-189.00000,626.00000,-971.00000,-31.00000,-31.00000,13.00000,-989.00000,1.00000,531.00000,532.00000,-39.00000,-39.00000,-161.00000,-2.00000,330.00000,-27.00000,,-161.00000
2015-12-31,388,325,20,345,0,0,0,38,38,809,-903,7,7,7,-889,396,-421,-25,11,11,-160,-31,-205,-287,0,-160
2015-09-30,282,315,-104,211,0,0,0,341,341,870,-761,10,10,-27,-778,41,138,179,2,2,-160,-42,-21,61,0,-160
2015-06-30,320,307,-50,257,0,0,0,-188,-188,408,-339,-134,-134,42,-431,417,24,441,13,13,-160,-13,281,259,0,-159
2015-03-31,458.00000,303.00000,87.00000,390.00000,,,,-10.00000,-10.00000,811.00000,-780.00000,-35.00000,-35.00000,45.00000,-770.00000,284.00000,-363.00000,-79.00000,-48.00000,-48.00000,-149.00000,45.00000,-231.00000,-193.00000,,-149.00000
2014-12-31,321,290,-21,269,0,0,0,-166,-166,500,-654,-53,-145,-77,-876,20,523,543,13,13,-148,-126,282,-97,0,-148
2014-09-30,383,292,-24,268,0,0,0,-62,-62,627,-807,-33,-7,-31,-845,348,-57,291,14,14,-149,-56,100,-122,0,-149
2014-06-30,292,288,-38,250,0,0,0,-430,-430,130,-712,-151,-85,-54,-851,820,15,835,17,17,-148,-39,665,-55,0,-147
2014-03-31,266.00000,286.00000,29.00000,315.00000,,,,347.00000,347.00000,904.00000,-801.00000,-15.00000,-15.00000,46.00000,-770.00000,50.00000,-69.00000,-19.00000,-26.00000,-26.00000,-154.00000,6.00000,-193.00000,-60.00000,,-154.00000
2013-12-31,320,285,-11,274,0,0,0,-117,-117,454,-217,1,-565,-6,-788,333,175,508,5,-77,-154,-96,181,-157,0,-154
2013-09-30,323,286,29,315,0,0,0,-435,-435,225,-655,-16,166,215,-274,200,91,291,35,35,-155,-18,153,107,0,-153
2013-06-30,267,247,145,392,0,0,0,-384,-384,270,-599,-2,382,-248,-465,-203,33,-170,7,7,-155,2,-316,-517,0,-154
2013-03-31,178.00000,295.00000,181.00000,476.00000,,,,175.00000,175.00000,835.00000,-531.00000,-7.00000,-7.00000,376.00000,-162.00000,-37.00000,-43.00000,-80.00000,-30.00000,-30.00000,-147.00000,577.00000,320.00000,996.00000,,-145.00000
2012-12-31,305,287,-47,240,0,0,0,-257,-257,330,-641,-91,-100,159,-582,254,95,349,28,28,-146,-33,198,-55,0,-145
2012-09-30,290,280,92,372,0,0,0,-117,-117,536,-724,-58,-58,-13,-795,1123,-383,740,5,5,-147,-35,563,309,0,-145
2012-06-30,74,266,207,473,0,0,0,-88,-88,453,-706,-251,-242,26,-922,-53,465,412,32,32,-146,-14,284,-183,0,-145
2012-03-31,251.00000,257.00000,-4.00000,253.00000,,,,181.00000,181.00000,699.00000,-811.00000,-50.00000,-50.00000,2.00000,-859.00000,661.00000,-224.00000,437.00000,-3.00000,-3.00000,-117.00000,-7.00000,310.00000,152.00000,,-115.00000
2011-12-31,308,247,-219,28,0,0,0,-140,-140,224,-811,-246,-246,291,-766,457,-198,259,6,6,-117,-18,130,-405,0,-115
2011-09-30,319,251,74,325,0,0,0,-120,-120,504,-806,-12,-12,167,-651,559,19,578,2,2,-116,-58,406,265,0,-115
2011-06-30,494,248,-176,72,0,0,0,-222,-222,334,-618,-682,-682,403,-897,57,-127,-70,5,-75,-119,4,-260,-827,0,-116
2011-03-31,260.00000,230.00000,41.00000,271.00000,,,,287.00000,287.00000,805.00000,-607.00000,-3.00000,-3.00000,-146.00000,-756.00000,543.00000,-192.00000,351.00000,-3.00000,-3.00000,-96.00000,6.00000,258.00000,307.00000,,-94.00000
2010-12-31,271,223,-83,140,0,0,0,172,172,552,-405,-225,-225,-20,-650,176,384,560,11,11,-98,-10,463,365,0,-95
2010-09-30,127,218,319,537,0,0,0,-351,-351,295,-515,-15,-15,1064,534,484,-350,134,-493,-493,-99,-12,-470,359,0,-97
2010-06-30,205,215,228,443,0,0,0,-216,-216,419,-393,-298,-298,20,-671,55,240,295,8,8,-89,4,218,-34,0,-86
2010-03-31,100.00000,210.00000,27.00000,237.00000,,,,544.00000,544.00000,888.00000,-446.00000,-72.00000,-72.00000,22.00000,-496.00000,-495.00000,294.00000,-201.00000,12.00000,12.00000,-88.00000,-3.00000,-280.00000,112.00000,,-86.00000
2009-12-31,306,207,14,221,0,0,0,-446,-446,-9,-541,-202,-202,41,-702,860,-707,153,-1,-1,-89,2,65,-646,0,-86
2009-09-30,302,196,-9,187,0,0,0,-124,-124,359,-433,-551,-551,1,-983,59,560,619,24,24,-87,6,562,-62,0,-85
2009-06-30,189,189,132,321,0,0,0,-123,-123,386,-267,-195,-195,-3,-465,781,-535,246,18,18,-87,0,177,98,0,-84
2009-03-31,325.00000,183.00000,100.00000,283.00000,,,,482.00000,482.00000,1139.00000,-492.00000,-28.00000,-28.00000,-2.00000,-522.00000,16.00000,-77.00000,-61.00000,10.00000,10.00000,-88.00000,-89.00000,-228.00000,389.00000,,-86.00000
