,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2017-06-30,1372,301,839,1140,66,66,2578,-366,442,0,-2337,-2337,-271,-2532,1195,1195,-370,-370,-1584,21,-738,-402,59,-1584
2017-03-31,1184.00000,328.00000,786.00000,1114.00000,-1534.00000,-1534.00000,764.00000,-424.00000,1093.00000,,631.00000,631.00000,31.00000,1331.00000,2481.00000,2481.00000,-910.00000,-910.00000,,-36.00000,1535.00000,3270.00000,55.00000,
2016-12-31,547,464,375,839,683,683,2069,-643,219,739,0,739,14,329,-595,-595,-1033,-1033,-3015,-119,-4762,-2895,67,-3015
2016-09-30,1050,420,1147,1567,286,286,2903,-425,281,477,-473,4,-256,-396,-936,-936,-166,-166,-11,113,-1000,1500,72,-11
2016-06-30,3460,445,-1175,-730,486,486,3216,-537,94,0,-774,-774,-68,-1285,1450,1450,-1072,-1072,-1512,-48,-1182,899,50,-1512
2016-03-31,1493.00000,458.00000,333.00000,791.00000,-1680.00000,-1680.00000,604.00000,-507.00000,-397.00000,,1247.00000,1247.00000,5.00000,348.00000,1747.00000,1747.00000,24.00000,24.00000,-1505.00000,133.00000,399.00000,1439.00000,69.00000,-1505.00000
2015-12-31,1236,527,186,713,189,189,2138,-848,147,-149,0,-149,77,-773,-1443,-1443,-1085,-1085,-1428,21,-3935,-2674,65,-1428
2015-09-30,1453,482,719,1201,618,618,3272,-539,-202,-1603,665,-938,22,-1657,1619,1619,-346,-346,-1436,115,-48,1178,54,-1436
2015-06-30,3111,488,-280,208,225,225,3544,-586,-1497,0,-408,-408,-453,-2944,1902,1902,-513,-513,-1436,94,47,594,57,-1436
2015-03-31,1566.00000,473.00000,724.00000,1197.00000,-1189.00000,-1189.00000,1574.00000,-495.00000,-374.00000,,-257.00000,-257.00000,314.00000,-812.00000,618.00000,618.00000,-375.00000,-375.00000,-1441.00000,21.00000,-1177.00000,-747.00000,60.00000,-1441.00000
2014-12-31,771,499,1304,1803,62,62,2636,-715,29,-274,0,-274,12,-948,-86,-86,-725,-725,-2670,46,-3435,-2126,66,-2670
2014-09-30,2122,510,203,713,674,674,3509,-572,17,-4540,1703,-2837,-38,-3430,1653,1653,-602,-602,-1338,29,-258,-534,31,-1338
2014-06-30,2605,494,50,544,255,255,3404,-515,-202,1774,-1703,71,-269,-915,1786,1786,-619,-619,-1342,32,-143,2487,73,-1342
2014-03-31,1626.00000,473.00000,397.00000,870.00000,-1430.00000,-1430.00000,1066.00000,-381.00000,-85.00000,-1774.00000,,-1774.00000,27.00000,-2213.00000,1359.00000,1359.00000,-684.00000,-684.00000,,-470.00000,205.00000,-1283.00000,39.00000,
2013-12-31,1708,533,869,1402,-280,-280,2830,-878,845,-141,-869,-1010,-188,-1231,857,857,-691,-691,-2475,-53,-2362,-704,72,-2475
2013-09-30,2455,497,-299,198,1103,1103,3756,-549,-708,3,869,872,110,-275,529,529,-786,-786,-1245,-17,-1519,1712,63,-1245
2013-06-30,2694,474,-119,355,429,429,3478,-549,-280,-4078,3506,-572,-89,-1490,805,805,-921,-921,-1249,66,-1299,244,45,-1249
2013-03-31,1769.00000,473.00000,420.00000,893.00000,-2184.00000,-2184.00000,478.00000,-463.00000,662.00000,2225.00000,-3506.00000,-1281.00000,-136.00000,-1218.00000,2520.00000,2520.00000,-1106.00000,-1106.00000,,21.00000,1435.00000,720.00000,47.00000,
2012-12-31,1890,513,640,1153,-238,-238,2805,-739,-318,298,-19,279,-227,-1005,120,120,-770,-770,-2291,-7,-2948,-1173,5,-2291
2012-09-30,2329,514,-2,512,821,821,3662,-650,-404,-752,19,-733,-52,-1839,235,235,-685,-685,-1149,52,-1547,278,88,-1149
2012-06-30,2800,508,194,702,183,183,3685,-683,-635,-7135,4664,-2471,112,-3677,1340,1340,-972,-972,-1155,13,-774,-1327,89,-1155
2012-03-31,2067.00000,447.00000,-175.00000,272.00000,-1846.00000,-1846.00000,493.00000,-565.00000,-109.00000,556.00000,-4664.00000,-4108.00000,-101.00000,-4883.00000,2523.00000,2523.00000,-643.00000,-643.00000,,42.00000,1922.00000,-2139.00000,77.00000,0.00000
2011-12-31,1677,531,683,1214,-217,-217,2674,-970,-731,2023,611,2634,-43,890,-563,-563,-718,-718,-2141,12,-3410,121,86,-2141
2011-09-30,2246,466,-50,416,496,496,3158,-705,23,-17,-604,-621,217,-1086,2792,2792,-1657,-1657,-16,27,1146,2516,87,-16
2011-06-30,2807,471,20,491,-114,-114,3184,-578,-71,405,-1046,-641,9,-1281,18,18,120,120,-1078,-16,-956,1091,105,-1078
2011-03-31,1916.00000,486.00000,114.00000,600.00000,-2058.00000,-2058.00000,458.00000,-566.00000,206.00000,-1398.00000,1039.00000,-359.00000,-328.00000,-1047.00000,2718.00000,2718.00000,-689.00000,-689.00000,-1065.00000,22.00000,986.00000,558.00000,76.00000,-1065.00000
2010-12-31,5762,509,-4041,-3532,78,78,2308,-840,-791,-37,-67,-104,43,-1692,220,220,-1827,-1827,-1034,61,-2580,-1992,195,-1034
2010-09-30,2067,323,-206,117,730,730,2914,-413,-635,-285,-29,-314,-13,-1375,1678,1678,330,330,-1004,-14,990,2774,71,-1004
2010-06-30,2382,316,-63,253,349,349,2984,-451,-121,682,-28,654,-52,30,99,99,83,83,-1015,1,-832,2051,61,-1015
2010-03-31,1626.00000,295.00000,192.00000,487.00000,-787.00000,-787.00000,1326.00000,-377.00000,8.00000,-907.00000,-8.00000,-915.00000,-84.00000,-1368.00000,-149.00000,-149.00000,119.00000,119.00000,-1015.00000,2.00000,-1043.00000,-1337.00000,53.00000,-1015.00000
2009-12-31,1578,331,565,896,-558,-558,1916,-524,124,-2130,-2,-2132,-57,-2589,622,622,-1080,-1080,-950,-1,-1409,-1825,99,-950
2009-09-30,1920,320,-23,297,391,391,2608,-417,64,0,-48,-48,5,-396,-230,-230,156,156,-951,-1,-1026,1199,35,-951
2009-06-30,2049,302,-175,127,613,613,2789,-488,-69,0,-3,-3,-5,-565,-786,-786,60,60,-949,0,-1675,831,54,-949
2009-03-31,1359.00000,283.00000,241.00000,524.00000,-1010.00000,-1010.00000,873.00000,-460.00000,-179.00000,,31.00000,31.00000,9.00000,-599.00000,2757.00000,2757.00000,10.00000,10.00000,-950.00000,,1817.00000,2115.00000,53.00000,-950.00000
