,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2018-09-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-06-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-31,0.00000,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-31,2810,1806,-573,1233,-84,-47,358,1011,5054,-736,-1402,137,-1575,-4635,-6210,-3614,-11825,2338,1288,3626,428,428,2794,6848,29,499
2017-09-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-06-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-03-31,0.00000,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-31,1670.115,1199.418,-475.662,723.7559,195.209,-47.135,129.407,811.99,3205.861,-599.15,-906.593,39.567,-1102.86,-1975.219,-3078.079,-627.969,-5172.225,805.345,181.379,986.724,120.539,120.539,973.4921,2080.755,135.176,253.491
2016-09-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-31,0.00000,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-31,0.00000,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,457.414,80.25,-67.895,12.355,-72.611,1.319,21.971,-5.953,463.816,-128.696,-23.274,-116.356,-279.075,-6.137,-285.212,45.883,-507.655,43.278,1490.325,1533.603,3.029,3.029,0,1536.632,1491.621,10.888
2012-09-30,1210.501,162.979,-43.113,119.866,-109.265,53.309,105.755,131.309,1461.676,-245.773,-7.272,-15.348,-1296.037,-83.535,-1379.572,-51.425,-1699.39,-8.688,-22.299,-30.987,22.241,22.241,0,-8.746,-247.155,23.19
2012-06-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-31,0.00000,0.00000,,,,,,0.00000,0.00000,0.00000,,0.00000,,,0.00000,,0.00000,,0.00000,0.00000,,0.00000,,0.00000,0.00000,
2011-12-31,1026.14,137.16,0,137.16,0,0,0,91.83,1267.71,-272.74,0,-301.6,0,0,-1544.52,-89.95,-2208.83,0,0,365.59,0,3.59,6.81,376,-566.44,0
2011-09-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-31,0.00000,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,534.11,66.87,0,66.87,0,0,0,113.04,712.19,-135.65,0,0,0,0,-36.57,-12.24,-184.47,0,0,0,0,5.87,13.03,18.9,545.69,0
2010-09-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-06-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-03-31,0.00000,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12-31,217.56,46.44,0,46.44,0,0,0,59.58,333.93,-60.16,0,-1.75,0,0,-10.84,-5.76,-78.53,0,0,0,0,13.93,0,13.93,269.22,0
2009-09-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-06-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-03-31,0.00000,,,,,,,,,,,,,,,,,,,,,,,,,
