,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2013-03-31,656.00000,424.00000,-112.00000,312.00000,7.00000,-13.00000,-152.00000,33.00000,-69.00000,767.00000,-605.00000,,491.00000,491.00000,-2.00000,-116.00000,128.00000,,128.00000,-80.00000,-80.00000,-759.00000,458.00000,-253.00000,392.00000,-759.00000
2012-12-31,488,423,84,507,-206,7,117,-8,-88,881,-520,1791,0,0,-3,1268,-1913,0,-1913,-21,-21,-740,469,-2205,-61,-740
2012-09-30,255,408,320,728,70,-15,-51,45,-131,914,-616,0,0,0,41,-575,-618,0,-618,-26,-26,-704,1094,-254,100,-704
2012-06-30,-243,335,399,734,-184,-7,58,-54,-72,453,-431,-4970,0,0,-24,-5425,5690,0,5690,-110,-110,-488,70,5162,181,-488
2012-03-31,-73.00000,283.00000,413.00000,696.00000,89.00000,-77.00000,-54.00000,49.00000,-24.00000,560.00000,-384.00000,,,,19.00000,-365.00000,234.00000,,234.00000,,,-471.00000,118.00000,-119.00000,83.00000,-471.00000
2011-12-31,293,287,15,302,-27,-45,36,-16,81,770,-595,0,0,0,-11,-606,336,0,336,0,0,-462,92,-34,137,-462
2011-09-30,84,289,336,625,-21,-3,-17,100,-111,642,-1128,0,0,0,-139,-1267,923,0,923,0,0,-457,97,563,-80,-457
2011-06-30,82,266,181,447,-44,12,50,-147,-92,471,-298,0,0,0,6,-292,-313,0,-313,0,0,-332,629,-16,164,-332
2011-03-31,201.00000,257.00000,-63.00000,194.00000,100.00000,,-40.00000,53.00000,97.00000,483.00000,-335.00000,,,,108.00000,-227.00000,-167.00000,,-167.00000,,,-475.00000,72.00000,-570.00000,-312.00000,-475.00000
2010-12-31,166.6,266.6,171.4,-83,-87.1,31.8,19.5,-25.1,59.6,692.5,-292.3,0,3.7,4,-100,-388.3,307.6,3,312.3,0,0,422.4,-732.2,0.3,305.8,-426.6
2010-09-30,52.6,263.1,181.5,444.6,38.1,16.9,19.2,42.6,-25.3,483.2,-294.1,0,0,0,77.5,-216.6,-13.8,-12.5,-26.3,0,0,-392.1,201.9,-216.5,51.9,-392.1
2010-06-30,260.3,271.2,-257.6,13.6,13.7,-22.2,-31.4,-55.7,25.6,296.6,-217.6,0,-929.7,-929.7,-36.6,-1183.9,863.6,-4.2,859.4,0,0,-379.5,412.4,892.3,7.6,-379.5
2010-03-31,-179.90000,283.70000,425.40000,709.10000,53.30000,-7.50000,-8.30000,36.20000,-58.10000,438.70000,-436.70000,,,,-61.60000,-498.30000,374.60000,11.50000,386.10000,,,-350.80000,-0.80000,34.50000,-28.50000,-350.80000
2009-12-31,773.1,1076,-0.8,1075.2,0,0,0,0,-452.9,1587.5,-1569.3,0,0,-36,-1872.2,-3477.5,0,-8.5,2192,0,0,-650,397.5,1931,47,0
