,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2016-03-31,246.00000,91.00000,337.00000,428.00000,-29.00000,254.00000,-159.00000,40.00000,714.00000,-52.00000,,-1357.00000,1524.00000,167.00000,-19.00000,96.00000,-16.00000,-16.00000,-426.00000,-426.00000,-144.00000,-188.00000,-774.00000,36.00000,-115.00000
2015-12-31,489,96,432,528,111,-151,12,-87,930,-84,0,962,-1195,-233,-36,-353,0,0,-583,-583,-147,-257,-987,-410,-118
2015-09-30,650,96,159,255,-121,492,-116,478,1383,-86,0,-186,313,127,0,41,-11,-11,-780,-780,-151,-382,-1324,100,-122
2015-06-30,355,92,76,168,-212,772,-4,214,737,-74,0,-328,401,73,-18,-19,-9,-9,-369,-369,-154,-297,-829,-111,-125
2015-03-31,677.00000,87.00000,61.00000,148.00000,-90.00000,-2.00000,-226.00000,-259.00000,566.00000,-59.00000,,-63.00000,1193.00000,1130.00000,2.00000,1073.00000,,,-946.00000,-946.00000,-147.00000,-287.00000,-1380.00000,259.00000,-118.00000
2014-12-31,824,89,93,182,-829,435,29,-335,671,-81,0,7,-277,-270,-12,-363,0,0,-50,-50,-148,-338,-536,-228,-117
2014-09-30,781,88,-69,19,-305,482,17,564,1364,-83,0,325,712,1037,9,963,-651,-651,-877,-877,-153,-650,-2331,-4,-122
2014-06-30,645,91,-36,55,-100,500,-246,27,727,-69,380,-249,-430,-679,13,-355,-354,-354,-70,170,-138,-573,-895,-281,-125
2014-03-31,600.00000,98.00000,312.00000,410.00000,-91.00000,-110.00000,-267.00000,-536.00000,474.00000,-55.00000,-2.00000,189.00000,1208.00000,1397.00000,36.00000,1376.00000,-1.00000,-1.00000,-1038.00000,-313.00000,-125.00000,-674.00000,-1113.00000,495.00000,-113.00000
2013-12-31,821,122,209,331,-928,664,165,19,1171,-91,0,117,-684,-567,5,-653,-18,-18,-387,-257,-121,-529,-925,-394,-115
2013-09-30,316,66,1013,1079,-252,325,-122,123,1518,-73,-24,-121,-202,-323,1,-419,721,221,-440,-67,-118,-687,-651,435,-118
2013-06-30,434,93,429,522,-138,218,-229,-143,813,17,0,385,2057,2442,57,2516,-1551,-1051,-115,163,-119,-2508,-3515,-186,-119
2013-03-31,709.00000,87.00000,212.00000,299.00000,384.00000,-660.00000,-269.00000,-268.00000,740.00000,-60.00000,,-808.00000,970.00000,162.00000,34.00000,136.00000,492.00000,492.00000,-722.00000,-722.00000,,-632.00000,-862.00000,14.00000,0.00000
2012-12-31,394,95,150,245,-1368,868,268,-203,436,-109,0,586,543,1129,64,1084,-1,-1,-159,-159,-212,-984,-1356,164,-212
2012-09-30,723,92,278,370,-335,2,-244,-249,844,-60,13,-892,1033,141,51,145,0,0,-112,-112,-107,-699,-918,71,-107
2012-06-30,423,105,336,441,-58,176,-23,103,967,-65,1,-13,398,385,-48,273,-1,-1,-263,-263,-109,-873,-1246,-6,-109
2012-03-31,766.00000,96.00000,207.00000,303.00000,76.00000,-526.00000,-145.00000,-262.00000,807.00000,-51.00000,-1.00000,-379.00000,519.00000,140.00000,-9.00000,79.00000,143.00000,143.00000,-294.00000,-294.00000,-106.00000,-828.00000,-1085.00000,-199.00000,-106.00000
2011-12-31,712,103,316,419,-250,-806,-133,-873,258,-86,-917,2118,299,2417,-58,1356,1,1,-94,-94,-108,-1663,-1864,-250,-108
2011-09-30,175,60,138,198,-371,188,178,38,411,-54,2,-1102,3131,2029,-187,1790,0,0,-313,-313,-109,-1446,-1868,333,-109
2011-06-30,-624,58,353,411,52,884,240,747,534,-58,0,-483,2322,1839,-51,1730,-1,-1,-231,-231,-111,-1869,-2212,52,-111
2011-03-31,524.00000,31.00000,342.00000,373.00000,-114.00000,-306.00000,46.00000,-171.00000,726.00000,-48.00000,-1.00000,1649.00000,-196.00000,1453.00000,-119.00000,1285.00000,,,-296.00000,-296.00000,-107.00000,-1529.00000,-1932.00000,79.00000,-107.00000
2010-12-31,279,39,326,365,111,-117,14,22,666,-48,0,-486,1250,764,-55,661,-1,-1,-145,-145,-108,-1011,-1265,62,-108
2010-09-30,367,29,580,609,-169,144,-126,-47,929,-45,7,-335,627,292,-336,-82,0,0,1,1,-107,-952,-1058,-211,-107
2010-06-30,145,10,899,909,-149,244,-20,76,1130,-45,0,28,886,914,-79,790,-1,-1,11,11,-108,-1815,-1913,7,-108
2010-03-31,120.00000,16.00000,810.00000,826.00000,-48.00000,-73.00000,66.00000,18.00000,964.00000,-24.00000,,411.00000,625.00000,1036.00000,-49.00000,963.00000,,,9.00000,9.00000,-107.00000,-1737.00000,-1835.00000,92.00000,-107.00000
2009-12-31,518,-4,522,518,150,-370,-515,-250,786,-46,0,544,677,1221,-196,979,-751,-751,0,0,-108,-1021,-1880,-115,-108
2009-09-30,221,-1,1013,1012,-131,-23,138,-200,1033,-39,0,2270,-2088,182,-64,79,3,3,2,2,-107,-950,-1052,60,-107
2009-06-30,389,-12,232,220,-68,143,360,351,960,-51,0,2460,-1344,1116,-32,1033,999,999,0,0,-107,-3055,-2163,-170,-107
2009-03-31,-274.00000,-74.00000,935.00000,861.00000,-10.00000,-574.00000,76.00000,935.00000,1522.00000,-53.00000,12.00000,707.00000,731.00000,1438.00000,-48.00000,1349.00000,,,-3.00000,-3.00000,-220.00000,-2226.00000,-2449.00000,422.00000,-220.00000
