,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2020-03-31,202.60000,38.60000,3.60000,42.20000,-101.40000,10.60000,19.30000,35.60000,-3.70000,241.10000,-46.70000,-125.00000,,,,-171.70000,110.00000,110.00000,-44.60000,-44.60000,-143.60000,,-78.20000,-14.20000,1.60000,-143.60000
2019-12-31,178.7,37.9,14.4,52.3,77.6,-7.5,-22.4,-20.2,21.4,252.4,-60.5,0,0,0,-0.1,-60.6,-100,-100,15.5,15.5,-126.3,0,-210.8,-16.3,1.4,-126.3
2019-09-30,213.5,37.3,3.1,40.4,-1.6,-12.6,11.4,-12.7,3.4,257.3,-59.7,0,0,0,0.2,-59.5,-55,-55,2.9,2.9,-126.2,0,-178.3,16.2,1.4,-126.2
2019-06-30,204.6,37.1,3.6,40.7,-26.9,-50.8,19.9,-6.9,-117.2,128.1,-66.8,0,0,0,-0.1,-66.9,30,30,22,22,-123.1,0,-71.1,-10.4,1.3,-123.1
2019-03-31,194.10000,36.40000,3.90000,40.30000,-79.50000,-13.50000,-9.70000,30.50000,-29.50000,204.90000,-52.80000,,,,0.10000,-52.70000,-30.00000,-30.00000,18.10000,18.10000,-123.00000,,-134.90000,18.20000,1.60000,-123.00000
2018-12-31,168.8,35.9,14,49.9,51.7,-88.4,7.6,-18,-40.7,178,-78,0,0,0,3,-75,110,110,-60.5,-60.5,-114.4,0,-64.9,37.5,1.3,-114.4
2018-09-30,197.6,34.8,8.1,42.9,-40,-29.9,13.9,-18.9,-55.9,184.6,-35,-3.7,0,0,-6.3,-45,-35,-35,5.7,5.7,-114.8,0,-144.1,-5.8,1.3,-114.8
2018-06-30,211.2,34.1,9.2,43.3,-49.6,-33.8,24,-7.8,-102.6,151.9,-25,0,0,0,0,-25,20,20,-38.6,-38.6,-106.3,0,-124.9,-1.6,1.1,-106.3
2018-03-31,174.30000,33.40000,15.20000,48.60000,-82.40000,-41.20000,0.60000,18.50000,-63.20000,159.70000,-28.80000,,,,-0.10000,-28.90000,-10.00000,-10.00000,3.80000,3.80000,-106.40000,,-112.60000,20.20000,1.40000,-106.40000
2017-12-31,152.4,32.3,-29,3.3,22.5,-45.1,0.4,0.6,-26.4,129.3,-36,0,0,0,-5.1,-41.1,-20,-20,6,6,-92,0,-106,-16.5,1.2,-92
2017-09-30,143.1,32.5,4.8,37.3,-18.2,0.9,5.9,-19.4,-17.8,162.6,-23.7,0,0,0,-4.8,-28.5,0,0,-25.7,-25.7,-92,0,-117.7,18.3,1.2,-92
2017-06-30,148.9,31.9,3.2,35.1,-38,-33.5,12.4,-5.3,-101.1,82.9,-33.7,-0.8,0,0,-0.1,-34.6,80,80,-56.3,-56.3,-92.5,0,-68.8,-19.2,1.6,-92.5
2017-03-31,134.20000,30.70000,3.40000,34.10000,-70.00000,1.40000,17.60000,7.60000,42.10000,210.40000,-19.10000,-57.90000,,,1.90000,-75.10000,-25.00000,-25.00000,2.90000,2.90000,-92.60000,,-114.70000,21.60000,1.20000,-92.60000
2016-12-31,114.8,29.1,25.9,55,39.9,-29.9,-9,18.9,-36.8,133,-25.6,0,0,0,-4.9,-30.5,-50,-50,4.3,4.3,-86.7,0,-132.4,-34.3,1.2,-86.7
2016-09-30,126.9,26.7,4.1,30.8,-9.8,17.1,-40.9,-6.5,-24.3,133.4,-71.7,0,0,0,0,-71.7,15,15,2.6,2.6,-86.7,0,-69.1,-8.4,1.2,-86.7
2016-06-30,131.5,24.8,2.8,27.6,-6.2,-21,0.2,5.2,-72.1,87,-56.9,0,0,0,-0.1,-57,60,60,1.9,1.9,-86.7,0,-24.8,4.8,0.7,-86.7
2016-03-31,126.20000,23.40000,5.00000,28.40000,-64.40000,-47.10000,32.50000,12.80000,11.90000,166.50000,-28.80000,,,,-0.10000,-28.90000,5.00000,5.00000,-39.00000,-39.00000,-86.50000,,-120.50000,21.60000,1.00000,-86.50000
2015-12-31,111.943,25.705,9.684,35.389,67.82,-23.177,-7.47,-8.426,0.983,148.315,-32.534,-23.5,0,0,-11.718,-67.752,35,35,-9.599,-9.599,-81.117,-1.756,-57.472,17.321,1.159,-81.117
2015-09-30,136.494,21.337,2.814,24.151,-4.868,-12.008,-1.493,-10.35,-19.814,140.831,-28.858,0,0,0,-0.062,-28.92,-15,-15,-20.687,-20.687,-81.247,0.482,-116.452,-9.391,1.2,-81.247
2015-06-30,140.357,20.014,4.642,24.656,-17.487,-7.464,1.238,-9.474,-83.964,81.049,-41.649,0,0,0,0.003,-41.646,205,205,-163.729,-163.729,-81.89,0.823,-39.796,0.376,1.821,-81.89
2015-03-31,127.60600,19.54400,4.36000,23.90400,-66.06500,-5.15100,28.32500,17.35000,28.59500,180.10500,-42.25900,,,,-0.02300,-42.28200,35.00000,35.00000,-79.78500,-79.78500,-82.84600,0.45100,-127.18000,6.29400,1.62000,-82.84600
2014-12-31,118.391,18.801,5.405,24.206,52.945,-35.311,-8.825,23.915,23.853,166.45,-44.262,-5.575,0,0,0.021,-49.816,-15,-15,-25.584,-25.584,-74.035,0.169,-114.45,-1.833,2.419,-74.035
2014-09-30,133.314,18.418,4.195,22.613,-22.943,-17.608,3.091,-27.24,-45.914,110.013,-44.553,0,0.453,0.453,0.046,-44.054,35,35,-15.957,-15.957,-74.193,0.437,-54.713,10.389,1.62,-74.193
2014-06-30,130.514,18.04,3.855,21.895,-31.774,-24.784,11.791,-5.095,-72.778,79.631,-63.33,0,0,0,-0.091,-63.421,70,70,3.502,3.502,-74.16,0.938,0.28,16.919,1.62,-74.16
2014-03-31,111.93100,17.41300,3.76600,21.17900,-61.64600,-9.91900,6.44400,2.64000,10.18800,143.29800,-31.51000,,-0.00200,-0.00200,0.02200,-31.49000,,,-7.20600,-7.20600,-74.19300,0.55000,-80.84900,30.51500,1.38000,-74.19300
2013-12-31,99.229,16.689,11.114,27.803,36.987,-28.083,-13.878,9.415,-26.185,100.847,-60.282,0,-0.01,-0.01,-0.066,-60.358,0,0,0.267,0.267,-74.237,0.105,-73.865,-33.684,1.35,-74.237
2013-09-30,119.35,16.375,4.139,20.514,-19.951,-30.878,15.378,-11.648,-38.456,101.408,-51.611,0,-0.004,-0.004,-0.116,-51.731,0,0,-7.159,-7.159,-74.219,0.589,-80.789,-30.663,1.35,-74.219
2013-06-30,121.009,15.949,1.66,17.609,-20.01,-24.623,14.426,-24.546,-84.997,53.621,-35.411,0,-0.02,-0.02,0.04,-35.391,0,0,4.297,4.297,-59.338,1.139,-53.902,-36.387,1.35,-59.338
2013-03-31,109.04800,15.17800,2.60700,17.78500,-48.61900,14.89900,-2.69200,9.88600,33.41100,160.24400,-54.24600,,-0.06300,-0.06300,-0.00300,-54.31200,,,2.82100,2.82100,-29.66200,0.95400,-25.88700,79.62900,1.35000,-29.66200
2012-12-31,98.716,14.454,13.132,27.586,36.388,-39.555,-6.863,2.079,-19.106,107.196,-46.661,0,26.874,26.874,-0.011,-19.798,0,0,5.859,5.859,-210.496,1.192,-203.445,-115.992,1.35,-210.496
2012-09-30,109.32,13.589,3.45,17.039,-13.489,-13.139,3.639,-7.417,-27.694,98.665,-37.566,0,-0.062,-0.062,-0.035,-37.663,0,0,3.584,3.584,-56.281,0.854,-51.843,9.687,1.35,-56.281
2012-06-30,112.306,13.446,-2.582,10.864,-15.573,-14.803,5.13,-16.946,-64.927,58.243,-22.428,0,0.028,0.028,-0.03,-22.43,0,0,1.916,1.916,-50.332,0.406,-48.01,-12.962,1.05,-50.332
2012-03-31,100.19400,12.56300,5.41600,17.97900,-50.61700,-1.73400,2.33400,17.95700,14.01500,132.18800,-27.22700,,-0.02900,-0.02900,-0.05700,-27.31300,,,18.28500,18.28500,-50.19700,7.69700,-24.21500,81.20200,1.05000,-50.19700
2011-12-31,87.471,11.82,18.375,30.195,19.855,-28.003,-13.06,-4.159,-43.358,74.308,-26.896,0,-0.962,-0.962,-0.089,-27.947,0,0,1.233,1.233,-41.327,0.182,-39.912,6.628,1.125,-41.327
2011-09-30,96.799,11.226,4.287,15.513,-6.213,-9.492,3.719,-18.178,-19.408,92.904,-34.904,0,0.04,0.04,0.179,-34.685,0,0,2.353,2.353,-38.367,0.801,-35.213,21.639,1.125,-38.367
2011-06-30,94.112,11.031,3.41,14.441,-33.501,-32.206,14.601,-10.731,-81.56,26.993,-34.104,0,4.513,4.513,-0.098,-29.689,0,0,5.353,5.353,-38.332,0,-32.979,-35.439,0.9,-38.332
2011-03-31,79.54700,10.62900,3.13600,13.76500,-57.81900,-19.08200,8.04500,10.54200,-19.02800,74.28400,-20.58500,,0.46300,0.46300,0.22000,-19.90200,,,,,-73.71500,,-73.71500,-18.84500,0.90000,-73.71500
2010-12-31,65.161,10.273,7.181,17.454,28.934,-11.306,-13.131,-11.09,-8.42,74.195,-29.759,0,-1.412,-1.412,-10.511,-41.682,0,0,0,0,-61.921,0,-61.921,-28.872,1.015,-61.921
2010-09-30,74.994,10.044,3.693,13.737,-23.532,-23.849,2.17,-5.563,-41.965,46.766,-9.408,0,-0.146,-0.146,0.171,-9.383,0,0,0,0,-61.921,0,-61.921,-23.827,1.015,-61.921
2010-06-30,69.167,10.134,0.754,10.888,-20.106,-14.971,5.657,-8.334,-39.556,40.499,-22.518,0,-0.011,-0.011,0.055,-22.474,0,0,0,0,0,0,0,17.57,1,0
2010-03-31,56.03400,10.30400,2.69700,13.00100,-49.91800,1.16200,12.28800,4.29200,9.99300,79.02800,-7.45300,,0.98800,0.98800,-0.04400,-6.50900,,,,,-58.97200,,-58.97200,13.97000,1.00000,-58.97200
2009-12-31,44.536,9.89,12.372,22.262,23.045,-5.716,-10.247,2.036,-13.912,52.886,-11.811,-5.032,-23.792,-23.792,-0.083,-40.718,0,0,-41.104,-41.104,0,0,-41.104,-28.892,1,0
2009-09-30,47.589,9.8,3.559,13.359,-13.677,21.013,8.774,4.669,24.684,85.632,-6.912,0,-5.125,-5.125,-0.052,-12.089,0,0,0,0,-54.957,0,-54.957,20.077,0.95,-54.957
2009-06-30,43.538,10.08,0.482,10.562,10.279,36.164,0.249,0.179,19.918,74.018,-11.892,0,-0.005,-0.005,-0.029,-11.926,0,0,0,0,0,0,0,63.8,1,0
2009-03-31,48.69400,10.31700,3.79500,14.11200,1.71500,8.96400,-12.94800,16.60100,30.72800,93.53400,-17.06000,,-0.01900,-0.01900,0.06300,-17.01600,,,,,-51.98600,,-51.98600,23.97500,0.90000,-51.98600
