,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2019-03-31,1704.00000,277.00000,-14.00000,263.00000,-389.00000,-288.00000,744.00000,-614.00000,-304.00000,1663.00000,-284.00000,,,,27.00000,-257.00000,,-200.00000,-281.00000,-281.00000,-638.00000,-68.00000,-1187.00000,219.00000,37.00000,-638.00000
2018-12-31,1253,304,-219,85,-28,53,-323,829,879,2217,-459,0,0,0,57,-402,-750,-640,-666,-666,-622,-12,-1940,-125,25,-622
2018-09-30,1473,291,50,341,66,-12,13,-1321,-1453,361,-339,0,0,0,-5,-344,0,490,-216,-216,-569,-6,-301,-284,50,-569
2018-06-30,1163,287,156,443,-109,158,-66,-1525,-1678,-72,-264,0,0,0,21,-243,0,0,-310,-310,-570,-17,-897,-1212,60,-570
2018-03-31,1157.00000,279.00000,38.00000,317.00000,-108.00000,-318.00000,1290.00000,-2770.00000,-842.00000,632.00000,-216.00000,,,,130.00000,-86.00000,,,-300.00000,-300.00000,-586.00000,-128.00000,-1014.00000,-468.00000,38.00000,-586.00000
2017-12-31,-744,315,3202,3517,-68,-13,-1418,1246,-1261,1512,-507,0,0,0,15,-492,0,0,-501,-501,-572,-27,-1100,-80,25,-572
2017-09-30,963,299,32,331,-215,-28,289,619,460,1754,-222,0,0,0,6,-216,0,0,-500,-500,-522,-27,-1049,489,32,-522
2017-06-30,955,296,57,353,180,187,-171,212,236,1544,-278,0,0,0,5,-273,0,0,-531,-531,-525,21,-1035,236,57,-525
2017-03-31,789.00000,285.00000,44.00000,329.00000,-799.00000,-225.00000,1111.00000,286.00000,548.00000,1666.00000,-170.00000,,,,4.00000,-166.00000,,,-469.00000,-469.00000,-544.00000,-108.00000,-1121.00000,379.00000,44.00000,-544.00000
2016-12-31,859,327,-135,192,2135,408,-1221,-1522,-91,729,-436,0,0,0,2,-434,0,0,-891,-891,-530,68,-1353,-1058,25,-530
2016-09-30,2395,295,-1311,-1016,-323,-2,227,8,-290,1320,-241,0,0,0,17,-224,-500,-500,-256,-256,-484,1770,530,1626,27,-484
2016-06-30,1021,297,53,350,-656,77,55,614,102,1473,-235,0,0,0,55,-180,-452,-452,-476,-476,-501,-47,-1476,-183,53,-501
2016-03-31,898.00000,296.00000,143.00000,439.00000,-558.00000,-310.00000,751.00000,222.00000,330.00000,1667.00000,-151.00000,,,,4.00000,-147.00000,,,-473.00000,-473.00000,-533.00000,-152.00000,-1158.00000,362.00000,44.00000,-533.00000
2015-12-31,933,300,-358,-58,605,-39,-797,894,489,1364,-439,-9003,0,0,119,-9323,6888,6888,-659,-659,-505,25,5749,-2210,20,-505
2015-09-30,865,236,64,300,322,-205,184,396,352,1517,-191,0,0,0,-2,-193,0,0,-781,-781,-462,17,-1226,98,29,-462
2015-06-30,929,246,49,295,-522,51,78,356,39,1263,-191,0,0,0,65,-126,0,0,-918,-918,-467,-36,-1421,-284,49,-467
2015-03-31,878.00000,244.00000,40.00000,284.00000,-661.00000,-205.00000,375.00000,-109.00000,-205.00000,957.00000,-118.00000,,,,26.00000,-92.00000,2213.00000,2213.00000,-539.00000,-539.00000,-498.00000,-1.00000,1175.00000,2040.00000,40.00000,-498.00000
2014-12-31,904,268,-246,22,259,11,-501,-977,-1127,-201,-389,-276,0,0,6,-659,0,0,-194,-194,-474,11,-657,-1517,36,-474
2014-09-30,888,247,31,278,367,-241,39,-300,-176,990,-203,-450,0,0,15,-638,0,0,-391,-391,-421,-13,-825,-473,31,-421
2014-06-30,889,242,49,291,-175,278,12,-45,-203,977,-150,-172,0,0,22,-300,0,0,-98,-98,-421,14,-505,172,49,-421
2014-03-31,933.00000,237.00000,48.00000,285.00000,-423.00000,29.00000,545.00000,147.00000,882.00000,2100.00000,-103.00000,,,,-23.00000,-126.00000,,,-909.00000,-909.00000,-444.00000,26.00000,-1327.00000,647.00000,48.00000,-444.00000
2013-12-31,488,286,400,686,1077,-78,-528,-381,-236,938,-345,-3,0,0,11,-337,0,0,-151,-151,-428,-66,-645,-44,39,-428
2013-09-30,873,232,38,270,-66,-25,-124,-149,-243,900,-209,-203,0,0,-33,-445,0,0,-247,-247,-370,-22,-639,-184,38,-370
2013-06-30,859,240,59,299,140,0,-78,-304,-535,623,-176,-63,0,0,48,-191,-150,-150,-131,-131,-371,0,-652,-220,59,-371
2013-03-31,761.00000,232.00000,83.00000,315.00000,-384.00000,43.00000,83.00000,405.00000,1009.00000,2085.00000,-106.00000,,,,-42.00000,-148.00000,,,-406.00000,-406.00000,-371.00000,7.00000,-770.00000,1167.00000,53.00000,-371.00000
2012-12-31,569,277,993,1270,-95,-35,-150,-2291,-3154,-1315,-428,-230,0,0,8,-650,0,0,-179,-179,-373,-237,-789,-2754,38,-373
2012-09-30,727,247,65,312,140,-349,-177,767,534,1573,-208,-29,0,0,8,-229,0,0,-183,-183,-326,15,-494,850,42,-326
2012-06-30,781,233,46,279,149,-142,-25,19,-215,845,-175,0,0,0,26,-149,0,0,-105,-105,-326,19,-412,284,46,-326
2012-03-31,668.00000,231.00000,41.00000,272.00000,-654.00000,104.00000,116.00000,-159.00000,-482.00000,458.00000,-131.00000,,,,-18.00000,-149.00000,,,-83.00000,-83.00000,-327.00000,37.00000,-373.00000,-64.00000,41.00000,-327.00000
2011-12-31,683,269,120,389,490,-649,-98,-23,17,1089,-418,-624,0,0,43,-999,-632,-632,-113,-113,-325,-2,-1072,-982,41,-325
2011-09-30,700,247,-5,242,8,427,115,-752,-391,551,-241,0,250,250,34,43,1980,1980,-983,-983,-246,-49,702,1296,37,-246
2011-06-30,742,246,48,294,39,55,-153,207,-142,894,-198,0,260,260,204,266,0,0,-982,-982,-258,-9,-1249,-89,40,-258
2011-03-31,530.00000,246.00000,39.00000,285.00000,-900.00000,93.00000,745.00000,480.00000,904.00000,1719.00000,-130.00000,,,,32.00000,-98.00000,,,-271.00000,-271.00000,-266.00000,12.00000,-525.00000,1096.00000,39.00000,-266.00000
2010-12-31,961,439,37,476,486,-267,-718,-433,-1023,414,-680,650,250,250,74,294,0,0,-852,-852,-269,19,-1102,-395,68,-269
2010-09-30,560,213,516,729,53,259,112,-773,-776,513,-171,0,110,110,-2,-63,0,0,-307,-307,-229,0,-536,-66,18,-229
2010-06-30,824,201,-46,155,73,103,25,25,246,1225,-131,0,-638,-638,-27,-796,0,0,-710,-710,-233,-47,-990,-566,41,-233
2010-03-31,533.00000,199.00000,162.00000,361.00000,-609.00000,-302.00000,217.00000,881.00000,755.00000,1649.00000,-92.00000,,107.00000,107.00000,-23.00000,-8.00000,,,-492.00000,-492.00000,-238.00000,,-730.00000,897.00000,41.00000,-238.00000
2009-12-31,776,389,556,945,35,-130,-210,-1435,-2012,-291,-685,-15,110,110,37,-553,1222,1222,-537,-537,-240,105,550,-318,58,-240
2009-09-30,797,215,37,252,92,-208,71,420,375,1424,-182,-233,-389,-389,25,-779,0,0,-368,-368,-219,-13,-600,37,24,-219
2009-06-30,734,208,29,237,-33,68,-2,132,165,1136,-167,-31,0,0,-10,-208,0,0,-463,-463,-222,13,-672,288,42,-222
2009-03-31,666.00000,202.00000,30.00000,232.00000,-779.00000,33.00000,120.00000,946.00000,320.00000,1218.00000,-132.00000,-156.00000,,,-4.00000,-292.00000,,,-483.00000,-483.00000,-227.00000,,-710.00000,216.00000,30.00000,-227.00000
