,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2014-04-30,418.00000,511.00000,-172.00000,339.00000,-736.00000,372.00000,,127.00000,-237.00000,520.00000,-466.00000,-90.00000,18.00000,-538.00000,-31.00000,306.00000,275.00000,26.00000,26.00000,-272.00000,,29.00000,20.00000,20.00000,-272.00000
2014-01-31,520,348,-150,198,0,1957,-1497,126,1049,1767,950,0,-1532,-582,-10,-997,-1007,61,61,-272,0,-1218,-11,25,-272
2013-10-31,341,569,167,736,0,-1934,1727,-166,-433,644,-897,-99,38,-958,-29,270,241,32,32,-271,0,2,-312,26,-271
2013-07-31,612,543,-54,489,-14,-352,392,9,-222,879,-987,0,3,-984,-508,807,299,-767,-767,-231,0,-699,-801,26,-231
2013-04-30,498.00000,536.00000,66.00000,602.00000,2874.00000,-175.00000,-375.00000,-48.00000,2130.00000,3230.00000,-882.00000,-58.00000,3193.00000,2253.00000,-2916.00000,-970.00000,-3886.00000,-331.00000,-331.00000,-232.00000,,-4449.00000,1035.00000,29.00000,-232.00000
2013-01-31,961,441,184,625,-314,1775,-1000,-179,391,1977,23,0,-853,-830,-505,-530,-1035,-564,-564,-234,0,-1833,-685,28,-234
2012-10-31,637,543,67,610,-19,-1800,1545,-137,-370,877,-718,0,120,-598,-13,0,-13,-4,-4,-236,0,-253,27,26,-236
2012-07-31,704,531,-36,495,-26,-63,214,18,-35,1164,-757,0,-11,-768,1465,-450,1015,-437,-437,-198,-14,366,767,23,-198
2012-04-30,697.00000,529.00000,86.00000,615.00000,142.00000,248.00000,-566.00000,143.00000,-5.00000,1307.00000,-828.00000,,169.00000,-659.00000,-505.00000,450.00000,-55.00000,-510.00000,-510.00000,-201.00000,-2.00000,-768.00000,-119.00000,25.00000,-201.00000
2012-01-31,981,563,36,599,-307,1972,-1196,-168,879,2459,-588,0,12,-576,-1859,289,-1570,-126,-126,-201,-7,-1904,-27,29,-201
2011-10-31,555,546,346,892,-23,-1964,1547,-137,-808,639,-1366,0,-103,-1469,-34,1211,1177,-168,-168,-203,-19,787,-69,17,-203
2011-07-31,704,510,103,613,-6,-231,211,19,-33,1284,-1746,0,-19,-1765,762,0,762,-663,-663,-172,20,-53,-534,23,-172
2011-04-30,689.00000,512.00000,152.00000,664.00000,149.00000,-99.00000,-330.00000,82.00000,-301.00000,1052.00000,-631.00000,,261.00000,-370.00000,,,,-796.00000,-796.00000,-174.00000,,-970.00000,-288.00000,21.00000,-174.00000
2011-01-31,1035,539,278,817,-319,1954,-1135,-223,567,2419,-489,0,61,-428,-795,0,-795,-236,-236,-177,-7,-1215,776,32,-177
2010-10-31,535,533,163,696,0,-1822,1533,-24,-207,1024,-612,0,21,-591,-111,0,-111,-753,-753,-180,7,-1037,-604,25,-180
2010-07-31,679,496,284,780,40,-479,78,-118,-789,670,-564,0,14,-550,828,0,828,-860,-860,-126,0,-158,-38,27,-126
2010-04-30,671.00000,516.00000,212.00000,728.00000,201.00000,-70.00000,-361.00000,-74.00000,-241.00000,1158.00000,-395.00000,,220.00000,-175.00000,-1170.00000,,-1170.00000,-309.00000,-309.00000,-126.00000,,-1605.00000,-622.00000,25.00000,-126.00000
2010-01-31,936,536,243,779,-247,2203,-1129,-93,991,2854,-281,0,12,-269,-715,0,-715,-407,-407,-127,0,-1249,1336,31,-127
2009-10-31,436,537,738,1275,36,-1854,1406,-145,-587,976,-397,0,-65,-462,-501,0,-501,22,22,-128,0,-607,-93,24,-128
2009-07-31,594,478,397,875,-6,-535,230,-23,-417,1052,-484,0,-116,-600,-753,0,-753,7,7,-120,0,-866,-414,24,-120
2009-04-30,522.00000,472.00000,417.00000,889.00000,160.00000,-288.00000,-333.00000,-64.00000,-412.00000,999.00000,-534.00000,,162.00000,-372.00000,-1.00000,,-1.00000,2.00000,2.00000,-121.00000,,-120.00000,507.00000,24.00000,-121.00000
2009-01-31,2214,1826,1730,3556,-458,77,-389,-340,-1340,4430,-3508,0,-865,-4373,2102,-500,1602,-2772,-2772,-465,-8,-1643,-1586,72,-465
