,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2018-12-31,-44,51,213,264,-24,27,137,140,360,-39,-75,-109,212,103,-20,-31,0,0,7,7,-72,-56,-121,210,18,-72
2018-09-30,163,53,45,98,41,-5,-283,-247,14,-27,-8,-220,331,111,0,76,0,0,-54,-54,-73,56,-71,20,18,-73
2018-06-30,162,53,-8,45,75,-54,51,72,279,-29,294,-100,0,-100,-6,159,18,18,-231,-231,-72,-213,-498,-73,18,-72
2018-03-31,177.00000,53.00000,7.00000,60.00000,-127.00000,65.00000,200.00000,138.00000,375.00000,-16.00000,,8.00000,,8.00000,,-8.00000,-133.00000,-133.00000,-99.00000,-99.00000,-63.00000,-42.00000,-337.00000,30.00000,15.00000,-63.00000
2017-12-31,246,48,31,79,-19,6,-12,-25,300,-42,-776,-453,424,-29,30,-817,115,115,-7,-7,-63,320,365,-152,18,-63
2017-09-30,169,48,-1,47,47,16,-184,-121,95,-38,0,100,0,100,-31,31,485,485,-17,-17,-64,-358,46,177,18,-64
2017-06-30,146,47,10,57,12,-46,101,67,270,-28,0,-67,0,-67,-1,-96,-660,-660,29,29,-63,422,-272,-90,19,-63
2017-03-31,168.00000,45.00000,47.00000,92.00000,-29.00000,12.00000,1.00000,-16.00000,244.00000,-36.00000,,28.00000,,28.00000,,-8.00000,,,-155.00000,-155.00000,-53.00000,16.00000,-192.00000,46.00000,15.00000,-53.00000
2016-12-31,-227,45,490,535,20,8,-52,-24,284,-49,-6,-104,83,-21,10,-66,-18,-18,12,12,-53,-10,-69,142,31,-53
2016-09-30,131,46,15,61,59,-8,-180,-129,63,-34,0,-312,328,16,0,-18,-40,-40,-41,-41,-53,-1,-135,-90,20,-53
2016-06-30,70,41,17,58,-1,-9,56,46,174,-28,-1247,-4,0,-4,0,-1279,1189,1189,11,11,-53,-23,1124,14,19,-53
2016-03-31,132.00000,38.00000,20.00000,58.00000,-5.00000,14.00000,56.00000,65.00000,255.00000,-23.00000,-213.00000,-48.00000,,-48.00000,-10.00000,-294.00000,169.00000,169.00000,-28.00000,-28.00000,-41.00000,-72.00000,28.00000,-5.00000,16.00000,-41.00000
2015-12-31,148,36,81,117,-41,-17,48,-10,255,-42,0,-329,319,-10,-1,-53,-53,-53,-57,-57,-41,-28,-179,18,19,-41
2015-09-30,138,35,8,43,42,-18,-139,-115,66,-32,0,71,0,71,-3,36,150,150,-253,-253,-40,10,-133,-34,17,-40
2015-06-30,132,33,17,50,18,-39,14,-7,175,-35,0,-87,30,-57,0,-92,-35,-35,-14,-14,-43,0,-92,-4,18,-43
2015-03-31,9.00000,34.00000,74.00000,108.00000,36.00000,36.00000,42.00000,114.00000,231.00000,-24.00000,-226.00000,-40.00000,-30.00000,-70.00000,-6.00000,-326.00000,75.00000,75.00000,-24.00000,-24.00000,-25.00000,-22.00000,4.00000,-99.00000,14.00000,-25.00000
2014-12-31,86,33,79,112,-23,4,46,27,225,-47,0,-12,0,-12,0,-59,0,0,-47,-47,-25,27,-45,106,17,-25
2014-09-30,122,35,18,53,17,-8,-160,-151,24,-27,0,25,0,25,0,-2,0,0,-16,-16,-26,0,-42,-28,15,-26
2014-06-30,102,34,18,52,32,-35,49,46,200,-35,0,-10,0,-10,-3,-48,-114,-114,-82,-82,-25,1,-220,-70,16,-25
2014-03-31,103.00000,35.00000,23.00000,58.00000,-42.00000,-1.00000,65.00000,22.00000,183.00000,-31.00000,,-8.00000,,-8.00000,-7.00000,-46.00000,-121.00000,-121.00000,7.00000,7.00000,-22.00000,-17.00000,-153.00000,-14.00000,14.00000,-22.00000
2013-12-31,141,34,28,62,-19,-27,80,34,237,-35,0,-36,39,3,0,-32,-98,-98,14,14,-22,-3,-109,98,15,-22
2013-09-30,113,33,38,71,-14,-5,-83,-102,82,-35,0,-7,-39,-46,39,-42,-98,-98,2,2,-22,-3,-121,-79,14,-22
2013-06-30,88,28,-8,20,-36,39,-5,-2,106,-25,-1121,175,-118,57,-39,-1128,813,813,13,13,-22,8,812,-212,9,-22
2013-03-31,42.00000,27.00000,-3.00000,24.00000,14.00000,44.00000,25.00000,83.00000,149.00000,-20.00000,,-112.00000,118.00000,6.00000,,-14.00000,-11.00000,-11.00000,-4.00000,-4.00000,-21.00000,1.00000,-35.00000,94.00000,9.00000,-21.00000
2012-12-31,85,25,49,74,-4,26,51,73,232,-24,-15,-434,372,-62,0,-101,-11,-11,-44,-44,-22,1,-76,59,12,-22
2012-09-30,88,27,45,72,9,-17,-114,-122,38,-22,-40,49,0,49,0,-13,-12,-12,-52,-52,-21,-1,-86,-53,12,-21
2012-06-30,92,25,26,51,-15,11,71,67,210,-25,-57,102,-97,5,0,-77,-11,-11,-124,-124,-22,-1,-158,-34,12,-22
2012-03-31,84.00000,27.00000,21.00000,48.00000,-20.00000,-19.00000,15.00000,-24.00000,108.00000,-16.00000,,-18.00000,97.00000,79.00000,,63.00000,-111.00000,-111.00000,-49.00000,-49.00000,,1.00000,-159.00000,19.00000,10.00000,0.00000
2011-12-31,81,29,66,95,33,-17,41,57,233,-37,-24,-104,115,11,0,-50,-128,-128,-99,-99,0,7,-220,-37,10,0
2011-09-30,108,29,26,55,-1,-5,-151,-157,6,-27,0,-81,88,7,0,-20,0,0,1,1,0,-10,-9,-35,9,0
2011-06-30,91,28,1,29,-17,37,119,139,259,-14,-2,-234,198,-36,0,-52,-85,-85,3,3,0,13,-69,139,10,0
2011-03-31,103.00000,29.00000,-2.00000,27.00000,-26.00000,9.00000,58.00000,41.00000,171.00000,-10.00000,,-114.00000,100.00000,-14.00000,,-24.00000,-35.00000,-35.00000,5.00000,5.00000,,3.00000,-27.00000,124.00000,7.00000,
2010-12-31,135,29,-10,19,13,-1,17,29,183,-10,-114,-49,134,85,0,-39,329,329,-496,-496,0,2,-165,-21,8,0
2010-09-30,100,27,13,40,63,-44,-125,-106,34,-12,-72,-197,216,19,0,-65,-71,-71,-99,-99,0,-2,-172,-190,8,0
2010-06-30,94,27,22,49,9,15,72,96,239,-9,-4,128,-162,-34,0,-47,-43,-43,-151,-151,0,4,-190,-9,9,0
2010-03-31,60.00000,26.00000,44.00000,70.00000,-80.00000,34.00000,-100.00000,-146.00000,-16.00000,-11.00000,,-119.00000,163.00000,44.00000,,33.00000,-22.00000,-22.00000,-45.00000,-45.00000,,-1.00000,-68.00000,-59.00000,8.00000,
2009-12-31,42,37,73,110,73,-122,251,202,354,-13,28,-605,526,-79,0,-64,1,1,1,1,0,-6,-4,283,10,0
2009-09-30,59,28,90,118,9,4,-186,-173,4,-16,-1,9,0,9,0,-8,-113,-113,0,0,0,-8,-121,-108,8,0
2009-06-30,68,26,12,38,-25,-8,68,35,141,-14,-13,36,54,90,0,63,-148,-148,6,6,0,9,-133,86,9,0
2009-03-31,94.00000,24.00000,-8.00000,16.00000,-24.00000,1.00000,-4.00000,-27.00000,83.00000,-16.00000,-6.00000,-22.00000,,-22.00000,,-44.00000,-80.00000,-80.00000,1.00000,1.00000,,1.00000,-78.00000,-41.00000,8.00000,
