,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2020-06-30,2786,814,221,1035,499,-104,-652,928,4806,-656,0,0,-3,-3,0,-659,-913,-675,-1588,0,0,-2028,217,-3399,788,233,-2028
2020-03-31,2957,799,108,907,392,0,-3,169,4064,-718,-4,0,-3,-3,0,-725,4963,3088,8051,-901,-901,-1906,701,5945,9114,123,-1906
2019-12-31,3743,677,118,795,4,16,-20,-193,4364,-596,-54,0,0,0,0,-650,-1546,-7,-1553,-3504,-3504,-1923,185,-6795,-3025,92,-1923
2019-09-30,3617.00000,723.00000,-478.00000,245.00000,-261.00000,-549.00000,-35.00000,306.00000,4169.00000,-1073.00000,,6151.00000,1.00000,6152.00000,,5079.00000,,-61.00000,-61.00000,-3000.00000,-3000.00000,-1932.00000,875.00000,-4118.00000,5065.00000,110.00000,-1932.00000
2019-06-30,-5237,820,7866,8686,273,362,-436,614,4151,-442,-2,1094,-3,1091,0,647,32,-383,-351,-1750,-1750,-1937,734,-3304,1501,216,-1937
2019-03-31,2776,711,57,768,-151,-70,-167,-88,3517,-748,-95,1417,-1,1416,0,573,-24,-3038,-3062,-1250,-1250,-1858,1104,-5066,-958,118,-1858
2018-12-31,3216,650,73,723,77,-37,-286,-38,4007,-692,-3611,468,-10,458,0,-3845,1390,1182,2572,-751,-751,-1850,1061,1032,1151,79,-1850
2018-09-30,3211.00000,643.00000,-225.00000,418.00000,-475.00000,-494.00000,-84.00000,-120.00000,3567.00000,-1071.00000,-237.00000,491.00000,-48.00000,443.00000,,-865.00000,,24.00000,24.00000,-1252.00000,-1252.00000,-1853.00000,425.00000,-2656.00000,-24.00000,102.00000,-1853.00000
2018-06-30,1890,750,916,1666,273,269,-331,844,4199,-884,-1,999,-17,982,0,97,-1471,-2178,-3649,-1370,-1370,-1861,19,-6861,-2757,146,-1861
2018-03-31,2540,716,245,961,97,0,-193,-201,3353,-865,-7,975,-6,969,0,97,-121,-2783,-2904,-1381,-1381,-1813,460,-5638,-2106,92,-1813
2017-12-31,2561,676,-2438,-1762,-243,-100,2554,2833,3684,-687,-101,-401,18,-383,0,-1171,1818,1476,3294,-1751,-1751,-1813,118,-152,2408,73,-1813
2017-09-30,2870.00000,692.00000,429.00000,1121.00000,-304.00000,-357.00000,-30.00000,-456.00000,3631.00000,-1012.00000,,-1554.00000,32.00000,-1522.00000,,-2534.00000,1973.00000,48.00000,2021.00000,-2502.00000,-2502.00000,-1823.00000,580.00000,-1724.00000,-545.00000,84.00000,-1823.00000
2017-06-30,2202,720,-103,617,-163,216,-262,755,3688,-994,874,-820,-52,-872,-1870,-2862,1051,-829,222,-700,-700,-1826,75,-2229,-1244,154,-1826
2017-03-31,2556,665,50,715,436,102,67,-212,3040,-670,0,-1150,18,-1132,0,-1802,9,841,850,-2001,-2001,-1773,1324,-1600,-234,93,-1773
2016-12-31,7896,707,-4936,-4229,-171,40,17,-708,3000,-648,-1351,-997,4,-993,3092,100,-2278,1196,-1082,-1501,-1501,-1786,137,-4232,-1405,60,-1786
2016-09-30,2757.00000,728.00000,-208.00000,520.00000,-424.00000,-287.00000,135.00000,-278.00000,3025.00000,-501.00000,-14.00000,-388.00000,4.00000,-384.00000,-1222.00000,-2121.00000,-110.00000,1519.00000,1409.00000,-1002.00000,-1002.00000,-1851.00000,937.00000,-507.00000,354.00000,44.00000,-1851.00000
2016-06-30,1958,839,-550,289,164,210,37,1895,4139,-973,-1,-311,93,-218,0,-1192,-3,-1953,-1956,-500,-500,-1847,648,-3655,-793,119,-1847
2016-03-31,2783,785,-166,619,359,292,-207,-77,3278,-766,-995,-1071,31,-1040,-143,-2944,2224,-485,1739,-2731,-2731,-1856,1017,-1831,-1508,76,-1856
2015-12-31,3228,723,25,748,-120,133,233,270,4480,-649,-186,-3,-55,-58,0,-893,19,1570,1589,-2001,-2001,-1868,524,-1756,1698,73,-1868
2015-09-30,2635.00000,731.00000,620.00000,1351.00000,-368.00000,-519.00000,141.00000,-448.00000,3538.00000,-494.00000,,-76.00000,24.00000,-52.00000,,-546.00000,-537.00000,450.00000,-87.00000,-502.00000,-502.00000,-1865.00000,483.00000,-1971.00000,869.00000,67.00000,-1865.00000
2015-06-30,538,808,1918,2726,41,503,-153,1173,3988,-491,-18,-1006,1243,237,-908,-1180,122,-2439,-2317,-350,-350,-1871,162,-4376,-1528,106,-1871
2015-03-31,2188,786,202,988,650,316,-659,210,3552,-753,-7,-714,633,-81,0,-841,-697,-493,-1190,-1,-1,-1802,655,-2338,170,80,-1802
2014-12-31,2398,746,791,1537,-241,62,152,-596,3435,-132,-97,-686,-396,-1082,0,-1311,1103,247,1350,-1875,-1875,-1808,1043,-1290,718,70,-1808
2014-09-30,2020.00000,794.00000,805.00000,1599.00000,-101.00000,-568.00000,-316.00000,-173.00000,3633.00000,2138.00000,-15.00000,-1241.00000,-440.00000,-1681.00000,,442.00000,-1902.00000,105.00000,-1797.00000,-2378.00000,-2378.00000,-1806.00000,966.00000,-5015.00000,-1072.00000,81.00000,-1806.00000
2014-06-30,2620,824,153,977,-63,363,-552,909,4506,-731,-27,-544,-100,-644,0,-1402,-2037,1045,-992,-500,-500,-1814,550,-2756,383,113,-1814
2014-03-31,2636,791,318,1109,526,91,-146,502,4109,-892,2,0,-12,-12,0,-902,-1992,2688,696,-1501,-1501,-1688,607,-1886,1253,94,-1688
2013-12-31,3472,755,-49,706,-373,6,-128,-877,3299,-925,0,0,-25,-25,0,-950,3195,-2291,904,-1502,-1502,-1701,633,-1666,807,69,-1701
2013-09-30,3057.00000,771.00000,71.00000,842.00000,-3.00000,-452.00000,-731.00000,-1995.00000,2044.00000,-723.00000,1.00000,,-124.00000,-124.00000,,-846.00000,1073.00000,1862.00000,2935.00000,-2502.00000,-2502.00000,-1708.00000,304.00000,-971.00000,175.00000,84.00000,-1708.00000
2013-06-30,1882,794,12,806,89,267,-415,1278,4392,-1557,3,-1605,1539,-66,0,-1620,75,-746,-671,-1001,-1001,-1722,719,-2675,71,96,-1722
2013-03-31,2591,740,149,889,410,-168,-73,373,3862,-812,-25,0,-1481,-1481,0,-2318,14,-820,-806,-1001,-1001,-1591,1068,-2330,-767,96,-1591
2012-12-31,4076,738,-774,-36,-119,178,159,-134,3849,-316,-1135,0,-167,-167,0,-1618,-2484,3939,1455,-1400,-1400,-1601,711,-835,1341,75,-1601
2012-09-30,2853.00000,710.00000,44.00000,754.00000,-795.00000,-502.00000,397.00000,-836.00000,2770.00000,-739.00000,12.00000,,-12.00000,-12.00000,,-739.00000,974.00000,1033.00000,2007.00000,-2584.00000,-2584.00000,-1605.00000,951.00000,-1231.00000,866.00000,79.00000,-1605.00000
2012-06-30,3667,777,-1865,-1088,-80,364,-575,1245,3973,1302,-130,0,22,22,0,1194,-35,-3290,-3325,-1,-1,-1618,290,-4654,445,100,-1618
2012-03-31,2467,971,80,1051,732,210,-99,294,3816,-831,-6,0,19,19,0,-818,1995,-2538,-543,-2259,-2259,-1508,850,-3460,-423,109,-1508
2011-12-31,1713,713,1363,2076,-440,430,64,-476,3328,-714,8,0,96,96,0,-610,-1499,1199,-300,-503,-503,-1510,436,-1877,832,88,-1510
2011-09-30,3057.00000,743.00000,204.00000,947.00000,-639.00000,-927.00000,166.00000,-1879.00000,2167.00000,-828.00000,-6.00000,,-25.00000,-25.00000,,-859.00000,975.00000,1217.00000,2192.00000,-1261.00000,-1261.00000,-1503.00000,153.00000,-419.00000,814.00000,80.00000,-1503.00000
2011-06-30,2539,735,-72,663,69,316,-390,576,3878,-1104,15,0,-24,-24,0,-1113,-18,571,553,-2503,-2503,-1530,512,-2968,-178,119,-1530
2011-03-31,2906,703,92,795,436,-38,-160,392,4076,-743,-54,0,-31,-31,0,-828,-28,-1368,-1396,-1008,-1008,-1403,228,-3579,-303,115,-1403
2010-12-31,3401,711,182,893,-497,-175,-690,-1436,2924,-729,-37,0,153,153,0,-613,1393,-1464,-71,-518,-518,-1412,327,-1674,646,93,-1412
2010-09-30,3081.00000,689.00000,137.00000,826.00000,-434.00000,-604.00000,19.00000,-1322.00000,2452.00000,-505.00000,-398.00000,,-25.00000,-25.00000,,-928.00000,-17.00000,2412.00000,2395.00000,-3010.00000,-3010.00000,-1422.00000,136.00000,-1901.00000,-276.00000,87.00000,-1422.00000
2010-06-30,2295,780,-51,729,324,113,-313,372,3372,-1066,-360,0,-141,-141,0,-1567,-1546,1683,137,-3118,-3118,-1457,662,-3776,-2020,120,-1457
2010-03-31,2585,799,309,1108,488,-75,-355,943,4910,-698,5,0,17,17,0,-676,504,-579,-75,-1790,-1790,-1329,0,-3194,769,128,-1329
2009-12-31,4659,758,-2310,-1552,-313,144,-86,240,3294,2108,-51,0,-33,-33,0,2024,-184,-4816,-5000,-1205,-1205,-1336,0,-7541,-2164,106,-1336
2009-09-30,3307.00000,771.00000,-129.00000,642.00000,-513.00000,-96.00000,398.00000,607.00000,4555.00000,-343.00000,-19.00000,,-16.00000,-16.00000,,-378.00000,-3490.00000,1914.00000,-1576.00000,109.00000,109.00000,-1336.00000,,-2803.00000,1513.00000,99.00000,-1336.00000
2009-06-30,2471,854,641,1495,166,1034,-501,970,4996,-1089,-53,0,50,50,0,-1092,-397,-1976,-2373,-588,-588,-1336,681,-3616,347,148,-1336
2009-03-31,10965,2228,-1906,322,249,-313,-257,-1334,9923,-1062,-315,0,116,116,0,-1261,2736,-444,2292,-5782,-5782,-3708,0,-7198,1121,368,-3708
